Date,Open,High,Low,Close,Volume
2025-10-28,2710.5312164247966,2745.673229856839,2675.588825052838,2699.848876953125,44766
2025-10-29,2700.7471269898224,2716.0219915695966,2673.092770603784,2712.627685546875,26509
2025-10-30,2705.539407571449,2712.927129860451,2651.72822312301,2666.80322265625,16965
2025-10-31,2691.5624607162517,2691.5624607162517,2596.7188280129712,2609.79736328125,23261
2025-11-03,2629.6643940709464,2680.5804472591085,2608.698960405233,2669.698486328125,37656
2025-11-04,2688.068088597396,2737.4866105604683,2654.822852347213,2695.455810546875,76537
2025-11-06,2665.605270360132,2696.3546233502443,2521.6426674277636,2654.822998046875,175685
2025-11-07,2639.6481248693904,2639.8477469328946,2574.7551112095903,2591.627197265625,37297
2025-11-10,2585.7368388475875,2678.4838271933704,2585.636905952897,2662.010986328125,37535
2025-11-11,2670.0979298197467,2735.49012066035,2652.7266666950086,2707.136962890625,50042
2025-11-12,2707.1367517448343,2719.4163107172635,2675.5886684570737,2686.8701171875,19492
2025-11-13,2694.0584206716544,2733.493405891788,2676.687157589185,2689.066650390625,25160
2025-11-14,2689.066631991805,2709.2333350414256,2651.728288040689,2701.346435546875,17759
2025-11-17,2719.416349500039,2775.424106115356,2701.3462884337,2711.0302734375,42703
2025-11-18,2710.53106205876,2745.4734514407332,2681.9780406682708,2722.411376953125,26969
2025-11-19,2722.411473116285,2775.4241689467117,2709.832358737704,2723.210205078125,38227
2025-11-20,2722.511304155506,2744.774646662946,2666.8031033095212,2677.984619140625,32205
2025-11-21,2685.5721911362098,2691.56231498261,2598.0165963290756,2619.78076171875,41937
2025-11-24,2620.180060263545,2623.6742992465597,2555.7862275765574,2591.826904296875,30857
2025-11-25,2594.522575859996,2614.6892790930256,2553.689748625926,2591.9267578125,35390
2025-11-26,2591.9265899676648,2630.6627736750356,2585.73684395383,2609.298095703125,22816
2025-11-27,2612.6925271692867,2615.5876563947495,2581.9431739366955,2598.416015625,18720
2025-11-28,2595.7204298602583,2615.587577193295,2586.7352437568957,2607.401123046875,13581
2025-12-01,2610.6957337070726,2630.46319183433,2585.5372614263683,2598.21630859375,17649
2025-12-02,2620.3797544118024,2666.1044173953587,2598.216343857488,2657.618408203125,37609
2025-12-03,2657.618496110275,2674.5905150561334,2590.728774382481,2604.8056640625,28883
2025-12-04,2615.6875937580508,2655.621755494815,2586.7353264988965,2620.779296875,16592
