date,open,high,low,close,volume
2025-03-24,805.0,826.0,787.05,826.0,185592
2025-03-25,835.0,864.8,815.25,828.95,510056
2025-03-26,832.0,839.7,808.05,820.6,166567
2025-03-27,825.0,843.0,820.6,830.7,169035
2025-03-28,844.95,844.95,804.1,814.1,90669
2025-04-01,804.0,836.0,799.55,812.65,97986
2025-04-02,812.5,837.35,804.5,812.15,211703
2025-04-03,805.1,836.9,805.0,810.35,122718
2025-04-04,810.0,810.0,769.85,769.85,241075
2025-04-07,731.35,740.85,731.35,731.35,80341
2025-04-08,760.0,760.0,720.3,728.4,175456
2025-04-09,720.0,726.25,692.0,692.0,179804
2025-04-11,717.0,722.0,682.75,709.95,188974
2025-04-15,721.1,745.4,717.7,745.4,228971
2025-04-16,746.0,756.3,735.2,741.1,223899
2025-04-17,727.05,739.0,712.0,717.2,122805
2025-04-21,723.75,753.0,714.55,735.1,229874
2025-04-22,738.0,750.45,727.0,730.9,77361
2025-04-23,744.95,747.4,709.45,716.7,98892
2025-04-24,721.95,722.4,700.0,702.85,97595
2025-04-25,708.2,713.2,667.7,669.8,161179
2025-04-28,667.0,690.0,650.5,679.25,115322
2025-04-29,685.0,688.85,660.0,662.55,73899
2025-04-30,673.95,673.95,641.0,644.9,105774
2025-05-02,654.8,677.1,641.55,649.75,166402
2025-05-05,660.0,682.0,641.0,678.3,121482
2025-05-06,679.5,687.65,644.4,646.2,117501
2025-05-07,621.45,669.95,616.2,654.2,110816
2025-05-08,659.8,668.75,626.8,637.3,87970
2025-05-09,625.0,645.05,622.5,641.9,84383
2025-05-12,665.8,673.95,660.25,673.95,117887
2025-05-13,674.0,707.6,674.0,707.6,363649
2025-05-14,721.9,742.95,721.0,742.95,175288
2025-05-15,780.0,780.05,760.9,780.05,458525
2025-05-16,784.7,819.05,761.95,819.05,367773
2025-05-19,840.0,860.0,840.0,859.3,565340
2025-05-20,870.0,894.95,850.55,865.75,596879
2025-05-21,888.0,909.0,850.2,866.05,701027
2025-05-22,852.75,853.0,822.75,822.75,219536
2025-05-23,781.65,816.8,781.65,781.65,274679
2025-05-26,784.95,820.7,769.25,820.7,199073
