date,open,high,low,close,volume
2025-03-24,1608.95,1836.55,1600.0,1774.5,612933
2025-03-25,1782.05,1793.0,1703.55,1742.6,161826
2025-03-26,1740.0,1740.0,1663.7,1679.2,69703
2025-03-27,1673.0,1692.35,1650.0,1673.55,77572
2025-03-28,1673.55,1708.9,1601.1,1618.15,77233
2025-04-01,1632.0,1720.0,1619.9,1683.15,170757
2025-04-02,1675.0,1740.0,1646.45,1735.8,63367
2025-04-03,1736.0,1762.15,1716.35,1727.6,47737
2025-04-04,1720.0,1734.9,1670.2,1707.1,47856
2025-04-07,1620.0,1647.0,1584.0,1634.9,42828
2025-04-08,1681.0,1708.0,1633.8,1698.6,35847
2025-04-09,1673.1,1702.75,1660.05,1677.3,24158
2025-04-11,1750.0,1755.0,1684.0,1740.45,64511
2025-04-15,1760.0,1808.0,1748.4,1770.6,49308
2025-04-16,1765.2,1844.0,1765.2,1831.3,107542
2025-04-17,1830.9,1917.0,1805.4,1891.0,133765
2025-04-21,1891.0,1906.4,1858.1,1877.7,52009
2025-04-22,1880.0,1896.5,1856.1,1871.0,30189
2025-04-23,1880.0,1884.0,1833.0,1857.4,25983
2025-04-24,1850.0,1877.1,1809.7,1832.1,37987
2025-04-25,1835.9,1849.3,1768.0,1808.4,39326
2025-04-28,1792.0,1808.6,1781.7,1795.2,27174
2025-04-29,1794.1,1814.9,1767.9,1772.7,24785
2025-04-30,1767.0,1772.5,1694.0,1702.6,56180
2025-05-02,1702.6,1758.6,1675.7,1718.0,47942
2025-05-05,1718.1,1747.0,1684.1,1720.9,53942
2025-05-06,1723.9,1748.0,1690.0,1695.9,38633
2025-05-07,1655.0,1712.1,1651.5,1700.1,38438
2025-05-08,1712.0,1735.5,1666.0,1677.2,27730
2025-05-09,1622.7,1698.9,1622.7,1631.7,149913
2025-05-12,1670.3,1750.0,1670.3,1718.0,75840
2025-05-13,1701.0,1724.8,1688.5,1698.7,33220
2025-05-14,1710.5,1730.5,1685.2,1725.8,48237
2025-05-15,1734.0,1798.0,1724.5,1753.1,67123
2025-05-16,1770.0,1786.8,1758.9,1770.2,30080
2025-05-19,1780.5,1824.0,1769.8,1782.4,53554
2025-05-20,1785.2,1822.6,1743.3,1761.5,65313
2025-05-21,1756.0,1780.0,1745.0,1756.7,38142
2025-05-22,1756.7,1784.4,1753.1,1778.0,16983
2025-05-23,1790.5,1859.8,1762.1,1835.1,108831
2025-05-26,1845.0,1895.3,1844.2,1881.3,96257
2025-05-27,1895.0,1905.6,1874.6,1897.4,35597
2025-05-28,1895.0,1919.0,1880.2,1904.5,39073
2025-05-29,1904.6,1976.0,1895.8,1967.5,87150
2025-05-30,1979.9,1994.7,1913.2,1946.8,67118
2025-06-02,1946.8,1999.9,1927.6,1965.4,56776
2025-06-03,1972.0,2020.0,1940.9,1957.4,55661
2025-06-04,1978.0,1978.0,1928.7,1936.4,25993
2025-06-05,1946.0,1967.9,1935.3,1952.5,22947
2025-06-06,1950.2,1992.0,1936.1,1981.6,32089
2025-06-09,1978.0,2017.9,1973.6,2012.4,46628
2025-06-10,2019.8,2031.0,2000.8,2013.7,34585
2025-06-11,2010.0,2028.3,2005.7,2016.7,29309
2025-06-12,2016.0,2030.5,1981.0,1998.6,43010
2025-06-13,1940.0,2013.8,1940.0,1991.1,36824
2025-06-16,1962.0,1996.5,1937.4,1992.6,22579
2025-06-17,1996.0,2008.1,1935.0,1942.2,28248
2025-06-18,1945.0,1968.1,1925.0,1935.6,21472
2025-06-19,1940.0,1985.1,1927.6,1964.6,78409
2025-06-20,1965.0,2090.0,1907.1,2066.0,350738
2025-06-23,2057.9,2175.0,2050.0,2159.6,642353
2025-06-24,2170.0,2210.0,2134.3,2197.8,175225
2025-06-25,2204.9,2370.0,2171.7,2336.2,850521
2025-06-26,2342.0,2354.9,2261.1,2270.3,156599
