date,open,high,low,close,volume
2025-09-30,432.0,458.7,431.0,445.55,21291574
2025-10-01,445.0,466.8,445.0,451.75,5420031
2025-10-03,454.0,471.65,447.05,460.0,2806999
2025-10-06,461.8,462.9,448.0,450.7,1086849
2025-10-07,450.85,455.65,441.0,446.1,758856
2025-10-08,445.7,449.75,442.95,445.15,416377
2025-10-09,444.75,454.95,441.55,445.1,586027
2025-10-10,445.25,464.8,445.1,449.7,938593
2025-10-13,449.0,458.6,448.25,451.9,476710
2025-10-14,455.0,478.1,454.7,464.95,1870827
2025-10-15,470.05,471.5,460.0,465.65,674754
2025-10-16,469.4,497.9,467.25,487.45,2508533
2025-10-17,491.2,535.8,488.0,520.5,5175804
2025-10-20,515.0,518.95,496.0,503.45,1765890
2025-10-21,508.0,528.1,508.0,519.05,620385
2025-10-23,523.9,524.0,510.0,513.25,479433
2025-10-24,514.55,536.0,508.1,511.0,1327078
2025-10-27,512.0,514.0,500.5,503.45,874465
2025-10-28,506.0,529.9,504.4,522.45,1102937
2025-10-29,519.0,523.5,509.55,513.5,654412
2025-10-30,517.25,518.65,507.2,509.35,330171
2025-10-31,506.9,514.0,503.8,508.9,317482
2025-11-03,508.9,517.7,505.0,513.05,421612
2025-11-04,515.0,545.95,513.35,537.3,2107743
2025-11-06,540.0,555.05,528.0,539.3,1017673
2025-11-07,539.3,593.9,520.5,572.95,2809999
2025-11-10,575.0,619.0,568.7,600.75,2693403
2025-11-11,599.0,624.9,596.55,616.6,1111395
2025-11-12,621.85,663.95,621.0,651.5,2290587
2025-11-13,667.3,682.5,644.9,669.7,1667945
2025-11-14,673.05,738.0,673.05,733.4,3454442
2025-11-17,749.0,775.0,732.6,768.5,4064062
2025-11-18,775.0,794.85,765.0,773.95,2214712
2025-11-19,774.7,774.7,690.9,700.5,3100269
2025-11-20,695.0,749.9,695.0,745.1,2206225
2025-11-21,742.0,742.0,717.0,719.35,805009
2025-11-24,728.0,734.85,700.3,704.45,690070
2025-11-25,706.6,722.8,700.4,715.75,498124
2025-11-26,718.6,728.85,701.65,708.5,808463
2025-11-27,712.8,714.55,675.6,701.75,1007641
2025-11-28,702.5,717.05,691.0,694.0,603899
2025-12-01,696.8,698.15,657.95,661.2,769336
2025-12-02,661.0,669.3,643.35,648.2,801266
2025-12-03,650.0,655.0,630.0,633.65,676193
2025-12-04,631.05,645.95,621.0,624.2,484424
2025-12-05,623.05,625.8,600.5,604.25,725254
2025-12-08,605.0,627.4,605.0,611.35,906827
2025-12-09,611.05,621.0,593.0,613.05,721524
2025-12-10,617.9,618.05,588.15,591.25,550038
2025-12-11,591.8,612.5,575.75,601.0,790463
2025-12-12,606.0,607.5,595.0,600.4,314632
2025-12-15,599.8,610.95,595.05,599.05,333084
2025-12-16,597.55,601.7,585.1,591.9,247718
2025-12-17,589.3,591.45,565.0,569.45,502189
2025-12-18,569.45,597.3,565.5,583.15,907495
2025-12-19,585.0,597.9,568.0,590.1,1052891
2025-12-22,594.8,644.95,591.4,634.7,1859039
2025-12-23,644.4,673.45,637.0,660.5,2000617
2025-12-24,662.5,676.3,651.7,656.1,1043060
2025-12-26,657.0,657.9,624.0,629.3,827843
2025-12-29,631.8,631.8,609.2,615.05,478826
2025-12-30,612.1,638.95,607.75,636.95,834196
2025-12-31,637.6,648.0,627.35,630.1,568723
2026-01-01,630.7,636.5,621.5,632.7,318878
2026-01-02,634.0,659.85,634.0,656.45,1135765
2026-01-05,659.6,659.95,641.0,650.6,421878
2026-01-06,651.9,670.0,641.05,645.8,1065555
2026-01-07,647.45,674.0,644.1,666.1,1445874
2026-01-08,670.15,683.8,645.0,651.85,1344058
2026-01-09,650.0,650.0,621.3,627.15,776926
2026-01-12,627.0,627.0,600.7,611.45,620866
2026-01-13,619.8,636.65,617.4,634.0,567695
2026-01-14,637.0,639.6,623.55,632.7,523557
2026-01-16,655.0,714.3,641.1,652.5,8775358
2026-01-19,652.5,665.0,649.55,655.65,1009363
2026-01-20,659.0,659.0,600.0,603.65,1362584
2026-01-21,604.0,607.7,583.55,598.15,979688
2026-01-22,615.0,615.0,601.6,605.85,469678
2026-01-23,608.0,608.5,586.55,593.65,361025
2026-01-27,591.0,591.0,572.0,578.6,492397
2026-01-28,584.8,604.4,581.7,598.0,489158
2026-01-29,603.9,605.9,584.0,589.9,382740
2026-01-30,587.0,587.0,575.1,579.2,328283
2026-02-01,580.0,589.8,530.6,564.85,603875
2026-02-02,563.05,579.0,550.0,573.6,298798
2026-02-03,604.0,605.0,581.3,584.25,450559
2026-02-04,584.25,588.8,579.05,583.05,322762
2026-02-05,583.05,585.15,574.0,578.3,155432
2026-02-06,574.0,574.85,568.05,572.85,132960
2026-02-09,575.0,575.1,564.0,567.2,343428
2026-02-10,570.0,592.0,567.25,581.55,860386
2026-02-11,586.1,586.1,572.55,576.3,350039
2026-02-12,576.0,576.3,565.8,572.8,217552
2026-02-13,568.0,568.05,552.0,554.65,229815
2026-02-16,547.55,548.65,528.6,532.95,460145
2026-02-17,526.7,539.9,523.5,528.4,245711
2026-02-18,535.25,547.7,530.8,537.75,306410
2026-02-19,543.0,543.3,520.0,526.45,157469
2026-02-20,526.55,533.5,521.95,525.4,165338
2026-02-23,528.0,530.95,507.55,513.25,289377
2026-02-24,510.0,518.4,500.1,504.2,282151
2026-02-25,507.4,514.4,497.9,505.2,388406
2026-02-26,506.95,511.45,501.0,504.45,126186
2026-02-27,500.9,510.1,497.9,506.65,232498
2026-03-02,477.05,497.0,477.05,491.35,318957
2026-03-04,480.0,496.9,480.0,490.2,227509
2026-03-05,494.0,501.55,488.0,493.15,240015
2026-03-06,497.0,498.55,481.0,486.65,118794
2026-03-09,475.5,479.8,455.1,459.55,391002
2026-03-10,470.0,498.4,468.2,493.05,564782
2026-03-11,497.0,498.3,483.0,484.65,242525
2026-03-12,483.0,495.2,476.0,492.9,217546
2026-03-13,488.0,492.15,475.9,477.55,191466
2026-03-16,480.0,484.95,456.8,465.0,354671
2026-03-17,469.7,476.95,465.15,473.85,196133
2026-03-18,476.0,493.0,474.95,486.15,279856
2026-03-19,480.0,483.1,461.5,464.4,197975
2026-03-20,472.0,479.7,456.0,460.4,277203
2026-03-23,455.0,457.95,434.5,439.05,290070
2026-03-24,449.4,460.6,438.3,452.4,626806
2026-03-25,460.0,475.15,455.05,458.15,440142
2026-03-27,460.0,460.0,434.9,438.75,551093
2026-03-30,437.05,442.65,416.0,418.1,448031
2026-04-01,433.1,455.4,433.1,450.15,612677
2026-04-02,438.0,455.0,429.9,451.55,294803
2026-04-06,454.95,465.9,445.6,460.65,395208
2026-04-07,459.95,474.0,457.25,472.4,326793
