date,open,high,low,close,volume
2025-03-24,434.95,439.6,428.3,436.0,993252
2025-03-25,438.8,446.9,435.2,443.15,639555
2025-03-26,445.1,448.1,435.0,440.3,406915
2025-03-27,435.05,460.7,434.05,453.35,937018
2025-03-28,455.05,504.0,451.8,483.5,26484708
2025-04-01,479.45,492.2,473.55,479.55,1900617
2025-04-02,475.0,481.2,465.05,479.65,710770
2025-04-03,477.95,491.5,474.4,486.9,548116
2025-04-04,489.0,493.7,472.85,482.5,713001
2025-04-07,450.0,483.65,450.0,475.8,1319040
2025-04-08,481.25,493.8,477.0,481.2,750876
2025-04-09,479.2,499.6,477.5,492.75,1705787
2025-04-11,498.15,503.45,493.05,500.3,933050
2025-04-15,501.5,509.1,486.45,489.45,1225012
2025-04-16,498.0,503.45,493.25,500.3,770244
2025-04-17,500.0,509.9,497.3,499.5,547398
2025-04-21,503.8,506.5,498.1,503.1,401588
2025-04-22,502.15,515.75,500.25,512.4,530240
2025-04-23,514.9,514.9,503.3,505.85,353599
2025-04-24,500.1,514.95,500.1,508.9,588986
2025-04-25,513.0,515.5,492.2,505.25,696766
2025-04-28,501.7,518.75,500.55,513.05,721328
2025-04-29,515.0,519.85,508.3,511.9,287665
2025-04-30,511.0,511.15,500.45,504.95,1381230
2025-05-02,505.95,513.85,496.95,509.85,719516
2025-05-05,512.7,530.8,505.85,524.9,942968
2025-05-06,532.5,532.5,514.25,520.65,584640
2025-05-07,510.0,537.3,508.5,535.0,1232117
2025-05-08,537.5,547.5,525.0,532.8,1087070
2025-05-09,522.1,533.8,518.95,529.5,551615
2025-05-12,545.0,552.95,542.75,548.75,996044
2025-05-13,548.0,554.3,543.7,550.1,551271
2025-05-14,552.0,576.75,547.0,573.7,1132600
2025-05-15,573.8,609.5,571.4,581.45,2910329
2025-05-16,582.0,592.7,574.0,589.85,480783
2025-05-19,596.05,606.5,582.0,584.15,790081
2025-05-20,587.5,597.25,576.15,579.4,437347
2025-05-21,597.0,598.0,550.0,551.35,3087369
2025-05-22,554.0,572.5,549.4,569.8,1505254
2025-05-23,571.15,572.25,552.4,553.8,708784
2025-05-26,553.2,556.6,542.55,546.4,618332
2025-05-27,545.9,559.5,544.25,548.9,444932
2025-05-28,553.15,553.15,538.2,542.7,287857
2025-05-29,544.45,545.75,536.6,541.0,353728
2025-05-30,541.15,574.0,541.0,559.3,2520607
2025-06-02,563.85,563.9,542.0,553.1,722081
2025-06-03,555.0,557.75,548.0,552.15,262704
2025-06-04,554.3,589.95,552.5,582.85,3327904
2025-06-05,585.9,590.5,580.0,586.9,990273
2025-06-06,586.9,588.55,577.0,578.25,413164
2025-06-09,579.85,581.0,567.95,569.4,516340
2025-06-10,572.0,573.95,568.1,569.75,266217
2025-06-11,571.4,577.4,564.8,571.25,491111
2025-06-12,574.05,580.55,561.2,564.35,835216
2025-06-13,550.0,572.35,544.45,569.7,414289
2025-06-16,569.7,595.0,567.25,585.95,3644000
2025-06-17,586.05,587.7,564.0,567.85,980469
2025-06-18,566.95,573.9,560.55,569.7,465240
2025-06-19,568.15,572.9,562.6,571.4,781143
2025-06-20,574.0,575.4,550.7,558.8,2960148
2025-06-23,558.8,575.0,556.1,573.3,577837
2025-06-24,576.5,577.45,563.8,574.45,598426
2025-06-25,575.3,593.0,571.7,591.65,1266462
2025-06-26,594.6,606.6,591.55,596.0,1372727
2025-06-27,600.0,600.0,585.0,588.2,1127052
2025-06-30,594.0,604.0,588.15,596.05,724403
2025-07-01,599.0,599.0,586.0,589.7,350282
2025-07-02,594.8,602.95,585.0,593.2,790150
2025-07-03,595.5,675.0,595.45,650.05,22302659
2025-07-04,643.9,647.7,625.35,633.15,4439670
2025-07-07,633.9,638.7,608.85,621.85,1940754
2025-07-08,624.0,638.25,618.1,621.45,1889987
2025-07-09,622.0,623.45,606.0,610.0,750572
2025-07-10,609.95,613.95,594.4,599.9,1242347
2025-07-11,602.8,612.75,598.0,606.9,1021804
2025-07-14,606.9,609.95,598.05,599.85,722955
2025-07-15,601.15,617.95,594.8,598.55,1258034
2025-07-16,600.0,604.1,597.4,599.9,444822
2025-07-17,601.65,603.0,589.1,594.35,795128
2025-07-18,598.0,600.25,591.4,594.65,354601
2025-07-21,592.0,592.0,580.05,588.65,587092
2025-07-22,588.65,602.0,588.65,598.5,623980
2025-07-23,603.0,611.4,593.15,598.45,1733709
2025-07-24,602.95,602.95,592.3,595.05,499804
2025-07-25,592.95,596.55,577.6,582.4,805658
2025-07-28,581.1,589.25,572.1,576.35,765826
2025-07-29,576.0,593.15,575.0,591.5,372994
2025-07-30,591.9,598.8,587.0,592.75,339016
2025-07-31,584.6,617.85,581.0,604.9,2688715
2025-08-01,608.75,609.95,592.2,595.4,559309
2025-08-04,593.2,593.2,581.0,585.95,525966
2025-08-05,585.1,604.0,582.4,600.35,948586
