date,open,high,low,close,volume
2025-09-29,857.0,865.0,806.25,823.35,8410016
2025-09-30,823.0,829.5,782.1,792.65,1181551
2025-10-01,792.0,871.9,791.0,871.9,1923503
2025-10-03,894.95,928.0,851.0,911.45,3170073
2025-10-06,912.85,919.9,876.3,896.6,804951
2025-10-07,898.8,914.0,875.3,884.55,681761
2025-10-08,882.5,908.0,871.0,874.2,418637
2025-10-09,875.1,887.65,866.65,873.25,279334
2025-10-10,880.85,940.0,879.0,901.15,1246870
2025-10-13,925.0,991.25,921.0,991.25,1469846
2025-10-14,1018.0,1025.0,948.05,977.45,925840
2025-10-15,1005.0,1040.0,981.55,1030.2,813847
2025-10-16,1026.05,1057.0,1005.1,1042.8,580877
2025-10-17,1055.0,1065.0,995.9,1010.1,758991
2025-10-20,996.05,1029.7,982.1,1021.1,366033
2025-10-21,1030.95,1032.1,1020.0,1026.1,48583
2025-10-23,1038.6,1068.95,1014.05,1045.65,355816
2025-10-24,1044.9,1057.5,1017.0,1048.7,325837
2025-10-27,1044.9,1044.9,973.3,985.55,595909
2025-10-28,984.0,998.5,960.0,964.5,326445
2025-10-29,965.0,985.1,923.85,976.2,484345
2025-10-30,978.8,1000.45,956.5,976.2,221872
2025-10-31,972.05,1000.1,968.35,985.5,106072
2025-11-03,985.5,1040.0,971.0,1020.85,251677
2025-11-04,1019.0,1019.85,996.05,1003.05,131444
2025-11-06,993.05,1015.1,990.0,998.05,163453
2025-11-07,990.0,1097.85,978.1,1079.9,571476
2025-11-10,1083.95,1090.0,971.95,972.6,576908
2025-11-11,964.05,987.6,928.35,973.2,433881
2025-11-12,940.0,1031.0,935.8,1011.3,584818
2025-11-13,1025.0,1030.9,951.0,978.75,136917
2025-11-14,984.0,1019.0,948.15,965.95,211444
2025-11-17,976.0,988.0,960.5,981.65,92102
2025-11-18,980.0,983.0,950.0,955.4,94210
2025-11-19,958.75,969.65,910.0,923.3,208058
2025-11-20,925.8,985.0,924.95,965.95,228959
2025-11-21,965.95,975.6,947.1,968.6,142758
2025-11-24,963.0,970.5,945.65,966.45,191423
2025-11-25,970.0,1000.3,961.45,972.95,137806
2025-11-26,979.0,979.0,958.0,966.05,68907
2025-11-27,985.0,985.0,950.0,956.4,45219
2025-11-28,967.4,967.4,939.95,944.6,38102
2025-12-01,953.0,953.0,916.35,919.3,52600
2025-12-02,924.75,924.75,867.4,912.7,213692
2025-12-03,915.0,915.0,891.0,901.5,82884
2025-12-04,896.0,900.05,831.0,892.05,239309
2025-12-05,890.0,897.55,867.5,871.25,32479
2025-12-08,871.25,875.9,825.0,828.0,147514
2025-12-09,820.1,872.0,814.0,863.9,84169
2025-12-10,868.2,880.2,853.0,871.6,181239
2025-12-11,867.0,900.0,858.5,873.75,82239
2025-12-12,878.7,948.7,869.0,925.05,132254
2025-12-15,924.95,926.7,896.2,901.2,45465
2025-12-16,901.2,936.0,899.65,911.4,77042
2025-12-17,903.0,936.0,899.05,930.8,67508
2025-12-18,931.0,985.0,922.25,951.05,223014
2025-12-19,951.05,974.25,935.5,953.35,109299
2025-12-22,994.65,994.65,920.15,928.65,133831
2025-12-23,933.9,945.75,916.2,920.75,46981
2025-12-24,915.0,943.95,914.85,940.55,71156
2025-12-26,940.1,945.95,930.0,940.45,38303
2025-12-29,949.0,949.0,905.9,910.5,49738
2025-12-30,909.5,918.6,881.0,888.25,51880
2025-12-31,891.05,909.4,875.0,879.4,104624
2026-01-01,897.0,904.05,867.0,893.9,263828
2026-01-02,909.95,945.0,894.4,907.35,117260
2026-01-05,920.0,920.0,879.0,886.8,64222
2026-01-06,890.0,903.9,876.2,887.6,62260
2026-01-07,885.0,887.0,872.0,874.8,39305
2026-01-08,881.0,887.0,850.0,868.85,210828
2026-01-09,851.6,865.75,818.35,822.8,75043
2026-01-12,825.95,825.95,788.65,805.0,64624
2026-01-13,807.95,825.0,801.1,819.55,45935
2026-01-14,828.9,828.9,806.0,808.95,19030
2026-01-16,808.95,825.2,807.0,818.7,32010
2026-01-19,818.0,893.8,809.1,837.1,626679
2026-01-20,844.8,879.75,768.5,777.6,859892
2026-01-21,781.4,795.15,747.0,751.6,449815
2026-01-22,773.0,774.0,740.0,744.25,82580
2026-01-23,745.0,745.05,715.1,728.3,114737
2026-01-27,730.95,735.8,707.6,726.3,71560
2026-01-28,726.35,740.25,709.05,727.3,141985
2026-01-29,730.0,760.0,730.0,754.95,80329
2026-01-30,775.0,777.0,747.0,756.1,111585
2026-02-01,756.25,778.0,710.0,716.3,80877
2026-02-02,722.0,750.05,715.05,732.45,142964
2026-02-03,768.95,805.65,751.05,805.65,132911
2026-02-04,819.7,850.0,813.25,830.3,175120
2026-02-05,827.4,827.4,798.45,807.55,74465
2026-02-06,807.0,830.0,794.0,813.65,63893
