date,open,high,low,close,volume
2025-03-24,624.9,646.35,622.55,641.2,191200
2025-03-25,649.95,653.65,630.0,639.95,71406
2025-03-26,635.0,649.05,621.25,635.7,249965
2025-03-27,634.0,666.0,630.1,651.85,991953
2025-03-28,654.0,664.0,641.85,662.6,136269
2025-04-01,662.6,665.0,637.0,655.0,74491
2025-04-02,656.0,685.7,643.65,671.55,94252
2025-04-03,670.0,675.0,662.15,671.9,108985
2025-04-04,677.0,677.0,637.65,645.5,114988
2025-04-07,570.0,632.0,568.45,614.1,191373
2025-04-08,630.0,645.0,625.3,634.3,107060
2025-04-09,643.8,643.8,614.0,623.05,61838
2025-04-11,638.0,640.0,626.15,634.35,42734
2025-04-15,647.05,657.5,637.8,648.5,142595
2025-04-16,651.0,659.9,643.85,656.5,99818
2025-04-17,660.0,663.55,636.6,641.8,263670
2025-04-21,649.95,662.0,642.6,658.05,96472
2025-04-22,658.0,690.0,654.55,678.75,355054
2025-04-23,681.0,699.5,663.5,670.4,153476
2025-04-24,673.5,677.65,659.35,665.6,48955
2025-04-25,670.0,675.85,638.65,659.7,115032
2025-04-28,660.0,670.7,638.7,648.65,290427
2025-04-29,648.65,658.3,633.0,642.45,124155
2025-04-30,645.0,653.25,635.5,640.75,106361
2025-05-02,640.6,660.0,631.6,635.3,76353
2025-05-05,637.3,641.6,623.05,625.65,66553
2025-05-06,625.2,629.25,604.15,613.2,118640
2025-05-07,605.0,614.0,596.15,609.15,79923
2025-05-08,609.0,624.0,593.35,601.35,103091
2025-05-09,600.0,604.0,585.0,597.7,53916
2025-05-12,620.0,623.6,607.1,615.9,134915
2025-05-13,613.0,632.0,610.5,623.05,159183
2025-05-14,626.9,628.2,616.8,621.05,159174
2025-05-15,624.0,632.0,615.05,619.4,384122
2025-05-16,626.9,628.9,619.25,625.4,181720
2025-05-19,634.0,669.35,617.6,651.3,721485
2025-05-20,655.85,659.0,633.1,650.9,280370
2025-05-21,649.5,668.05,643.45,654.8,140160
2025-05-22,653.9,654.6,640.2,648.9,44395
2025-05-23,642.4,660.0,639.0,647.95,165616
2025-05-26,657.95,675.0,642.3,661.95,810306
2025-05-27,666.0,674.9,650.9,662.75,1036159
2025-05-28,663.0,666.0,631.2,634.8,566897
2025-05-29,637.0,648.5,627.05,634.0,254425
2025-05-30,640.0,647.0,631.5,644.6,190651
2025-06-02,650.0,662.9,642.15,654.35,202209
2025-06-03,654.9,691.0,652.8,676.1,444240
2025-06-04,682.0,683.45,652.1,655.15,105117
2025-06-05,655.0,714.9,654.95,684.55,550382
2025-06-06,704.0,718.95,688.5,691.75,970772
2025-06-09,695.15,711.95,691.0,694.2,317476
2025-06-10,697.7,699.15,686.0,692.05,149613
2025-06-11,692.05,692.75,665.55,667.3,231426
2025-06-12,669.9,677.2,655.55,657.75,191658
2025-06-13,645.05,656.65,641.0,643.7,199021
2025-06-16,645.45,685.55,637.2,679.75,460485
2025-06-17,683.1,696.0,650.3,659.9,945058
2025-06-18,665.0,668.9,656.1,661.65,90941
2025-06-19,663.9,663.9,642.6,645.05,157231
2025-06-20,648.7,662.8,642.0,655.75,114454
2025-06-23,651.55,669.2,644.2,664.4,153841
