date,open,high,low,close,volume
2025-03-24,145.21,148.24,145.21,147.37,7046431
2025-03-25,150.13,150.76,146.67,147.78,10382565
2025-03-26,147.55,152.5,146.96,148.56,11538095
2025-03-27,147.0,149.45,146.0,148.02,7578843
2025-03-28,148.25,151.44,145.34,146.28,9199096
2025-04-01,146.1,150.67,144.6,149.48,5940678
2025-04-02,149.25,151.89,146.95,151.53,4921586
2025-04-03,150.0,157.6,149.71,156.6,8993065
2025-04-04,157.5,157.89,151.51,153.05,10702221
2025-04-07,145.01,146.88,141.5,144.96,8015769
2025-04-08,148.0,150.99,148.0,150.0,5022455
2025-04-09,153.5,153.5,143.28,146.86,8752215
2025-04-11,150.0,150.6,148.01,149.68,4225688
2025-04-15,152.0,154.54,150.55,154.07,4280618
2025-04-16,154.6,159.29,154.07,158.41,13568380
2025-04-17,158.41,159.95,157.51,158.79,6713315
2025-04-21,159.35,168.68,159.09,167.94,19552485
2025-04-22,167.94,171.5,165.75,168.54,12272511
2025-04-23,169.1,171.7,166.25,170.59,11183261
2025-04-24,169.98,172.1,169.05,170.73,6493362
2025-04-25,170.73,171.76,163.52,165.45,7861418
2025-04-28,164.86,166.86,161.76,164.26,10358436
2025-04-29,165.5,171.84,165.5,167.9,15769341
2025-04-30,167.5,167.84,163.53,165.62,8904205
2025-05-02,168.6,173.43,161.15,161.74,25789799
2025-05-05,162.01,165.9,161.31,164.4,8016634
2025-05-06,164.1,166.0,157.05,157.45,8251307
2025-05-07,155.0,159.97,155.0,159.56,6481234
2025-05-08,159.66,162.83,156.05,157.19,4495588
2025-05-09,154.0,157.95,153.43,156.26,10881017
2025-05-12,162.2,165.74,161.7,163.57,7893504
2025-05-13,164.05,165.68,162.02,162.38,3972042
2025-05-14,163.2,167.8,161.75,167.03,10475557
2025-05-15,168.2,169.3,166.53,168.99,7825261
2025-05-16,168.9,170.89,168.25,170.09,4096530
2025-05-19,170.09,173.2,169.34,170.55,5815769
2025-05-20,171.0,171.58,164.31,164.9,5860707
2025-05-21,165.99,168.6,163.3,168.22,8270110
2025-05-22,167.06,167.99,164.35,165.6,7183714
2025-05-23,166.4,166.45,164.43,165.46,3239902
2025-05-26,165.65,166.68,164.4,165.62,3139994
2025-05-27,166.1,170.75,166.1,168.95,10601018
2025-05-28,169.0,171.2,168.58,169.21,4767092
2025-05-29,170.04,171.9,168.58,170.93,5050916
2025-05-30,170.93,171.92,167.1,170.19,6012565
2025-06-02,170.54,175.21,169.53,172.75,8629680
2025-06-03,173.75,173.95,169.5,170.02,3690601
2025-06-04,169.9,169.95,166.31,169.02,4872596
2025-06-05,169.8,170.65,166.52,166.86,6421997
2025-06-06,167.05,174.23,166.41,173.55,15836205
2025-06-09,175.3,187.46,174.98,186.24,46611797
2025-06-10,186.1,186.1,180.61,181.09,8751699
2025-06-11,181.23,182.88,179.25,182.47,11857062
2025-06-12,182.47,183.6,176.87,177.68,5124659
2025-06-13,172.5,176.89,172.5,175.19,9236889
2025-06-16,175.15,178.81,172.0,178.46,7843085
2025-06-17,178.32,179.9,174.25,175.01,3903084
2025-06-18,175.99,181.67,175.57,180.75,17600866
2025-06-19,180.67,180.77,177.0,178.25,8791149
2025-06-20,177.5,181.2,177.5,180.05,3887013
2025-06-23,178.0,180.85,177.44,180.21,6433296
2025-06-24,181.51,183.0,179.47,180.22,5708164
2025-06-25,179.9,183.1,179.85,181.99,6630845
2025-06-26,182.0,185.72,181.51,185.06,9133245
2025-06-27,185.02,187.29,183.6,185.61,10460222
2025-06-30,186.01,192.48,185.31,189.64,11427314
2025-07-01,190.03,190.51,185.68,187.19,8174988
2025-07-02,190.25,190.9,187.09,187.88,11547245
2025-07-03,187.6,188.33,183.04,183.93,7741469
2025-07-04,180.5,182.44,176.63,179.98,13448770
2025-07-07,179.5,180.45,177.01,177.49,3902222
2025-07-08,177.55,178.25,173.8,174.7,6386907
2025-07-09,175.4,178.5,175.0,178.02,6343187
2025-07-10,178.05,179.17,177.07,178.26,5182308
2025-07-11,178.24,179.7,174.85,175.59,3536016
2025-07-14,175.0,177.14,174.38,175.14,2551186
2025-07-15,175.26,182.0,175.26,180.15,15063755
2025-07-16,179.5,184.25,179.06,183.68,14744475
2025-07-17,183.68,185.9,182.4,185.19,6528616
2025-07-18,184.64,188.15,183.88,187.02,12486141
2025-07-21,180.9,184.23,178.7,182.25,16865012
2025-07-22,182.3,183.0,178.5,180.94,6625459
2025-07-23,181.3,181.79,179.65,181.43,2988640
2025-07-24,182.0,184.63,181.2,184.15,6995100
2025-07-25,183.0,183.84,176.7,178.19,14316713
2025-07-28,178.18,178.97,174.31,175.03,7153824
2025-07-29,175.0,176.75,172.3,173.44,6143547
2025-07-30,174.23,174.23,167.85,168.27,5407714
2025-07-31,167.2,169.71,166.42,168.08,7725352
2025-08-01,168.0,168.58,163.0,163.42,3579216
2025-08-04,164.06,168.65,163.1,168.03,5156068
2025-08-05,168.03,168.89,164.78,165.89,3028618
2025-08-06,166.75,166.8,163.91,164.54,4382033
2025-08-07,163.5,166.74,162.25,166.13,4101164
2025-08-08,166.15,168.98,164.7,165.19,3904095
2025-08-11,165.24,166.69,163.9,166.06,2123286
