date,open,high,low,close,volume
2025-03-24,360.0,383.05,360.0,374.45,172364
2025-03-25,384.0,395.0,368.05,372.25,180911
2025-03-26,372.25,379.65,360.5,364.8,77649
2025-03-27,363.0,395.9,349.35,380.85,291466
2025-03-28,382.0,393.0,370.55,387.15,111449
2025-04-01,377.25,386.2,370.55,378.05,99913
2025-04-02,379.9,383.15,371.2,375.25,41758
2025-04-03,372.0,380.0,365.0,377.9,26953
2025-04-04,380.0,380.0,356.25,360.0,55875
2025-04-07,340.0,349.55,331.0,344.65,114802
2025-04-08,350.65,353.0,344.2,347.5,64781
2025-04-09,348.9,348.9,333.0,337.75,64048
2025-04-11,349.0,354.0,345.3,349.75,51489
2025-04-15,364.35,364.95,352.4,362.95,48398
2025-04-16,365.0,368.0,361.1,364.3,45906
2025-04-17,362.1,367.2,350.2,354.25,108266
2025-04-21,354.0,369.75,351.55,366.55,187122
2025-04-22,369.3,377.25,363.9,373.05,308291
2025-04-23,375.7,377.25,365.5,372.25,61803
2025-04-24,368.45,378.0,366.55,374.0,45717
2025-04-25,374.0,396.0,363.1,366.0,161315
2025-04-28,366.0,377.95,361.0,371.8,69172
2025-04-29,369.5,375.45,366.15,367.45,30955
2025-04-30,369.6,373.85,353.3,357.55,74486
2025-05-02,357.55,363.0,355.0,358.6,31296
2025-05-05,364.0,364.5,353.0,362.3,31802
2025-05-06,362.3,365.0,351.0,352.8,36781
2025-05-07,341.0,355.2,341.0,352.9,29327
2025-05-08,359.0,362.0,351.2,354.7,102315
2025-05-09,340.0,353.0,340.0,351.65,86928
2025-05-12,358.0,373.0,358.0,370.75,53528
2025-05-13,374.95,375.75,363.0,364.8,100950
2025-05-14,369.0,400.0,369.0,390.8,178276
2025-05-15,393.05,399.95,388.45,392.45,61653
2025-05-16,395.4,405.0,390.95,396.6,54288
2025-05-19,398.55,408.8,398.55,402.6,93078
2025-05-20,409.85,420.0,391.25,393.55,450957
2025-05-21,396.7,399.2,380.05,383.55,89557
2025-05-22,381.0,382.5,368.0,369.85,103216
2025-05-23,370.1,374.95,361.0,363.0,103938
2025-05-26,364.0,367.3,360.25,362.15,68534
2025-05-27,362.15,366.35,361.0,365.4,43690
2025-05-28,365.0,369.9,360.1,361.5,53272
2025-05-29,364.75,364.75,358.0,360.3,37048
2025-05-30,365.0,365.0,355.5,362.55,69024
2025-06-02,362.55,363.05,357.5,358.2,41432
2025-06-03,358.2,361.8,349.1,350.75,100490
2025-06-04,359.7,361.9,353.3,360.55,100881
2025-06-05,360.55,369.9,360.55,368.4,136098
2025-06-06,369.95,382.95,366.05,378.75,196377
2025-06-09,383.1,386.9,372.95,385.5,121253
2025-06-10,387.0,391.3,384.05,386.95,75929
2025-06-11,392.75,406.45,387.5,394.95,481083
2025-06-12,398.7,402.0,383.1,386.6,631970
2025-06-13,381.0,392.5,378.0,381.4,140156
2025-06-16,376.0,384.55,376.0,382.05,125093
2025-06-17,390.55,390.55,368.0,371.15,183539
2025-06-18,372.95,382.45,364.5,375.8,141601
2025-06-19,370.7,377.85,368.3,372.75,90091
2025-06-20,380.0,384.05,373.0,381.6,213623
2025-06-23,381.0,389.9,377.15,387.8,110508
2025-06-24,394.0,395.0,384.15,388.7,113677
2025-06-25,390.6,392.95,386.5,387.9,56926
2025-06-26,388.55,390.45,384.1,385.75,60536
2025-06-27,384.0,391.95,382.55,390.45,208872
2025-06-30,390.5,395.95,388.6,390.5,133282
2025-07-01,390.5,394.95,387.5,388.95,102113
2025-07-02,392.7,393.95,387.1,388.55,151610
2025-07-03,389.95,390.1,380.05,381.3,77252
2025-07-04,381.05,389.0,379.85,382.9,84581
2025-07-07,382.9,388.0,381.0,384.95,251502
2025-07-08,386.75,388.0,382.6,384.65,35349
2025-07-09,382.5,387.9,379.05,385.4,56159
2025-07-10,388.0,393.5,385.55,391.8,136216
2025-07-11,394.0,409.8,392.8,405.65,418823
2025-07-14,411.05,422.85,409.0,412.0,484161
2025-07-15,413.8,417.7,406.1,408.65,201862
2025-07-16,412.0,413.45,406.6,410.7,104083
2025-07-17,410.05,422.0,407.0,415.9,341263
2025-07-18,417.05,422.7,410.3,418.0,227888
2025-07-21,422.0,429.5,414.1,417.3,397131
2025-07-22,427.1,434.3,405.2,408.4,298530
2025-07-23,411.0,412.5,392.7,393.9,624162
2025-07-24,396.0,417.9,387.45,409.9,205754
2025-07-25,409.75,423.45,403.5,409.75,286980
2025-07-28,402.0,418.5,402.0,413.1,136139
2025-07-29,415.95,415.95,408.0,410.15,80936
2025-07-30,410.15,412.85,404.15,405.75,40464
2025-07-31,393.05,404.0,393.05,396.7,60722
2025-08-01,393.5,405.0,389.05,390.95,36792
2025-08-04,390.95,394.3,377.0,381.4,94475
2025-08-05,380.05,386.75,373.0,374.6,83951
2025-08-06,375.6,381.0,370.4,377.85,54163
2025-08-07,371.05,377.5,366.1,369.05,71788
2025-08-08,369.05,371.3,361.0,367.0,47445
2025-08-11,367.0,368.8,358.8,365.35,66343
2025-08-12,369.5,369.5,363.5,366.75,36835
2025-08-13,364.05,373.9,364.05,370.45,47290
2025-08-14,370.45,376.6,363.1,367.6,27995
2025-08-18,370.6,374.8,365.5,367.65,51384
2025-08-19,369.6,379.05,368.3,374.95,40779
2025-08-20,377.45,380.2,374.7,376.8,31126
2025-08-21,378.65,379.8,371.0,372.8,29455
2025-08-22,372.7,376.0,370.2,371.3,22805
2025-08-25,374.0,374.0,362.3,365.35,45866
2025-08-26,365.9,367.65,360.2,361.65,21191
2025-08-28,361.0,366.95,360.0,362.3,18783
2025-08-29,360.0,363.95,355.0,356.6,53187
2025-09-01,358.0,363.0,349.75,360.4,106072
2025-09-02,361.0,368.0,359.55,363.0,34200
2025-09-03,361.45,371.9,361.45,369.0,33893
2025-09-04,371.7,374.0,362.85,364.55,20696
