date,open,high,low,close,volume
2025-10-01,76.11,76.11,72.31,72.31,1451832
2025-10-03,68.69,68.69,68.69,68.69,262947
2025-10-06,65.25,66.65,65.25,65.25,1218253
2025-10-07,61.98,61.98,61.98,61.98,212378
2025-10-08,58.88,61.48,58.88,59.11,2668963
2025-10-09,57.39,58.88,56.15,56.31,806756
2025-10-10,56.15,59.13,54.35,59.13,700476
2025-10-13,60.5,62.07,59.42,62.07,324467
2025-10-14,62.89,64.31,59.06,59.47,468852
2025-10-15,59.46,61.92,57.13,59.53,205597
2025-10-16,60.46,62.45,59.23,59.63,438290
2025-10-17,60.21,60.21,57.62,58.59,277368
2025-10-20,58.6,59.52,57.2,57.93,208564
2025-10-21,58.04,59.54,58.04,59.14,117905
2025-10-23,59.14,59.72,58.45,58.58,255385
2025-10-24,58.87,59.53,58.5,59.28,240280
2025-10-27,59.56,60.75,59.56,59.91,396898
2025-10-28,60.19,68.72,59.68,65.53,4022428
2025-10-29,64.91,67.86,63.44,64.54,886802
2025-10-30,64.54,64.56,63.05,63.49,454390
2025-10-31,63.91,65.36,63.14,64.42,436597
2025-11-03,63.14,68.21,63.14,67.58,1100375
2025-11-04,65.19,69.38,65.19,67.58,641551
2025-11-06,67.79,68.2,64.61,65.41,320089
2025-11-07,64.89,65.65,63.95,65.11,248187
2025-11-10,66.36,67.23,64.06,65.59,507240
2025-11-11,65.59,66.26,64.01,64.91,300918
2025-11-12,65.37,65.37,63.82,64.07,208920
2025-11-13,63.58,69.09,63.58,66.73,937571
2025-11-14,66.36,68.67,66.36,68.02,560754
2025-11-17,68.02,70.83,66.55,69.69,1064175
2025-11-18,70.37,71.24,68.9,70.42,586808
2025-11-19,70.26,71.24,66.0,69.72,1132159
2025-11-20,70.45,71.43,67.33,69.58,403977
2025-11-21,69.21,70.04,67.74,68.66,270134
2025-11-24,67.97,68.31,65.48,65.78,298700
2025-11-25,65.39,66.83,63.58,63.89,284483
2025-11-26,63.89,64.4,62.76,63.14,305362
2025-11-27,64.11,64.46,62.94,63.46,179300
2025-11-28,63.48,63.95,61.82,63.2,335499
2025-12-01,63.2,63.2,60.5,61.08,207853
2025-12-02,61.08,61.08,59.5,59.78,181872
2025-12-03,59.18,59.87,58.65,58.96,186381
2025-12-04,58.79,60.35,57.69,59.35,233011
2025-12-05,59.82,59.82,58.06,58.41,188196
2025-12-08,57.87,61.96,56.11,58.38,3664442
2025-12-09,59.33,60.99,56.6,60.03,938453
2025-12-10,60.89,61.47,58.46,59.88,497477
2025-12-11,59.87,59.87,58.45,59.15,163814
2025-12-12,59.43,59.72,58.54,58.79,163552
2025-12-15,58.74,59.16,58.12,58.42,169815
2025-12-16,58.75,59.53,57.96,58.73,130109
2025-12-17,58.84,58.84,57.13,57.49,130739
2025-12-18,57.67,58.24,56.7,56.96,155267
2025-12-19,56.62,57.28,56.6,57.13,140242
2025-12-22,56.89,57.54,56.89,57.25,104665
2025-12-23,57.25,59.31,56.83,57.11,256327
2025-12-24,56.73,57.33,56.73,56.88,97663
2025-12-26,56.88,57.57,56.48,57.15,190894
2025-12-29,56.84,58.55,56.11,56.33,124296
2025-12-30,56.6,56.6,55.62,55.91,108712
2025-12-31,55.13,56.07,54.74,55.09,207746
2026-01-01,54.75,57.28,54.75,56.65,372148
2026-01-02,56.99,56.99,55.88,56.13,126568
2026-01-05,55.72,55.86,55.14,55.16,123565
2026-01-06,54.67,55.19,54.45,54.7,117361
2026-01-07,54.7,55.24,54.7,54.86,76708
2026-01-08,54.65,54.93,53.48,53.71,201782
2026-01-09,53.71,53.71,52.5,52.78,144796
2026-01-12,52.68,52.73,48.9,50.05,334898
2026-01-13,49.82,51.04,48.81,49.51,160765
2026-01-14,49.51,51.37,49.51,50.52,149421
2026-01-16,50.73,50.74,49.38,49.88,259386
2026-01-19,49.77,54.55,49.19,53.27,789278
2026-01-20,53.67,53.68,52.36,53.49,185437
2026-01-21,52.99,54.64,52.27,54.16,175868
2026-01-22,54.16,56.59,54.06,56.14,258843
2026-01-23,56.02,56.16,54.89,55.27,140251
2026-01-27,55.27,55.27,54.1,54.31,97284
2026-01-28,54.15,54.76,52.69,52.99,79830
2026-01-29,52.71,54.0,51.78,52.29,152943
2026-01-30,52.03,52.89,51.61,52.34,100321
2026-02-01,52.01,52.98,52.01,52.68,73313
2026-02-02,52.04,54.14,51.52,53.76,142374
2026-02-03,54.89,59.03,52.87,57.84,553675
2026-02-04,57.84,58.55,55.63,57.24,169124
2026-02-05,57.48,59.14,57.48,58.04,154859
2026-02-06,58.17,58.74,56.61,58.49,380153
2026-02-09,59.02,61.21,58.66,60.55,499671
2026-02-10,60.4,60.94,58.25,58.97,211332
2026-02-11,58.5,59.85,57.08,58.21,233232
2026-02-12,57.35,58.66,56.5,57.57,88403
2026-02-13,57.25,58.33,56.6,58.02,107765
2026-02-16,56.61,57.99,56.61,57.49,63718
2026-02-17,57.49,63.5,57.41,59.24,683252
2026-02-18,61.5,61.5,58.2,58.79,82670
2026-02-19,58.0,59.4,57.81,58.76,894121
2026-02-20,58.76,60.23,58.16,59.09,157238
2026-02-23,59.85,60.92,58.56,60.0,279544
2026-02-24,60.0,61.8,59.4,60.39,508870
2026-02-25,60.39,62.5,59.53,60.37,585815
2026-02-26,61.8,62.4,59.61,61.68,616274
2026-02-27,61.68,63.42,61.2,61.91,426011
2026-03-02,57.92,59.68,57.78,58.53,213800
2026-03-04,57.5,58.18,55.75,56.97,185896
2026-03-05,57.8,58.19,56.9,57.41,99128
2026-03-06,57.69,57.69,56.2,56.3,103273
2026-03-09,55.25,56.55,54.01,55.02,148387
2026-03-10,55.6,60.0,55.02,56.75,669601
2026-03-11,57.61,57.8,56.1,56.77,134667
2026-03-12,56.49,58.11,55.86,57.43,125885
2026-03-13,57.02,63.0,56.1,60.85,1612881
2026-03-16,60.79,62.25,58.5,60.58,348578
2026-03-17,59.7,60.53,59.21,59.85,114502
2026-03-18,59.29,60.55,59.29,59.69,101195
2026-03-19,59.29,60.0,58.1,59.25,88055
2026-03-20,59.94,59.94,58.01,58.24,76259
2026-03-23,58.01,58.01,53.12,54.71,124921
2026-03-24,56.0,56.51,54.11,54.41,159759
2026-03-25,54.45,55.89,53.8,53.98,190834
2026-03-27,53.0,53.79,50.5,51.17,371530
2026-03-30,50.1,50.1,48.0,48.67,385181
2026-04-01,49.5,53.14,49.5,51.97,162286
2026-04-02,51.8,54.19,50.4,53.07,117629
2026-04-06,54.64,54.64,52.2,53.0,79217
2026-04-07,53.36,55.43,52.64,54.44,134055
2026-04-08,55.56,59.6,55.0,58.34,330063
2026-04-09,58.34,59.39,57.01,57.47,89264
2026-04-10,57.48,58.63,57.05,57.96,134268
2026-04-13,56.51,58.5,56.25,58.1,114992
2026-04-15,58.5,60.0,58.35,59.19,191284
2026-04-16,60.0,60.83,59.1,59.58,135596
2026-04-17,61.0,61.62,59.15,61.12,232896
2026-04-20,61.5,61.5,58.75,59.18,99771
2026-04-21,60.4,60.4,58.5,59.08,50051
2026-04-22,59.08,67.68,57.5,65.63,1172866
2026-04-23,65.98,67.51,63.1,65.46,293510
2026-04-24,64.48,66.01,63.54,64.01,86032
