date,open,high,low,close,volume
2025-03-24,140.01,141.78,138.05,138.54,1274983
2025-03-25,140.0,141.56,133.15,134.03,1134844
2025-03-26,134.45,135.09,128.7,129.44,1298446
2025-03-27,130.0,134.91,128.94,132.97,2286384
2025-03-28,134.5,136.86,129.15,129.72,1213961
2025-04-01,129.0,135.49,128.8,134.64,884308
2025-04-02,134.64,139.2,130.61,136.43,1195829
2025-04-03,134.9,141.68,134.5,140.57,1779937
2025-04-04,138.1,140.75,129.0,130.93,1581408
2025-04-07,117.51,125.5,117.5,124.42,1380609
2025-04-08,127.0,128.5,124.16,126.93,751081
2025-04-09,126.39,127.99,122.27,123.86,642971
2025-04-11,127.5,128.3,125.76,126.91,601262
2025-04-15,129.3,133.25,128.61,132.39,995931
2025-04-16,132.5,135.59,131.9,134.61,898535
2025-04-17,134.61,137.27,134.4,135.57,949005
2025-04-21,136.5,139.25,135.5,137.8,1099662
2025-04-22,138.0,141.46,136.27,140.1,1443654
2025-04-23,141.25,142.39,136.2,140.52,926946
2025-04-24,140.37,142.45,138.15,138.85,1093942
2025-04-25,139.19,139.97,132.2,134.55,968621
2025-04-28,134.55,135.38,132.11,133.41,579562
2025-04-29,134.15,136.89,132.4,132.79,522589
2025-04-30,132.1,132.63,128.2,129.06,556458
2025-05-02,129.57,132.2,128.1,130.38,729275
2025-05-05,131.0,133.9,130.08,132.72,740814
2025-05-06,130.1,131.0,124.0,124.89,1707894
2025-05-07,123.87,128.55,123.61,127.65,982944
2025-05-08,127.81,131.5,125.76,127.21,1086448
2025-05-09,124.88,127.42,122.32,126.81,810764
2025-05-12,129.4,135.0,129.4,134.43,1010406
2025-05-13,133.55,137.1,133.55,135.64,849190
2025-05-14,135.65,138.49,135.5,137.46,668155
2025-05-15,138.0,139.38,137.02,138.45,664271
2025-05-16,138.45,144.0,137.81,143.57,2207696
2025-05-19,144.88,148.88,144.21,146.41,2253440
2025-05-20,147.0,152.8,144.05,145.09,3143082
2025-05-21,145.09,149.6,143.09,148.67,1371098
2025-05-22,148.3,149.9,144.73,146.62,906594
2025-05-23,147.0,152.7,145.0,150.9,2145249
2025-05-26,152.0,153.5,149.6,150.94,1764337
2025-05-27,150.99,152.77,149.42,151.81,903346
2025-05-28,151.1,157.0,151.1,154.52,2367773
2025-05-29,154.55,155.6,152.21,152.69,624804
2025-05-30,152.9,155.6,149.2,154.41,1462517
2025-06-02,153.81,155.62,151.45,152.0,738157
2025-06-03,152.3,159.0,152.3,153.18,1636796
2025-06-04,153.5,156.9,150.3,154.93,1052975
2025-06-05,155.5,157.99,153.65,154.49,1457142
2025-06-06,154.0,154.34,152.48,153.1,695682
2025-06-09,154.25,156.96,153.54,155.27,778539
2025-06-10,156.0,156.5,153.22,153.6,547345
2025-06-11,154.0,164.5,153.71,161.77,5473267
2025-06-12,162.5,162.59,154.53,155.47,1670760
2025-06-13,151.0,154.5,150.25,152.7,1042070
2025-06-16,153.04,155.97,149.8,154.36,1015844
2025-06-17,154.39,155.89,150.31,151.06,565231
2025-06-18,151.7,154.03,150.01,151.51,570426
2025-06-19,151.75,152.85,145.05,145.95,871031
2025-06-20,145.5,147.95,144.55,146.69,672450
2025-06-23,145.0,148.75,145.0,147.39,651192
2025-06-24,149.11,151.56,148.3,148.87,847903
2025-06-25,149.95,155.88,149.51,155.27,1267325
2025-06-26,155.15,158.25,154.4,157.16,1104297
2025-06-27,157.98,163.88,157.29,162.75,3396898
2025-06-30,164.0,168.0,163.7,167.1,2572471
2025-07-01,167.85,172.8,167.0,168.6,2684168
2025-07-02,168.99,169.49,165.11,168.02,1278895
2025-07-03,168.29,169.08,166.1,167.12,882505
2025-07-04,167.15,169.67,166.1,167.56,704386
2025-07-07,167.56,170.5,163.4,164.23,801661
2025-07-08,164.64,169.0,163.32,165.25,1224459
2025-07-09,165.69,166.84,163.0,164.51,537135
2025-07-10,164.48,166.34,162.4,163.0,682536
2025-07-11,161.9,164.14,158.5,159.88,633482
2025-07-14,159.47,159.47,156.46,157.38,529388
2025-07-15,157.9,169.98,157.85,168.86,3037920
2025-07-16,168.8,171.0,165.67,167.3,1153476
2025-07-17,168.5,174.24,167.06,171.01,2168669
2025-07-18,171.01,171.68,166.77,168.33,782759
2025-07-21,168.0,168.18,164.81,165.24,605620
2025-07-22,165.9,168.14,164.43,165.13,592393
2025-07-23,168.0,191.0,167.1,188.19,96378110
2025-07-24,188.2,196.75,186.0,188.16,34583666
2025-07-25,187.2,187.5,181.0,181.91,5934936
2025-07-28,181.45,183.34,171.5,172.47,4307038
2025-07-29,172.9,177.96,171.06,176.05,3337485
2025-07-30,176.5,177.4,172.0,172.51,1508354
2025-07-31,169.1,173.97,167.4,170.78,1522854
2025-08-01,170.5,170.84,163.02,164.42,1508722
2025-08-04,164.8,172.75,163.35,172.02,2213973
2025-08-05,172.49,173.4,168.4,168.87,819984
2025-08-06,168.5,169.46,163.33,166.02,1054338
2025-08-07,164.0,165.5,159.0,164.13,1413129
2025-08-08,164.13,165.1,158.0,159.56,1805672
2025-08-11,158.17,164.2,157.57,163.38,1223037
2025-08-12,163.4,166.65,162.42,164.84,804237
2025-08-13,165.4,170.5,163.81,169.66,1157215
2025-08-14,168.0,172.39,165.35,166.55,1436191
2025-08-18,169.0,170.8,165.27,167.78,1449291
2025-08-19,168.3,169.8,167.4,168.31,612830
2025-08-20,168.29,170.0,166.74,167.62,773132
2025-08-21,168.09,175.58,168.0,173.86,3261692
2025-08-22,173.98,181.9,172.01,178.18,4886354
2025-08-25,179.5,184.0,177.93,181.26,2781648
2025-08-26,180.89,181.0,172.6,173.6,1376603
2025-08-28,173.55,176.4,171.39,173.3,1067447
2025-08-29,173.35,175.66,168.55,169.97,886037
2025-09-01,170.0,173.92,169.26,172.05,619585
2025-09-02,173.0,175.7,171.8,172.99,786354
2025-09-03,173.0,182.2,172.61,181.31,2397805
2025-09-04,183.0,183.95,175.6,176.63,1266078
2025-09-05,175.85,178.2,174.37,177.23,662998
2025-09-08,177.7,182.33,175.65,177.79,1272883
2025-09-09,178.15,178.59,174.92,175.75,547469
2025-09-10,176.5,191.1,176.21,188.22,5229564
2025-09-11,191.0,195.45,186.51,188.86,5689709
2025-09-12,189.49,189.65,183.12,183.63,1273354
2025-09-15,183.51,189.3,181.76,185.23,1727649
2025-09-16,184.57,191.0,184.4,184.99,1951402
2025-09-17,185.48,188.6,182.21,183.88,1706942
2025-09-18,185.31,186.3,182.5,185.12,969119
2025-09-19,185.35,189.0,184.21,184.82,1650418
2025-09-22,184.0,186.9,180.56,181.98,814019
2025-09-23,182.25,183.35,177.88,180.93,862256
2025-09-24,180.5,180.97,174.61,175.74,876385
2025-09-25,176.0,178.72,172.25,172.8,755876
2025-09-26,172.79,172.79,167.33,168.51,774185
2025-09-29,168.9,170.76,164.0,165.42,1353498
2025-09-30,166.24,167.81,163.0,165.27,585194
2025-10-01,165.65,172.0,165.4,170.51,990145
2025-10-03,170.8,178.5,169.71,177.5,1386241
2025-10-06,177.64,180.75,176.19,177.74,882243
2025-10-07,177.6,177.65,173.05,173.55,626057
2025-10-08,173.55,175.39,171.5,171.86,516310
2025-10-09,172.3,173.22,169.55,171.03,644841
2025-10-10,171.55,176.5,170.97,175.37,787736
2025-10-13,172.63,174.0,171.6,172.14,486149
2025-10-14,171.9,173.41,168.38,169.74,630104
2025-10-15,170.5,172.51,170.31,172.16,350702
2025-10-16,172.44,175.55,171.6,172.41,491533
2025-10-17,172.0,176.09,170.51,172.81,1155772
2025-10-20,173.5,176.3,172.56,174.76,550963
2025-10-21,175.0,176.0,174.1,174.71,202925
2025-10-23,176.0,178.36,173.6,174.32,854227
2025-10-24,173.91,173.92,171.4,172.45,339988
2025-10-27,173.0,174.1,167.9,168.85,830957
2025-10-28,169.5,170.5,167.0,167.44,700579
2025-10-29,168.0,171.6,167.0,168.48,1099579
2025-10-30,167.6,169.8,166.5,166.81,517458
2025-10-31,166.2,167.5,163.5,164.17,657825
2025-11-03,164.2,166.3,164.1,164.67,488031
2025-11-04,164.75,165.26,160.66,161.47,481615
2025-11-06,162.3,163.0,158.32,159.89,555828
2025-11-07,152.3,158.0,152.3,156.42,803677
2025-11-10,156.49,157.9,155.0,155.54,436558
2025-11-11,155.35,155.43,152.61,154.09,374210
2025-11-12,154.9,159.8,154.21,156.95,576352
2025-11-13,157.6,159.5,154.81,155.59,531440
2025-11-14,156.0,156.0,154.0,155.22,300209
2025-11-17,156.74,156.74,151.25,152.15,656860
2025-11-18,152.24,153.6,150.9,151.1,823071
2025-11-19,151.5,152.73,150.0,152.19,397163
