date,open,high,low,close,volume
2025-03-24,85.44,88.43,85.15,88.16,36771697
2025-03-25,89.01,89.06,85.0,85.4,23478508
2025-03-26,85.25,86.23,83.99,84.22,21455219
2025-03-27,84.09,86.89,83.8,86.55,58399584
2025-03-28,86.55,88.03,85.59,85.92,30188247
2025-04-01,85.47,87.54,85.05,86.89,14596862
2025-04-02,87.37,88.17,85.44,87.95,18479410
2025-04-03,86.89,91.9,86.65,91.12,38514763
2025-04-04,91.14,91.52,86.6,87.26,33552098
2025-04-07,80.8,84.88,80.8,84.09,29326338
2025-04-08,85.92,86.73,84.57,86.34,21516232
2025-04-09,86.56,87.08,84.14,85.36,21829542
2025-04-11,86.84,88.24,85.79,87.41,22091340
2025-04-15,89.62,89.73,88.12,89.48,31990152
2025-04-16,89.75,91.66,89.3,91.42,27215945
2025-04-17,91.69,93.26,91.33,92.7,31763625
2025-04-21,93.45,96.05,93.16,95.58,27799862
2025-04-22,96.65,99.08,95.87,97.18,49276193
2025-04-23,97.65,97.8,94.17,96.01,41477808
2025-04-24,96.06,96.83,95.58,95.95,27747894
2025-04-25,95.96,96.26,92.7,93.19,41413435
2025-04-28,92.93,95.58,92.55,95.04,28301422
2025-04-29,95.82,97.88,95.38,95.89,47026479
2025-04-30,95.58,95.58,93.6,94.08,23757351
2025-05-02,94.13,95.55,93.11,93.5,15228120
2025-05-05,93.64,94.36,93.31,93.8,13789187
2025-05-06,94.13,94.55,88.71,89.18,27373024
2025-05-07,87.85,91.07,87.8,90.43,25192657
2025-05-08,91.13,94.77,89.72,92.07,78481304
2025-05-09,90.76,95.03,90.62,94.26,41029403
2025-05-12,97.02,97.94,96.4,97.37,49391352
2025-05-13,97.7,101.92,97.33,101.16,59518073
2025-05-14,101.95,102.88,100.92,102.01,46744208
2025-05-15,102.43,102.57,100.81,101.52,22577353
2025-05-16,101.85,104.83,101.85,104.03,33164805
2025-05-19,104.94,105.71,104.03,104.23,26144154
2025-05-20,105.11,105.28,102.88,103.34,24579486
2025-05-21,103.3,104.26,102.34,104.11,20965817
2025-05-22,103.78,104.73,102.16,103.14,18266891
2025-05-23,103.44,104.25,102.73,103.5,16155459
2025-05-26,103.69,104.45,102.92,103.76,17383646
2025-05-27,103.67,104.83,102.91,104.68,19199151
2025-05-28,104.77,107.62,104.73,107.1,29822557
2025-05-29,108.03,108.14,106.12,106.9,29174369
2025-05-30,107.28,111.33,105.52,110.79,70759040
2025-06-02,110.79,113.34,110.35,112.8,47869167
2025-06-03,113.91,113.91,110.95,111.9,29821086
2025-06-04,112.23,113.67,110.86,113.26,20540175
2025-06-05,112.95,113.58,112.04,112.35,13566631
2025-06-06,112.84,114.01,110.11,111.71,49884802
2025-06-09,112.86,115.17,112.52,113.62,34703106
2025-06-10,114.3,114.35,113.1,113.69,32755500
2025-06-11,114.88,114.88,111.79,113.04,41718080
2025-06-12,113.63,113.72,111.12,111.64,33242141
2025-06-13,108.49,111.77,107.52,111.46,32522564
2025-06-16,110.45,111.75,109.5,111.24,24551800
2025-06-17,111.3,112.1,109.0,109.23,14822292
2025-06-18,109.23,109.85,107.94,108.22,11798762
2025-06-19,108.2,108.5,104.6,104.89,25631663
2025-06-20,104.89,108.19,104.85,107.22,23310134
2025-06-23,106.0,108.33,105.98,107.82,13114898
2025-06-24,109.6,111.44,109.31,110.61,25341633
2025-06-25,110.85,111.5,110.35,110.71,19878446
2025-06-26,110.95,111.45,108.7,111.07,21835265
2025-06-27,111.49,113.0,110.67,110.98,34489264
2025-06-30,111.56,114.61,111.47,114.2,34766391
2025-07-01,114.45,116.0,112.62,115.42,30511659
2025-07-02,114.7,115.86,113.42,114.23,20734163
2025-07-03,114.8,115.0,113.65,114.16,13257229
2025-07-04,113.56,115.1,113.56,114.37,10569354
2025-07-07,114.37,115.8,114.1,114.31,15821152
2025-07-08,114.31,114.5,112.89,113.74,12740671
2025-07-09,113.6,114.45,113.4,113.96,13519733
2025-07-10,113.95,114.5,111.7,112.39,16076230
2025-07-11,112.38,113.49,111.21,111.92,13374647
2025-07-14,111.99,115.3,111.9,113.67,27221603
2025-07-15,113.79,115.8,113.63,114.87,25377145
2025-07-16,114.85,117.35,114.61,117.03,40471492
2025-07-17,117.5,117.5,114.91,115.53,15765452
2025-07-18,115.5,116.1,114.25,114.45,18085327
2025-07-21,114.67,114.7,111.4,112.03,23975731
2025-07-22,112.69,112.7,107.71,108.05,42331690
2025-07-23,108.05,108.33,106.3,107.8,38208234
2025-07-24,108.5,113.99,107.2,113.51,86127146
2025-07-25,113.86,115.7,110.5,110.76,41767665
2025-07-28,110.7,112.84,109.89,110.41,23234791
2025-07-29,110.01,111.39,109.53,110.09,32038885
2025-07-30,110.46,110.54,108.1,108.2,23534777
2025-07-31,107.05,108.36,106.1,107.25,48203474
2025-08-01,107.25,107.4,105.75,105.89,13286442
2025-08-04,106.0,107.94,106.0,107.75,21300202
2025-08-05,107.75,108.3,106.9,107.46,11549473
2025-08-06,107.99,110.0,106.11,108.77,40662042
2025-08-07,108.5,109.19,106.75,108.8,12014876
2025-08-08,108.8,109.02,107.54,107.89,14136544
2025-08-11,107.8,109.89,107.3,109.48,16773203
2025-08-12,109.69,110.25,109.04,109.55,10606131
2025-08-13,109.8,110.49,108.55,108.99,12096926
2025-08-14,109.5,109.88,108.63,109.26,10879799
2025-08-18,110.0,110.42,108.9,109.34,15704185
2025-08-19,109.5,111.9,109.05,111.67,20003557
2025-08-20,112.0,112.71,111.7,112.28,14596666
2025-08-21,112.7,113.0,110.98,111.07,13162672
2025-08-22,111.06,111.78,109.8,109.93,12854408
2025-08-25,110.0,110.98,108.51,108.82,16134641
2025-08-26,108.82,109.06,105.83,106.01,27014374
2025-08-28,106.05,106.49,104.5,104.63,14184569
2025-08-29,104.44,105.18,103.55,103.83,13999620
2025-09-01,104.0,105.26,104.0,105.14,9174103
2025-09-02,105.4,107.0,104.75,106.16,9179806
2025-09-03,106.45,108.48,106.11,108.33,12012180
2025-09-04,108.9,109.2,105.94,106.08,12953562
2025-09-05,106.3,107.63,105.61,107.14,8009273
2025-09-08,107.49,108.65,107.12,108.11,8138600
2025-09-09,108.11,108.8,107.36,108.04,7104394
2025-09-10,108.25,111.25,108.25,110.64,18306308
2025-09-11,111.07,113.4,110.64,112.07,18795548
2025-09-12,112.88,112.89,110.79,110.96,10893570
2025-09-15,111.49,113.0,111.21,112.51,9013604
2025-09-16,113.45,113.86,112.51,113.23,15104682
2025-09-17,113.44,116.39,113.01,116.25,34943043
2025-09-18,116.9,117.7,114.7,115.41,26965142
2025-09-19,115.7,118.4,115.55,117.76,46393129
2025-09-22,117.64,119.72,117.3,118.87,31509156
2025-09-23,118.77,122.09,116.93,121.9,44544453
2025-09-24,122.7,124.55,122.25,122.91,55162500
2025-09-25,122.9,123.33,121.21,121.44,30764727
2025-09-26,121.35,121.55,117.5,118.08,25531804
2025-09-29,118.58,121.4,118.26,120.48,28333195
2025-09-30,121.25,124.45,120.92,123.71,47473634
2025-10-01,124.3,124.5,121.17,123.76,38045288
2025-10-03,123.77,126.42,123.32,125.9,34668909
2025-10-06,126.0,127.95,125.87,126.76,27335116
2025-10-07,126.86,128.5,125.75,128.06,30539720
2025-10-08,128.5,128.55,124.7,126.04,38012061
2025-10-09,126.49,126.99,125.51,126.17,16981691
2025-10-10,126.5,128.6,126.35,127.39,23836453
2025-10-13,127.3,128.39,126.36,127.64,21132831
2025-10-14,127.35,127.8,124.6,125.22,19638720
2025-10-15,125.8,128.8,125.6,128.41,22108228
2025-10-16,128.99,130.14,127.19,127.37,20085575
2025-10-17,127.37,127.55,124.6,125.49,20351565
2025-10-20,126.2,129.45,126.11,127.59,27681896
2025-10-21,128.24,128.8,126.45,127.12,7993166
2025-10-23,127.6,127.88,125.82,126.24,34824359
2025-10-24,126.5,126.93,124.73,125.7,17014666
2025-10-27,126.25,129.98,125.73,129.13,30460506
2025-10-28,130.39,131.77,127.75,129.98,44849817
2025-10-29,129.88,130.4,128.3,128.77,37842782
2025-10-30,129.0,134.25,127.8,132.89,93428789
2025-10-31,131.39,138.6,131.2,136.99,80524287
2025-11-03,137.67,141.45,137.3,139.6,57720656
2025-11-04,139.7,140.69,138.55,139.6,34484844
2025-11-06,140.25,140.75,138.84,139.24,22293737
2025-11-07,138.7,141.41,136.57,140.67,27498022
2025-11-10,141.25,142.6,139.9,141.04,28309612
2025-11-11,140.6,141.39,137.95,140.87,21813910
2025-11-12,141.7,144.54,141.37,143.57,39711769
2025-11-13,143.5,145.0,143.0,143.45,27528003
2025-11-14,143.88,146.38,143.36,146.07,26463777
2025-11-17,146.6,150.32,146.27,149.12,44625403
2025-11-18,149.48,150.69,148.41,149.0,29594222
2025-11-19,149.2,150.88,147.71,150.38,26500324
2025-11-20,151.59,151.8,147.71,147.94,19144061
2025-11-21,147.31,148.15,144.96,145.77,22283701
2025-11-24,146.0,148.59,145.84,146.67,35398447
2025-11-25,146.66,149.38,145.3,148.69,24048863
2025-11-26,149.69,152.5,148.92,150.16,30511761
2025-11-27,150.9,152.0,149.85,151.76,20130369
2025-11-28,151.99,152.34,150.83,151.58,19414509
2025-12-01,152.0,153.68,149.6,150.5,17845829
2025-12-02,150.88,154.21,150.6,152.03,42353933
2025-12-03,152.8,152.95,145.03,146.08,43621493
2025-12-04,146.08,148.79,145.81,147.39,23552476
2025-12-05,147.69,149.45,146.69,148.64,23212483
2025-12-08,148.5,148.9,141.97,142.84,27695937
2025-12-09,142.55,146.49,141.11,146.19,30373958
2025-12-10,146.7,147.79,144.4,145.56,24139924
2025-12-11,145.7,147.99,145.25,146.8,19389862
2025-12-12,147.01,147.79,145.71,146.63,14181844
2025-12-15,146.11,148.9,146.0,148.29,16431186
2025-12-16,148.3,148.9,146.49,147.17,14586929
2025-12-17,147.0,150.78,146.91,150.21,26335842
2025-12-18,150.9,151.72,148.32,149.83,16158407
2025-12-19,150.1,150.98,147.27,148.58,26225514
2025-12-22,149.3,150.5,148.86,150.3,15647315
2025-12-23,150.85,151.25,149.61,150.22,16025851
2025-12-24,150.77,151.17,149.43,149.67,16461725
2025-12-26,149.8,150.85,148.96,150.07,12422858
2025-12-29,150.06,152.1,149.77,150.92,19512200
2025-12-30,150.5,154.5,149.12,154.03,76140412
2025-12-31,154.03,158.0,153.0,154.91,35538921
2026-01-01,155.0,156.28,153.55,154.24,18111681
2026-01-02,154.9,155.67,152.8,154.87,29236511
2026-01-05,155.5,157.6,153.52,154.23,19385780
2026-01-06,154.5,156.12,152.6,153.88,17196220
2026-01-07,154.1,156.39,151.71,152.96,22810626
2026-01-08,153.15,153.8,149.64,150.46,17324688
2026-01-09,150.4,152.9,149.21,150.54,18132919
2026-01-12,150.55,151.36,146.96,150.02,25793554
2026-01-13,150.99,151.59,149.24,150.86,13262673
2026-01-14,151.3,154.55,150.4,153.89,21735599
2026-01-16,154.0,157.72,153.85,157.13,35174000
2026-01-19,157.45,159.1,156.05,156.86,24657963
2026-01-20,157.5,159.09,153.06,153.68,35087078
2026-01-21,152.8,155.49,149.81,150.76,24315864
2026-01-22,152.0,155.59,152.0,154.68,18824351
2026-01-23,155.7,156.78,150.92,151.81,26875350
2026-01-27,152.9,155.45,152.1,154.72,23086886
2026-01-28,155.49,158.25,152.31,157.74,28198960
2026-01-29,158.0,160.79,149.0,150.32,88706121
2026-01-30,150.7,150.7,146.62,147.42,43411151
2026-02-01,145.98,148.92,138.01,141.05,26364131
2026-02-02,141.05,146.97,139.0,146.47,32606697
2026-02-03,152.5,157.5,146.88,147.34,40510681
2026-02-04,147.5,148.5,146.0,147.5,26421597
2026-02-05,148.0,149.58,147.57,148.29,16041047
2026-02-06,148.0,149.2,144.86,147.31,21884724
2026-02-09,148.65,150.37,147.35,147.93,31077822
2026-02-10,148.0,148.53,146.45,146.83,18264415
2026-02-11,147.34,147.34,144.0,145.51,31370839
2026-02-12,145.5,145.8,143.65,144.81,20031934
2026-02-13,143.8,143.8,141.42,141.77,14139257
2026-02-16,141.0,146.27,140.15,145.84,18090364
2026-02-17,145.8,149.9,144.8,149.11,24239721
2026-02-18,149.5,152.48,149.38,151.94,26925046
2026-02-19,152.14,152.59,148.77,149.42,15847818
2026-02-20,149.2,154.5,148.41,154.15,35644772
2026-02-23,155.0,157.1,154.74,156.44,23618301
2026-02-24,155.95,158.1,155.0,157.03,27666076
2026-02-25,157.49,159.6,156.9,158.93,34100843
2026-02-26,159.37,162.89,156.62,158.88,37476276
2026-02-27,158.88,158.89,156.6,157.37,23377836
2026-03-02,150.3,156.25,150.3,153.56,28209294
2026-03-04,150.0,151.51,145.52,146.93,36072028
2026-03-05,148.0,149.7,145.75,148.51,24474731
2026-03-06,147.58,149.34,145.6,145.97,23417808
2026-03-09,140.15,141.01,136.3,139.91,29651646
2026-03-10,142.5,143.85,140.17,142.27,21772242
2026-03-11,143.0,143.7,139.01,139.41,13349850
2026-03-12,138.6,142.86,136.26,140.34,21773776
2026-03-13,139.0,139.67,134.34,134.68,21035474
2026-03-16,134.5,135.38,131.5,134.51,28679443
2026-03-17,135.0,136.85,133.67,136.58,21872417
2026-03-18,137.25,138.38,136.42,137.51,18020962
2026-03-19,133.8,136.1,131.9,132.92,18150227
2026-03-20,134.5,139.84,134.5,136.44,30539089
2026-03-23,134.0,134.0,129.02,129.56,22467854
2026-03-24,133.0,134.59,131.55,133.15,22308902
2026-03-25,134.8,137.59,134.28,136.53,21680573
2026-03-27,134.8,134.85,129.73,130.45,44250226
2026-03-30,127.91,128.42,123.0,123.45,34665726
2026-04-01,128.02,129.5,126.3,127.3,29217022
2026-04-02,124.16,127.71,121.79,127.04,29741553
2026-04-06,127.2,130.99,125.11,130.51,26453809
2026-04-07,129.8,130.74,128.4,129.51,16070269
2026-04-08,135.98,139.74,134.65,139.19,34185753
2026-04-09,138.51,140.55,137.06,137.91,22775497
2026-04-10,139.83,140.62,139.04,140.15,20916386
2026-04-13,135.0,139.34,134.6,138.77,20752320
2026-04-15,141.7,143.67,140.55,141.71,24167224
2026-04-16,141.8,143.22,139.81,141.03,25681786
2026-04-17,141.05,142.8,139.88,142.37,13628290
2026-04-20,142.8,144.49,141.31,142.74,21390225
2026-04-21,143.4,144.95,142.84,144.26,14365044
2026-04-22,143.87,146.89,143.13,145.23,18626914
2026-04-23,144.5,144.58,140.21,140.87,22459475
2026-04-24,141.33,141.86,138.15,140.85,18904603
2026-04-27,141.19,142.42,139.81,140.55,13625954
