date,open,high,low,close,volume
2025-03-24,680.0,692.6,665.85,674.25,165108
2025-03-25,675.0,688.55,625.95,640.65,155874
2025-03-26,635.0,670.0,631.0,635.4,207487
2025-03-27,629.0,688.0,626.75,659.5,367962
2025-03-28,661.95,671.45,620.1,623.75,143802
2025-04-01,616.15,648.4,616.15,640.65,72338
2025-04-02,640.65,658.7,623.25,636.6,120731
2025-04-03,620.0,644.0,601.2,608.8,149068
2025-04-04,608.5,613.4,578.8,594.0,194973
2025-04-07,525.0,576.0,512.0,566.55,175338
2025-04-08,583.5,612.95,570.05,605.55,133041
2025-04-09,605.0,614.0,580.5,585.0,53787
2025-04-11,595.95,613.95,592.0,597.7,99050
2025-04-15,604.0,641.45,601.45,637.2,130575
2025-04-16,637.9,646.7,614.3,622.0,75857
2025-04-17,625.05,629.95,612.0,614.65,84011
2025-04-21,615.0,622.95,614.05,615.6,72308
2025-04-22,620.7,692.8,610.2,680.1,738194
2025-04-23,684.0,688.0,649.05,662.05,129413
2025-04-24,659.0,684.3,653.0,656.7,106157
2025-04-25,660.0,665.95,626.1,632.3,82501
2025-04-28,630.0,658.15,621.65,631.85,123661
2025-04-29,634.0,645.0,614.1,618.8,106623
2025-04-30,625.4,625.4,604.0,606.65,58770
2025-05-02,602.1,616.7,595.25,599.1,52591
2025-05-05,604.85,625.0,600.35,608.15,53895
2025-05-06,608.0,633.5,600.0,602.95,114914
2025-05-07,590.15,614.6,584.0,610.5,66071
2025-05-08,615.35,624.5,604.55,613.85,46064
2025-05-09,601.7,618.95,584.0,612.1,44083
2025-05-12,620.2,649.45,620.2,634.05,80995
2025-05-13,631.05,649.0,631.0,645.7,35654
2025-05-14,643.95,663.0,643.95,651.6,60601
2025-05-15,656.7,656.7,644.65,649.15,41600
2025-05-16,645.0,671.0,645.0,650.05,121894
2025-05-19,650.05,672.0,647.1,664.35,93861
2025-05-20,674.9,684.45,639.7,647.35,130269
2025-05-21,652.0,696.25,642.6,681.45,377376
2025-05-22,700.0,793.95,693.15,780.5,2117964
2025-05-23,789.0,798.8,760.25,767.75,350530
2025-05-26,760.0,783.55,759.15,769.8,137098
2025-05-27,772.65,809.85,758.0,790.45,258376
2025-05-28,788.0,820.1,780.4,798.05,235597
2025-05-29,806.9,808.0,781.0,783.9,77569
2025-05-30,787.95,839.0,784.5,827.9,349066
2025-06-02,869.45,910.0,852.0,893.95,805338
2025-06-03,899.85,904.0,870.0,873.6,176500
2025-06-04,873.45,900.05,862.05,888.25,122196
2025-06-05,888.25,889.8,868.5,877.15,87279
2025-06-06,879.45,889.8,864.2,871.25,75174
2025-06-09,877.95,919.0,871.6,913.4,250388
2025-06-10,915.1,921.0,905.1,912.7,118534
2025-06-11,906.0,924.55,891.55,899.1,104495
2025-06-12,900.0,908.9,887.0,899.0,94280
2025-06-13,862.3,944.1,862.3,929.15,241047
2025-06-16,933.9,947.0,876.0,915.0,155073
2025-06-17,920.0,927.0,870.0,873.45,163238
2025-06-18,874.8,890.0,853.2,871.7,102497
2025-06-19,868.0,876.0,840.0,860.35,124553
2025-06-20,860.0,875.0,845.0,862.35,108100
2025-06-23,845.5,865.0,845.45,854.1,50024
2025-06-24,868.0,896.0,850.0,887.25,106842
2025-06-25,890.0,908.0,871.9,875.6,82820
2025-06-26,868.25,881.95,851.05,854.75,70962
2025-06-27,861.9,875.65,844.0,870.2,77348
2025-06-30,870.0,888.6,851.15,869.85,96901
2025-07-01,874.0,888.4,864.95,872.9,58858
2025-07-02,872.9,880.6,857.2,873.35,58616
2025-07-03,873.35,909.9,868.5,903.3,166518
2025-07-04,912.25,912.3,880.1,888.0,103434
2025-07-07,880.0,883.55,826.8,830.15,249075
2025-07-08,832.5,846.0,815.05,829.0,121003
2025-07-09,827.0,853.75,827.0,849.35,80510
2025-07-10,849.35,858.0,841.05,856.6,47954
2025-07-11,849.0,859.0,845.6,850.1,36955
2025-07-14,847.65,858.6,840.8,852.2,46554
2025-07-15,857.9,875.0,849.45,869.65,57484
2025-07-16,875.0,880.0,866.4,876.3,40790
2025-07-17,878.0,912.5,876.95,897.7,130263
2025-07-18,897.05,902.0,874.0,876.9,44902
2025-07-21,876.9,890.0,860.35,880.15,54634
2025-07-22,875.5,902.6,871.0,891.75,83825
2025-07-23,895.05,929.0,881.6,922.35,166284
2025-07-24,930.0,932.9,903.5,909.05,157017
2025-07-25,905.2,905.2,875.6,878.8,82805
2025-07-28,871.0,888.8,860.15,873.25,73512
2025-07-29,873.0,906.4,856.15,896.05,146947
2025-07-30,890.0,910.0,878.85,899.9,129496
2025-07-31,870.0,898.5,860.0,886.65,85751
2025-08-01,885.0,888.75,831.25,837.35,110541
2025-08-04,833.65,849.3,805.2,838.6,167069
2025-08-05,844.0,848.7,808.95,812.05,95323
2025-08-06,815.0,820.05,791.55,799.8,70547
2025-08-07,787.8,801.0,775.2,793.9,92000
2025-08-08,801.9,805.9,778.3,784.2,47514
2025-08-11,788.1,802.95,772.05,783.9,99869
2025-08-12,783.9,832.0,768.0,798.15,556516
2025-08-13,805.0,838.9,785.3,795.75,527076
2025-08-14,802.1,836.7,795.15,826.9,354129
2025-08-18,844.9,889.95,831.9,884.95,283889
2025-08-19,887.85,912.6,877.4,906.3,217519
2025-08-20,906.3,919.5,902.0,914.35,112908
2025-08-21,904.15,928.95,891.5,898.0,132789
2025-08-22,902.0,908.4,884.55,894.9,78392
2025-08-25,895.0,898.3,855.2,860.4,138932
2025-08-26,859.0,862.15,845.1,850.2,72281
2025-08-28,844.0,855.9,836.55,839.8,50456
2025-08-29,837.0,872.0,832.5,859.75,92121
2025-09-01,859.75,870.3,854.85,862.6,48808
2025-09-02,862.6,919.0,862.6,904.25,192299
2025-09-03,912.0,916.7,890.0,897.95,62988
2025-09-04,924.9,935.95,885.6,894.4,188292
2025-09-05,898.0,974.8,888.75,959.4,647598
2025-09-08,974.0,979.0,936.3,943.35,298487
2025-09-09,948.0,954.7,931.6,935.25,152422
2025-09-10,944.6,961.0,929.4,941.6,318812
2025-09-11,952.0,959.8,945.0,956.9,137209
2025-09-12,971.05,989.95,935.6,942.9,345469
2025-09-15,942.9,956.0,932.0,934.75,83623
2025-09-16,934.75,953.9,928.05,932.7,84660
2025-09-17,936.95,939.85,895.9,904.3,206278
2025-09-18,907.0,930.0,905.0,916.55,128121
2025-09-19,914.15,928.85,911.0,917.55,76238
2025-09-22,923.9,923.9,891.25,896.7,125535
2025-09-23,891.25,905.4,882.5,885.35,64037
2025-09-24,882.25,892.9,869.8,880.4,138831
