date,open,high,low,close,volume
2025-03-24,2841.2,2883.7,2835.6,2857.2,46796
2025-03-25,2870.0,2938.0,2827.0,2911.4,136674
2025-03-26,2911.0,2959.85,2862.35,2882.7,70175
2025-03-27,2888.45,2900.15,2818.0,2839.5,124281
2025-03-28,2830.0,2899.0,2830.0,2879.5,93028
2025-04-01,2860.0,2910.0,2849.0,2876.3,31639
2025-04-02,2877.2,2920.0,2876.3,2899.95,38255
2025-04-03,2870.95,2909.95,2847.0,2877.35,27801
2025-04-04,2895.0,2898.05,2836.6,2867.35,100200
2025-04-07,2536.0,2722.3,2504.0,2662.0,183840
2025-04-08,2710.0,2735.0,2671.95,2692.45,53029
2025-04-09,2704.7,2715.8,2659.0,2677.2,167492
2025-04-11,2725.0,2864.0,2692.35,2832.5,223749
2025-04-15,2880.0,2912.4,2850.4,2903.1,72108
2025-04-16,2910.0,3049.0,2898.1,3023.8,201076
2025-04-17,3023.8,3062.0,2986.0,3020.0,112022
2025-04-21,3021.0,3074.9,2987.0,3026.1,120377
2025-04-22,3030.0,3043.4,2990.0,2998.6,42132
2025-04-23,3015.0,3035.0,2989.6,3019.8,48665
2025-04-24,3020.0,3111.0,3018.7,3093.5,95590
2025-04-25,3115.0,3117.4,3003.1,3034.5,105293
2025-04-28,3025.7,3065.0,2984.5,3044.2,63154
2025-04-29,3051.1,3098.0,3041.9,3060.4,60114
2025-04-30,3045.1,3361.1,3020.3,3332.0,2389378
2025-05-02,3308.0,3455.8,3282.6,3376.3,702398
2025-05-05,3400.0,3544.0,3390.0,3430.9,630090
2025-05-06,3459.0,3627.9,3425.1,3575.9,1126901
2025-05-07,3551.0,3650.0,3491.0,3631.0,370687
2025-05-08,3612.8,3808.7,3590.0,3674.0,717638
2025-05-09,3594.9,3801.0,3550.4,3765.9,272525
2025-05-12,3825.9,3899.0,3726.2,3750.0,285038
2025-05-13,3750.0,3800.0,3704.1,3770.2,173815
2025-05-14,3770.2,3960.0,3754.8,3895.8,460492
2025-05-15,3875.2,3930.0,3842.0,3916.9,168618
2025-05-16,3916.9,3939.0,3814.4,3831.5,174091
2025-05-19,3849.9,3919.0,3822.8,3860.2,126846
2025-05-20,3870.0,3883.0,3800.0,3838.0,81647
2025-05-21,3838.0,4044.0,3811.0,3830.8,372485
2025-05-22,3835.0,3881.2,3814.0,3832.2,90876
2025-05-23,3824.0,3857.8,3760.8,3787.2,77033
2025-05-26,3800.0,3827.1,3720.0,3736.1,97541
2025-05-27,3760.0,3798.6,3706.2,3736.8,72004
2025-05-28,3736.7,3835.4,3726.1,3738.9,122339
2025-05-29,3772.0,3776.8,3702.0,3728.1,50042
2025-05-30,3746.6,3838.4,3738.0,3778.7,139133
2025-06-02,3800.0,3822.7,3727.0,3740.6,61390
2025-06-03,3732.1,3754.9,3605.0,3653.4,228571
2025-06-04,3677.1,3720.0,3606.0,3620.8,116694
2025-06-05,3621.0,3749.0,3620.8,3708.3,151275
2025-06-06,3730.0,3820.0,3674.9,3798.9,151724
2025-06-09,3800.0,3837.8,3752.5,3797.8,109825
2025-06-10,3788.0,3896.0,3720.0,3851.9,195737
2025-06-11,3855.9,3880.0,3820.0,3849.4,68000
2025-06-12,3840.0,3875.0,3749.0,3755.3,76687
2025-06-13,3705.3,3795.5,3675.7,3708.8,138237
2025-06-16,3710.0,3724.9,3630.0,3638.8,69698
2025-06-17,3663.0,3663.0,3582.2,3594.0,64185
2025-06-18,3590.0,3675.6,3584.2,3607.2,70010
2025-06-19,3610.0,3631.1,3529.3,3554.6,54724
2025-06-20,3555.0,3577.9,3511.3,3529.7,53392
2025-06-23,3511.0,3527.8,3454.1,3501.4,98301
2025-06-24,3563.0,3580.0,3512.2,3558.7,75121
2025-06-25,3560.0,3722.0,3560.0,3646.8,201834
2025-06-26,3680.0,3687.8,3555.2,3570.9,108746
2025-06-27,3580.0,3689.0,3580.0,3645.3,261950
2025-06-30,3650.5,3689.3,3615.0,3684.0,81713
2025-07-01,3686.5,3733.5,3645.0,3655.5,134055
2025-07-02,3656.0,3755.0,3608.1,3685.0,202951
2025-07-03,3688.8,3724.0,3655.1,3682.6,86087
2025-07-04,3710.0,3710.0,3600.0,3609.8,73575
2025-07-07,3609.8,3695.0,3596.3,3655.5,95883
2025-07-08,3655.0,3868.0,3647.8,3818.1,644535
2025-07-09,3819.2,3880.0,3765.1,3863.4,186804
2025-07-10,3868.9,3879.0,3785.0,3795.0,112482
2025-07-11,3795.9,3829.5,3707.8,3723.5,76272
2025-07-14,3730.0,3925.0,3729.1,3908.5,369069
2025-07-15,3950.0,4044.0,3852.0,3888.5,314210
2025-07-16,3870.1,3948.0,3854.0,3876.1,234754
2025-07-17,3908.1,3945.0,3829.0,3855.0,151028
2025-07-18,3845.0,3849.7,3758.0,3827.3,153404
2025-07-21,3750.0,3750.0,3524.1,3600.9,619957
2025-07-22,3622.0,3625.9,3474.0,3493.4,266845
2025-07-23,3511.0,3522.5,3468.0,3487.2,120243
2025-07-24,3501.9,3504.8,3330.6,3346.5,329531
2025-07-25,3355.0,3411.0,3318.0,3377.7,267183
2025-07-28,3372.2,3377.7,3272.9,3323.3,149978
2025-07-29,3316.9,3360.0,3281.6,3352.8,79424
2025-07-30,3375.0,3439.7,3301.1,3398.4,272324
2025-07-31,3340.0,3419.5,3303.0,3313.3,110763
2025-08-01,3310.0,3334.0,3220.0,3229.7,55695
2025-08-04,3172.4,3258.9,3131.2,3245.8,137591
2025-08-05,3258.0,3268.4,3167.8,3182.8,223310
2025-08-06,3189.6,3244.0,3169.6,3224.1,85732
2025-08-07,3215.0,3216.0,3170.2,3209.9,70886
2025-08-08,3186.0,3209.9,3140.0,3161.2,48456
