date,open,high,low,close,volume
2025-03-24,147.54,149.96,146.95,148.86,4110955
2025-03-25,149.48,149.48,145.13,146.08,3060064
2025-03-26,146.0,148.13,144.7,145.5,3196022
2025-03-27,144.16,148.99,143.0,147.91,3317344
2025-03-28,148.71,151.87,147.88,148.86,5447572
2025-04-01,148.49,150.25,146.07,148.01,3018543
2025-04-02,148.03,149.64,146.34,148.91,1926545
2025-04-03,146.76,153.35,146.09,152.31,2690992
2025-04-04,152.31,153.14,145.22,146.9,3608025
2025-04-07,135.45,146.1,135.45,144.6,4921816
2025-04-08,148.7,148.7,144.95,145.52,2196079
2025-04-09,145.13,146.52,142.95,145.17,1702655
2025-04-11,147.83,149.25,146.02,148.71,2493589
2025-04-15,150.45,152.87,150.45,151.88,2127592
2025-04-16,152.38,153.15,150.53,152.56,2304235
2025-04-17,152.56,156.39,151.47,153.02,4269973
2025-04-21,154.61,157.22,152.77,156.72,3579838
2025-04-22,157.7,158.19,153.75,154.17,2886921
2025-04-23,155.48,156.05,153.3,155.09,2656673
2025-04-24,154.79,155.43,151.9,153.45,2692936
2025-04-25,153.93,154.61,146.67,148.96,3894582
2025-04-28,147.74,155.15,147.74,154.16,5125494
2025-04-29,154.79,156.43,151.62,152.06,2389284
2025-04-30,152.35,156.62,152.25,153.84,5781451
2025-05-02,153.26,156.27,152.68,153.77,2304127
2025-05-05,153.92,160.05,153.92,159.61,7550075
2025-05-06,160.12,160.28,155.28,157.48,6658803
2025-05-07,154.32,159.64,154.32,159.27,4058165
2025-05-08,159.83,160.9,153.41,155.56,5486517
2025-05-09,152.87,154.22,151.41,152.59,2315869
2025-05-12,155.04,162.49,155.04,161.34,4238840
2025-05-13,161.34,162.44,158.2,158.71,2267532
2025-05-14,159.53,163.51,156.25,162.36,10733398
2025-05-15,162.88,163.22,156.29,157.78,14591914
2025-05-16,158.19,162.25,156.52,159.82,5180790
2025-05-19,161.38,167.73,160.7,167.08,15384934
2025-05-20,168.35,169.54,166.65,168.5,11554632
2025-05-21,169.6,171.26,165.02,166.33,7007689
2025-05-22,166.8,168.82,161.64,162.74,3031262
2025-05-23,162.93,167.38,162.26,164.77,3253014
2025-05-26,165.43,165.93,161.97,163.76,3099273
2025-05-27,163.76,165.05,161.64,162.03,2430425
2025-05-28,162.53,165.25,161.19,161.6,2488068
2025-05-29,162.54,163.7,161.14,162.59,3005664
2025-05-30,162.83,163.17,156.76,157.12,4607097
2025-06-02,157.9,159.45,156.89,159.15,2373259
2025-06-03,159.54,159.64,155.6,156.21,2841040
2025-06-04,156.93,163.62,156.54,163.38,5251533
2025-06-05,164.48,165.44,159.74,161.13,3717388
2025-06-06,161.61,163.21,159.28,162.62,3646018
2025-06-09,163.46,165.54,162.74,164.62,3509232
2025-06-10,165.69,167.38,164.48,165.73,3784987
2025-06-11,166.8,167.38,165.17,166.13,2387598
2025-06-12,166.13,166.39,159.78,160.49,2114699
2025-06-13,156.74,160.8,156.67,159.14,2032163
2025-06-16,159.64,163.02,157.28,162.4,3804905
2025-06-17,162.4,162.4,156.4,157.7,1536064
2025-06-18,158.09,159.98,156.88,158.4,1500770
2025-06-19,158.38,159.59,155.62,156.2,2541728
2025-06-20,155.91,158.86,155.36,158.08,1118818
2025-06-23,155.87,159.63,155.87,158.14,2395431
2025-06-24,159.64,161.91,157.89,161.15,2987787
2025-06-25,161.99,167.37,161.32,166.8,6210635
2025-06-26,167.57,168.93,165.48,167.56,5204325
2025-06-27,167.86,167.86,165.93,166.7,3201810
2025-06-30,167.38,167.52,165.27,166.17,1732058
2025-07-01,166.41,171.25,166.41,170.72,8696693
2025-07-02,172.37,172.97,168.16,171.34,7254641
2025-07-03,171.73,173.62,169.71,172.29,4025291
2025-07-04,172.29,174.04,171.52,172.8,2946549
2025-07-07,172.65,175.98,171.5,174.66,4109906
2025-07-08,175.6,176.81,173.67,174.53,5171858
2025-07-09,174.72,175.92,172.81,174.89,3619410
2025-07-10,175.41,176.09,171.94,172.64,2751879
2025-07-11,172.07,173.73,168.28,169.13,2393526
2025-07-14,169.13,175.31,168.56,174.22,4330662
2025-07-15,175.12,177.05,174.16,175.94,3950851
2025-07-16,175.11,175.88,174.05,175.41,2752130
2025-07-17,175.41,176.37,174.15,174.83,1621237
2025-07-18,174.44,175.46,172.67,172.93,1941089
2025-07-21,172.85,174.0,171.25,173.01,2359409
2025-07-22,173.67,173.86,171.74,172.15,1600438
2025-07-23,172.89,173.33,171.81,172.35,1797046
2025-07-24,172.55,173.77,169.31,169.45,2493889
2025-07-25,169.31,172.02,167.19,167.49,1864488
2025-07-28,167.19,169.84,166.57,168.34,1322070
2025-07-29,167.48,172.36,166.97,171.28,2293605
2025-07-30,169.8,175.36,169.8,170.87,5504223
2025-07-31,167.86,172.21,162.02,164.0,6059279
2025-08-01,163.51,164.0,159.34,160.15,4702449
2025-08-04,160.73,161.44,157.23,158.48,2479637
2025-08-05,158.86,161.64,157.22,158.93,2211894
2025-08-06,158.93,160.06,155.99,156.27,2795400
2025-08-07,156.16,164.74,155.28,160.45,18187448
2025-08-08,160.75,160.84,156.75,157.89,2642597
2025-08-11,157.89,158.37,155.01,156.73,1749800
2025-08-12,156.74,160.93,156.74,159.45,2047337
2025-08-13,159.94,160.89,158.19,158.98,1445649
2025-08-14,158.98,159.51,157.32,157.63,796444
2025-08-18,159.45,159.77,158.1,159.11,1220860
2025-08-19,159.05,160.4,158.51,159.28,1866207
2025-08-20,159.28,159.59,157.85,158.12,1194347
2025-08-21,158.66,159.83,158.28,159.37,1426608
2025-08-22,159.37,161.92,158.12,161.39,3529704
2025-08-25,162.15,162.88,158.57,158.9,1746429
2025-08-26,158.19,165.51,155.21,156.39,13455154
2025-08-28,156.45,156.83,148.13,149.16,7649335
2025-08-29,149.19,150.44,147.07,147.24,2912337
2025-09-01,147.73,152.08,147.38,150.97,1569328
2025-09-02,151.78,153.28,149.96,151.71,1112810
2025-09-03,151.9,152.49,149.56,150.12,1223141
2025-09-04,151.32,151.83,148.23,148.76,1055500
2025-09-05,148.95,149.86,147.46,148.5,1023994
2025-09-08,149.09,151.47,149.05,149.98,903758
2025-09-09,150.6,153.34,149.12,152.92,2819410
2025-09-10,153.74,157.56,152.97,155.87,2244307
2025-09-11,156.35,157.26,154.21,155.87,1114537
2025-09-12,156.45,157.05,154.13,154.86,1038139
2025-09-15,156.06,162.93,155.77,160.98,4708681
2025-09-16,161.55,163.58,160.03,162.65,1809431
2025-09-17,162.82,163.51,160.66,161.5,1135764
2025-09-18,161.96,162.22,159.24,159.64,1193889
2025-09-19,160.02,165.88,159.32,163.95,3342265
2025-09-22,166.02,167.14,162.06,162.72,2287730
2025-09-23,162.72,165.79,161.05,161.42,4052011
2025-09-24,164.48,166.89,160.95,161.76,4636419
2025-09-25,161.76,162.58,160.41,161.81,1705116
2025-09-26,160.7,161.53,156.76,158.24,1291309
2025-09-29,158.27,159.15,155.24,156.44,1080878
2025-09-30,156.83,161.86,155.09,156.69,3928063
2025-10-01,157.17,158.55,155.08,157.09,2121943
2025-10-03,157.9,161.25,157.88,160.93,2015134
2025-10-06,160.94,162.24,158.77,161.01,1668364
2025-10-07,161.23,161.23,157.22,157.4,2014748
2025-10-08,158.77,163.36,157.75,160.79,3413079
2025-10-09,161.57,165.88,159.88,164.72,3912156
2025-10-10,165.33,167.67,163.71,165.6,3620480
2025-10-13,165.35,165.77,163.24,165.21,1299769
2025-10-14,165.25,166.1,161.49,161.99,1849983
2025-10-15,163.24,171.06,163.23,170.47,9766959
2025-10-16,171.25,171.88,167.86,169.27,3775700
2025-10-17,169.08,169.08,164.48,164.87,1819909
2025-10-20,169.31,174.15,164.87,173.31,9215860
2025-10-21,174.67,176.09,173.28,174.65,1464007
2025-10-23,175.53,176.87,172.41,175.28,4027150
2025-10-24,176.09,179.18,175.29,178.65,7588070
2025-10-27,180.2,183.15,177.26,180.12,5178564
2025-10-28,180.0,181.69,177.91,178.74,2741538
2025-10-29,179.6,185.26,179.5,181.61,5027130
2025-10-30,182.0,182.1,178.5,180.04,1461550
2025-10-31,179.5,181.39,178.5,179.96,1367003
2025-11-03,180.36,182.37,179.01,179.88,1762258
2025-11-04,179.88,182.8,179.51,182.05,3259381
