date,open,high,low,close,volume
2025-03-24,608.0,622.6,594.5,619.5,2891623
2025-03-25,619.5,622.6,605.35,614.35,1746326
2025-03-26,614.0,626.0,609.6,618.05,1850787
2025-03-27,615.45,631.7,609.0,619.35,2493008
2025-03-28,621.0,633.0,615.25,625.5,2278165
2025-04-01,623.55,632.75,613.9,621.4,1274065
2025-04-02,620.5,637.0,615.2,634.2,1205225
2025-04-03,628.25,635.5,622.0,629.3,1358788
2025-04-04,625.45,633.0,620.0,624.6,969377
2025-04-07,589.95,615.15,577.6,612.8,1958919
2025-04-08,626.7,636.0,613.3,631.65,1765120
2025-04-09,630.0,642.5,622.3,638.05,2286845
2025-04-11,642.5,654.55,635.85,645.25,2467732
2025-04-15,653.85,665.85,641.25,664.0,2801281
2025-04-16,662.55,667.45,645.3,654.75,2072690
2025-04-17,654.75,675.0,654.75,673.6,3546717
2025-04-21,677.05,692.5,675.0,690.1,1893379
2025-04-22,690.8,699.7,681.2,684.7,2027545
2025-04-23,684.0,691.05,672.0,688.6,2240498
2025-04-24,688.6,695.8,684.6,688.25,1430785
2025-04-25,685.05,692.7,664.1,676.85,1693632
2025-04-28,675.0,694.2,674.0,690.95,1137328
2025-04-29,689.85,699.0,685.65,691.6,1550985
2025-04-30,694.65,707.55,683.85,692.65,2414489
2025-05-02,693.0,697.2,681.5,695.1,1252087
2025-05-05,699.5,700.8,688.1,690.85,1200694
2025-05-06,693.0,742.2,691.05,726.65,5507406
2025-05-07,712.0,714.0,690.1,709.7,3472518
2025-05-08,710.35,729.9,684.0,691.05,2545234
2025-05-09,665.0,697.4,657.15,693.9,3514574
2025-05-12,706.95,713.75,678.9,689.35,2131996
2025-05-13,688.5,690.2,652.65,657.55,3301295
2025-05-14,657.6,665.7,644.8,647.95,2102168
2025-05-15,648.0,650.1,632.75,636.1,2631750
2025-05-16,637.0,643.1,628.4,632.1,1743564
2025-05-19,627.0,632.55,619.45,621.75,2841022
2025-05-20,622.0,631.15,602.15,603.4,3264319
2025-05-21,604.05,610.8,599.45,603.85,2189538
2025-05-22,603.85,604.8,587.5,591.1,1941001
2025-05-23,592.5,600.8,581.3,594.3,2567523
2025-05-26,600.0,600.5,585.0,586.8,2442806
2025-05-27,586.8,597.25,582.6,594.1,2921436
2025-05-28,595.1,602.4,580.1,582.2,4067785
2025-05-29,585.0,587.45,578.15,585.95,1972965
2025-05-30,585.0,588.0,548.2,551.0,4544256
2025-06-02,550.0,557.9,544.65,555.45,2267297
2025-06-03,558.15,570.95,556.95,561.9,3782716
2025-06-04,563.5,565.9,551.65,559.3,2060377
2025-06-05,561.0,562.45,548.05,552.6,2953555
2025-06-06,554.0,554.25,539.0,540.05,2614146
2025-06-09,542.5,553.75,540.15,551.95,1649487
2025-06-10,555.0,566.5,549.3,565.0,2935361
2025-06-11,570.0,571.9,555.05,564.75,3496904
2025-06-12,565.0,567.0,543.0,544.5,2030711
2025-06-13,539.0,552.65,531.95,549.45,1593973
2025-06-16,549.45,559.8,541.0,558.25,1412941
2025-06-17,558.0,560.4,548.05,555.45,1196093
2025-06-18,554.9,558.55,548.25,551.0,894957
2025-06-19,551.0,556.9,542.0,543.75,890815
2025-06-20,543.05,555.45,542.6,550.85,1570904
2025-06-23,547.2,567.0,546.15,563.3,2935969
2025-06-24,570.0,570.0,560.55,562.75,1319530
2025-06-25,566.5,569.5,557.55,560.3,1499200
2025-06-26,562.0,562.75,551.0,557.9,1356241
2025-06-27,559.0,564.85,556.85,560.25,1106179
2025-06-30,562.0,567.45,560.25,565.25,887164
2025-07-01,565.8,576.0,553.0,558.8,2421436
2025-07-02,559.95,560.0,546.95,549.9,1190874
2025-07-03,551.25,567.5,547.25,565.15,2248641
2025-07-04,568.0,570.9,559.2,563.3,1217782
2025-07-07,563.3,564.0,554.05,557.7,626085
2025-07-08,557.7,561.9,549.0,554.05,763529
2025-07-09,555.0,557.85,550.9,554.85,726733
2025-07-10,554.0,555.9,550.0,550.65,550213
2025-07-11,550.0,550.0,533.5,535.2,1605930
2025-07-14,534.4,546.7,531.85,544.75,925911
2025-07-15,544.0,555.55,543.9,553.4,1241969
2025-07-16,552.0,560.0,550.75,552.1,1050686
2025-07-17,554.9,559.0,546.4,554.9,1105054
2025-07-18,555.0,557.0,546.5,548.65,1156709
2025-07-21,548.6,554.65,544.5,551.7,872849
2025-07-22,552.5,554.95,548.05,550.2,724125
2025-07-23,550.2,561.25,550.05,558.9,1534408
2025-07-24,561.55,569.75,552.5,554.45,1832619
2025-07-25,555.0,555.3,535.85,538.0,1428649
2025-07-28,538.95,542.4,527.15,529.9,1536615
2025-07-29,528.85,534.95,524.9,532.7,1142201
2025-07-30,535.0,548.95,533.2,538.2,2635551
2025-07-31,535.0,536.0,503.0,514.9,7493748
2025-08-01,533.0,551.55,515.05,518.3,14204888
2025-08-04,523.05,536.0,512.0,532.15,2694734
2025-08-05,531.0,569.8,531.0,567.5,11507207
2025-08-06,570.95,571.4,560.0,569.5,3178115
2025-08-07,567.0,571.0,555.25,561.65,1771601
2025-08-08,560.75,562.0,528.3,530.55,3013769
2025-08-11,529.75,533.9,516.5,522.25,1482566
2025-08-12,522.1,539.0,519.5,536.65,1516323
2025-08-13,538.0,538.75,525.6,527.3,1023204
2025-08-14,527.0,532.65,525.0,528.6,811706
2025-08-18,535.3,536.15,526.35,534.75,867397
2025-08-19,536.9,554.75,531.95,549.85,2137508
2025-08-20,551.1,568.0,545.3,562.95,2109767
2025-08-21,564.9,566.75,557.0,562.65,838302
2025-08-22,561.0,567.4,553.55,561.55,932423
2025-08-25,564.0,569.9,553.35,555.7,738877
2025-08-26,554.6,559.45,545.6,552.7,991467
2025-08-28,552.0,553.15,539.85,541.75,466807
2025-08-29,544.7,549.9,536.3,540.1,957245
2025-09-01,541.95,547.1,538.45,544.85,453977
2025-09-02,545.0,568.5,540.5,559.05,1930748
2025-09-03,563.7,580.7,555.1,569.75,3937532
2025-09-04,580.0,580.0,554.8,557.65,1552861
2025-09-05,558.0,563.55,551.6,553.4,727786
2025-09-08,555.15,556.4,545.1,549.55,869712
2025-09-09,549.45,549.45,530.0,537.9,2152635
2025-09-10,538.5,548.35,536.55,545.1,1114456
2025-09-11,543.0,549.75,541.3,543.25,638612
2025-09-12,544.5,547.55,536.7,539.25,546357
2025-09-15,539.35,541.95,536.05,538.9,571098
2025-09-16,539.25,547.9,537.35,545.45,728092
2025-09-17,548.15,559.0,545.55,554.2,961417
