date,open,high,low,close,volume
2025-03-24,363.0,364.95,356.95,362.2,953758
2025-03-25,363.45,364.0,356.3,358.8,981855
2025-03-26,358.0,367.5,354.55,360.1,1492943
2025-03-27,359.8,360.25,350.0,354.75,2630637
2025-03-28,356.95,357.75,351.25,353.95,1694266
2025-04-01,356.9,359.45,344.25,345.6,892954
2025-04-02,345.6,347.3,338.2,339.3,3590929
2025-04-03,337.1,340.15,333.25,335.55,1776844
2025-04-04,336.85,336.85,325.6,329.3,1506674
2025-04-07,305.0,331.9,301.0,330.3,2738907
2025-04-08,345.6,345.6,331.1,332.65,2086692
2025-04-09,330.1,333.6,325.6,328.8,1403719
2025-04-11,340.95,340.95,331.1,334.1,883608
2025-04-15,336.0,339.7,333.55,335.6,3506868
2025-04-16,337.4,338.0,332.45,335.1,1037134
2025-04-17,335.0,338.65,331.8,332.2,2710533
2025-04-21,332.5,340.3,329.85,339.45,3398288
2025-04-22,342.85,355.5,340.35,353.15,3290230
2025-04-23,354.5,354.5,339.15,343.8,3969521
2025-04-24,344.8,345.2,337.1,342.9,2530400
2025-04-25,344.0,345.2,328.65,334.85,2561400
2025-04-28,334.5,337.65,331.45,332.85,4171642
2025-04-29,335.5,341.7,333.0,336.7,4568829
2025-04-30,341.0,343.15,335.0,337.3,3408678
2025-05-02,335.55,337.85,321.0,322.8,5779883
2025-05-05,326.0,335.7,323.55,335.1,2520825
2025-05-06,337.0,337.15,327.4,328.25,2618254
2025-05-07,325.5,334.1,325.2,333.35,1268033
2025-05-08,333.35,339.5,324.55,325.95,1289483
2025-05-09,315.0,326.35,315.0,321.85,1857511
2025-05-12,332.7,336.5,327.65,335.5,1202730
2025-05-13,335.0,338.2,329.15,331.05,2006779
2025-05-14,334.65,339.45,327.5,331.4,4525738
2025-05-15,334.0,334.0,325.3,327.4,5076613
2025-05-16,339.35,353.4,338.3,351.25,21433849
2025-05-19,356.5,362.75,349.1,351.35,4119881
2025-05-20,353.0,353.05,345.25,345.8,1769089
2025-05-21,348.0,350.35,342.75,349.05,2416117
2025-05-22,347.4,348.45,344.35,346.0,2855538
2025-05-23,346.0,353.0,343.05,351.55,1288725
2025-05-26,354.0,359.3,350.55,356.95,2735085
2025-05-27,357.5,358.35,352.15,357.0,2310356
2025-05-28,358.05,358.25,351.15,352.65,1763858
2025-05-29,355.35,360.9,350.7,359.3,2161524
2025-05-30,359.5,360.2,350.85,352.9,1555328
2025-06-02,352.85,355.2,350.0,354.45,1371440
2025-06-03,355.9,355.9,348.5,349.2,1416416
2025-06-04,346.0,350.9,345.2,347.5,1607181
2025-06-05,347.5,351.5,347.1,350.45,1783253
2025-06-06,351.0,353.45,349.0,351.65,965707
2025-06-09,354.15,356.35,352.7,354.35,1168088
2025-06-10,356.0,356.05,352.15,355.0,2238193
2025-06-11,355.45,356.9,349.2,352.55,1098549
2025-06-12,351.8,352.9,341.7,343.75,3146184
2025-06-13,337.0,344.5,336.75,343.9,1428304
2025-06-16,346.7,350.0,343.3,348.65,1250147
2025-06-17,350.0,352.4,347.55,349.55,948053
2025-06-18,347.1,350.5,344.5,346.65,1080692
2025-06-19,347.95,348.5,338.0,339.55,968732
2025-06-20,340.0,345.4,337.8,344.6,1462827
2025-06-23,341.5,349.45,339.25,347.45,1503552
2025-06-24,351.0,352.5,347.25,348.05,1648120
2025-06-25,350.05,355.75,346.7,354.85,2999157
2025-06-26,356.6,358.75,350.8,357.75,3027870
2025-06-27,360.0,362.0,355.65,357.15,1948776
2025-06-30,359.7,360.4,354.1,355.15,1635521
2025-07-01,355.15,356.1,350.1,351.25,2077669
2025-07-02,351.25,352.25,344.4,347.1,1370449
2025-07-03,348.0,354.65,345.8,350.25,1217394
2025-07-04,351.25,356.3,350.15,355.05,1564163
2025-07-07,355.05,358.0,349.15,351.55,1110333
2025-07-08,351.55,351.95,342.4,343.45,2596736
2025-07-09,343.45,345.75,341.5,342.8,963557
2025-07-10,345.8,345.8,342.0,343.8,1421482
2025-07-11,343.9,343.9,333.5,335.65,1663456
2025-07-14,336.0,339.95,334.75,338.65,2419646
2025-07-15,339.5,353.15,339.5,351.85,3626870
2025-07-16,350.0,353.25,347.4,350.25,1553436
2025-07-17,351.0,352.4,348.0,349.6,2360948
2025-07-18,350.5,351.95,343.2,343.85,1798748
2025-07-21,344.95,344.95,337.85,341.15,1282305
2025-07-22,341.3,341.5,333.05,335.95,3615808
2025-07-23,336.95,343.0,334.85,340.0,2419048
2025-07-24,339.8,339.8,333.2,334.15,1276774
2025-07-25,334.5,334.5,328.0,328.95,1536672
2025-07-28,328.75,333.95,326.8,331.2,861761
2025-07-29,329.0,330.55,325.3,327.7,1266410
2025-07-30,330.45,330.8,320.75,324.15,2089982
2025-07-31,322.95,325.8,320.5,323.0,1568950
2025-08-01,322.6,324.95,320.45,321.2,1483613
2025-08-04,321.8,327.6,319.65,327.1,1375813
2025-08-05,327.1,327.1,321.05,323.25,2867169
2025-08-06,322.95,324.05,317.6,319.0,2591418
2025-08-07,319.0,322.75,317.0,319.35,2424367
2025-08-08,315.0,323.0,315.0,319.7,3901406
2025-08-11,318.1,320.3,314.0,317.85,1767812
2025-08-12,317.85,321.65,315.2,317.35,1890781
2025-08-13,317.75,321.1,316.75,318.5,1579937
2025-08-14,320.0,324.25,319.4,319.8,1246603
2025-08-18,325.1,329.1,324.15,325.45,2116903
2025-08-19,325.8,330.7,322.5,329.5,1781293
2025-08-20,329.9,330.3,326.1,328.35,2274711
2025-08-21,330.9,330.9,319.95,320.85,2354813
2025-08-22,320.85,326.0,316.0,316.7,2224130
2025-08-25,318.2,323.95,316.6,322.9,2048986
2025-08-26,323.0,327.3,321.25,324.95,2854082
2025-08-28,324.95,326.3,319.8,324.05,1777977
2025-08-29,323.05,334.4,323.05,330.0,3392084
2025-09-01,331.2,336.4,331.05,335.15,1345273
2025-09-02,337.05,337.5,331.25,333.7,1224187
2025-09-03,335.0,335.15,330.7,332.6,1280428
2025-09-04,337.0,337.0,326.5,327.85,1544039
2025-09-05,327.8,329.8,325.25,327.6,1589492
2025-09-08,328.6,335.0,325.25,327.0,1199089
2025-09-09,328.0,328.05,321.0,321.95,1939329
2025-09-10,324.5,325.4,317.0,317.8,3439176
2025-09-11,319.0,320.15,314.25,315.2,3190684
2025-09-12,318.1,318.1,313.55,314.45,1571326
2025-09-15,315.15,319.45,309.6,311.85,3227840
2025-09-16,312.8,315.0,311.0,313.95,1968239
2025-09-17,315.6,318.75,313.65,315.05,1842251
2025-09-18,319.0,319.0,314.7,316.85,1630108
2025-09-19,317.95,317.95,313.0,313.95,1453920
2025-09-22,314.0,314.5,307.1,308.75,2438609
2025-09-23,309.3,309.6,302.5,305.35,2832595
2025-09-24,305.05,306.6,299.0,300.05,2221061
2025-09-25,300.0,300.9,295.4,299.25,4969829
2025-09-26,299.25,300.05,290.35,292.6,5080459
2025-09-29,294.9,295.6,292.1,293.65,2414846
2025-09-30,294.0,295.5,286.0,291.3,4550209
2025-10-01,291.35,294.55,289.3,293.1,2403173
2025-10-03,295.0,296.05,292.35,295.2,2633199
2025-10-06,297.85,297.85,288.1,289.05,2671943
2025-10-07,290.0,291.1,286.1,287.5,2004020
2025-10-08,289.8,289.8,285.0,285.95,3609043
2025-10-09,287.4,287.95,283.15,284.55,4736898
2025-10-10,286.4,290.5,284.8,287.75,2686053
2025-10-13,288.55,288.55,283.4,284.5,2656931
2025-10-14,285.2,286.4,278.0,280.1,5279016
2025-10-15,282.3,288.95,281.35,288.4,3813531
2025-10-16,290.0,291.35,285.35,288.6,2388997
2025-10-17,289.0,291.3,286.0,287.5,1778582
2025-10-20,289.05,289.1,285.85,287.05,2852534
2025-10-21,290.15,290.3,287.6,288.6,318168
2025-10-23,290.0,293.05,287.65,290.95,2839746
2025-10-24,292.75,294.5,289.0,293.35,3224313
2025-10-27,296.9,296.9,291.5,292.05,3112928
2025-10-28,292.8,293.0,287.5,290.3,4533574
2025-10-29,291.45,292.5,288.75,291.05,2939138
2025-10-30,291.0,291.7,284.7,286.65,3894928
2025-10-31,286.65,289.3,281.95,282.7,4577706
2025-11-03,282.7,285.4,280.85,284.1,3215109
2025-11-04,285.0,286.0,282.4,283.25,2340525
2025-11-06,283.5,284.35,276.4,278.55,2344095
2025-11-07,273.0,279.8,269.1,277.15,6292556
2025-11-10,277.15,286.35,276.05,280.3,5652838
2025-11-11,280.4,280.95,273.65,279.1,2263086
2025-11-12,280.15,282.65,278.3,281.3,4617350
2025-11-13,282.65,282.7,276.35,278.6,2083208
2025-11-14,278.45,279.6,274.35,276.15,3368751
2025-11-17,276.15,278.2,273.65,274.35,1786175
2025-11-18,274.45,277.9,271.15,273.1,2176991
2025-11-19,273.75,275.25,272.8,274.3,2675917
2025-11-20,275.95,275.95,268.9,270.0,2348660
2025-11-21,269.95,271.25,265.95,267.35,1797104
2025-11-24,267.95,269.85,265.0,265.4,1795957
2025-11-25,265.0,265.55,262.15,265.05,2618236
2025-11-26,265.95,271.85,264.4,268.35,2945617
2025-11-27,269.05,269.25,266.15,266.65,1488268
2025-11-28,266.75,267.8,264.6,265.35,1077848
2025-12-01,266.0,267.15,261.6,262.45,2493309
2025-12-02,263.75,264.7,260.25,260.9,1457185
2025-12-03,260.9,261.8,255.25,255.85,4895978
2025-12-04,255.1,261.8,255.1,258.9,1906296
2025-12-05,260.05,263.35,257.5,260.1,2322140
2025-12-08,260.1,260.5,251.55,252.7,1788625
2025-12-09,252.3,254.85,250.1,253.15,1704967
2025-12-10,253.5,256.3,249.0,249.9,2069091
2025-12-11,249.95,252.55,248.4,251.5,1659999
2025-12-12,251.9,255.25,250.3,254.1,1205605
2025-12-15,254.0,254.0,251.2,253.05,757160
2025-12-16,252.8,254.7,251.55,252.45,1629647
2025-12-17,253.15,253.6,248.0,249.15,1706218
2025-12-18,250.6,264.3,250.0,255.65,15018319
2025-12-19,255.65,256.95,250.75,255.6,3766354
2025-12-22,259.95,260.6,256.95,259.1,3417868
2025-12-23,260.9,261.35,257.45,259.7,2771302
2025-12-24,260.0,261.0,256.75,257.4,1650819
2025-12-26,257.4,259.2,255.75,256.85,1421040
2025-12-29,257.9,258.0,253.8,255.4,1235378
2025-12-30,255.0,255.4,250.6,251.6,2674749
2025-12-31,252.0,253.6,247.5,252.25,3355281
2026-01-01,252.3,254.15,248.3,249.25,1673462
2026-01-02,250.0,255.9,247.9,252.1,7080593
2026-01-05,252.7,260.9,250.5,259.75,5740102
2026-01-06,260.5,262.85,257.3,259.9,3372581
2026-01-07,261.0,265.9,259.3,263.45,3737947
2026-01-08,264.0,266.0,256.75,257.65,2677012
2026-01-09,257.75,259.05,250.0,252.35,3912266
2026-01-12,251.5,252.85,247.0,251.15,2834350
2026-01-13,251.9,253.9,248.15,252.8,2258568
2026-01-14,252.6,256.0,251.65,254.7,1388641
2026-01-16,255.0,256.9,250.0,251.2,1899361
2026-01-19,251.2,251.35,242.7,243.2,2400212
2026-01-20,243.35,244.75,232.05,233.6,5202703
2026-01-21,232.9,235.55,228.85,232.25,4280088
2026-01-22,235.95,236.4,229.0,229.65,3048234
2026-01-23,232.8,232.8,223.75,225.3,3859058
2026-01-27,226.0,226.0,219.5,222.15,4314040
2026-01-28,222.7,227.15,222.15,225.4,4143799
2026-01-29,226.9,226.9,218.7,221.7,3914866
2026-01-30,219.6,222.75,217.4,221.45,4231737
2026-02-01,222.95,231.86,221.2,225.9,3034657
2026-02-02,226.47,227.0,219.15,225.41,3743357
2026-02-03,234.97,239.49,229.48,232.69,4511140
2026-02-04,232.81,246.7,232.1,244.06,9631168
2026-02-05,245.74,247.84,241.71,246.63,3565459
2026-02-06,246.95,247.55,241.99,245.03,2074085
2026-02-09,245.06,263.8,243.05,262.92,8983263
2026-02-10,264.0,269.2,260.6,261.66,5938522
