date,open,high,low,close,volume
2025-03-24,1150.0,1173.0,1117.05,1125.6,1061008
2025-03-25,1133.7,1152.0,1127.0,1138.35,225975
2025-03-26,1143.95,1173.0,1104.55,1115.85,538116
2025-03-27,1110.0,1148.0,1108.15,1140.8,285550
2025-03-28,1140.8,1155.0,1102.65,1116.2,268644
2025-04-01,1113.75,1119.35,1093.05,1101.95,197870
2025-04-02,1112.9,1175.6,1090.4,1161.25,596128
2025-04-03,1141.0,1168.9,1133.0,1156.1,276305
2025-04-04,1156.95,1164.9,1112.2,1136.65,237565
2025-04-07,988.75,1100.0,976.0,1094.45,639783
2025-04-08,1116.15,1154.85,1099.05,1111.3,370665
2025-04-09,1111.3,1164.4,1100.0,1158.6,418621
2025-04-11,1189.0,1214.7,1156.7,1206.45,632083
2025-04-15,1225.0,1269.0,1212.4,1263.3,596586
2025-04-16,1269.0,1284.0,1246.2,1258.7,303295
2025-04-17,1258.7,1315.0,1258.7,1293.1,611237
2025-04-21,1294.8,1332.9,1270.6,1300.6,423184
2025-04-22,1311.0,1321.0,1261.9,1275.6,364159
2025-04-23,1277.9,1308.0,1270.1,1283.4,171323
2025-04-24,1287.0,1322.0,1276.0,1317.7,302285
2025-04-25,1324.0,1348.9,1267.1,1309.3,468469
2025-04-28,1294.9,1329.7,1283.7,1313.9,207487
2025-04-29,1321.0,1337.0,1288.6,1301.6,247662
2025-04-30,1302.0,1302.7,1275.0,1279.9,253846
2025-05-02,1279.9,1294.8,1250.0,1265.7,208211
2025-05-05,1265.7,1298.0,1251.2,1289.6,256401
2025-05-06,1295.5,1296.6,1234.1,1246.9,271529
2025-05-07,1206.4,1274.0,1205.1,1264.0,362707
2025-05-08,1267.8,1297.8,1234.0,1249.8,338182
2025-05-09,1205.0,1263.9,1205.0,1254.0,252359
2025-05-12,1290.0,1335.0,1278.5,1302.0,397618
2025-05-13,1302.0,1309.0,1281.0,1290.8,215490
2025-05-14,1298.4,1344.0,1289.0,1336.0,413968
2025-05-15,1341.0,1392.0,1335.3,1345.2,655213
2025-05-16,1355.0,1368.0,1332.0,1345.1,228224
2025-05-19,1353.6,1390.0,1340.8,1383.4,342529
2025-05-20,1389.0,1407.3,1361.1,1374.2,497634
2025-05-21,1378.7,1384.9,1351.0,1368.7,231267
2025-05-22,1375.0,1393.9,1330.1,1361.5,744849
2025-05-23,1357.8,1357.8,1285.4,1327.4,825548
2025-05-26,1327.4,1374.9,1324.4,1365.9,512012
2025-05-27,1365.9,1379.0,1345.0,1355.4,265026
2025-05-28,1362.9,1449.8,1360.1,1444.7,1524601
2025-05-29,1456.0,1529.0,1421.5,1519.5,2044345
2025-05-30,1525.0,1525.0,1478.0,1483.7,492193
2025-06-02,1494.0,1507.9,1460.0,1480.2,609824
2025-06-03,1483.0,1594.8,1476.4,1540.1,2673869
2025-06-04,1540.1,1585.0,1531.8,1577.2,725771
2025-06-05,1577.5,1585.0,1525.0,1539.0,534271
2025-06-06,1544.2,1563.9,1518.0,1544.6,445297
2025-06-09,1550.6,1554.8,1499.2,1531.6,491066
2025-06-10,1544.7,1587.0,1527.7,1553.3,607813
2025-06-11,1564.9,1612.0,1556.2,1575.9,840406
2025-06-12,1585.0,1637.0,1551.3,1562.8,811804
2025-06-13,1547.0,1582.3,1525.2,1554.3,448572
2025-06-16,1565.0,1577.8,1540.2,1572.5,333683
2025-06-17,1571.1,1614.0,1552.0,1561.6,605938
2025-06-18,1565.0,1569.9,1532.0,1542.8,300278
2025-06-19,1544.0,1558.6,1507.2,1528.1,333002
2025-06-20,1524.0,1547.8,1508.5,1534.3,363837
2025-06-23,1535.0,1561.0,1527.9,1547.9,263333
2025-06-24,1560.0,1597.8,1548.5,1578.1,522162
2025-06-25,1590.0,1619.0,1578.0,1606.8,475501
2025-06-26,1611.0,1624.0,1585.2,1594.4,311165
2025-06-27,1596.0,1619.0,1581.0,1594.1,377362
2025-06-30,1603.5,1725.0,1596.8,1707.4,1303067
2025-07-01,1720.0,1757.8,1701.0,1743.5,1083208
2025-07-02,1751.8,1752.0,1697.5,1740.9,559388
2025-07-03,1739.9,1778.6,1724.0,1728.9,452279
2025-07-04,1729.0,1755.0,1697.6,1709.9,359585
2025-07-07,1717.4,1717.4,1607.0,1612.0,1098294
2025-07-08,1600.0,1638.0,1585.7,1597.9,599203
2025-07-09,1599.4,1615.1,1592.9,1611.0,196087
2025-07-10,1611.2,1623.8,1566.0,1578.4,286300
2025-07-11,1587.1,1590.9,1566.1,1582.8,157020
2025-07-14,1588.8,1588.9,1550.0,1570.4,184886
2025-07-15,1607.0,1658.3,1597.2,1602.6,1349196
2025-07-16,1608.9,1609.0,1571.0,1586.1,252978
2025-07-17,1589.6,1610.7,1571.2,1605.4,216137
2025-07-18,1607.7,1611.2,1572.0,1581.4,143010
2025-07-21,1575.0,1642.7,1572.0,1625.7,622161
2025-07-22,1632.9,1632.9,1590.0,1597.3,182822
2025-07-23,1599.0,1615.0,1585.3,1595.8,160006
2025-07-24,1595.8,1618.7,1589.6,1598.1,121185
2025-07-25,1599.9,1602.0,1523.1,1534.0,322654
2025-07-28,1527.0,1538.3,1477.3,1520.4,308156
2025-07-29,1510.0,1618.9,1500.4,1607.4,1109712
