date,open,high,low,close,volume
2025-03-24,2069.05,2103.85,2061.25,2090.9,264986
2025-03-25,2113.9,2113.9,2023.3,2037.5,171309
2025-03-26,2035.0,2050.0,2000.85,2016.7,274287
2025-03-27,2000.3,2032.25,1980.1,1991.15,243872
2025-03-28,1995.0,2048.0,1970.55,1983.6,227720
2025-04-01,1974.6,1999.0,1945.5,1982.3,161922
2025-04-02,1978.6,2038.35,1966.35,2032.95,110814
2025-04-03,1998.9,2030.0,1969.6,2004.6,377054
2025-04-04,1985.1,2001.5,1916.15,1928.95,145164
2025-04-07,1782.0,1878.4,1782.0,1823.7,321919
2025-04-08,1865.0,1874.95,1811.55,1828.2,193922
2025-04-09,1827.75,1827.75,1785.95,1807.35,145764
2025-04-11,1860.0,1941.1,1850.0,1932.85,787021
2025-04-15,1941.1,1967.2,1925.0,1933.9,361118
2025-04-16,1940.0,1982.5,1933.1,1970.5,243680
2025-04-17,1980.0,1982.6,1950.0,1959.8,111568
2025-04-21,1975.5,2030.0,1947.2,2019.7,324679
2025-04-22,2010.0,2067.4,2008.9,2029.4,248331
2025-04-23,2039.9,2043.2,1991.9,2013.7,129165
2025-04-24,2018.4,2038.8,1995.7,2003.0,324096
2025-04-25,2003.0,2018.5,1920.0,1961.3,162712
2025-04-28,1950.0,1981.0,1943.5,1978.0,103629
2025-04-29,1990.0,2009.7,1975.1,1987.4,95789
2025-04-30,1987.4,2002.6,1925.2,1935.6,226352
2025-05-02,1935.9,2005.0,1935.8,1989.6,203643
2025-05-05,1990.0,2025.0,1990.0,2019.9,148156
2025-05-06,2012.5,2021.9,1950.0,1955.1,95066
2025-05-07,1917.0,1995.0,1917.0,1986.4,207145
2025-05-08,1991.9,2009.0,1887.0,1904.2,161434
2025-05-09,1845.0,1917.7,1845.0,1908.1,112713
2025-05-12,1960.0,1987.8,1946.3,1981.1,138995
2025-05-13,1996.9,1998.9,1940.0,1948.2,171416
2025-05-14,1956.3,1986.0,1951.1,1980.1,157095
2025-05-15,1990.0,2068.0,1979.7,2049.4,353717
2025-05-16,2084.0,2124.0,2055.5,2110.9,344457
2025-05-19,2127.0,2174.0,2113.4,2118.5,372045
2025-05-20,2132.2,2148.9,2068.3,2077.7,193162
2025-05-21,2095.8,2104.0,2051.2,2090.2,127268
2025-05-22,2090.2,2135.0,2060.0,2070.8,346367
2025-05-23,2088.0,2102.0,2064.5,2069.2,176598
2025-05-26,2070.0,2096.8,2035.0,2045.2,285438
2025-05-27,2044.7,2112.2,2032.0,2037.8,642885
2025-05-28,2055.0,2082.3,1993.0,2000.1,374741
2025-05-29,2075.0,2128.9,2021.5,2100.4,2460546
2025-05-30,2100.0,2100.0,2020.0,2027.3,354683
2025-06-02,2025.0,2036.2,1976.3,1994.7,291382
2025-06-03,2006.0,2033.0,1991.2,2019.4,171910
2025-06-04,2024.1,2033.3,1983.0,1988.1,217845
2025-06-05,1992.0,2019.7,1975.0,1980.6,217814
2025-06-06,1985.9,1993.0,1935.1,1940.6,506995
2025-06-09,1953.8,1963.5,1945.7,1952.0,166093
2025-06-10,1955.0,1966.7,1944.4,1955.6,173857
2025-06-11,1964.8,1982.4,1948.0,1962.1,255541
2025-06-12,1965.0,1968.3,1926.0,1930.3,149948
2025-06-13,1920.0,1923.6,1899.1,1909.9,173099
2025-06-16,1919.0,1928.9,1890.0,1908.4,200053
2025-06-17,1914.9,1931.4,1893.5,1904.0,146674
2025-06-18,1913.8,1924.5,1895.0,1911.3,163538
2025-06-19,1921.5,1922.4,1870.0,1879.4,188660
2025-06-20,1879.5,1900.0,1865.0,1894.6,135037
2025-06-23,1880.0,1890.5,1873.7,1878.6,99010
2025-06-24,1895.0,1908.0,1883.6,1898.3,113116
2025-06-25,1902.0,1949.0,1900.1,1944.7,211646
2025-06-26,1961.9,1974.2,1944.0,1969.4,168289
2025-06-27,1979.0,1990.0,1956.0,1984.6,208188
2025-06-30,1990.0,1995.0,1965.0,1987.1,150347
2025-07-01,1990.1,2001.5,1948.3,1959.2,173913
2025-07-02,1959.9,2012.0,1959.9,1994.9,298691
2025-07-03,1995.0,2008.0,1968.0,1971.1,199256
2025-07-04,1975.0,1988.0,1951.7,1963.2,94339
2025-07-07,1968.9,1985.8,1946.0,1980.0,214403
2025-07-08,1988.0,1997.9,1970.0,1979.0,119221
2025-07-09,1985.0,1990.1,1976.0,1980.7,101489
2025-07-10,1981.0,1990.4,1970.3,1983.8,96248
2025-07-11,1972.0,1999.5,1972.0,1988.1,130857
2025-07-14,1988.1,1988.1,1959.6,1964.6,61975
2025-07-15,1966.4,1996.0,1966.4,1975.6,87897
2025-07-16,1987.0,1989.0,1956.0,1959.4,93701
2025-07-17,1960.0,1969.7,1956.8,1960.2,65912
2025-07-18,1962.0,1963.7,1938.5,1948.9,70876
2025-07-21,1939.0,1951.2,1928.0,1936.6,73008
2025-07-22,1946.0,1953.0,1921.5,1927.8,57672
2025-07-23,1927.8,1938.1,1919.7,1927.0,69708
2025-07-24,1935.0,1945.9,1914.0,1922.8,75569
2025-07-25,1922.8,1923.5,1898.0,1902.6,77431
2025-07-28,1901.9,1905.4,1853.0,1857.2,112325
2025-07-29,1864.5,1888.9,1851.0,1865.3,102842
2025-07-30,1880.0,1916.7,1871.0,1888.6,95813
2025-07-31,1865.0,1880.0,1835.0,1840.4,148957
2025-08-01,1835.0,1855.8,1812.6,1819.8,101500
2025-08-04,1820.1,1834.5,1800.1,1817.5,95906
2025-08-05,1831.2,1837.0,1809.0,1825.0,60147
2025-08-06,1834.9,1834.9,1804.0,1812.5,47405
2025-08-07,1800.0,1830.6,1794.0,1824.1,62572
2025-08-08,1825.0,1831.3,1802.0,1805.8,40791
2025-08-11,1805.8,1854.8,1794.0,1845.6,74630
2025-08-12,1859.5,1870.7,1827.1,1864.1,85670
2025-08-13,1865.9,1877.0,1847.0,1873.3,64615
2025-08-14,1800.0,1871.1,1775.0,1856.6,474235
2025-08-18,1850.1,1854.9,1805.0,1810.5,717730
2025-08-19,1819.4,1829.9,1811.0,1813.6,96708
2025-08-20,1813.6,1820.8,1809.1,1814.7,100649
2025-08-21,1815.0,1816.4,1805.0,1810.8,143239
2025-08-22,1811.0,1822.7,1802.0,1805.2,74663
2025-08-25,1805.0,1841.0,1804.0,1830.2,72758
2025-08-26,1824.2,1866.0,1806.8,1843.6,130949
2025-08-28,1835.0,1842.0,1804.0,1809.7,84644
2025-08-29,1812.0,1823.4,1785.0,1787.9,113754
2025-09-01,1800.0,1806.0,1766.0,1788.9,374880
2025-09-02,1806.0,1808.0,1750.1,1758.8,345475
2025-09-03,1772.9,1776.5,1745.7,1762.3,286344
2025-09-04,1780.0,1780.0,1746.0,1749.4,118185
2025-09-05,1763.5,1770.0,1748.0,1749.5,115300
2025-09-08,1757.6,1762.7,1742.0,1745.3,118065
2025-09-09,1752.0,1762.0,1733.9,1739.1,252881
2025-09-10,1749.5,1780.9,1735.0,1737.8,448365
2025-09-11,1751.0,1765.0,1740.5,1749.4,240984
2025-09-12,1750.1,1776.7,1748.0,1749.6,181602
2025-09-15,1755.9,1759.2,1743.0,1746.6,141177
2025-09-16,1755.9,1795.8,1752.6,1787.3,901143
2025-09-17,1801.0,1865.8,1801.0,1844.9,661105
2025-09-18,1846.7,1849.0,1806.5,1814.9,184887
2025-09-19,1819.9,1837.8,1785.0,1805.7,416791
2025-09-22,1806.0,1831.9,1805.1,1811.3,144273
2025-09-23,1822.7,1832.0,1805.7,1821.1,138134
2025-09-24,1830.0,1904.4,1810.0,1869.4,650500
2025-09-25,1871.0,1900.0,1844.0,1861.9,228339
2025-09-26,1855.0,1855.6,1838.3,1848.4,295582
2025-09-29,1849.9,1853.2,1828.8,1833.6,124628
2025-09-30,1839.9,1859.9,1827.1,1835.1,88652
2025-10-01,1835.1,1844.4,1827.6,1841.5,58353
2025-10-03,1841.5,1858.0,1841.5,1851.8,67837
2025-10-06,1851.9,1859.5,1822.0,1843.8,148270
2025-10-07,1840.0,1842.8,1785.0,1802.0,157967
2025-10-08,1799.0,1815.0,1782.1,1795.3,99615
2025-10-09,1795.0,1795.0,1772.1,1780.8,112233
2025-10-10,1772.0,1792.0,1758.0,1789.3,200353
2025-10-13,1775.1,1788.7,1767.0,1772.4,103060
2025-10-14,1773.1,1779.7,1751.1,1759.8,75030
2025-10-15,1760.0,1779.5,1753.2,1768.5,67528
2025-10-16,1773.9,1792.0,1762.0,1775.4,115300
2025-10-17,1774.0,1778.9,1763.0,1770.2,70386
2025-10-20,1765.0,1780.0,1755.0,1758.7,80100
2025-10-21,1773.0,1781.9,1765.0,1770.6,25462
