date,open,high,low,close,volume
2025-03-24,86.75,93.67,84.12,89.56,1057533
2025-03-25,91.0,93.3,86.15,86.78,689359
2025-03-26,86.95,88.48,82.1,83.18,588972
2025-03-27,84.0,89.5,83.21,85.74,834172
2025-03-28,85.0,88.99,83.15,84.32,577383
2025-04-01,83.05,88.95,83.05,88.13,298772
2025-04-02,89.2,91.99,86.39,89.04,283277
2025-04-03,88.97,92.9,87.0,91.3,444095
2025-04-04,90.62,90.85,84.79,86.12,555170
2025-04-07,80.0,86.9,80.0,85.39,537117
2025-04-08,86.65,89.29,85.06,86.58,284691
2025-04-09,86.6,86.64,83.59,83.97,170454
2025-04-11,86.0,86.87,84.54,85.68,186521
2025-04-15,87.8,89.99,87.3,88.85,186757
2025-04-16,89.25,90.35,88.21,89.2,147103
2025-04-17,89.6,94.15,88.95,90.89,776496
2025-04-21,91.99,96.96,91.7,95.35,711243
2025-04-22,95.3,96.0,92.72,94.27,442693
2025-04-23,95.07,96.0,92.0,94.01,439438
2025-04-24,94.01,95.51,90.95,91.3,333164
2025-04-25,91.05,92.25,86.55,88.3,497668
2025-04-28,88.26,89.13,87.0,87.5,239989
2025-04-29,87.6,89.66,87.27,88.01,212822
2025-04-30,87.0,87.5,83.76,84.29,280928
2025-05-02,84.29,85.4,82.4,82.83,205991
2025-05-05,82.4,85.41,80.72,84.38,362801
2025-05-06,85.25,85.26,79.51,80.11,322474
2025-05-07,77.55,81.42,77.15,80.52,226904
2025-05-08,81.11,83.61,77.5,78.44,255850
2025-05-09,76.5,81.0,75.91,80.26,297034
2025-05-12,83.05,86.16,83.05,85.38,529900
2025-05-13,85.5,86.95,84.56,86.13,204176
2025-05-14,86.42,91.85,85.83,90.37,435708
2025-05-15,91.05,93.0,87.0,89.15,517514
2025-05-16,89.8,98.5,89.15,96.44,1015720
2025-05-19,96.5,99.12,94.45,95.16,782175
2025-05-20,94.8,96.07,92.7,93.53,318105
2025-05-21,93.8,94.73,90.43,93.64,322843
2025-05-22,93.5,94.93,90.6,92.14,435422
2025-05-23,92.49,95.04,92.49,93.83,229340
2025-05-26,94.29,95.55,92.95,93.76,206794
