date,open,high,low,close,volume
2025-03-24,774.4,793.2,761.25,784.25,253310
2025-03-25,788.0,794.0,775.05,784.15,311153
2025-03-26,789.95,799.9,773.2,781.5,276413
2025-03-27,775.15,792.35,774.3,789.2,139981
2025-03-28,789.2,795.0,780.2,785.6,121864
2025-04-01,773.8,795.0,773.8,789.95,162562
2025-04-02,791.2,794.1,772.5,781.7,227878
2025-04-03,775.2,813.5,775.2,796.65,319718
2025-04-04,788.0,795.65,766.0,770.1,258911
2025-04-07,701.0,745.0,696.65,738.0,195626
2025-04-08,738.0,770.45,738.0,761.35,198395
2025-04-09,761.35,766.35,738.35,753.05,117163
2025-04-11,764.8,787.0,761.5,780.85,146866
2025-04-15,787.2,845.4,787.2,842.4,480550
2025-04-16,833.0,843.8,824.05,840.35,348655
2025-04-17,806.0,837.0,806.0,832.4,259533
2025-04-21,840.35,860.35,830.8,850.05,185447
2025-04-22,851.0,861.8,843.0,851.25,171197
2025-04-23,854.55,862.0,842.0,845.75,121104
2025-04-24,849.8,877.0,842.0,859.8,259516
2025-04-25,867.1,868.35,829.0,845.0,301796
2025-04-28,837.0,854.95,828.05,846.4,134740
2025-04-29,841.0,855.2,834.35,840.25,77429
2025-04-30,835.0,842.2,814.0,817.35,108521
2025-05-02,822.6,850.0,817.55,829.55,189193
2025-05-05,830.4,837.7,823.85,829.05,95121
2025-05-06,831.05,868.65,830.3,843.15,478768
2025-05-07,835.0,852.5,826.1,846.8,145372
2025-05-08,846.9,864.55,830.2,836.2,247890
2025-05-09,820.2,842.5,815.2,838.0,145458
2025-05-12,855.0,878.0,855.0,875.0,218227
2025-05-13,882.0,909.0,865.25,896.5,419450
2025-05-14,905.0,924.85,895.25,922.15,356004
2025-05-15,923.0,949.8,921.4,947.3,348861
2025-05-16,945.0,963.7,944.0,960.8,346311
2025-05-19,963.65,990.0,959.15,982.65,320883
2025-05-20,989.0,993.0,970.5,981.0,243407
2025-05-21,971.2,986.25,958.1,981.1,207781
2025-05-22,972.0,984.7,972.0,981.5,103912
2025-05-23,982.9,1004.0,976.5,999.25,453288
2025-05-26,1008.9,1019.0,978.2,987.1,403438
2025-05-27,987.1,998.4,971.05,985.1,205469
2025-05-28,985.0,1042.0,980.0,985.75,794893
2025-05-29,989.0,991.6,961.0,964.55,263618
2025-05-30,964.0,974.7,946.9,950.15,287479
2025-06-02,948.7,959.9,940.0,951.9,150407
2025-06-03,957.0,996.0,953.75,983.5,370241
2025-06-04,984.0,986.0,968.85,979.65,252564
2025-06-05,979.55,985.05,971.4,974.4,109593
2025-06-06,971.15,982.75,966.0,969.45,169339
2025-06-09,969.15,977.0,963.2,969.8,183828
2025-06-10,972.95,986.15,966.55,972.2,215759
2025-06-11,977.6,1016.0,973.3,1011.25,671329
2025-06-12,1020.0,1022.0,981.1,987.1,279779
2025-06-13,973.25,992.7,965.5,984.65,171006
2025-06-16,984.55,985.5,952.0,966.55,159517
2025-06-17,970.0,983.7,945.4,950.85,134735
2025-06-18,943.1,969.5,931.25,961.6,181119
2025-06-19,960.0,978.9,954.0,956.3,273208
2025-06-20,956.3,968.95,951.2,955.15,183671
2025-06-23,950.0,980.0,944.75,973.0,257273
2025-06-24,979.0,981.9,962.45,970.85,137858
2025-06-25,972.0,1065.0,972.0,1055.0,1866694
2025-06-26,1055.0,1074.9,1014.4,1019.3,683615
2025-06-27,1020.0,1070.0,1013.55,1056.5,582936
2025-06-30,1066.9,1127.95,1050.65,1110.0,949857
2025-07-01,1110.0,1124.0,1092.9,1109.0,285184
2025-07-02,1116.4,1117.0,1083.0,1101.4,240760
2025-07-03,1092.4,1129.0,1092.0,1114.7,248667
2025-07-04,1109.2,1117.7,1090.0,1095.6,197335
2025-07-07,1092.0,1101.9,1074.1,1092.8,183952
2025-07-08,1090.0,1098.0,1054.6,1080.2,229764
2025-07-09,1080.0,1091.9,1073.2,1087.8,131468
2025-07-10,1085.0,1116.1,1075.2,1109.8,246214
2025-07-11,1111.0,1161.1,1105.0,1152.4,749332
2025-07-14,1153.0,1169.0,1107.6,1157.2,447758
2025-07-15,1154.1,1169.9,1149.5,1160.7,211439
2025-07-16,1151.2,1172.5,1145.1,1157.0,171218
2025-07-17,1154.9,1164.0,1140.5,1151.0,99363
2025-07-18,1151.0,1158.4,1136.2,1152.2,144275
2025-07-21,1150.0,1180.0,1139.4,1162.1,203622
2025-07-22,1167.5,1189.0,1160.0,1167.6,263075
2025-07-23,1168.0,1186.9,1151.4,1183.7,149336
2025-07-24,1179.0,1194.7,1157.1,1186.4,227639
2025-07-25,1180.0,1191.8,1164.0,1174.3,181749
2025-07-28,1176.8,1187.8,1169.6,1180.0,138316
2025-07-29,1185.3,1222.2,1176.2,1208.8,1074779
2025-07-30,1212.0,1246.5,1204.1,1236.2,416631
2025-07-31,1224.1,1246.8,1210.0,1233.5,294912
2025-08-01,1233.5,1242.0,1193.3,1204.6,248769
2025-08-04,1205.0,1212.3,1190.0,1191.1,237673
2025-08-05,1191.0,1207.5,1180.1,1195.5,437731
2025-08-06,1187.0,1246.1,1167.5,1196.6,1268857
2025-08-07,1210.0,1225.0,1133.1,1143.2,531658
2025-08-08,1135.0,1157.7,1052.0,1117.6,274377
2025-08-11,1122.0,1159.0,1122.0,1148.4,483013
2025-08-12,1148.0,1175.0,1141.7,1168.4,210319
2025-08-13,1159.9,1161.1,1130.4,1138.5,369837
2025-08-14,1142.8,1168.0,1142.0,1162.6,249482
2025-08-18,1168.5,1185.0,1152.5,1177.0,128491
