date,open,high,low,close,volume
2025-03-24,1541.0,1617.0,1540.0,1574.8,12065
2025-03-25,1584.65,1624.85,1473.0,1500.4,20436
2025-03-26,1501.0,1525.2,1447.3,1468.4,11424
2025-03-27,1459.0,1495.9,1421.0,1459.8,19775
2025-03-28,1453.8,1547.95,1410.2,1413.5,12606
2025-04-01,1400.0,1496.65,1400.0,1445.25,22851
2025-04-02,1456.4,1478.85,1410.95,1464.4,5543
2025-04-03,1467.3,1496.85,1447.25,1478.15,10063
2025-04-04,1484.65,1501.9,1454.1,1486.5,4363
2025-04-07,1301.0,1479.9,1301.0,1468.4,8013
2025-04-08,1454.95,1474.45,1441.15,1455.5,2249
2025-04-09,1477.35,1477.35,1429.65,1442.8,2095
2025-04-11,1470.0,1500.0,1436.9,1465.65,6389
2025-04-15,1502.2,1758.8,1479.5,1758.8,48401
2025-04-16,1849.9,1879.8,1713.0,1765.4,60397
2025-04-17,1761.7,1785.9,1730.2,1777.1,9510
2025-04-21,1800.8,1830.0,1760.5,1794.3,12941
2025-04-22,1802.7,1802.7,1755.0,1781.9,9367
2025-04-23,1800.0,1990.9,1771.0,1841.8,112205
2025-04-24,1841.8,1862.5,1770.0,1802.8,17602
2025-04-25,1837.5,1837.5,1667.5,1711.1,19635
2025-04-28,1700.0,1785.9,1675.0,1764.8,10543
2025-04-29,1769.2,1780.0,1721.2,1725.8,2548
2025-04-30,1742.0,1811.1,1689.0,1739.7,10729
2025-05-02,1748.4,1777.3,1701.0,1716.5,3613
2025-05-05,1710.0,1845.0,1708.9,1816.6,14229
2025-05-06,1821.1,1878.9,1798.1,1842.7,17787
2025-05-07,1815.1,1859.3,1785.4,1823.7,5600
2025-05-08,1849.9,1923.5,1843.9,1873.5,13280
2025-05-09,1845.4,1873.6,1794.1,1859.1,5620
2025-05-12,1861.5,2038.8,1861.5,1967.0,17129
2025-05-13,1996.5,2120.0,1969.2,2105.3,17860
2025-05-14,2110.6,2129.5,2065.9,2091.0,17198
2025-05-15,2061.1,2116.3,2060.0,2077.2,4135
2025-05-16,2092.8,2099.0,2021.6,2031.4,5156
2025-05-19,2090.0,2177.9,1973.8,2015.1,20234
2025-05-20,2045.3,2063.8,1851.0,1914.4,39825
2025-05-21,1933.5,1970.0,1925.3,1961.1,4648
2025-05-22,1961.1,2030.0,1944.1,1978.9,8531
2025-05-23,1986.3,2027.0,1956.1,1992.7,3587
2025-05-26,1963.6,2190.0,1963.6,2155.5,18248
2025-05-27,2168.8,2287.0,2100.0,2265.6,25507
2025-05-28,2240.4,2424.0,2224.0,2386.5,31807
2025-05-29,2399.6,2411.9,2350.0,2380.1,11592
2025-05-30,2386.1,2464.9,2353.1,2432.0,17348
2025-06-02,2456.3,2456.3,2341.0,2357.0,6140
2025-06-03,2300.0,2340.2,2260.0,2266.4,7824
2025-06-04,2279.0,2343.8,2273.9,2321.3,7902
2025-06-05,2321.0,2682.0,2309.6,2562.4,91284
2025-06-06,2648.0,2744.0,2553.1,2588.4,42574
2025-06-09,2600.0,2700.0,2591.1,2646.3,23124
2025-06-10,2686.0,2686.0,2520.0,2539.5,19199
2025-06-11,2530.0,2600.0,2500.0,2524.8,9681
2025-06-12,2562.7,2562.7,2465.0,2481.9,5405
2025-06-13,2352.7,2537.8,2352.7,2434.8,17752
2025-06-16,2436.0,2488.7,2377.0,2461.7,6107
2025-06-17,2470.9,2502.3,2416.0,2461.5,5958
2025-06-18,2440.0,2505.0,2420.0,2432.8,5887
2025-06-19,2408.5,2436.5,2284.6,2335.8,15816
2025-06-20,2349.0,2391.0,2316.9,2362.2,5923
2025-06-23,2320.0,2461.0,2311.5,2398.8,7492
2025-06-24,2398.8,2488.0,2385.0,2402.1,8454
2025-06-25,2401.9,2486.9,2401.1,2448.0,7303
2025-06-26,2448.0,2498.5,2407.3,2472.0,6556
2025-06-27,2490.5,2540.9,2402.5,2433.1,5927
2025-06-30,2449.0,2599.0,2425.4,2570.8,13414
2025-07-01,2580.0,2670.0,2577.4,2641.8,13645
2025-07-02,2642.0,2645.1,2577.2,2603.7,10026
2025-07-03,2629.7,2649.9,2568.3,2621.9,7734
2025-07-04,2640.0,2980.0,2600.1,2941.1,115299
2025-07-07,2941.1,3019.9,2816.0,2830.8,40975
2025-07-08,2850.0,2850.0,2686.3,2761.4,26897
2025-07-09,2761.4,2860.9,2729.2,2752.9,22921
2025-07-10,2794.2,2844.0,2434.0,2492.1,158684
2025-07-11,2451.0,2619.0,2450.0,2564.4,49719
2025-07-14,2502.0,2588.0,2500.0,2516.6,16132
2025-07-15,2490.5,2533.1,2490.5,2501.6,6640
2025-07-16,2524.0,2524.0,2410.0,2420.1,11156
2025-07-17,2438.3,2441.2,2370.0,2382.3,8975
2025-07-18,2404.0,2480.0,2367.0,2428.0,12874
2025-07-21,2449.0,2485.0,2410.5,2432.5,13615
2025-07-22,2432.5,2486.7,2344.0,2362.1,7497
2025-07-23,2397.5,2397.5,2288.0,2302.2,12237
2025-07-24,2302.0,2336.0,2220.1,2255.5,15001
2025-07-25,2250.0,2377.8,2215.0,2352.7,18057
2025-07-28,2320.1,2463.0,2310.1,2400.2,20241
2025-07-29,2366.0,2402.5,2330.0,2369.6,5242
2025-07-30,2390.0,2391.2,2270.0,2297.5,9523
2025-07-31,2280.0,2330.9,2245.0,2255.4,5744
2025-08-01,2260.8,2553.4,2244.9,2391.0,83846
2025-08-04,2391.4,2417.3,2346.4,2388.0,3317
2025-08-05,2420.0,2420.0,2318.0,2338.4,4983
2025-08-06,2338.4,2535.9,2290.4,2369.7,20939
2025-08-07,2369.7,2456.7,2300.0,2425.4,7826
2025-08-08,2345.6,2450.0,2320.0,2337.2,9338
2025-08-11,2325.5,2334.7,2295.4,2306.7,2756
2025-08-12,2275.0,2335.7,2275.0,2315.5,2835
2025-08-13,2306.0,2332.8,2290.2,2300.7,3931
2025-08-14,2293.7,2340.0,2281.0,2293.6,2498
2025-08-18,2293.6,2315.3,2275.0,2306.5,4346
2025-08-19,2297.8,2313.9,2234.2,2263.1,7707
2025-08-20,2285.7,2340.0,2252.5,2287.4,6878
2025-08-21,2298.8,2305.1,2242.0,2260.0,9908
2025-08-22,2260.0,2277.0,2200.8,2237.1,10514
2025-08-25,2237.1,2253.9,2190.1,2208.3,4657
2025-08-26,2206.7,2249.0,2140.0,2203.3,7003
2025-08-28,2188.0,2269.1,2170.9,2219.4,7355
2025-08-29,2217.0,2264.9,2210.5,2245.2,3416
2025-09-01,2249.7,2299.9,2215.0,2281.0,3530
2025-09-02,2265.2,2318.7,2003.0,2023.1,57019
2025-09-03,2022.0,2074.0,2010.0,2056.0,13350
2025-09-04,2100.0,2100.0,2000.0,2010.4,6651
2025-09-05,2000.0,2030.1,1901.0,1924.5,15499
2025-09-08,1934.1,2031.9,1905.0,2011.8,12186
2025-09-09,2023.4,2081.5,1985.0,2042.4,10248
2025-09-10,2042.4,2099.0,2016.1,2076.2,10952
2025-09-11,2080.0,2194.8,2052.1,2148.0,12189
2025-09-12,2154.4,2209.1,2121.1,2194.9,10089
2025-09-15,2230.0,2274.0,2189.9,2267.6,12562
2025-09-16,2265.1,2350.0,2253.1,2322.8,9501
2025-09-17,2339.9,2355.3,2198.9,2230.3,27507
2025-09-18,2268.8,2268.8,2150.0,2164.5,12967
2025-09-19,2170.0,2175.0,2036.0,2050.9,56467
2025-09-22,2050.0,2112.9,2025.1,2042.5,13148
2025-09-23,2050.0,2050.0,2004.0,2031.2,10534
2025-09-24,1885.0,1939.8,1691.0,1723.5,758901
2025-09-25,1734.9,1883.8,1733.0,1810.5,1201997
2025-09-26,1810.5,1828.7,1760.0,1767.4,274084
2025-09-29,1789.0,1789.0,1725.0,1737.7,107520
2025-09-30,1725.0,1771.5,1713.0,1722.2,50383
2025-10-01,1729.1,1819.8,1720.1,1808.7,129212
