date,open,high,low,close,volume
2025-03-24,494.9,516.3,494.9,505.4,1302057
2025-03-25,508.5,517.95,491.8,500.15,607386
2025-03-26,502.95,505.15,485.85,488.55,228488
2025-03-27,485.0,492.45,478.7,489.75,393668
2025-03-28,489.05,500.8,478.65,481.7,221542
2025-04-01,485.7,486.05,474.1,478.25,142379
2025-04-02,479.3,490.2,471.3,482.6,236100
2025-04-03,482.6,486.45,475.45,480.15,187612
2025-04-04,480.1,480.1,441.0,447.0,316707
2025-04-07,414.85,430.0,402.05,419.45,866383
2025-04-08,430.1,440.0,412.3,417.95,601220
2025-04-09,417.05,419.95,401.0,402.2,359201
2025-04-11,421.0,431.1,402.3,422.15,2106845
2025-04-15,428.0,458.0,424.0,450.95,3306714
2025-04-16,450.0,456.2,439.5,441.1,510622
2025-04-17,444.0,449.4,435.1,440.15,939809
2025-04-21,442.2,462.7,437.0,454.8,1479011
2025-04-22,454.8,467.3,450.5,459.55,502222
2025-04-23,461.0,479.8,460.45,474.6,716935
2025-04-24,478.25,486.7,468.2,470.8,786142
2025-04-25,475.0,475.0,447.2,454.55,460714
2025-04-28,451.0,464.9,448.5,463.45,228323
2025-04-29,467.35,468.0,459.1,462.75,145105
2025-04-30,458.75,460.65,443.0,445.45,289358
2025-05-02,444.0,452.75,440.75,450.15,246891
2025-05-05,450.95,459.85,447.85,458.3,205703
2025-05-06,462.3,462.3,439.0,440.8,186389
2025-05-07,440.0,464.5,433.55,457.4,336741
2025-05-08,462.0,462.4,447.0,449.55,158038
2025-05-09,436.0,446.0,436.0,440.45,181028
2025-05-12,463.0,467.55,450.55,463.5,410752
2025-05-13,467.4,471.55,457.1,461.1,242246
2025-05-14,465.0,474.8,461.25,470.15,319729
2025-05-15,471.0,482.95,469.6,480.85,438186
2025-05-16,483.95,484.45,474.0,478.55,314618
2025-05-19,482.5,489.45,477.1,482.3,386511
2025-05-20,486.5,488.2,471.15,473.1,158273
2025-05-21,475.5,478.75,467.3,471.65,186153
2025-05-22,470.0,476.2,468.2,472.45,99440
2025-05-23,474.8,478.0,466.7,476.4,147150
2025-05-26,480.5,489.8,474.15,479.2,345071
2025-05-27,485.0,504.95,479.0,497.8,1855722
2025-05-28,502.05,511.0,493.25,504.45,1064628
2025-05-29,508.1,518.0,492.0,499.1,1331801
2025-05-30,501.3,548.4,499.3,535.2,6343456
2025-06-02,540.0,545.0,530.8,534.65,919156
2025-06-03,537.25,538.2,525.0,528.5,481831
2025-06-04,529.0,539.0,528.4,534.45,342078
2025-06-05,535.0,542.25,530.9,533.95,402985
2025-06-06,537.9,537.9,528.4,529.4,210106
2025-06-09,529.95,539.0,529.45,535.05,281689
2025-06-10,536.9,539.25,530.0,531.25,175178
2025-06-11,534.2,534.2,522.1,526.65,228276
2025-06-12,528.0,563.55,526.0,531.0,3168513
2025-06-13,521.0,539.3,516.15,536.35,500199
2025-06-16,536.5,543.8,521.4,531.0,421470
2025-06-17,531.3,536.6,523.1,524.75,330061
2025-06-18,528.8,556.75,516.15,519.85,4815522
2025-06-19,520.75,530.3,518.15,523.6,529239
2025-06-20,524.5,529.6,504.8,510.25,2084184
2025-06-23,506.9,537.3,505.4,534.75,1437771
2025-06-24,538.0,539.0,525.3,528.7,544891
2025-06-25,528.95,535.75,527.4,533.35,359106
2025-06-26,535.85,540.0,527.45,529.15,339696
2025-06-27,533.7,544.0,531.0,536.45,546943
2025-06-30,539.9,541.75,533.35,536.45,255640
2025-07-01,539.75,544.75,533.65,535.3,219799
2025-07-02,539.85,539.85,528.9,531.15,150914
2025-07-03,532.0,541.95,528.1,537.55,510811
2025-07-04,537.55,540.55,527.35,531.05,203198
2025-07-07,528.0,540.95,528.0,532.1,186638
2025-07-08,536.1,553.9,531.0,534.1,3293164
2025-07-09,540.2,568.0,540.2,550.3,6729288
2025-07-10,563.0,566.9,553.0,556.4,1261751
2025-07-11,555.6,561.5,548.05,551.05,315899
2025-07-14,548.0,556.5,542.15,552.65,273753
2025-07-15,555.0,555.0,548.05,552.5,233312
2025-07-16,552.5,553.25,542.05,544.15,246153
2025-07-17,544.2,559.95,544.2,553.6,352501
2025-07-18,553.6,559.5,547.15,548.95,2530072
2025-07-21,548.5,556.95,546.05,552.9,194723
2025-07-22,555.8,559.6,553.5,554.2,209732
2025-07-23,555.2,596.7,552.05,589.75,6798629
2025-07-24,592.45,608.4,586.75,593.55,1657618
2025-07-25,588.0,589.15,570.55,573.1,410137
2025-07-28,571.05,578.45,547.2,550.5,548556
2025-07-29,550.0,565.0,539.7,562.6,457810
2025-07-30,564.9,573.95,562.3,567.35,195085
2025-07-31,555.0,574.0,554.6,568.35,248844
2025-08-01,569.3,571.2,555.0,558.1,182734
2025-08-04,564.0,568.0,553.3,563.2,231187
2025-08-05,560.0,577.4,559.3,571.95,676391
2025-08-06,575.0,588.7,542.0,545.7,1217588
2025-08-07,545.0,547.25,524.2,532.6,303664
2025-08-08,534.0,534.35,509.5,512.25,281288
2025-08-11,511.1,518.85,501.5,508.9,434481
2025-08-12,508.35,522.4,508.35,518.55,262809
2025-08-13,520.0,522.4,499.5,500.3,384039
2025-08-14,504.5,505.0,489.9,493.1,219910
2025-08-18,497.0,509.4,497.0,504.65,418074
2025-08-19,504.95,512.75,501.6,507.7,158403
2025-08-20,504.5,510.75,503.2,506.55,137363
2025-08-21,507.75,512.75,503.0,505.4,136437
2025-08-22,504.0,510.0,498.6,499.6,150203
2025-08-25,503.8,505.9,495.0,496.55,129811
2025-08-26,496.1,496.1,480.1,483.3,175842
2025-08-28,483.0,487.1,475.0,484.6,274877
2025-08-29,486.0,486.45,469.85,471.85,306079
2025-09-01,475.7,478.7,469.0,473.85,204024
2025-09-02,474.0,503.0,471.6,494.7,859335
2025-09-03,495.0,495.8,486.25,490.9,170861
2025-09-04,495.1,497.85,482.0,485.75,135687
2025-09-05,485.7,486.65,474.3,477.05,168803
2025-09-08,478.55,480.95,472.3,473.7,125183
2025-09-09,477.5,477.5,468.1,470.2,167831
2025-09-10,473.9,477.8,468.3,469.75,376238
2025-09-11,474.5,476.85,467.05,469.35,159480
2025-09-12,470.6,473.3,466.05,468.05,246259
2025-09-15,470.4,472.6,463.35,464.65,249145
2025-09-16,468.85,472.95,464.1,467.2,304790
2025-09-17,468.2,502.4,468.2,494.45,3860381
2025-09-18,500.0,513.3,496.75,505.85,1222875
2025-09-19,507.5,507.5,499.0,500.35,791990
2025-09-22,499.05,512.4,495.35,496.85,722256
2025-09-23,500.0,508.4,491.55,503.1,531334
2025-09-24,501.7,505.45,495.0,500.9,402398
2025-09-25,501.9,502.05,495.0,495.5,165970
2025-09-26,495.5,498.6,477.0,485.95,402635
2025-09-29,487.0,492.3,473.0,476.6,252718
2025-09-30,480.5,485.9,478.05,482.2,159710
2025-10-01,482.0,486.4,479.75,481.95,202357
2025-10-03,485.9,496.0,483.15,494.4,259726
2025-10-06,493.0,493.0,481.0,486.05,129933
2025-10-07,489.1,503.0,484.0,496.25,566924
2025-10-08,490.0,493.0,484.1,485.85,122471
2025-10-09,484.0,489.9,482.3,487.85,98870
2025-10-10,485.0,490.5,480.35,483.85,251902
2025-10-13,485.0,485.0,469.05,472.3,295276
2025-10-14,474.05,475.2,461.0,462.9,229610
2025-10-15,463.3,466.8,458.5,460.45,319895
2025-10-16,461.85,478.0,458.95,470.55,667871
2025-10-17,472.85,473.9,464.3,465.75,167754
2025-10-20,468.75,469.95,458.85,466.6,219659
2025-10-21,470.6,478.8,470.0,475.5,73015
2025-10-23,486.95,495.0,468.0,470.45,700255
2025-10-24,475.6,490.0,469.5,487.65,594129
2025-10-27,492.0,495.2,486.05,490.3,554549
2025-10-28,492.0,498.8,490.3,496.9,505478
2025-10-29,497.0,507.4,492.3,505.15,542994
2025-10-30,508.0,508.0,496.55,501.6,270557
2025-10-31,505.0,509.9,496.1,497.4,358780
2025-11-03,500.9,500.9,493.4,495.65,203122
2025-11-04,498.0,498.7,480.9,482.3,296963
2025-11-06,481.7,486.3,478.65,483.4,181574
2025-11-07,481.0,481.0,473.0,479.15,166325
2025-11-10,479.2,481.0,473.0,474.45,134593
2025-11-11,474.45,493.4,469.6,486.5,371977
2025-11-12,486.2,493.0,484.55,491.8,259525
2025-11-13,502.0,507.9,490.8,500.0,1084726
2025-11-14,504.15,504.8,496.7,501.5,166794
2025-11-17,506.0,534.4,500.15,514.7,3816106
2025-11-18,518.8,518.8,502.75,504.9,496364
2025-11-19,507.95,508.0,499.25,504.55,331749
2025-11-20,506.1,513.35,501.0,507.55,1486495
2025-11-21,507.0,508.0,491.05,492.75,460572
2025-11-24,494.0,498.45,487.15,495.85,468674
2025-11-25,495.5,495.75,473.3,480.5,4580258
2025-11-26,486.0,510.0,483.05,498.65,3670073
2025-11-27,503.2,507.55,492.95,498.55,675937
2025-11-28,498.55,520.8,498.55,510.5,3298236
2025-12-01,510.0,512.7,498.55,500.15,572043
2025-12-02,500.15,513.0,500.15,505.95,521046
2025-12-03,509.0,515.0,504.8,506.5,654373
2025-12-04,508.5,508.5,489.85,491.45,442139
2025-12-05,492.0,504.0,492.0,500.8,449580
2025-12-08,503.5,503.5,482.1,483.25,373946
2025-12-09,484.1,496.15,476.3,492.75,408257
2025-12-10,492.95,492.95,484.0,485.6,367022
2025-12-11,485.75,489.65,482.0,484.75,181317
2025-12-12,487.25,490.8,484.15,487.9,317625
2025-12-15,487.9,494.2,486.8,488.65,303435
2025-12-16,488.65,493.0,475.6,478.55,587297
2025-12-17,478.95,480.1,466.3,467.8,265863
2025-12-18,467.0,470.7,464.25,467.4,200593
2025-12-19,470.3,473.0,467.0,470.6,204090
2025-12-22,474.6,477.05,469.7,472.95,283782
2025-12-23,473.95,476.3,468.5,470.45,489041
2025-12-24,471.95,473.3,464.8,465.9,231914
2025-12-26,465.9,467.3,462.1,462.8,167795
2025-12-29,461.0,468.45,453.4,455.95,713997
2025-12-30,456.15,477.25,451.35,472.0,1872675
2025-12-31,470.05,479.8,466.15,473.75,452922
2026-01-01,474.35,479.05,473.75,476.15,155578
2026-01-02,479.0,484.6,477.3,483.8,282270
2026-01-05,483.8,486.65,475.35,476.7,282136
