date,open,high,low,close,volume
2025-03-24,2520.9,2520.9,2401.4,2438.0,81013
2025-03-25,2439.0,2439.0,2372.4,2403.5,44482
2025-03-26,2386.3,2404.1,2361.8,2380.6,31418
2025-03-27,2380.6,2395.5,2348.5,2364.6,25392
2025-03-28,2356.9,2411.5,2348.2,2400.0,18922
2025-04-01,2399.7,2405.1,2354.9,2365.8,22319
2025-04-02,2368.2,2400.3,2344.3,2395.3,27968
2025-04-03,2395.3,2443.3,2382.2,2428.5,29262
2025-04-04,2425.1,2434.1,2337.1,2366.9,33595
2025-04-07,1960.8,2390.6,1931.8,2347.4,138610
2025-04-08,2366.5,2414.8,2318.2,2386.7,33059
2025-04-09,2365.1,2439.0,2344.3,2412.1,16131
2025-04-11,2463.1,2492.1,2424.7,2461.3,14429
2025-04-15,2492.1,2566.1,2442.7,2552.4,32257
2025-04-16,2564.2,2583.8,2511.4,2576.1,17765
2025-04-17,2589.6,2627.2,2540.5,2606.7,18771
2025-04-21,2641.7,2678.5,2578.6,2654.5,19259
2025-04-22,2664.0,2703.5,2643.7,2658.8,19910
2025-04-23,2665.9,2693.0,2590.1,2626.4,14380
2025-04-24,2626.4,2640.3,2572.7,2590.9,26163
2025-04-25,2567.6,2600.4,2435.7,2536.3,43530
2025-04-28,2521.1,2536.3,2455.5,2510.5,38469
2025-04-29,2523.8,2527.4,2439.9,2447.9,10767
2025-04-30,2455.6,2463.4,2374.2,2389.9,18112
2025-05-02,2381.0,2503.7,2358.4,2453.5,42446
2025-05-05,2464.9,2530.7,2359.8,2392.0,195062
2025-05-06,2366.6,2401.1,2231.3,2292.2,61528
2025-05-07,2232.2,2342.4,2217.5,2318.7,64693
2025-05-08,2322.9,2414.8,2322.9,2352.6,31693
2025-05-09,2305.6,2423.9,2284.4,2406.1,43835
2025-05-12,2442.8,2505.5,2429.4,2478.2,30037
2025-05-13,2511.5,2607.0,2468.5,2573.1,26154
2025-05-14,2560.7,2661.1,2535.5,2636.7,24507
2025-05-15,2617.7,2677.5,2601.9,2669.3,19045
2025-05-16,2690.1,2694.3,2610.0,2632.8,20595
2025-05-19,2619.7,2752.1,2596.4,2719.3,38242
2025-05-20,2719.3,2733.5,2618.6,2637.1,31571
2025-05-21,2619.6,2752.3,2619.6,2668.9,25796
2025-05-22,2655.8,2722.0,2655.8,2683.3,16663
2025-05-23,2690.1,2728.7,2663.0,2695.4,11581
2025-05-26,2704.5,2727.6,2652.5,2688.3,14912
2025-05-27,2702.4,2719.7,2643.9,2671.0,16668
