date,open,high,low,close,volume
2025-03-24,1377.65,1430.0,1372.55,1417.45,49603
2025-03-25,1424.85,1445.0,1390.05,1433.35,52561
2025-03-26,1439.45,1485.0,1423.55,1447.65,92187
2025-03-27,1450.0,1454.9,1423.15,1429.7,32346
2025-03-28,1436.85,1448.95,1405.0,1407.75,22356
2025-04-01,1407.75,1426.45,1390.0,1410.95,31775
2025-04-02,1407.0,1458.9,1395.0,1439.5,24416
2025-04-03,1443.1,1450.95,1403.1,1414.05,21745
2025-04-04,1418.85,1418.85,1352.6,1371.85,24600
2025-04-07,1341.0,1341.0,1255.1,1297.5,87135
2025-04-08,1300.0,1358.0,1300.0,1351.85,41483
2025-04-09,1357.0,1357.0,1298.85,1315.35,25586
2025-04-11,1345.0,1389.0,1341.7,1364.9,37821
2025-04-15,1402.9,1419.2,1371.2,1405.4,36285
2025-04-16,1419.6,1422.5,1398.4,1418.0,20370
2025-04-17,1415.0,1431.3,1405.1,1408.0,21798
2025-04-21,1430.0,1430.0,1394.0,1414.8,29491
2025-04-22,1429.7,1475.0,1412.1,1471.8,46204
2025-04-23,1478.0,1488.0,1443.0,1473.4,37547
2025-04-24,1489.8,1543.5,1473.4,1524.5,67110
2025-04-25,1529.0,1544.9,1479.6,1515.5,67361
2025-04-28,1516.9,1525.0,1488.5,1501.8,43115
2025-04-29,1499.0,1519.6,1473.0,1485.6,42250
2025-04-30,1492.9,1493.1,1432.0,1435.2,37019
2025-05-02,1437.9,1459.0,1429.9,1443.5,29134
2025-05-05,1443.5,1479.5,1437.8,1463.7,28752
2025-05-06,1479.9,1491.4,1439.7,1448.4,53210
2025-05-07,1430.4,1458.1,1418.5,1451.7,29094
2025-05-08,1450.0,1488.7,1440.0,1450.5,22061
2025-05-09,1400.0,1477.9,1380.5,1468.3,54675
2025-05-12,1470.7,1520.0,1470.7,1490.4,39196
2025-05-13,1497.8,1619.0,1482.1,1592.5,135249
2025-05-14,1624.5,1637.8,1592.0,1628.6,72553
2025-05-15,1629.0,1634.0,1613.6,1617.6,22908
2025-05-16,1617.6,1637.0,1601.1,1616.3,46355
2025-05-19,1618.9,1654.8,1609.0,1620.7,32028
2025-05-20,1620.7,1650.0,1585.5,1597.3,40775
2025-05-21,1601.1,1645.0,1590.0,1637.0,48039
2025-05-22,1629.0,1640.1,1611.0,1619.6,18007
2025-05-23,1635.0,1635.0,1580.0,1609.1,45468
2025-05-26,1609.5,1644.5,1600.6,1618.9,65170
2025-05-27,1634.8,1637.9,1602.0,1609.8,209891
2025-05-28,1618.3,1625.0,1591.1,1618.0,39463
2025-05-29,1630.0,1633.0,1595.3,1601.3,53843
2025-05-30,1609.4,1622.4,1580.0,1593.3,209822
2025-06-02,1641.9,1769.9,1641.9,1743.6,620045
2025-06-03,1760.0,1882.2,1738.1,1844.5,627342
2025-06-04,1843.0,1888.0,1835.0,1850.1,165120
2025-06-05,1853.3,1902.0,1853.3,1866.7,104763
2025-06-06,1871.0,1906.0,1865.1,1881.2,96532
2025-06-09,1899.8,1926.0,1878.5,1892.3,72702
2025-06-10,1900.0,1915.1,1877.0,1898.1,47064
2025-06-11,1898.2,1925.0,1870.3,1898.9,38311
2025-06-12,1881.6,1909.9,1874.4,1879.3,47410
2025-06-13,1830.0,1899.8,1822.3,1892.3,32440
2025-06-16,1890.0,1960.0,1860.1,1944.5,88065
2025-06-17,1950.0,1970.0,1905.2,1913.5,50768
2025-06-18,1930.0,1974.0,1913.6,1926.3,62199
2025-06-19,1928.0,1947.4,1892.2,1901.2,40954
2025-06-20,1881.3,1900.0,1871.2,1888.8,31552
2025-06-23,1863.0,1898.3,1835.2,1843.3,37475
2025-06-24,1865.0,1880.6,1837.9,1842.9,23933
2025-06-25,1851.9,1900.0,1851.3,1874.1,36665
2025-06-26,1877.9,1878.4,1811.0,1817.3,51091
2025-06-27,1834.0,1859.0,1814.5,1833.9,39459
2025-06-30,1843.1,1960.0,1834.6,1926.5,157160
2025-07-01,1954.0,1958.1,1901.5,1938.2,54864
