date,open,high,low,close,volume
2025-03-24,284.5,293.25,284.0,290.55,929116
2025-03-25,292.9,294.8,275.0,276.1,756032
2025-03-26,277.0,278.0,265.7,266.75,563120
2025-03-27,266.1,274.8,262.0,272.25,764636
2025-03-28,274.5,278.0,260.0,261.7,609955
2025-04-01,259.85,278.8,258.65,275.6,615698
2025-04-02,277.95,281.75,269.55,277.95,439538
2025-04-03,272.15,303.4,270.2,289.9,1562980
2025-04-04,288.0,289.8,274.8,280.95,711582
2025-04-07,252.85,269.0,252.85,265.95,850611
2025-04-08,275.0,278.65,266.6,271.0,677519
2025-04-09,268.9,271.75,261.75,266.55,280920
2025-04-11,276.0,280.75,272.55,277.55,438051
2025-04-15,285.0,296.05,284.1,291.7,550107
2025-04-16,292.5,294.6,285.0,287.5,338539
2025-04-17,288.0,298.3,281.05,292.65,779704
2025-04-21,294.0,307.0,291.05,304.85,1158914
2025-04-22,306.7,321.45,302.45,315.65,1283484
2025-04-23,317.95,323.0,308.25,321.9,928430
2025-04-24,322.95,324.3,312.95,314.5,464406
2025-04-25,316.0,316.45,295.75,299.0,894013
2025-04-28,297.9,303.7,293.15,298.9,444358
2025-04-29,298.95,306.8,290.55,292.95,431625
2025-04-30,291.0,296.8,280.5,283.8,520851
2025-05-02,282.85,286.9,278.0,283.85,445377
2025-05-05,286.0,301.0,284.25,297.55,645259
2025-05-06,295.2,297.0,279.95,284.1,406125
2025-05-07,278.05,288.6,275.5,284.9,699457
2025-05-08,287.0,298.05,280.0,283.8,399457
2025-05-09,272.0,284.0,271.5,281.8,388862
2025-05-12,297.0,303.0,294.4,302.2,556429
2025-05-13,304.8,308.95,301.05,304.6,533913
2025-05-14,307.0,320.05,304.95,318.1,1002323
2025-05-15,319.7,326.4,313.6,321.5,1536069
2025-05-16,322.55,334.2,321.5,329.75,2148808
2025-05-19,332.9,337.7,324.85,327.9,1170016
2025-05-20,329.9,331.3,317.05,319.3,562499
2025-05-21,317.7,329.5,317.05,325.65,662957
2025-05-22,326.0,346.95,325.5,345.9,2384103
2025-05-23,351.6,363.0,349.35,360.7,3047594
2025-05-26,364.2,373.1,360.8,365.15,1648959
2025-05-27,368.75,381.5,362.85,378.85,2570247
2025-05-28,382.5,397.1,373.1,389.95,2823823
2025-05-29,396.0,396.5,380.4,384.6,1284749
2025-05-30,386.4,397.0,384.6,395.4,1541868
2025-06-02,430.0,430.0,412.0,419.35,6422565
2025-06-03,422.0,423.8,391.7,397.2,3154412
2025-06-04,401.0,409.5,393.0,394.45,1672581
2025-06-05,398.0,404.05,391.35,399.4,1004358
2025-06-06,400.6,401.0,389.1,393.1,854545
2025-06-09,396.0,400.7,391.5,392.1,671547
2025-06-10,393.9,405.65,391.5,404.25,1561770
2025-06-11,406.0,409.9,400.0,408.1,1310154
2025-06-12,408.0,408.2,383.1,385.05,1565879
2025-06-13,369.95,382.8,368.0,370.5,2990813
2025-06-16,375.0,379.15,365.7,370.65,1330963
2025-06-17,370.0,371.6,355.0,360.7,1482219
2025-06-18,360.0,373.3,355.5,358.15,1259706
2025-06-19,359.75,364.2,348.75,350.95,867888
2025-06-20,350.95,357.45,345.95,350.35,3001501
2025-06-23,345.8,364.9,345.65,363.45,1175059
2025-06-24,372.0,372.0,362.0,366.25,1208492
2025-06-25,370.0,379.0,365.05,375.45,1221573
2025-06-26,378.0,379.0,368.1,372.3,770127
2025-06-27,374.45,376.0,368.9,373.65,1010550
2025-06-30,376.35,379.55,371.05,372.8,973105
2025-07-01,374.55,375.65,365.5,368.15,658093
2025-07-02,366.35,370.65,360.55,363.4,526899
2025-07-03,363.05,365.45,359.3,361.75,938957
2025-07-04,360.05,362.95,357.05,360.9,451436
2025-07-07,360.0,364.65,357.5,358.6,432793
2025-07-08,358.6,361.55,353.3,360.55,379948
2025-07-09,360.0,369.0,358.45,361.6,771208
2025-07-10,362.0,367.2,358.0,360.75,577499
2025-07-11,361.25,367.45,360.0,362.25,444057
2025-07-14,360.7,379.5,360.6,375.7,2073386
2025-07-15,372.0,377.95,368.0,373.6,1320636
2025-07-16,375.0,385.0,371.2,383.5,1761545
2025-07-17,384.95,387.3,375.05,377.1,1120604
2025-07-18,377.65,378.25,365.1,366.75,1027139
2025-07-21,365.9,368.2,362.3,363.25,820737
2025-07-22,365.1,372.0,364.75,369.8,605449
2025-07-23,370.0,375.8,364.0,374.0,725658
2025-07-24,375.9,376.05,367.5,373.2,459183
2025-07-25,370.0,370.0,355.55,357.5,821944
2025-07-28,357.5,361.6,348.1,350.45,471890
2025-07-29,349.45,358.0,346.45,355.1,375416
2025-07-30,358.5,358.5,352.2,355.95,338610
2025-07-31,349.05,360.4,347.65,356.35,765007
2025-08-01,356.95,370.85,355.0,363.85,703772
2025-08-04,367.05,384.0,366.0,382.6,2125341
2025-08-05,384.5,394.0,382.35,386.4,1492004
2025-08-06,386.95,389.7,372.5,384.85,1074956
2025-08-07,374.95,387.85,373.8,385.55,778134
2025-08-08,386.9,387.8,350.35,372.05,864229
2025-08-11,380.0,390.0,361.9,369.6,3592805
2025-08-12,373.0,378.0,365.4,366.55,901470
2025-08-13,368.3,368.8,357.0,360.45,754222
2025-08-14,361.0,361.95,351.0,352.05,686652
2025-08-18,356.05,359.7,350.0,351.05,571381
2025-08-19,351.5,353.75,340.0,351.6,628481
2025-08-20,352.0,354.4,347.05,347.9,594040
2025-08-21,349.0,362.0,345.7,357.9,1096764
2025-08-22,358.75,364.5,354.0,358.75,643273
2025-08-25,358.6,363.5,350.5,361.05,1305432
