date,open,high,low,close,volume
2025-03-24,75.9,78.25,74.5,75.44,912728
2025-03-25,75.94,77.29,70.85,71.42,1112197
2025-03-26,72.0,72.99,69.75,69.98,812321
2025-03-27,70.29,72.84,69.3,71.9,1499564
2025-03-28,71.9,73.89,71.01,71.65,830229
2025-04-01,71.65,73.33,70.75,72.63,393750
2025-04-02,72.48,73.3,70.6,72.69,463864
2025-04-03,72.37,76.0,71.55,75.44,969953
2025-04-04,74.8,77.8,70.21,71.2,980529
2025-04-07,65.25,68.49,65.01,67.89,945610
2025-04-08,70.8,70.8,68.65,70.39,432741
2025-04-09,70.0,70.12,67.87,68.96,314497
2025-04-11,70.01,71.21,68.96,70.33,529795
2025-04-15,71.47,72.7,70.82,72.08,626568
2025-04-16,72.8,73.97,72.24,73.1,329642
2025-04-17,73.1,75.6,72.4,74.42,762279
2025-04-21,75.02,77.7,73.82,77.41,1211574
2025-04-22,77.8,78.81,76.5,77.69,628511
2025-04-23,78.39,83.21,78.2,80.88,2520574
2025-04-24,80.85,82.57,79.3,80.64,659394
2025-04-25,80.44,80.86,76.1,77.64,1066261
2025-04-28,76.71,77.65,75.92,76.59,613269
2025-04-29,77.07,79.0,76.29,77.29,490399
2025-04-30,77.47,78.0,73.95,74.53,456508
2025-05-02,74.52,76.83,74.22,74.98,266414
2025-05-05,75.09,79.64,74.1,78.77,1840501
2025-05-06,78.6,79.33,75.0,75.15,560460
2025-05-07,72.5,77.9,72.39,76.51,673937
2025-05-08,77.12,77.99,74.6,75.17,396321
2025-05-09,73.74,74.29,72.01,73.21,409048
2025-05-12,75.12,80.3,75.12,79.5,892523
2025-05-13,79.48,81.2,79.21,80.58,793396
2025-05-14,80.99,84.8,80.97,84.64,994921
2025-05-15,84.95,85.2,82.62,83.1,616265
2025-05-16,83.58,87.8,83.06,87.28,1087519
2025-05-19,88.8,89.33,86.59,87.59,1161741
2025-05-20,88.18,88.73,84.76,85.15,1645171
2025-05-21,85.15,87.84,84.98,86.55,574202
2025-05-22,85.05,88.88,84.34,86.18,1031112
2025-05-23,86.28,88.85,86.28,87.36,617608
2025-05-26,87.45,87.58,84.5,85.04,552981
2025-05-27,84.89,87.6,84.51,86.95,858835
2025-05-28,87.15,87.37,85.55,85.87,511553
2025-05-29,86.75,87.45,84.7,85.27,792496
2025-05-30,85.2,86.3,83.5,84.03,621466
2025-06-02,84.1,87.4,84.1,85.04,1569855
2025-06-03,85.49,88.6,82.07,84.0,3367013
2025-06-04,84.8,86.35,83.94,84.82,1343041
2025-06-05,85.24,87.79,84.9,85.05,1296554
2025-06-06,85.4,87.6,84.97,85.72,2625404
2025-06-09,85.89,94.79,85.89,91.05,6332147
2025-06-10,91.58,92.75,87.26,87.7,3016363
2025-06-11,88.2,88.49,86.1,86.8,1712574
2025-06-12,87.3,88.46,83.4,83.78,1545711
2025-06-13,81.97,82.64,80.57,81.53,1786428
2025-06-16,81.9,83.72,79.52,83.39,1288390
2025-06-17,83.7,84.8,81.4,83.08,1237335
2025-06-18,82.9,83.0,79.71,80.63,1115735
2025-06-19,80.62,81.54,78.27,78.54,739220
2025-06-20,78.31,80.09,78.11,79.8,486234
2025-06-23,79.0,80.88,78.4,80.37,724462
2025-06-24,81.95,84.4,80.3,82.4,2788229
2025-06-25,83.05,86.48,83.01,86.06,1379878
2025-06-26,86.49,87.28,84.32,85.3,677107
2025-06-27,84.75,86.81,84.75,86.18,677194
2025-06-30,86.45,87.21,85.75,86.11,618726
2025-07-01,86.19,87.71,85.59,86.19,674444
2025-07-02,86.19,86.64,84.61,85.2,453708
2025-07-03,85.3,86.72,84.82,86.26,581281
2025-07-04,86.4,86.82,85.12,85.95,435586
2025-07-07,85.9,87.2,84.97,85.33,477689
2025-07-08,85.33,86.44,83.56,84.65,516580
2025-07-09,84.99,85.58,84.29,85.0,421588
2025-07-10,85.37,86.04,84.79,85.26,494207
2025-07-11,84.0,84.52,81.4,81.89,671113
2025-07-14,82.0,82.7,81.12,82.27,384605
2025-07-15,82.24,83.45,81.6,82.29,682597
2025-07-16,80.0,80.0,75.25,75.8,3682579
2025-07-17,76.05,77.8,76.0,76.66,1303024
2025-07-18,76.94,77.19,75.31,75.53,956548
2025-07-21,76.0,76.53,74.9,75.25,699491
2025-07-22,75.61,75.93,74.9,75.1,346079
2025-07-23,75.11,75.66,74.6,75.37,402828
2025-07-24,75.64,75.75,74.7,74.94,291291
2025-07-25,74.6,75.6,74.0,74.59,465413
2025-07-28,74.12,74.5,71.6,72.4,653428
2025-07-29,71.5,74.92,70.41,74.02,1015300
2025-07-30,74.39,75.34,72.52,73.03,599659
2025-07-31,72.01,73.99,71.51,73.05,408865
2025-08-01,72.55,73.73,72.55,73.26,215684
2025-08-04,73.2,73.59,72.5,73.2,230739
2025-08-05,73.0,73.9,72.5,72.87,230914
2025-08-06,72.51,73.26,71.05,72.17,352594
2025-08-07,71.25,72.79,70.8,72.1,346693
2025-08-08,72.0,72.74,71.1,71.81,372510
2025-08-11,72.0,72.8,71.25,72.08,295162
2025-08-12,71.9,72.69,71.81,72.25,196142
2025-08-13,72.01,73.44,71.75,72.84,401993
2025-08-14,72.84,73.94,72.4,72.49,223761
2025-08-18,73.0,74.7,73.0,73.87,295136
2025-08-19,73.59,75.85,73.5,75.49,425563
2025-08-20,75.27,76.2,75.0,75.5,351637
2025-08-21,75.4,76.67,74.36,74.77,331803
2025-08-22,74.5,75.48,73.22,73.46,397720
2025-08-25,73.46,74.38,73.2,73.79,235576
2025-08-26,73.15,73.79,71.56,72.1,306372
2025-08-28,71.57,72.19,70.71,71.5,325178
2025-08-29,71.2,72.8,71.1,71.29,247926
2025-09-01,71.1,72.69,71.05,72.44,251799
2025-09-02,73.1,74.85,72.2,74.11,465467
2025-09-03,74.0,77.67,74.0,77.26,1192539
2025-09-04,77.7,77.99,76.0,76.37,332026
2025-09-05,75.67,76.95,75.18,76.11,282065
2025-09-08,76.7,76.7,75.46,75.74,331290
2025-09-09,75.98,76.33,74.4,74.87,188340
2025-09-10,75.15,76.0,74.9,75.11,268745
2025-09-11,75.62,76.8,75.01,75.96,981146
2025-09-12,76.19,76.48,74.76,74.97,272282
2025-09-15,74.8,76.5,74.75,76.11,485693
2025-09-16,76.44,77.18,75.67,76.76,344729
2025-09-17,77.18,77.8,75.1,76.36,341371
2025-09-18,76.36,77.2,76.3,76.8,184655
2025-09-19,76.94,78.95,74.54,77.35,675615
2025-09-22,76.66,77.64,75.75,76.33,275234
2025-09-23,76.5,85.39,75.92,82.5,4045745
2025-09-24,82.94,84.88,80.0,80.43,1375990
2025-09-25,79.79,80.4,78.14,78.53,490257
2025-09-26,78.11,79.66,76.63,79.09,970339
2025-09-29,79.09,81.1,76.68,77.93,1215317
2025-09-30,78.0,78.8,77.45,78.35,290502
2025-10-01,77.75,79.21,77.5,78.15,331548
2025-10-03,77.85,80.75,77.85,79.3,634290
2025-10-06,79.3,79.55,77.7,78.33,337523
2025-10-07,77.55,78.64,77.55,78.11,237273
2025-10-08,77.6,79.67,77.6,78.58,252975
2025-10-09,78.75,78.85,77.18,77.6,232487
2025-10-10,77.5,78.67,77.5,77.98,174974
2025-10-13,77.98,79.98,77.5,78.2,339297
2025-10-14,78.2,82.39,78.2,79.68,1525808
2025-10-15,79.48,80.23,78.4,79.27,371569
2025-10-16,79.27,81.0,79.2,79.48,270137
2025-10-17,78.62,80.49,78.6,78.75,357341
2025-10-20,79.01,80.76,77.49,78.57,980669
