date,open,high,low,close,volume
2025-09-26,171.0,174.7,165.0,167.74,29452801
2025-09-29,168.35,169.8,155.16,164.46,4958888
2025-09-30,162.81,175.65,160.04,162.1,4069723
2025-10-01,161.7,171.5,161.19,169.63,2516526
2025-10-03,170.2,186.59,165.31,176.55,8003625
2025-10-06,177.96,178.85,171.31,173.72,1708191
2025-10-07,174.0,180.0,172.5,177.19,2285757
2025-10-08,175.81,184.0,171.32,174.86,2859541
2025-10-09,176.8,192.34,176.52,192.34,7550108
2025-10-10,194.9,197.35,181.15,188.81,5643297
2025-10-13,181.1,187.65,177.27,186.01,4420299
2025-10-14,188.0,188.0,181.75,185.02,1855285
2025-10-15,187.0,203.52,186.4,203.37,5213414
2025-10-16,204.9,222.0,201.31,216.99,6600606
2025-10-17,216.21,222.0,209.43,218.72,2529485
2025-10-20,218.71,235.5,216.66,228.41,3994030
2025-10-21,231.98,238.24,228.6,233.04,1105666
2025-10-23,235.59,239.6,226.06,233.23,2504251
2025-10-24,229.01,231.81,221.56,221.56,1444542
2025-10-27,210.48,216.78,210.48,210.48,521741
2025-10-28,202.9,217.95,199.95,205.19,3853059
2025-10-29,209.64,210.59,198.2,199.83,836161
2025-10-30,200.95,204.94,195.55,201.25,908507
2025-10-31,202.9,209.8,201.23,205.42,1065841
2025-11-03,206.45,215.69,204.99,215.56,1701001
2025-11-04,216.0,222.0,212.31,213.85,1266027
2025-11-06,215.99,215.99,203.15,203.31,795050
2025-11-07,202.99,207.65,198.45,206.12,758593
2025-11-10,206.74,206.74,195.81,195.81,757008
2025-11-11,196.0,199.7,186.15,187.05,853203
2025-11-12,193.0,196.4,188.21,196.4,781465
2025-11-13,196.2,197.5,190.57,191.56,504925
2025-11-14,192.5,200.0,188.86,198.45,613828
2025-11-17,203.25,207.15,195.74,197.89,1851249
2025-11-18,201.01,201.44,191.1,192.04,634330
2025-11-19,192.95,193.9,182.76,184.21,964543
2025-11-20,184.99,188.65,182.43,183.2,396717
2025-11-21,184.45,184.45,174.04,174.18,711978
2025-11-24,175.01,176.35,166.0,167.12,672036
2025-11-25,169.9,173.7,167.3,171.3,525759
2025-11-26,173.0,173.15,167.0,169.92,536356
2025-11-27,169.9,169.9,163.3,164.36,478761
2025-11-28,165.75,167.64,161.2,163.93,662422
2025-12-01,163.93,163.93,157.67,158.83,338932
2025-12-02,159.7,159.7,150.88,150.88,813676
2025-12-03,150.89,151.68,145.4,146.46,548801
2025-12-04,146.3,150.5,144.69,148.39,562437
2025-12-05,149.0,149.0,142.0,142.42,327664
2025-12-08,143.1,145.59,135.29,135.29,660874
2025-12-09,133.0,140.6,129.0,137.51,1150435
2025-12-10,136.0,144.38,136.0,144.38,233651
2025-12-11,151.59,151.59,138.51,150.79,3201442
2025-12-12,151.6,158.32,148.1,158.09,1063640
2025-12-15,160.0,165.99,158.11,165.99,657544
2025-12-16,169.0,173.0,166.09,168.71,1420496
2025-12-17,169.0,170.04,160.28,160.28,480515
2025-12-18,155.03,158.28,152.27,152.6,469228
2025-12-19,152.9,155.59,148.49,152.23,616122
2025-12-22,153.49,159.84,153.49,159.84,259374
2025-12-23,160.55,161.39,151.85,151.85,1670197
2025-12-24,150.3,158.99,148.0,155.79,2438056
2025-12-26,157.8,157.8,152.19,153.86,418321
2025-12-29,154.4,155.0,148.86,149.61,347309
2025-12-30,150.75,150.75,143.24,144.96,377316
2025-12-31,147.6,149.49,143.0,147.07,501064
2026-01-01,149.0,154.42,147.0,154.42,847132
2026-01-02,154.0,162.14,151.5,162.14,585317
2026-01-05,161.0,166.32,154.04,155.69,791612
2026-01-06,156.0,158.75,152.86,155.81,434765
2026-01-07,156.0,157.05,152.12,152.97,195738
2026-01-08,152.99,155.0,146.86,148.69,220841
2026-01-09,149.9,156.12,142.42,143.67,938714
2026-01-12,142.95,148.3,140.95,144.15,441932
2026-01-13,147.5,148.85,140.0,141.36,229305
2026-01-14,143.0,145.39,139.25,140.44,417428
2026-01-16,140.52,146.78,138.5,139.28,578164
2026-01-19,139.0,140.91,137.1,138.07,289853
2026-01-20,138.0,140.0,131.17,131.41,684308
2026-01-21,129.25,132.99,125.46,126.21,520188
2026-01-22,127.48,129.63,123.01,124.35,497919
2026-01-23,126.4,126.4,118.14,118.21,493475
2026-01-27,118.5,118.82,112.52,113.61,530581
2026-01-28,113.63,119.15,113.63,114.94,457325
2026-01-29,118.0,118.0,110.1,111.79,685292
2026-01-30,111.95,113.7,106.21,106.25,1607446
2026-02-01,107.0,108.0,100.94,100.94,1293954
2026-02-02,98.42,101.99,96.01,100.83,1028294
2026-02-03,105.87,105.87,98.97,103.28,1257590
2026-02-04,104.0,108.44,102.6,108.44,460004
2026-02-05,113.66,113.86,104.4,105.39,1224033
2026-02-06,104.0,108.46,100.13,107.46,854903
2026-02-09,108.7,112.83,107.11,112.83,731051
2026-02-10,114.0,118.47,113.26,118.47,888103
2026-02-11,119.0,120.72,112.55,114.01,939172
2026-02-12,115.0,119.71,112.32,116.82,928460
2026-02-13,116.8,116.8,110.98,111.06,1012585
2026-02-16,116.0,116.61,112.5,116.61,515108
2026-02-17,118.0,122.44,116.86,122.44,883589
2026-02-18,126.6,128.56,123.5,125.62,1557022
2026-02-19,127.0,127.59,119.75,120.34,478193
2026-02-20,119.63,122.7,117.35,119.81,416186
2026-02-23,122.0,124.9,120.17,121.15,596905
2026-02-24,120.99,122.17,116.12,117.36,537620
2026-02-25,118.8,119.5,112.22,113.73,495441
2026-02-26,116.95,117.4,111.32,113.65,323158
2026-02-27,113.9,114.52,110.46,111.34,251399
2026-03-02,105.78,107.99,105.78,105.78,673692
2026-03-04,100.5,103.54,100.5,100.5,765410
2026-03-05,100.2,105.52,98.01,104.01,1015500
2026-03-06,104.0,106.5,101.5,103.3,310302
2026-03-09,100.0,101.8,98.31,100.4,387004
2026-03-10,104.05,105.42,101.0,105.42,427143
2026-03-11,107.9,110.69,104.9,110.58,924197
2026-03-12,112.0,112.62,107.1,108.07,540041
2026-03-13,108.45,108.45,102.67,103.04,313083
2026-03-16,103.4,103.99,100.05,102.71,261760
2026-03-17,104.11,107.0,101.1,105.67,360823
2026-03-18,105.1,108.0,105.1,106.89,419242
2026-03-19,105.81,105.81,102.3,103.43,223141
2026-03-20,104.05,107.17,103.0,103.28,487611
2026-03-23,102.0,102.5,98.12,98.12,538295
2026-03-24,102.0,102.46,98.51,100.69,965790
2026-03-25,100.98,102.97,99.14,99.56,662214
2026-03-27,99.5,99.5,94.59,94.91,620098
2026-03-30,94.8,94.8,90.17,90.17,561636
2026-04-01,93.7,94.67,90.1,90.84,911251
2026-04-02,90.0,93.5,87.2,92.67,559171
2026-04-06,92.67,95.97,90.7,94.04,757444
2026-04-07,94.8,98.36,94.05,95.9,509287
2026-04-08,101.9,105.49,101.1,105.49,974746
2026-04-09,107.0,112.69,105.24,107.83,1085669
2026-04-10,109.75,118.61,109.13,116.04,1854312
2026-04-13,112.1,118.69,108.61,115.2,1022004
2026-04-15,119.7,123.2,118.47,120.26,901399
2026-04-16,124.56,124.56,120.0,122.36,720566
2026-04-17,122.95,127.3,122.36,124.78,820298
2026-04-20,126.0,137.25,124.12,130.89,2206311
2026-04-21,133.99,136.5,128.9,129.97,1263647
2026-04-22,130.9,134.2,128.02,129.81,924425
2026-04-23,130.2,132.75,128.7,129.67,501126
2026-04-24,130.99,131.47,124.01,126.41,576345
