date,open,high,low,close,volume
2025-10-07,84.0,93.0,81.17,83.7,28034318
2025-10-08,83.0,88.15,82.28,83.71,6919424
2025-10-09,84.41,85.43,82.28,82.75,1918021
2025-10-10,83.08,84.2,81.0,81.81,1348956
2025-10-13,81.5,81.81,78.0,78.51,1844768
2025-10-14,79.1,79.32,73.42,74.11,2149069
2025-10-15,74.11,75.64,73.6,74.89,1302150
2025-10-16,75.5,76.32,74.83,75.24,731658
2025-10-17,75.75,75.75,71.0,71.51,1066430
2025-10-20,72.3,74.0,70.17,73.67,1478993
2025-10-21,74.3,74.89,74.0,74.6,193869
2025-10-23,76.0,76.0,73.9,74.65,563328
2025-10-24,74.55,75.1,73.55,74.53,356550
2025-10-27,75.3,80.55,74.24,79.59,3217463
2025-10-28,79.0,79.38,76.65,77.11,903707
2025-10-29,78.3,78.34,75.76,76.2,616972
2025-10-30,76.58,76.58,75.0,75.17,402032
2025-10-31,75.3,75.54,74.23,74.43,283850
2025-11-03,74.41,74.41,72.2,73.37,566201
2025-11-04,74.0,74.1,72.49,72.74,473177
2025-11-06,73.0,73.2,68.8,69.23,1458584
2025-11-07,69.59,70.12,68.06,69.52,617239
2025-11-10,71.0,71.1,69.2,69.7,301936
2025-11-11,69.89,73.0,69.05,71.72,819173
2025-11-12,72.0,72.8,71.01,72.54,331691
2025-11-13,72.5,74.3,71.75,73.69,555815
2025-11-14,73.51,74.1,72.28,73.74,266261
2025-11-17,70.3,72.1,70.29,70.65,457889
2025-11-18,70.99,71.3,69.57,70.83,327101
2025-11-19,70.95,70.95,67.5,68.12,519549
2025-11-20,68.12,69.36,67.73,68.02,311207
2025-11-21,68.41,69.1,67.1,67.66,231245
2025-11-24,67.98,68.34,66.5,66.69,256324
2025-11-25,66.92,67.53,66.36,66.79,176218
2025-11-26,66.99,67.64,66.7,66.97,155527
2025-11-27,67.1,67.63,66.55,66.72,127758
2025-11-28,67.0,67.01,65.65,65.74,241002
2025-12-01,66.61,67.0,63.65,64.2,348404
2025-12-02,64.0,64.2,63.1,63.53,237754
2025-12-03,63.2,63.98,60.0,60.76,461250
2025-12-04,60.76,62.68,59.15,61.09,490165
2025-12-05,61.09,61.39,59.0,59.78,312916
2025-12-08,59.0,60.03,57.0,57.38,367979
2025-12-09,57.0,59.95,56.24,59.37,415816
2025-12-10,59.6,60.39,58.25,58.44,204480
2025-12-11,58.65,59.67,57.73,59.19,148003
2025-12-12,59.2,61.5,59.2,60.29,272240
2025-12-15,60.29,62.25,58.2,61.66,274321
2025-12-16,61.9,61.9,59.83,60.06,133784
2025-12-17,59.76,59.9,58.05,58.32,229817
2025-12-18,58.49,61.0,58.02,58.59,138478
2025-12-19,59.0,60.48,58.51,59.98,203886
2025-12-22,59.99,61.46,59.99,60.31,160049
2025-12-23,61.0,62.1,59.05,61.77,248097
2025-12-24,61.45,63.74,60.0,62.0,427298
2025-12-26,62.02,62.99,60.85,61.0,147024
2025-12-29,60.79,60.87,59.0,59.65,179257
2025-12-30,59.81,59.96,58.0,58.67,392449
2025-12-31,58.1,62.26,58.1,61.55,761969
2026-01-01,62.0,62.2,58.97,59.25,773254
2026-01-02,59.34,62.56,59.34,61.52,710445
2026-01-05,61.11,61.34,59.66,60.21,218424
2026-01-06,60.55,61.3,59.56,60.65,447099
2026-01-07,60.25,60.99,60.0,60.19,181406
2026-01-08,60.19,61.35,56.5,57.78,813487
2026-01-09,57.5,57.5,54.78,55.7,619319
2026-01-12,55.5,55.54,53.42,53.87,509818
2026-01-13,54.4,56.0,54.01,55.09,261306
2026-01-14,55.1,56.25,54.91,55.34,151345
2026-01-16,55.33,55.84,54.25,54.82,141478
2026-01-19,54.15,55.85,54.15,55.19,193972
2026-01-20,55.2,55.2,53.0,53.05,229815
2026-01-21,52.1,53.7,52.0,52.36,278509
2026-01-22,52.35,53.6,52.18,52.89,103082
2026-01-23,52.8,53.0,51.97,52.09,96663
2026-01-27,52.01,52.78,51.1,52.03,143928
2026-01-28,52.1,52.36,49.21,50.64,414825
2026-01-29,50.8,51.45,49.7,49.89,214346
2026-01-30,49.1,51.72,49.1,50.37,230295
2026-02-01,51.39,51.39,49.5,50.4,156274
2026-02-02,51.0,51.0,48.67,49.49,198435
2026-02-03,50.9,51.93,49.77,51.28,333304
2026-02-04,51.99,53.59,50.83,52.7,238206
2026-02-05,53.0,53.01,50.3,51.15,187970
2026-02-06,51.0,51.0,50.0,50.7,101037
2026-02-09,50.7,53.0,50.55,52.66,203996
2026-02-10,52.66,53.65,52.54,53.21,135475
2026-02-11,53.75,54.1,52.36,53.83,204358
2026-02-12,53.83,54.65,53.01,53.55,166979
2026-02-13,53.0,53.47,52.0,52.37,108292
2026-02-16,50.75,50.75,48.2,48.99,426827
2026-02-17,49.48,50.39,48.5,49.4,182162
2026-02-18,49.49,50.7,49.49,50.49,217827
2026-02-19,50.5,50.69,49.66,50.11,131702
2026-02-20,49.5,50.4,49.5,50.07,81946
2026-02-23,50.07,51.45,48.71,49.24,142881
2026-02-24,49.25,49.9,48.26,49.72,134301
2026-02-25,49.05,49.5,48.56,49.06,178841
2026-02-26,49.06,49.44,48.0,48.44,199584
2026-02-27,48.44,48.87,47.99,48.16,171399
2026-03-02,45.01,47.4,45.01,46.2,344601
2026-03-04,45.1,46.15,44.51,45.02,251505
2026-03-05,45.15,46.1,45.0,45.08,86739
2026-03-06,45.5,45.75,44.82,45.02,104751
2026-03-09,45.01,45.01,42.51,43.04,149069
2026-03-10,43.21,44.86,43.04,44.55,187262
2026-03-11,44.25,45.45,43.8,44.06,132026
2026-03-12,43.84,45.79,42.84,45.0,170519
2026-03-13,45.0,45.19,43.66,44.1,120107
2026-03-16,44.0,44.44,43.12,43.79,147118
2026-03-17,43.8,44.22,42.8,43.46,142292
2026-03-18,44.0,45.35,43.68,44.4,187002
2026-03-19,43.11,43.98,42.88,43.13,121697
2026-03-20,43.13,43.96,42.88,43.15,103709
2026-03-23,42.9,43.0,40.5,40.78,245041
2026-03-24,41.94,42.4,40.16,40.68,213727
2026-03-25,41.47,42.29,40.8,41.11,292944
2026-03-27,41.11,41.31,38.8,39.08,601901
2026-03-30,38.82,39.29,37.0,38.14,456895
2026-04-01,38.3,41.69,38.15,40.92,196653
2026-04-02,39.8,43.06,39.17,42.89,132864
2026-04-06,42.04,44.74,42.02,44.1,149605
2026-04-07,44.25,46.3,43.61,45.46,166348
2026-04-08,49.0,49.0,46.22,48.12,253398
2026-04-09,48.4,49.27,47.55,48.06,146147
2026-04-10,48.2,57.67,48.05,57.67,1061327
2026-04-13,59.5,61.4,57.25,59.89,1849101
2026-04-15,60.6,61.2,58.01,58.33,281483
2026-04-16,58.63,58.99,55.25,56.26,353723
2026-04-17,56.79,59.15,56.21,57.78,175538
2026-04-20,56.6,58.0,56.0,56.12,100045
2026-04-21,55.71,56.9,55.71,56.04,149977
2026-04-22,56.88,62.0,56.51,60.26,811062
2026-04-23,60.5,60.5,58.0,59.01,218197
2026-04-24,59.01,60.6,56.0,59.71,324025
2026-04-27,59.71,64.95,59.71,63.5,634172
