date,open,high,low,close,volume
2025-03-24,329.25,337.5,325.5,326.75,59679
2025-03-25,330.65,331.05,314.0,318.1,65859
2025-03-26,315.1,326.9,314.0,324.75,93322
2025-03-27,328.0,334.8,319.45,330.1,169302
2025-03-28,336.0,343.45,330.15,341.1,143847
2025-04-01,343.8,353.0,333.2,346.4,72717
2025-04-02,346.4,350.4,338.55,347.65,54991
2025-04-03,342.0,346.65,334.4,337.65,58893
2025-04-04,334.15,337.05,307.7,309.9,126787
2025-04-07,271.05,290.85,271.05,283.75,136726
2025-04-08,290.45,294.2,282.15,289.65,94147
2025-04-09,292.9,292.9,282.25,286.35,20322
2025-04-11,290.25,308.4,290.25,300.65,77219
2025-04-15,305.1,319.0,305.1,314.3,69519
2025-04-16,314.3,331.35,313.9,320.55,268577
2025-04-17,320.55,333.0,318.25,327.65,143425
2025-04-21,332.7,386.95,330.05,374.15,2235071
2025-04-22,371.0,371.0,341.0,347.8,707107
2025-04-23,349.4,352.0,340.0,343.65,102903
2025-04-24,349.0,353.65,343.65,347.5,98950
2025-04-25,347.5,349.95,330.05,339.65,55522
2025-04-28,332.95,339.75,316.5,324.95,79662
2025-04-29,331.9,336.65,317.5,324.55,63501
2025-04-30,324.55,324.55,311.0,314.65,65250
2025-05-02,314.65,321.8,314.6,317.75,39515
2025-05-05,318.0,328.0,315.0,324.45,63231
2025-05-06,325.0,326.0,308.15,311.2,43583
2025-05-07,309.6,317.0,308.05,315.0,28981
2025-05-08,318.0,319.9,310.75,311.7,39722
2025-05-09,308.05,314.65,301.0,312.7,49825
2025-05-12,329.0,329.1,322.35,327.8,58667
2025-05-13,331.3,333.45,325.0,328.3,55971
2025-05-14,329.3,335.65,328.55,333.0,43613
2025-05-15,334.9,338.9,330.4,337.0,49515
2025-05-16,339.3,342.8,337.0,337.85,48788
2025-05-19,341.4,342.35,336.75,339.35,53208
2025-05-20,338.3,342.15,332.95,334.5,41845
2025-05-21,336.15,337.7,331.1,334.75,26664
2025-05-22,334.0,338.0,334.0,336.5,13068
2025-05-23,334.55,340.0,334.55,337.4,33250
2025-05-26,335.05,340.6,335.05,337.5,27456
2025-05-27,339.9,339.9,334.05,336.25,11659
2025-05-28,333.3,347.2,333.3,341.5,102279
2025-05-29,341.5,341.95,333.5,335.0,35607
2025-05-30,335.0,343.5,335.0,342.15,42031
2025-06-02,342.95,342.95,335.9,338.65,32210
2025-06-03,336.05,341.95,333.4,335.95,26181
2025-06-04,335.95,336.95,327.5,328.9,55504
2025-06-05,327.2,334.65,323.0,324.35,75239
2025-06-06,326.0,328.0,305.5,320.3,229987
2025-06-09,327.0,329.5,321.95,326.95,96174
2025-06-10,326.95,331.95,321.05,325.75,110547
2025-06-11,329.6,332.1,322.0,322.95,193139
2025-06-12,322.95,325.45,314.25,319.0,80629
2025-06-13,311.0,327.15,309.2,319.8,109278
2025-06-16,319.8,324.7,313.4,318.65,59913
2025-06-17,320.25,323.0,315.0,317.55,31952
2025-06-18,318.55,319.65,314.85,315.35,21153
2025-06-19,316.95,326.0,309.15,310.6,48538
2025-06-20,312.2,316.0,309.8,312.85,24642
2025-06-23,314.45,317.7,309.1,316.6,33040
2025-06-24,318.2,325.0,316.5,322.45,70950
2025-06-25,323.9,327.3,320.3,324.6,54021
2025-06-26,327.05,329.0,320.85,322.0,30586
2025-06-27,323.0,329.35,322.2,325.25,51378
2025-06-30,326.9,332.8,321.85,329.2,61194
2025-07-01,330.85,332.9,326.3,329.85,33389
2025-07-02,330.0,330.0,325.0,326.4,22613
2025-07-03,328.05,328.9,324.1,325.35,31330
2025-07-04,327.0,328.85,322.5,324.45,27697
2025-07-07,326.1,326.1,318.1,320.65,19637
2025-07-08,322.3,326.75,318.2,321.3,41702
2025-07-09,322.95,325.2,319.5,321.4,29230
2025-07-10,323.0,324.9,316.8,322.5,42356
2025-07-11,318.55,325.0,318.55,322.85,19172
2025-07-14,322.0,333.0,319.35,325.9,30019
2025-07-15,325.9,334.0,325.6,329.15,78358
2025-07-16,328.0,333.95,325.95,332.4,54878
2025-07-17,332.7,337.4,330.85,336.75,61128
2025-07-18,335.0,339.8,331.2,338.55,46894
2025-07-21,340.25,340.25,332.1,334.2,27802
2025-07-22,334.2,340.0,333.5,338.55,44975
2025-07-23,338.55,340.0,334.55,339.55,49570
2025-07-24,342.3,342.3,334.95,338.25,62925
2025-07-25,338.25,339.95,310.6,313.2,307192
2025-07-28,313.2,315.2,302.7,304.4,76302
2025-07-29,304.4,310.45,303.6,305.4,52801
2025-07-30,307.0,314.0,304.0,304.65,52412
2025-07-31,302.0,310.4,299.55,305.15,54492
2025-08-01,305.15,312.15,303.05,305.3,62365
2025-08-04,305.3,312.0,301.8,308.0,27803
2025-08-05,309.45,309.45,302.0,302.7,20599
2025-08-06,303.0,305.45,298.0,299.9,15958
2025-08-07,301.4,301.4,295.0,298.9,27421
2025-08-08,300.4,301.5,297.8,298.75,10124
2025-08-11,296.8,303.0,294.9,299.7,20619
2025-08-12,302.5,305.0,300.05,303.45,16120
2025-08-13,305.0,305.0,301.0,301.8,17528
2025-08-14,301.3,301.8,297.0,298.1,11877
2025-08-18,299.6,305.7,299.6,303.15,37276
