date,open,high,low,close,volume
2025-03-24,2199.0,2201.25,2140.4,2189.1,1313018
2025-03-25,2210.0,2218.4,2127.15,2138.4,778170
2025-03-26,2139.0,2169.85,2116.2,2130.7,632311
2025-03-27,2101.05,2142.0,2101.05,2126.2,652883
2025-03-28,2130.0,2166.0,2112.3,2129.6,440627
2025-04-01,2119.0,2133.45,2033.1,2041.45,770973
2025-04-02,2041.8,2154.0,2041.8,2146.8,1248005
2025-04-03,2110.15,2175.45,2110.15,2151.45,641488
2025-04-04,2148.6,2150.0,2048.9,2067.95,592381
2025-04-07,1985.35,1999.0,1900.0,1927.15,1005584
2025-04-08,1985.0,2052.95,1941.25,1974.55,1474704
2025-04-09,1994.5,1998.0,1925.8,1973.3,745003
2025-04-11,1997.0,2015.0,1934.9,1948.4,996973
2025-04-15,2000.0,2024.0,1975.7,2015.6,1604747
2025-04-16,2022.0,2033.9,1989.3,2000.3,695414
2025-04-17,2000.7,2014.9,1975.4,1991.1,1065499
2025-04-21,2007.0,2052.4,1977.0,2044.7,683576
2025-04-22,2044.0,2099.0,2011.5,2095.0,909754
2025-04-23,2102.1,2180.9,2102.1,2152.4,1500746
2025-04-24,2152.4,2172.5,2142.1,2145.6,891676
2025-04-25,2147.1,2171.8,2052.7,2085.3,1141824
2025-04-28,2080.0,2126.4,2072.5,2121.4,645628
2025-04-29,2121.4,2160.6,2094.9,2099.1,481960
2025-04-30,2095.0,2236.8,2085.2,2161.5,2881011
2025-05-02,2148.9,2265.1,2148.6,2249.3,2376276
2025-05-05,2260.4,2319.9,2210.0,2219.2,1297632
2025-05-06,2220.0,2228.9,2077.0,2088.5,1157331
2025-05-07,2075.0,2139.0,2066.7,2128.0,691597
2025-05-08,2123.0,2137.7,2006.0,2030.3,625279
2025-05-09,2001.0,2025.0,1948.0,2000.5,1037572
2025-05-12,2083.0,2150.0,2072.7,2146.8,1136405
2025-05-13,2145.0,2158.0,2091.0,2102.4,621486
2025-05-14,2103.2,2127.0,2087.2,2119.1,969374
2025-05-15,2120.0,2160.0,2082.0,2148.9,1253488
2025-05-16,2165.0,2201.6,2145.1,2176.1,715608
2025-05-19,2175.0,2269.1,2153.8,2231.1,1765103
2025-05-20,2250.0,2254.7,2157.0,2169.0,909364
2025-05-21,2165.0,2213.9,2155.2,2181.0,450947
2025-05-22,2180.0,2183.8,2141.0,2164.5,546535
2025-05-23,2151.0,2187.0,2151.0,2182.4,315099
2025-05-26,2190.0,2254.3,2180.0,2246.9,828874
2025-05-27,2252.0,2268.7,2209.0,2245.6,933231
2025-05-28,2264.9,2286.0,2226.2,2232.1,712544
2025-05-29,2230.0,2246.9,2165.5,2239.4,1318865
2025-05-30,2239.4,2263.7,2188.3,2243.8,1729676
2025-06-02,2249.9,2294.4,2205.4,2281.6,1002711
2025-06-03,2294.0,2333.0,2268.2,2284.4,1461292
2025-06-04,2295.4,2300.0,2243.3,2263.8,602242
2025-06-05,2270.0,2325.0,2249.6,2312.0,1128257
2025-06-06,2320.0,2485.0,2319.2,2467.0,3874231
2025-06-09,2479.0,2493.5,2452.0,2467.3,965164
2025-06-10,2482.0,2506.5,2451.0,2458.0,917825
2025-06-11,2458.0,2476.0,2425.5,2447.7,920228
2025-06-12,2446.0,2460.7,2377.0,2388.7,994463
2025-06-13,2328.0,2418.0,2306.4,2402.0,859500
2025-06-16,2414.0,2442.0,2385.7,2434.4,585135
2025-06-17,2449.9,2483.9,2430.4,2455.7,1637479
2025-06-18,2450.0,2494.0,2441.4,2461.4,762660
2025-06-19,2462.0,2475.0,2371.1,2380.1,902612
2025-06-20,2380.0,2449.5,2378.9,2432.0,1202350
2025-06-23,2418.1,2429.0,2390.9,2401.1,597477
2025-06-24,2434.0,2450.9,2389.1,2398.7,583573
2025-06-25,2419.0,2420.0,2380.4,2403.3,664206
2025-06-26,2403.3,2410.4,2353.0,2391.6,735164
2025-06-27,2408.0,2408.0,2358.0,2362.3,758444
2025-06-30,2380.0,2385.0,2335.6,2343.1,739506
2025-07-01,2358.0,2365.0,2300.5,2314.5,521961
2025-07-02,2300.0,2336.0,2278.1,2290.2,958146
2025-07-03,2294.1,2306.0,2261.0,2266.1,528778
2025-07-04,2267.9,2314.0,2263.4,2304.0,606090
2025-07-07,2305.0,2319.5,2272.0,2299.0,572733
2025-07-08,2292.0,2314.5,2259.5,2310.4,557863
2025-07-09,2279.9,2284.6,2245.3,2255.1,839999
2025-07-10,2249.9,2276.0,2231.1,2256.2,559166
2025-07-11,2258.5,2261.4,2196.0,2206.3,812994
2025-07-14,2206.3,2270.0,2192.9,2256.9,906438
2025-07-15,2256.0,2297.0,2243.0,2269.7,821248
2025-07-16,2275.0,2300.8,2260.0,2289.1,636281
2025-07-17,2309.0,2349.9,2292.1,2337.0,1475182
2025-07-18,2350.0,2369.0,2330.2,2365.4,944125
2025-07-21,2371.5,2407.0,2353.4,2403.9,720007
2025-07-22,2404.0,2407.9,2351.0,2363.5,538727
2025-07-23,2350.0,2365.5,2298.1,2324.1,748280
2025-07-24,2312.3,2339.9,2305.7,2312.6,500769
2025-07-25,2300.0,2308.9,2225.6,2233.8,734987
2025-07-28,2225.0,2225.0,2100.0,2115.8,1574049
2025-07-29,2107.1,2167.7,2104.8,2155.1,709615
2025-07-30,2160.0,2166.7,2118.6,2129.4,387200
2025-07-31,2115.0,2121.1,2090.6,2102.9,630537
2025-08-01,2105.0,2123.0,2042.0,2050.6,1209172
2025-08-04,2036.0,2110.0,2036.0,2098.1,934764
2025-08-05,2100.2,2120.0,2076.0,2114.8,521123
2025-08-06,2103.0,2114.5,2054.5,2061.5,605906
2025-08-07,2042.1,2063.9,2009.4,2043.8,1028052
2025-08-08,2053.7,2072.7,1965.5,1971.9,802032
2025-08-11,1973.3,1997.0,1966.7,1990.9,1286199
2025-08-12,1990.0,1990.9,1945.0,1948.8,1127245
2025-08-13,1955.1,1977.9,1948.6,1960.1,1298604
2025-08-14,1961.0,1973.9,1934.8,1936.6,341127
2025-08-18,1971.0,2036.7,1953.9,2002.4,1464481
2025-08-19,2011.0,2015.1,1975.7,2010.0,679045
2025-08-20,2014.9,2047.3,2000.4,2041.8,590689
2025-08-21,2067.0,2091.9,2046.8,2053.6,1293234
2025-08-22,2066.6,2069.9,2040.4,2052.9,405740
2025-08-25,2074.0,2095.0,2062.0,2068.9,361197
2025-08-26,2069.0,2070.0,2000.0,2007.1,602959
2025-08-28,2016.0,2016.0,1963.7,1984.6,1055273
2025-08-29,1985.0,1998.0,1941.0,1947.7,718751
2025-09-01,1947.7,1959.8,1938.3,1952.2,737807
2025-09-02,1957.2,2002.0,1957.2,1978.2,467127
2025-09-03,1988.0,2017.9,1972.0,2011.9,352798
2025-09-04,2030.0,2058.8,1999.5,2002.8,589581
2025-09-05,2003.4,2015.7,1943.1,1961.8,591336
2025-09-08,1973.1,1989.5,1960.6,1964.3,444652
2025-09-09,1968.6,1974.0,1947.2,1949.7,353216
2025-09-10,1964.0,2002.8,1945.6,1989.1,917722
2025-09-11,1999.8,2016.8,1981.1,1993.0,318150
2025-09-12,2003.0,2013.6,1986.4,1998.9,280693
2025-09-15,2014.0,2063.9,2003.2,2036.6,982451
2025-09-16,2040.0,2071.8,2028.2,2061.0,399660
2025-09-17,2071.0,2087.0,2060.1,2081.5,426132
2025-09-18,2090.0,2106.0,2075.0,2087.6,462646
2025-09-19,2081.0,2148.0,2078.9,2145.2,1017368
2025-09-22,2146.0,2154.4,2092.8,2103.7,492664
2025-09-23,2095.1,2118.3,2085.5,2103.7,368846
2025-09-24,2103.7,2115.3,2011.9,2019.1,626753
2025-09-25,2020.0,2022.1,1955.3,1967.4,612330
2025-09-26,1967.4,1986.2,1948.5,1957.6,387913
2025-09-29,1974.0,2018.0,1971.8,1996.9,586290
2025-09-30,1996.9,2008.7,1959.8,1968.8,566181
2025-10-01,1980.0,2036.0,1975.0,2030.4,599534
2025-10-03,2040.0,2048.0,2018.5,2033.0,292903
2025-10-06,2042.9,2060.0,2025.2,2056.5,198961
2025-10-07,2055.0,2076.1,2033.4,2073.3,288669
2025-10-08,2072.0,2083.6,2023.1,2033.4,395416
2025-10-09,2033.4,2074.4,2007.9,2031.5,516348
2025-10-10,2046.9,2103.6,2036.0,2091.9,892776
2025-10-13,2090.0,2104.8,2051.0,2096.9,702685
2025-10-14,2100.1,2105.0,2052.0,2057.4,311350
2025-10-15,2067.6,2145.0,2067.4,2135.6,1019818
2025-10-16,2146.2,2213.8,2135.6,2205.3,1296605
2025-10-17,2206.0,2264.0,2182.4,2236.2,1377946
2025-10-20,2239.9,2297.0,2231.0,2291.8,742740
2025-10-21,2309.8,2325.0,2279.8,2293.5,191493
2025-10-23,2290.0,2333.9,2270.0,2278.8,631108
2025-10-24,2280.0,2310.0,2263.5,2287.8,400122
2025-10-27,2315.0,2352.0,2306.7,2320.3,949508
2025-10-28,2324.0,2330.0,2275.3,2296.6,394259
2025-10-29,2312.8,2325.6,2276.3,2311.3,631257
2025-10-30,2300.0,2311.5,2275.0,2298.9,475090
2025-10-31,2298.9,2339.0,2282.2,2288.0,393082
2025-11-03,2281.0,2330.0,2281.0,2307.5,340421
2025-11-04,2304.0,2327.4,2286.3,2293.2,401283
2025-11-06,2300.0,2312.7,2186.6,2193.7,1250187
2025-11-07,2193.6,2196.1,2136.4,2142.7,591444
2025-11-10,2140.0,2182.0,2131.1,2167.7,276221
2025-11-11,2171.0,2184.7,2136.0,2158.5,326579
2025-11-12,2169.4,2210.0,2167.8,2193.8,341974
2025-11-13,2193.8,2233.4,2187.1,2206.1,556709
2025-11-14,2205.8,2218.5,2176.0,2195.8,272597
2025-11-17,2214.8,2218.0,2177.1,2184.6,320144
2025-11-18,2181.6,2184.6,2146.0,2150.8,324330
2025-11-19,2145.0,2149.7,2111.0,2130.4,368577
2025-11-20,2144.0,2152.8,2113.0,2123.8,361185
2025-11-21,2132.9,2141.3,2080.0,2090.9,597759
2025-11-24,2090.9,2097.3,2036.0,2046.4,741236
2025-11-25,2046.4,2099.9,2026.0,2094.0,471585
2025-11-26,2085.0,2118.7,2080.6,2114.4,427311
2025-11-27,2114.4,2119.8,2086.7,2096.3,287748
2025-11-28,2106.2,2129.0,2095.0,2114.6,293364
2025-12-01,2123.0,2127.9,2074.9,2096.5,310613
2025-12-02,2087.5,2109.7,2081.5,2097.7,392005
2025-12-03,2091.0,2097.7,2057.7,2067.8,290444
2025-12-04,2078.8,2103.0,2056.0,2079.6,361891
2025-12-05,2080.0,2117.0,2062.8,2082.4,494250
2025-12-08,2086.0,2092.7,1950.1,1975.1,1035902
2025-12-09,1970.0,2051.4,1952.0,2043.0,1296198
2025-12-10,2041.0,2049.2,2001.0,2014.3,359878
2025-12-11,2013.9,2046.8,2000.0,2035.6,225728
2025-12-12,2045.0,2081.5,2038.4,2075.1,481256
2025-12-15,2079.8,2079.8,2041.5,2067.8,407293
2025-12-16,2070.0,2077.0,2015.1,2023.6,237245
2025-12-17,2024.9,2036.6,2004.9,2014.9,285130
2025-12-18,2015.0,2026.8,1990.2,1999.8,593692
2025-12-19,2001.3,2049.6,1998.8,2044.8,628062
2025-12-22,2045.0,2061.5,2026.0,2030.4,231349
2025-12-23,2030.4,2042.3,2014.2,2019.5,264149
2025-12-24,2025.0,2044.9,2001.8,2006.1,296234
2025-12-26,2006.0,2019.4,1995.0,2002.6,375373
