date,open,high,low,close,volume
2025-03-24,229.65,234.4,228.5,229.56,1651041
2025-03-25,231.45,232.39,218.25,219.87,2283866
2025-03-26,220.8,223.8,213.02,213.8,2127710
2025-03-27,213.8,222.97,212.31,221.82,2439457
2025-03-28,223.0,224.45,214.0,214.8,1880506
2025-04-01,213.91,220.24,212.05,213.07,2140357
2025-04-02,214.7,215.4,207.22,214.18,2411461
2025-04-03,209.0,215.79,208.99,214.5,1418624
2025-04-04,213.91,215.28,192.78,194.44,4573884
2025-04-07,170.0,183.9,168.25,181.24,4608568
2025-04-08,186.9,190.82,181.25,184.56,2140929
2025-04-09,183.82,183.88,173.01,174.08,2811195
2025-04-11,182.78,188.68,179.26,182.7,4779957
2025-04-15,187.7,195.93,185.7,191.81,3332773
2025-04-16,192.0,199.35,191.4,195.77,2960573
2025-04-17,195.99,197.29,193.07,194.66,1374938
2025-04-21,196.4,204.31,194.5,203.05,3577773
2025-04-22,204.07,205.95,200.25,202.25,1689405
2025-04-23,204.0,208.0,197.9,205.15,3827128
2025-04-24,204.99,206.07,200.05,201.88,2135878
2025-04-25,202.5,203.4,190.2,192.24,2594760
2025-04-28,192.3,194.68,188.81,190.76,1866212
2025-04-29,192.1,195.86,188.77,189.35,1434474
2025-04-30,189.9,209.68,183.55,199.57,25433861
2025-05-02,198.96,199.49,191.15,193.81,4979910
2025-05-05,194.95,201.89,193.75,197.11,3003540
2025-05-06,197.8,198.45,188.0,189.96,1874697
2025-05-07,184.6,193.5,184.6,192.84,1966747
2025-05-08,193.85,196.34,182.0,186.93,1548541
2025-05-09,180.35,185.94,180.35,184.69,1625416
2025-05-12,194.4,202.09,192.41,201.31,3471396
2025-05-13,202.0,205.0,199.65,202.69,2020668
2025-05-14,205.11,212.31,203.5,208.15,4489491
2025-05-15,209.96,215.0,209.0,213.02,2581182
2025-05-16,214.28,217.2,211.3,214.01,1949180
2025-05-19,214.19,218.8,212.2,215.33,1810491
2025-05-20,214.27,219.39,210.26,211.72,1818409
2025-05-21,211.0,214.4,210.0,212.16,976066
2025-05-22,211.65,213.79,208.1,210.14,1131392
