date,open,high,low,close,volume
2025-03-24,1823.0,1823.0,1759.05,1780.25,72794
2025-03-25,1785.0,1814.35,1758.2,1782.75,83952
2025-03-26,1775.0,1782.55,1723.25,1763.6,61116
2025-03-27,1760.05,1780.0,1623.35,1663.85,359251
2025-03-28,1680.0,1738.65,1669.1,1696.7,93308
2025-04-01,1675.5,1739.0,1632.0,1705.7,40453
2025-04-02,1705.7,1708.95,1661.55,1673.95,14049
2025-04-03,1681.0,1681.0,1643.3,1652.2,14537
2025-04-04,1644.65,1645.7,1589.0,1598.3,15363
2025-04-07,1535.75,1574.0,1491.15,1549.2,41386
2025-04-08,1559.0,1572.2,1523.75,1548.2,23696
2025-04-09,1558.25,1595.95,1512.2,1586.35,19889
2025-04-11,1598.95,1623.7,1563.2,1600.2,229836
2025-04-15,1613.2,1716.0,1609.1,1694.6,39175
2025-04-16,1694.6,1712.0,1666.1,1677.4,26855
2025-04-17,1679.8,1704.0,1656.1,1698.9,19393
2025-04-21,1701.0,1720.5,1677.8,1714.4,16387
2025-04-22,1725.0,1762.5,1706.6,1744.5,31438
2025-04-23,1740.3,1744.2,1691.0,1716.2,23393
2025-04-24,1707.4,1732.5,1700.0,1718.9,11194
2025-04-25,1715.0,1722.2,1662.6,1679.9,14744
2025-04-28,1657.9,1725.0,1653.2,1709.5,23881
2025-04-29,1710.0,1749.5,1700.5,1732.2,26761
2025-04-30,1742.5,1749.0,1676.1,1686.1,23533
2025-05-02,1686.1,1705.3,1657.8,1683.7,26060
2025-05-05,1675.0,1681.6,1636.0,1644.2,15653
2025-05-06,1636.2,1643.6,1560.0,1570.1,42653
2025-05-07,1530.0,1584.0,1518.2,1544.7,115573
2025-05-08,1559.0,1820.0,1538.6,1771.3,817295
2025-05-09,1672.0,1710.2,1587.7,1611.7,194275
2025-05-12,1637.0,1710.0,1630.0,1641.1,108569
2025-05-13,1649.0,1683.9,1640.0,1666.5,41560
2025-05-14,1661.9,1713.6,1653.0,1682.6,52592
2025-05-15,1690.7,1825.6,1682.7,1766.2,222743
2025-05-16,1779.9,1836.0,1758.5,1780.0,40250
2025-05-19,1794.2,1804.0,1740.1,1746.7,29399
2025-05-20,1748.0,1796.7,1741.0,1787.6,45156
2025-05-21,1799.9,1807.8,1759.7,1773.8,28987
2025-05-22,1773.8,1798.9,1759.9,1795.3,17483
2025-05-23,1808.0,1815.0,1767.5,1772.1,28446
2025-05-26,1770.0,1784.2,1746.5,1752.8,28452
2025-05-27,1759.0,1798.9,1751.2,1786.3,106269
2025-05-28,1786.3,1824.0,1781.6,1796.2,44189
2025-05-29,1806.5,1806.5,1770.0,1780.2,15480
2025-05-30,1790.5,1818.0,1743.7,1796.6,93147
2025-06-02,1796.6,1804.0,1760.0,1773.0,23041
2025-06-03,1789.8,1810.0,1772.3,1796.9,43429
2025-06-04,1808.0,1814.9,1781.1,1807.3,21862
2025-06-05,1819.2,1884.0,1810.3,1844.0,59160
2025-06-06,1855.0,1861.9,1825.6,1841.8,22398
2025-06-09,1844.8,1852.5,1816.6,1833.3,19667
2025-06-10,1842.5,1842.5,1800.0,1807.8,28989
2025-06-11,1808.4,1814.0,1790.5,1802.2,244102
2025-06-12,1810.0,1838.8,1791.2,1823.7,47388
