date,open,high,low,close,volume
2025-03-24,93.25,94.35,92.0,92.95,1812525
2025-03-25,94.35,94.65,89.35,90.5,1065228
2025-03-26,90.5,91.65,87.65,89.3,1488315
2025-03-27,87.4,91.45,87.4,90.2,883191
2025-03-28,91.55,91.95,86.3,88.7,872448
2025-04-01,88.7,95.0,87.0,94.25,1744092
2025-04-02,94.65,95.65,91.75,94.25,1563417
2025-04-03,94.25,103.35,92.15,101.6,3761559
2025-04-04,101.6,104.35,98.35,99.5,2451837
2025-04-07,85.2,103.35,84.0,101.2,2049468
2025-04-08,104.25,106.55,99.15,102.3,2548638
2025-04-09,103.35,106.95,100.85,106.35,2400948
2025-04-11,108.0,110.0,106.0,108.55,2789793
2025-04-15,109.5,109.65,103.5,104.7,1463175
2025-04-16,104.0,105.65,102.05,104.15,832818
2025-04-17,103.35,108.5,102.45,107.7,1405479
2025-04-21,108.35,108.35,102.7,104.5,2402358
2025-04-22,104.5,109.05,104.35,108.2,1695186
2025-04-23,108.2,109.5,104.65,108.4,2106006
2025-04-24,108.85,111.65,106.65,110.15,2186343
2025-04-25,111.15,113.65,103.0,103.85,1015509
2025-04-28,103.35,108.65,102.65,106.7,986472
2025-04-29,106.7,108.6,104.5,107.0,1521768
2025-04-30,106.0,106.5,103.6,105.25,1510317
2025-05-02,105.0,106.4,101.65,102.4,1407405
2025-05-05,102.7,105.65,101.7,105.2,1286769
2025-05-06,105.0,105.65,97.1,98.05,956100
2025-05-07,94.65,100.65,94.65,99.5,964491
2025-05-08,99.65,103.25,96.1,97.3,1434927
2025-05-09,94.65,96.3,90.0,93.3,1648938
2025-05-12,97.95,100.65,96.1,99.35,1584252
2025-05-13,98.5,100.1,97.35,98.35,645660
2025-05-14,97.95,99.35,96.75,98.4,1421952
2025-05-15,98.0,104.75,98.0,103.95,2400156
2025-05-16,104.05,104.55,100.15,101.55,882477
2025-05-19,100.65,105.15,99.75,104.5,1534707
2025-05-20,104.5,105.95,101.7,102.8,1708767
2025-05-21,103.3,105.65,102.2,102.7,860490
2025-05-22,102.7,103.9,100.85,101.3,452139
2025-05-23,101.65,103.65,101.1,103.05,447303
2025-05-26,103.05,104.8,100.7,101.2,487716
2025-05-27,101.95,101.95,97.0,98.95,1247052
2025-05-28,100.65,101.25,97.35,98.4,1759530
2025-05-29,98.65,101.85,97.9,101.35,933663
2025-05-30,100.7,101.95,99.75,100.35,602883
2025-06-02,99.0,101.5,93.05,99.95,1513377
2025-06-03,100.0,102.0,98.7,99.25,857502
2025-06-04,99.45,99.45,94.8,95.8,604458
2025-06-05,95.5,99.6,94.25,97.55,1776594
2025-06-06,97.55,99.15,95.5,97.45,1832613
2025-06-09,96.65,103.4,96.65,102.6,3012666
2025-06-10,103.35,108.25,102.6,106.2,3667257
2025-06-11,105.75,113.25,105.7,111.85,2978478
2025-06-12,111.7,113.65,109.7,112.75,2398242
2025-06-13,111.35,115.65,109.35,114.5,2713611
2025-06-16,114.5,122.0,112.0,120.85,4025514
2025-06-17,121.6,123.0,120.0,120.5,2266461
2025-06-18,120.3,124.0,119.25,123.3,1738137
2025-06-19,123.0,125.45,121.15,124.1,2533347
2025-06-20,123.4,124.65,111.85,118.1,4478244
2025-06-23,116.0,119.9,115.75,118.3,2145789
2025-06-24,118.95,121.65,116.15,121.15,4536999
2025-06-25,121.65,123.15,121.15,122.15,2656269
2025-06-26,122.0,122.45,120.1,120.8,838731
2025-06-27,120.8,123.3,120.75,122.75,1427736
2025-06-30,124.3,125.0,120.35,120.85,2034507
2025-07-01,121.1,121.85,118.8,119.8,1516746
2025-07-02,119.8,122.0,118.45,120.8,2143113
2025-07-03,120.65,123.35,118.75,122.9,3619191
2025-07-04,123.85,125.0,122.15,124.4,2485938
2025-07-07,125.15,127.65,121.85,125.9,4814661
2025-07-08,127.15,129.0,123.0,127.9,4854570
2025-07-09,128.0,129.5,127.15,127.9,2493165
2025-07-10,127.5,128.0,125.6,126.45,1697475
2025-07-11,126.0,126.65,125.0,125.8,615933
2025-07-14,125.8,128.15,124.85,127.65,1581954
2025-07-15,127.9,130.65,126.85,130.0,2495940
2025-07-16,130.0,132.55,128.1,129.25,3182631
2025-07-17,129.35,129.9,125.8,126.7,1543125
2025-07-18,128.05,129.15,125.0,125.95,2879097
2025-07-21,126.0,127.25,119.55,126.8,3575646
2025-07-22,127.15,127.65,126.0,126.4,1197612
2025-07-23,125.65,127.5,125.0,126.05,947415
2025-07-24,125.65,127.35,125.2,125.95,1941678
2025-07-25,126.0,128.1,125.35,126.4,1859907
2025-07-28,126.95,127.2,121.9,123.95,2269797
2025-07-29,123.95,125.3,122.05,123.5,1626756
2025-07-30,123.5,124.7,122.15,124.25,1988034
2025-07-31,123.65,124.9,122.65,123.8,924777
2025-08-01,124.9,126.8,123.7,124.65,1585578
2025-08-04,124.5,125.15,122.45,124.7,1824672
2025-08-05,124.5,125.15,123.4,124.2,1527603
2025-08-06,124.0,124.55,117.75,120.45,2831454
2025-08-07,119.95,119.95,114.35,116.8,3131874
2025-08-08,116.0,121.9,115.55,119.15,5326896
2025-08-11,120.1,122.15,119.35,121.8,3010314
2025-08-12,122.35,123.4,121.25,122.15,2649429
2025-08-13,122.1,127.35,122.0,123.55,6759684
2025-08-14,123.3,123.65,121.5,123.15,3271197
2025-08-18,123.35,125.15,122.85,123.7,4129641
2025-08-19,124.0,124.5,118.7,119.85,3977415
2025-08-20,119.7,124.4,118.55,124.2,4881015
2025-08-21,124.15,124.9,121.85,123.75,872928
2025-08-22,124.35,126.5,122.9,124.9,5596305
2025-08-25,126.25,126.65,124.5,125.55,3025815
2025-08-26,125.95,128.85,124.4,125.45,3907374
2025-08-28,124.55,124.65,120.6,122.0,1118067
2025-08-29,122.0,123.6,121.15,122.05,2261103
2025-09-01,122.0,126.15,122.0,123.0,1054494
2025-09-02,123.35,124.4,121.8,123.4,714663
2025-09-03,123.35,123.95,118.5,119.5,1823127
2025-09-04,119.65,121.3,118.0,119.95,2313981
2025-09-05,118.7,121.65,118.7,120.45,426192
2025-09-08,120.65,123.1,120.05,120.4,1198044
