date,open,high,low,close,volume
2025-03-24,732.0,740.0,719.85,733.2,1202986
2025-03-25,732.0,737.0,721.3,725.0,1357784
2025-03-26,725.0,730.0,715.0,721.4,515076
2025-03-27,719.1,726.0,709.5,711.5,567501
2025-03-28,715.9,723.8,698.0,700.75,478671
2025-04-01,695.0,709.9,683.5,702.4,656700
2025-04-02,705.0,707.9,685.0,702.4,1310123
2025-04-03,702.0,706.75,680.1,683.65,324364
2025-04-04,680.05,680.1,645.1,655.55,1073767
2025-04-07,590.5,663.55,590.3,655.45,1557796
2025-04-08,670.95,680.05,660.15,668.0,2018750
2025-04-09,665.05,665.05,620.25,634.3,1389775
2025-04-11,664.0,664.0,630.0,631.8,1676178
2025-04-15,637.95,643.2,631.0,637.75,3129024
2025-04-16,635.0,640.0,623.85,630.3,1297564
2025-04-17,632.9,679.5,628.6,668.05,1170454
2025-04-21,663.0,681.45,654.6,677.95,523453
2025-04-22,680.0,680.0,657.4,664.55,1063898
2025-04-23,670.0,670.05,640.2,665.25,8658353
2025-04-24,670.95,690.5,668.95,687.15,935084
2025-04-25,689.5,714.4,684.2,704.85,1642445
2025-04-28,710.0,714.45,681.3,701.9,572597
2025-04-29,707.8,733.5,683.65,728.2,1896688
2025-04-30,728.2,730.4,682.5,699.5,1167076
2025-05-02,704.7,708.05,689.9,700.55,661380
2025-05-05,710.0,714.8,692.6,697.7,478341
2025-05-06,701.9,706.75,677.15,682.05,576350
2025-05-07,676.0,689.0,674.15,686.35,175287
2025-05-08,688.5,709.25,685.25,694.55,459564
2025-05-09,681.0,706.5,673.1,700.05,736951
2025-05-12,718.0,754.8,710.25,749.2,1338493
2025-05-13,748.85,758.3,739.65,744.15,666698
2025-05-14,748.95,766.85,731.15,759.6,917003
2025-05-15,762.95,769.65,747.6,766.05,1013257
2025-05-16,770.0,784.3,754.4,770.95,1828975
2025-05-19,767.95,767.95,738.2,744.55,1775153
2025-05-20,752.9,795.0,741.5,789.6,2702690
2025-05-21,790.0,806.1,775.0,789.8,997666
2025-05-22,788.35,810.5,782.95,805.5,594519
2025-05-23,800.5,820.75,791.85,795.1,1934906
2025-05-26,797.0,810.05,795.45,799.25,1424511
2025-05-27,805.0,823.0,797.0,820.1,701165
2025-05-28,823.95,825.0,809.3,818.75,976005
2025-05-29,817.0,823.6,810.0,811.4,288967
2025-05-30,818.65,891.0,814.05,857.5,8325209
2025-06-02,854.0,854.0,804.0,813.15,811330
2025-06-03,819.8,821.0,795.05,812.6,622383
2025-06-04,810.0,824.5,804.65,815.1,930464
2025-06-05,816.05,830.65,812.85,824.75,644372
2025-06-06,832.35,832.35,817.5,821.4,234108
2025-06-09,820.0,847.0,816.55,838.05,568872
2025-06-10,835.0,848.45,834.0,844.0,195933
2025-06-11,842.0,848.4,830.1,845.1,751273
2025-06-12,848.9,850.9,812.35,816.35,414929
2025-06-13,809.8,834.35,794.4,831.75,446255
2025-06-16,825.1,838.95,815.05,835.45,417848
2025-06-17,827.1,842.4,826.1,832.05,234834
2025-06-18,834.95,845.2,830.45,839.75,659057
2025-06-19,839.75,841.05,816.05,824.2,320038
2025-06-20,828.0,841.8,817.05,822.25,432034
2025-06-23,822.25,840.25,821.7,835.8,313358
2025-06-24,837.0,855.8,834.15,838.05,638210
2025-06-25,839.9,858.4,837.15,846.35,477763
2025-06-26,847.0,858.0,840.0,854.55,496706
2025-06-27,860.0,880.3,847.15,870.1,1586719
2025-06-30,880.3,880.3,848.8,850.55,285114
2025-07-01,854.95,855.4,837.5,847.75,439619
2025-07-02,847.0,882.85,843.0,875.05,1177394
2025-07-03,876.75,892.0,862.35,868.45,412070
2025-07-04,868.5,880.7,852.05,866.25,408537
2025-07-07,865.0,872.0,847.05,860.8,594505
2025-07-08,860.0,888.9,857.45,882.5,799294
2025-07-09,885.05,900.0,875.55,890.95,875938
