date,open,high,low,close,volume
2025-03-24,412.0,425.2,412.0,423.85,341848
2025-03-25,425.0,425.75,405.1,407.7,278264
2025-03-26,408.95,412.05,397.25,399.8,152187
2025-03-27,397.0,407.4,395.15,405.05,191107
2025-03-28,405.05,409.1,394.6,399.45,105254
2025-04-01,398.8,404.45,384.0,401.2,102994
2025-04-02,401.2,422.85,394.75,418.65,407241
2025-04-03,417.0,434.0,417.0,425.65,365082
2025-04-04,425.65,429.6,397.2,400.85,687972
2025-04-07,326.35,393.4,326.35,390.2,407724
2025-04-08,398.95,404.3,391.3,398.45,134177
2025-04-09,397.0,397.0,381.0,383.45,204748
2025-04-11,391.0,432.05,388.15,418.85,982456
2025-04-15,424.4,429.55,413.0,414.6,410832
2025-04-16,417.7,456.75,416.6,432.9,3361083
2025-04-17,433.0,441.3,423.15,431.6,794815
2025-04-21,434.0,438.15,421.5,423.8,371469
2025-04-22,424.1,427.25,408.75,410.95,426848
2025-04-23,412.9,424.45,410.8,416.9,535438
2025-04-24,416.9,424.25,414.6,416.75,273356
2025-04-25,418.0,429.95,391.55,395.05,860226
2025-04-28,395.75,410.35,395.5,399.3,301797
2025-04-29,400.9,404.5,394.25,400.35,169841
2025-04-30,394.35,403.25,385.5,387.75,225893
2025-05-02,390.8,408.7,380.3,399.55,285920
2025-05-05,402.8,403.5,391.5,397.75,182852
2025-05-06,399.0,399.2,373.25,377.1,303470
2025-05-07,371.2,390.0,370.15,388.2,240123
2025-05-08,390.2,394.25,377.25,380.85,196456
2025-05-09,381.0,388.9,365.0,387.0,199204
2025-05-12,393.3,402.4,391.1,398.65,221331
2025-05-13,401.0,414.05,400.0,407.6,237055
2025-05-14,411.7,449.25,403.7,421.5,1750890
2025-05-15,395.0,408.0,391.0,392.4,1392194
2025-05-16,395.45,396.75,386.1,388.65,542964
2025-05-19,385.3,407.7,385.3,404.75,644557
2025-05-20,405.9,414.4,400.25,402.65,388653
2025-05-21,402.55,412.25,399.8,404.6,250297
2025-05-22,401.0,410.95,400.55,406.55,243044
2025-05-23,407.8,423.0,402.35,404.7,713234
2025-05-26,398.0,398.0,376.0,379.35,1044610
2025-05-27,379.3,379.3,371.0,372.45,462630
2025-05-28,375.0,379.8,374.15,375.8,327760
2025-05-29,374.0,375.2,371.1,371.9,233492
2025-05-30,371.95,379.55,371.35,372.15,283505
2025-06-02,372.1,387.0,370.3,375.8,565415
2025-06-03,376.0,380.0,374.1,375.75,204505
2025-06-04,376.8,382.5,376.05,378.95,196551
2025-06-05,379.6,382.7,373.25,374.7,208566
2025-06-06,375.5,378.0,371.5,372.35,155345
2025-06-09,372.95,377.0,372.4,375.65,212631
2025-06-10,377.6,381.95,375.0,376.85,258143
2025-06-11,377.8,380.65,374.3,376.25,286852
2025-06-12,377.4,386.25,376.4,379.15,389934
2025-06-13,374.85,377.85,371.4,375.8,173076
2025-06-16,377.0,379.85,370.9,375.9,143519
2025-06-17,380.0,382.3,369.0,370.5,265969
2025-06-18,372.0,374.85,363.5,365.55,203837
2025-06-19,365.7,369.0,357.25,359.75,147976
2025-06-20,360.95,362.5,357.0,359.45,128616
2025-06-23,355.0,362.1,354.55,357.15,155341
2025-06-24,359.1,369.4,359.1,366.8,185661
2025-06-25,361.8,372.7,361.8,366.45,189251
2025-06-26,367.8,369.5,358.75,359.7,243585
2025-06-27,360.9,364.05,357.8,362.95,167346
2025-06-30,362.2,364.55,355.1,358.9,296420
2025-07-01,355.95,361.9,343.35,346.05,936452
2025-07-02,346.85,348.95,339.05,346.55,663442
2025-07-03,346.55,350.0,344.45,347.3,229867
2025-07-04,347.25,349.05,342.8,345.45,176039
2025-07-07,345.9,349.9,340.95,341.85,153882
2025-07-08,344.0,347.55,340.7,344.0,143861
2025-07-09,344.85,346.5,341.95,342.85,142929
2025-07-10,343.8,346.4,338.8,340.05,154009
2025-07-11,340.0,345.45,339.1,340.5,164590
2025-07-14,340.0,345.7,336.4,342.85,192078
2025-07-15,343.7,348.95,343.6,347.15,221871
2025-07-16,347.15,349.9,345.05,346.9,120159
2025-07-17,346.55,355.0,345.15,352.05,292091
2025-07-18,353.0,353.8,342.15,343.25,205525
2025-07-21,344.0,345.3,337.1,337.75,170388
2025-07-22,339.0,339.35,328.0,337.95,556697
2025-07-23,339.4,343.5,338.35,342.15,152167
2025-07-24,342.7,343.85,333.05,338.55,300678
2025-07-25,337.45,338.2,330.25,331.95,144539
2025-07-28,331.65,336.5,322.35,323.5,222557
2025-07-29,323.0,332.4,320.3,324.45,240742
2025-07-30,325.9,331.05,322.0,329.8,316770
2025-07-31,325.0,328.0,322.0,323.1,170966
2025-08-01,323.0,330.0,315.0,317.25,349476
2025-08-04,318.0,320.0,312.55,314.7,143947
2025-08-05,315.6,319.0,311.45,316.05,138023
2025-08-06,315.0,318.45,302.5,307.65,240645
2025-08-07,306.95,307.65,281.0,292.75,1177922
2025-08-08,285.0,298.0,285.0,290.6,445063
2025-08-11,294.8,294.8,266.75,269.55,793924
2025-08-12,270.0,275.55,264.6,268.2,377292
2025-08-13,267.85,268.2,254.05,255.65,589853
2025-08-14,256.6,259.5,247.5,249.3,411630
2025-08-18,257.0,264.05,252.5,257.15,449211
2025-08-19,255.0,264.8,253.5,263.35,264662
2025-08-20,263.35,264.3,257.25,258.6,276544
2025-08-21,256.0,258.95,252.5,253.6,300359
