date,open,high,low,close,volume
2025-03-24,361.5,362.5,345.25,352.65,9399628
2025-03-25,349.9,355.7,343.7,352.2,6724910
2025-03-26,350.95,355.2,342.1,342.9,4094188
2025-03-27,341.8,354.7,340.25,350.35,4545137
2025-03-28,354.45,359.9,348.9,351.15,5348515
2025-04-01,345.75,354.2,340.65,352.45,5111753
2025-04-02,350.9,354.1,344.05,352.9,2536402
2025-04-03,351.8,364.75,350.15,353.2,5566330
2025-04-04,363.45,368.2,341.65,349.2,12874209
2025-04-07,341.05,357.6,332.8,343.8,15489620
2025-04-08,350.9,362.2,344.0,359.7,10576907
2025-04-09,362.5,373.25,355.8,369.6,11180400
2025-04-11,374.7,376.85,367.4,372.45,7217670
2025-04-15,376.7,377.05,366.5,369.4,4572204
2025-04-16,368.85,381.15,367.65,380.1,3731014
2025-04-17,379.95,381.3,375.2,377.8,2358710
2025-04-21,377.8,388.8,374.7,384.75,2836553
2025-04-22,385.8,392.0,382.95,388.25,5630844
2025-04-23,388.3,389.0,374.05,378.85,4742867
2025-04-24,380.05,383.95,377.4,380.5,4385172
2025-04-25,380.45,383.05,368.6,371.0,2552932
2025-04-28,367.35,382.95,367.35,382.2,6104973
2025-04-29,383.05,386.65,379.3,381.1,4419920
2025-04-30,384.9,392.45,364.95,369.05,9150558
2025-05-02,370.25,380.35,370.25,375.2,4484802
2025-05-05,382.0,403.45,381.25,399.4,28073682
2025-05-06,399.55,401.35,385.0,386.65,5485163
2025-05-07,383.95,394.75,382.55,386.8,8825404
2025-05-08,388.8,392.3,375.15,378.2,5347464
2025-05-09,372.45,378.1,370.3,376.4,3757854
2025-05-12,384.9,386.85,376.15,378.85,4957935
2025-05-13,380.05,383.55,376.35,378.95,3665291
2025-05-14,382.75,387.85,381.45,386.45,4370060
2025-05-15,389.8,396.9,387.55,392.4,5828155
2025-05-16,394.1,400.7,392.35,399.6,5353067
2025-05-19,399.65,401.0,393.8,394.55,2489091
2025-05-20,395.65,400.0,382.2,387.25,3231580
2025-05-21,385.4,395.55,380.55,394.55,3723167
2025-05-22,394.65,396.55,387.65,391.0,1971376
2025-05-23,393.7,401.25,393.7,397.7,5540517
2025-05-26,398.35,406.8,398.0,404.0,2976520
2025-05-27,404.35,404.95,395.9,401.6,4849935
2025-05-28,401.6,409.75,398.6,407.4,5630546
2025-05-29,408.15,408.45,402.05,404.15,3108847
2025-05-30,404.15,408.2,398.45,400.55,6164496
2025-06-02,399.15,402.15,396.6,397.75,2200493
2025-06-03,397.1,399.55,390.85,391.75,2570008
2025-06-04,393.7,397.25,390.75,396.2,2415724
2025-06-05,398.05,398.95,389.7,390.75,2588378
2025-06-06,392.0,397.35,392.0,396.65,1443804
2025-06-09,396.65,399.15,394.5,398.0,1139355
2025-06-10,398.65,399.45,393.8,394.75,2079819
2025-06-11,396.25,412.2,395.7,404.25,8990781
2025-06-12,399.55,399.55,380.45,382.5,12405231
2025-06-13,366.4,378.5,360.7,376.4,17736231
2025-06-16,374.3,386.35,373.25,385.25,5792606
2025-06-17,383.9,390.75,382.0,383.2,3815275
2025-06-18,380.15,384.85,378.4,383.9,3440848
2025-06-19,383.65,386.3,379.0,380.05,3390334
2025-06-20,379.55,384.4,378.35,382.25,6244473
2025-06-23,380.4,387.05,373.75,383.2,4641365
2025-06-24,401.95,404.2,393.6,395.85,15143931
2025-06-25,399.55,401.3,394.7,397.75,4125652
2025-06-26,397.6,413.5,397.3,409.55,11364641
2025-06-27,410.2,429.05,408.75,427.8,15352970
2025-06-30,428.75,431.9,425.1,426.85,3398554
2025-07-01,428.2,430.2,422.65,429.2,4624750
2025-07-02,432.65,435.45,422.25,425.4,3566248
2025-07-03,426.5,430.3,424.15,425.45,2130326
2025-07-04,427.6,435.15,425.0,433.25,4318402
2025-07-07,436.55,443.55,430.0,436.45,8516084
2025-07-08,435.6,443.4,433.35,441.15,3860453
2025-07-09,441.45,443.05,431.35,434.05,5207942
2025-07-10,434.05,439.0,428.8,430.0,4470700
2025-07-11,433.15,433.15,422.0,424.75,2627116
2025-07-14,424.75,426.35,417.05,418.9,4575393
2025-07-15,422.45,429.75,418.15,422.4,6427673
2025-07-16,423.35,437.1,422.6,434.7,6690619
2025-07-17,434.65,435.0,427.15,428.75,2643122
2025-07-18,428.75,430.55,418.55,419.6,3796647
2025-07-21,421.95,423.5,417.1,420.65,3426999
2025-07-22,421.95,426.4,417.5,418.3,4216517
2025-07-23,419.5,424.85,417.4,423.4,2793895
2025-07-24,424.2,425.85,421.35,423.8,2805754
2025-07-25,423.5,423.8,409.45,411.05,3196808
2025-07-28,411.7,419.9,408.8,411.1,2551271
2025-07-29,410.75,415.7,408.75,414.9,4743610
2025-07-30,413.15,424.75,405.35,415.35,6890461
2025-07-31,408.05,410.65,400.1,407.75,9826520
2025-08-01,410.15,410.25,391.85,393.5,3787580
2025-08-04,398.55,399.1,389.5,398.2,3277835
2025-08-05,395.55,395.55,384.4,392.15,7973897
2025-08-06,393.2,394.55,389.4,391.15,2150509
2025-08-07,390.75,392.9,382.15,392.1,6318838
2025-08-08,396.6,404.75,389.3,399.05,12286666
2025-08-11,403.45,407.3,390.35,399.85,8713932
2025-08-12,404.3,404.3,396.4,397.65,4526566
2025-08-13,401.0,402.75,396.3,400.6,3543374
2025-08-14,402.0,406.1,393.8,394.35,6536476
2025-08-18,397.05,397.05,383.4,387.05,6525577
2025-08-19,388.0,397.85,386.15,395.6,4227710
2025-08-20,394.55,396.85,390.1,390.8,5553949
2025-08-21,390.7,395.45,390.2,393.15,2094370
2025-08-22,393.0,393.45,387.7,390.75,2627075
2025-08-25,390.5,391.5,387.6,390.25,1235196
2025-08-26,388.2,391.4,381.95,382.95,4825204
2025-08-28,384.65,386.5,380.8,381.75,3975225
2025-08-29,381.75,383.85,375.05,375.9,3112442
2025-09-01,377.0,385.7,376.6,385.25,2360108
2025-09-02,385.25,387.35,382.0,384.6,1630216
2025-09-03,383.0,391.65,383.0,387.25,2725471
2025-09-04,389.1,391.95,383.5,384.6,2609930
2025-09-05,384.7,386.55,380.2,383.6,2017875
2025-09-08,384.15,395.3,384.15,393.9,2956578
2025-09-09,394.0,397.0,389.3,389.9,1921681
2025-09-10,391.0,393.9,388.8,392.45,1897568
2025-09-11,391.0,405.8,391.0,397.8,3642055
2025-09-12,398.95,401.05,396.55,398.75,1389746
