date,open,high,low,close,volume
2025-03-24,493.0,516.05,493.0,501.85,4356
2025-03-25,506.5,507.4,472.1,478.3,5710
2025-03-26,494.9,494.9,462.0,468.55,5992
2025-03-27,471.8,484.9,463.7,466.95,5082
2025-03-28,466.95,473.7,444.0,460.7,6536
2025-04-01,470.0,490.3,455.0,482.0,5327
2025-04-02,474.7,498.0,474.7,493.1,2631
2025-04-03,487.85,505.0,487.85,502.0,1656
2025-04-04,505.55,505.55,475.0,484.1,4329
2025-04-07,448.0,464.65,440.0,452.65,4518
2025-04-08,473.0,483.9,467.9,474.5,3901
2025-04-09,458.65,472.7,455.1,457.4,2758
2025-04-11,456.6,489.0,456.6,485.6,3493
2025-04-15,492.9,497.05,469.1,475.3,5847
2025-04-16,477.95,482.8,475.05,476.35,1675
2025-04-17,483.0,489.85,470.4,473.7,3256
2025-04-21,476.55,490.0,475.4,484.55,2287
2025-04-22,484.3,493.05,482.15,488.55,3235
2025-04-23,504.95,504.95,485.1,492.45,2226
2025-04-24,504.0,504.0,490.3,495.2,2574
2025-04-25,493.45,493.45,470.5,475.7,1669
2025-04-28,465.15,482.3,465.15,475.6,1632
2025-04-29,484.9,489.9,472.05,480.75,2623
2025-04-30,490.4,490.4,460.1,470.25,1930
2025-05-02,479.95,490.0,469.05,487.65,1910
2025-05-05,462.15,493.0,462.1,489.95,1729
2025-05-06,500.7,500.7,466.8,469.9,2085
2025-05-07,457.95,500.1,457.95,491.0,5272
2025-05-08,492.2,493.4,480.0,484.25,939
2025-05-09,477.0,490.0,465.0,470.9,1863
2025-05-12,490.35,494.65,476.1,479.05,2474
2025-05-13,479.0,483.0,473.15,479.9,1624
2025-05-14,490.0,490.0,480.05,485.5,561
2025-05-15,495.1,582.6,495.1,526.4,66739
2025-05-16,529.0,539.9,523.0,529.05,5221
2025-05-19,531.05,543.3,523.15,529.45,3381
2025-05-20,539.95,539.95,516.0,517.4,1673
2025-05-21,520.0,532.0,520.0,523.5,2050
2025-05-22,530.0,531.8,517.65,520.0,1786
2025-05-23,523.4,545.0,520.0,524.4,3480
2025-05-26,541.9,591.05,526.4,578.35,19404
2025-05-27,579.95,600.0,571.45,589.4,11873
2025-05-28,595.0,600.0,590.1,594.3,5361
2025-05-29,597.0,713.15,596.0,677.85,281370
2025-05-30,668.05,718.0,611.1,703.0,190300
2025-06-02,715.0,834.8,693.1,823.35,282357
2025-06-03,819.05,819.05,757.0,762.3,72407
2025-06-04,768.35,800.0,760.0,778.6,59333
2025-06-05,768.0,784.0,740.0,761.5,7378
2025-06-06,761.5,783.7,731.0,770.2,10537
2025-06-09,770.2,770.2,735.0,739.3,6490
2025-06-10,740.0,775.0,730.1,752.1,9867
2025-06-11,742.1,762.9,735.35,750.25,7702
2025-06-12,748.0,767.0,740.0,745.0,3898
2025-06-13,740.5,760.0,716.0,745.25,3726
2025-06-16,758.85,758.85,725.0,746.6,3656
2025-06-17,744.75,746.6,725.0,733.95,5390
