date,open,high,low,close,volume
2025-03-24,528.15,537.95,521.45,528.15,50844
2025-03-25,530.9,533.2,506.0,511.85,58738
2025-03-26,510.9,514.75,491.1,494.95,57390
2025-03-27,495.0,527.9,494.4,501.85,156254
2025-03-28,501.85,521.0,492.95,494.75,40438
2025-04-01,494.75,508.65,483.35,488.8,68484
2025-04-02,493.95,496.45,478.35,491.4,51196
2025-04-03,492.0,502.05,485.75,489.1,63631
2025-04-04,493.85,493.85,429.05,438.0,178781
2025-04-07,408.0,427.6,401.05,420.7,104546
2025-04-08,425.0,444.7,416.95,439.15,72886
2025-04-09,434.8,436.15,420.0,421.0,24898
2025-04-11,430.0,458.8,430.0,447.45,60957
2025-04-15,455.7,475.0,452.25,472.55,54202
2025-04-16,472.9,488.0,466.3,476.25,46616
2025-04-17,472.0,477.0,466.05,472.45,22523
2025-04-21,474.8,484.5,468.35,477.2,29740
2025-04-22,477.95,490.0,471.05,482.3,29369
2025-04-23,487.9,497.0,475.55,494.0,53260
2025-04-24,494.0,506.25,492.55,497.55,42389
2025-04-25,500.0,500.65,460.35,464.75,82899
2025-04-28,469.85,475.2,456.0,469.55,26520
2025-04-29,475.4,478.65,461.8,463.65,27262
2025-04-30,467.0,467.0,439.25,446.1,48943
2025-05-02,446.1,466.0,442.1,459.1,45386
2025-05-05,459.1,467.15,451.0,462.55,20020
2025-05-06,463.6,469.45,445.3,450.1,22151
2025-05-07,434.35,455.8,434.35,454.15,24197
2025-05-08,454.15,467.7,442.25,447.55,22213
2025-05-09,434.3,443.8,427.55,440.75,23574
2025-05-12,445.6,475.75,445.6,469.95,32063
2025-05-13,470.0,487.95,470.0,481.05,34731
2025-05-14,483.3,498.6,482.0,492.55,21617
2025-05-15,491.85,499.95,488.5,495.85,29415
2025-05-16,497.0,522.7,497.0,511.35,72287
2025-05-19,512.55,530.9,505.0,510.45,43412
2025-05-20,514.55,515.05,495.0,502.1,35270
2025-05-21,497.0,510.95,495.55,505.5,23483
2025-05-22,505.05,514.9,475.05,478.4,147812
2025-05-23,477.55,489.7,473.0,479.75,43812
2025-05-26,484.1,484.9,472.05,475.25,26628
2025-05-27,475.25,484.0,466.6,479.55,36272
2025-05-28,484.35,484.65,474.0,475.8,31320
2025-05-29,476.2,485.8,469.1,482.65,50802
2025-05-30,487.0,489.2,474.05,482.55,47296
2025-06-02,480.0,496.2,475.1,485.7,35842
2025-06-03,486.0,495.0,484.0,490.1,30448
2025-06-04,490.1,495.95,482.5,491.95,24673
2025-06-05,495.8,501.0,486.1,489.8,19134
2025-06-06,490.6,499.8,489.0,497.45,20189
2025-06-09,500.1,506.95,480.55,488.2,74399
2025-06-10,489.0,498.8,487.0,489.9,32517
2025-06-11,490.2,515.75,490.2,501.8,91815
2025-06-12,507.75,507.75,481.2,488.4,41732
2025-06-13,478.4,512.05,476.0,495.15,69370
2025-06-16,493.45,496.65,480.1,484.7,26804
2025-06-17,483.2,489.25,477.05,478.75,27484
2025-06-18,475.0,481.85,474.2,476.55,20878
2025-06-19,476.05,480.05,460.3,464.5,30876
2025-06-20,461.15,468.95,456.55,462.55,29624
2025-06-23,465.0,465.6,457.8,463.5,13814
2025-06-24,466.0,475.0,466.0,470.1,27168
2025-06-25,470.1,486.9,470.1,481.45,42178
2025-06-26,485.0,485.0,473.9,477.55,21008
2025-06-27,477.55,494.7,477.55,483.3,33902
2025-06-30,479.0,487.55,479.0,485.2,19076
2025-07-01,488.0,519.0,484.2,512.8,219438
2025-07-02,515.0,549.5,508.85,540.4,718814
2025-07-03,540.0,542.25,531.7,534.9,62060
2025-07-04,534.95,544.0,531.0,538.95,61485
2025-07-07,539.0,562.0,535.05,542.75,107809
2025-07-08,542.75,546.8,536.2,538.75,40084
2025-07-09,538.75,545.55,526.05,528.15,61698
2025-07-10,529.7,529.75,520.05,521.15,40431
2025-07-11,519.0,526.85,506.55,509.3,33202
2025-07-14,519.95,567.0,513.55,559.8,330976
2025-07-15,559.8,604.3,557.55,595.75,455917
2025-07-16,596.0,625.5,582.6,616.55,239578
2025-07-17,619.0,630.5,610.0,614.05,108780
2025-07-18,613.0,614.8,597.7,604.55,68184
2025-07-21,607.0,607.7,588.0,591.85,48621
2025-07-22,596.7,607.75,586.5,588.6,53147
2025-07-23,593.0,595.2,580.5,587.3,29028
2025-07-24,591.0,645.0,590.05,616.35,554952
2025-07-25,620.0,621.05,598.25,604.05,61598
2025-07-28,604.05,604.1,574.1,577.4,71588
2025-07-29,577.0,599.8,571.45,595.05,50051
2025-07-30,600.0,602.7,582.5,588.55,32081
2025-07-31,580.0,585.4,570.7,573.4,28032
2025-08-01,573.4,599.8,570.75,581.1,48921
2025-08-04,588.7,598.75,583.55,587.75,26731
2025-08-05,591.3,635.0,580.8,625.55,141541
2025-08-06,648.0,665.0,616.1,623.65,567660
2025-08-07,623.65,623.65,547.05,560.95,337296
2025-08-08,565.0,565.0,518.45,524.25,171561
2025-08-11,530.0,530.0,515.05,520.65,55845
2025-08-12,520.0,520.0,496.3,499.4,66538
2025-08-13,490.5,505.5,483.15,494.45,110286
2025-08-14,492.0,509.0,492.0,498.8,78580
2025-08-18,515.0,540.15,504.0,506.7,170443
2025-08-19,506.7,510.35,502.95,505.9,34315
2025-08-20,507.7,508.6,499.0,501.25,29264
2025-08-21,501.25,503.2,495.0,496.45,31305
2025-08-22,496.0,502.0,491.0,498.2,47003
2025-08-25,501.45,501.5,493.0,494.6,22356
2025-08-26,496.3,496.3,472.8,475.85,37514
2025-08-28,481.0,482.5,472.05,477.35,25921
2025-08-29,479.2,484.0,470.45,478.75,18106
2025-09-01,483.05,485.0,475.3,479.65,30235
