date,open,high,low,close,volume
2025-03-24,1013.35,1028.95,994.45,1001.25,105060
2025-03-25,1010.9,1010.9,981.05,987.15,121279
2025-03-26,993.2,993.2,963.0,967.4,95592
2025-03-27,969.7,969.7,941.5,944.45,137009
2025-03-28,945.3,971.85,940.05,942.7,138625
2025-04-01,952.0,993.25,941.0,971.15,136289
2025-04-02,985.05,995.0,945.0,987.35,130997
2025-04-03,987.35,994.8,975.0,980.55,52234
2025-04-04,993.0,993.0,949.0,963.2,196689
2025-04-07,915.0,943.95,910.0,930.0,127066
2025-04-08,947.65,974.0,940.65,970.55,120862
2025-04-09,980.0,988.3,953.8,982.5,214458
2025-04-11,1000.0,1002.0,983.15,985.7,72793
2025-04-15,1002.0,1007.3,986.0,1001.7,81601
2025-04-16,1009.8,1038.0,1003.15,1023.6,117870
2025-04-17,1030.0,1045.1,1009.4,1017.45,115946
2025-04-21,1029.0,1029.65,1008.2,1025.85,62532
2025-04-22,1032.0,1054.1,1017.75,1042.0,129126
2025-04-23,1055.0,1076.0,1026.0,1050.3,60808
2025-04-24,1050.55,1053.0,1032.55,1035.6,69409
2025-04-25,1040.0,1045.0,996.55,1005.55,107952
2025-04-28,1001.0,1013.05,993.95,998.1,88836
2025-04-29,1008.0,1011.85,992.0,994.55,52363
2025-04-30,990.1,994.8,971.1,974.75,51721
2025-05-02,974.75,1000.0,962.5,988.4,71113
2025-05-05,988.4,1010.0,987.0,997.1,137836
2025-05-06,1002.25,1004.0,967.0,971.3,171229
2025-05-07,960.0,989.95,955.5,980.3,59397
2025-05-08,974.0,988.85,960.0,966.6,98283
2025-05-09,947.0,959.55,944.0,950.35,67592
2025-05-12,987.45,999.95,973.7,984.1,109018
2025-05-13,992.1,1008.75,982.55,990.45,87564
2025-05-14,999.0,999.15,982.55,985.15,117163
2025-05-15,994.9,1015.5,985.0,1003.9,116052
2025-05-16,1013.9,1037.25,1009.1,1028.2,128594
2025-05-19,1030.75,1047.8,1030.0,1037.05,73923
2025-05-20,1039.55,1044.95,1009.45,1013.05,62662
2025-05-21,1017.0,1026.9,1010.35,1019.7,46144
2025-05-22,1027.0,1037.3,1001.5,1011.9,60464
2025-05-23,1017.9,1038.0,991.0,1031.8,143918
2025-05-26,1031.8,1057.1,1002.1,1045.45,223243
2025-05-27,1055.0,1063.5,1034.05,1060.95,99180
2025-05-28,1071.0,1075.0,1053.7,1062.65,77466
2025-05-29,1069.9,1075.65,1048.0,1056.95,68877
2025-05-30,1060.0,1100.0,1056.95,1079.45,177332
2025-06-02,1086.2,1093.3,1065.4,1070.9,97796
2025-06-03,1080.0,1080.5,1052.4,1056.8,51273
2025-06-04,1057.0,1082.2,1048.4,1075.3,100242
2025-06-05,1079.8,1085.0,1072.9,1074.9,86841
2025-06-06,1072.9,1079.4,1071.0,1074.9,91663
2025-06-09,1080.0,1100.0,1071.4,1084.6,164100
2025-06-10,1090.2,1134.4,1080.5,1121.1,242783
2025-06-11,1131.9,1153.0,1118.0,1128.7,154370
2025-06-12,1139.0,1139.0,1107.2,1115.2,103127
2025-06-13,1071.0,1145.0,1071.0,1094.6,174509
2025-06-16,1084.6,1085.1,1060.0,1075.3,90492
2025-06-17,1070.0,1083.8,1051.4,1057.8,55957
2025-06-18,1051.2,1113.8,1041.5,1101.2,149060
2025-06-19,1100.2,1129.7,1091.3,1120.6,164699
2025-06-20,1121.0,1130.7,1114.3,1121.0,49389
2025-06-23,1082.3,1174.4,1072.9,1161.2,216617
2025-06-24,1180.0,1185.9,1146.0,1162.8,84885
2025-06-25,1180.2,1181.9,1156.6,1175.1,69775
2025-06-26,1179.0,1181.9,1154.0,1165.9,39209
2025-06-27,1169.7,1174.5,1156.1,1161.1,44582
2025-06-30,1161.0,1184.4,1155.0,1162.2,53904
2025-07-01,1173.8,1189.1,1159.2,1180.5,65857
2025-07-02,1186.5,1199.5,1179.7,1193.7,46165
2025-07-03,1190.0,1207.9,1184.7,1201.3,62955
2025-07-04,1204.0,1214.0,1193.5,1199.5,45460
2025-07-07,1216.6,1216.6,1199.7,1200.8,36885
2025-07-08,1202.6,1206.9,1195.0,1200.3,22252
2025-07-09,1201.0,1211.6,1199.8,1200.3,25435
2025-07-10,1200.7,1206.1,1182.6,1200.2,33543
2025-07-11,1193.0,1208.5,1193.0,1200.2,30530
2025-07-14,1200.2,1207.7,1194.9,1200.5,29413
2025-07-15,1200.5,1217.7,1195.1,1200.6,24009
2025-07-16,1200.6,1207.5,1199.8,1200.3,18351
2025-07-17,1205.7,1206.9,1200.0,1202.2,13991
2025-07-18,1200.1,1211.2,1199.1,1201.1,27560
2025-07-21,1201.1,1209.0,1199.5,1200.2,33714
2025-07-22,1200.3,1206.0,1199.6,1200.1,24964
2025-07-23,1202.0,1205.0,1199.6,1200.4,24152
2025-07-24,1199.5,1203.8,1178.8,1180.1,36041
2025-07-25,1171.2,1176.0,1130.1,1140.4,76555
2025-07-28,1136.6,1153.4,1123.6,1142.4,31628
2025-07-29,1142.4,1236.4,1140.0,1209.4,88629
2025-07-30,1214.8,1226.0,1191.1,1202.8,38828
2025-07-31,1178.2,1205.8,1155.0,1200.0,28528
2025-08-01,1200.0,1223.0,1194.4,1204.6,30719
2025-08-04,1210.6,1210.6,1165.0,1194.0,36060
2025-08-05,1190.0,1210.0,1183.4,1205.0,39077
2025-08-06,1202.0,1229.0,1184.6,1218.2,40733
2025-08-07,1207.1,1230.1,1199.0,1210.1,40929
2025-08-08,1185.0,1205.3,1138.7,1152.4,77510
2025-08-11,1144.0,1149.0,1067.5,1078.8,234265
2025-08-12,1079.1,1115.0,1079.1,1099.1,48159
2025-08-13,1099.5,1119.8,1088.1,1099.2,39346
2025-08-14,1095.1,1116.9,1093.8,1107.2,25226
2025-08-18,1123.0,1145.9,1111.8,1140.1,29228
2025-08-19,1142.0,1178.4,1142.0,1171.4,34701
2025-08-20,1174.8,1181.9,1155.9,1161.2,16906
2025-08-21,1170.1,1170.1,1135.2,1139.1,51386
2025-08-22,1139.1,1149.8,1117.2,1133.5,25479
2025-08-25,1131.0,1138.1,1115.1,1126.4,16949
2025-08-26,1122.0,1122.0,1100.0,1103.8,21028
2025-08-28,1106.4,1115.8,1085.1,1097.3,27993
2025-08-29,1087.3,1103.0,1080.7,1099.7,34820
2025-09-01,1095.0,1100.0,1083.5,1098.0,35938
2025-09-02,1100.4,1150.0,1097.4,1120.7,112131
2025-09-03,1114.9,1161.0,1114.9,1142.9,43737
2025-09-04,1155.5,1161.0,1143.6,1152.8,64151
2025-09-05,1152.8,1153.3,1127.4,1145.4,25049
2025-09-08,1145.3,1145.3,1125.2,1141.6,56408
2025-09-09,1146.9,1149.8,1126.0,1127.7,12140
2025-09-10,1136.4,1137.8,1126.0,1131.6,15590
2025-09-11,1133.4,1151.7,1127.9,1143.5,25866
2025-09-12,1143.5,1153.3,1140.5,1146.5,36947
2025-09-15,1141.2,1146.4,1129.6,1132.4,21251
2025-09-16,1132.0,1144.0,1126.6,1135.3,21512
2025-09-17,1137.7,1145.0,1119.9,1127.6,17728
2025-09-18,1122.2,1138.8,1122.0,1124.9,15619
2025-09-19,1121.0,1129.3,1112.2,1123.0,18888
2025-09-22,1122.7,1124.2,1080.0,1100.4,29936
2025-09-23,1106.2,1116.0,1093.6,1098.5,30017
2025-09-24,1099.1,1103.0,1096.0,1099.7,44597
2025-09-25,1098.0,1124.0,1090.6,1098.3,70141
2025-09-26,1093.0,1100.0,1085.0,1090.6,48342
2025-09-29,1090.6,1120.0,1056.4,1069.5,106570
2025-09-30,1070.5,1076.7,1039.9,1052.2,64908
2025-10-01,1056.4,1080.5,1050.1,1072.6,58691
2025-10-03,1072.6,1103.3,1065.7,1084.1,39199
2025-10-06,1080.0,1107.1,1060.9,1081.2,51098
2025-10-07,1078.0,1080.2,1036.5,1057.7,74487
2025-10-08,1057.7,1060.2,1035.9,1043.3,42729
2025-10-09,1043.3,1058.3,1039.2,1049.0,26844
2025-10-10,1049.2,1063.9,1042.5,1051.4,35654
2025-10-13,1051.7,1056.9,1036.8,1041.4,30470
2025-10-14,1045.6,1050.9,1024.5,1042.6,22264
2025-10-15,1042.6,1053.2,1010.1,1021.4,52834
2025-10-16,1015.0,1045.0,1015.0,1030.9,54817
2025-10-17,1036.2,1053.3,1025.7,1028.6,79391
2025-10-20,1036.8,1036.8,1015.8,1020.1,48190
2025-10-21,1029.6,1048.8,1028.0,1039.0,11030
2025-10-23,1048.8,1048.8,1026.7,1038.4,69491
2025-10-24,1038.4,1055.0,1014.8,1032.6,42341
2025-10-27,1032.6,1033.8,1004.1,1010.4,62182
2025-10-28,1010.4,1026.0,998.8,1005.0,64875
2025-10-29,1005.2,1015.0,1002.1,1013.7,47374
2025-10-30,1010.2,1013.5,1005.1,1011.1,16853
2025-10-31,1005.0,1010.5,995.0,999.9,40140
2025-11-03,1000.55,1008.0,998.0,1003.95,28141
2025-11-04,1008.4,1009.75,979.5,995.2,38782
2025-11-06,997.15,1010.15,982.2,990.8,110136
2025-11-07,1005.65,1010.0,992.4,1004.1,226411
2025-11-10,1010.0,1180.0,1006.0,1155.35,4581620
2025-11-11,1123.05,1246.45,1116.25,1202.55,1371536
2025-11-12,1200.0,1239.05,1181.05,1232.5,512138
2025-11-13,1221.0,1302.45,1221.0,1290.4,887272
2025-11-14,1270.0,1314.3,1266.1,1298.8,320245
2025-11-17,1298.8,1329.3,1277.7,1321.3,200101
2025-11-18,1317.0,1345.9,1312.8,1326.0,186870
2025-11-19,1305.0,1329.8,1283.55,1293.55,97473
2025-11-20,1276.0,1335.0,1272.25,1306.9,165285
2025-11-21,1300.0,1307.15,1248.5,1281.2,85792
2025-11-24,1268.4,1300.0,1264.4,1276.35,120155
2025-11-25,1262.4,1285.45,1262.4,1276.5,44214
2025-11-26,1275.8,1323.45,1268.4,1306.65,94967
2025-11-27,1315.0,1317.75,1246.0,1280.85,198481
2025-11-28,1269.2,1298.2,1269.2,1283.65,107438
2025-12-01,1296.5,1308.4,1282.0,1286.3,47704
2025-12-02,1283.0,1300.9,1271.0,1279.1,34661
2025-12-03,1282.8,1294.9,1254.0,1285.6,53532
2025-12-04,1285.6,1315.0,1277.0,1300.0,153160
2025-12-05,1300.1,1311.0,1210.1,1235.5,176603
2025-12-08,1239.0,1252.3,1192.7,1203.8,93094
2025-12-09,1203.8,1220.0,1184.5,1200.9,104148
2025-12-10,1210.0,1256.9,1210.0,1226.6,103614
2025-12-11,1218.0,1245.0,1191.0,1232.1,55833
2025-12-12,1220.9,1240.7,1220.9,1233.9,25446
2025-12-15,1222.7,1251.8,1222.7,1243.4,36833
2025-12-16,1237.3,1237.3,1215.0,1219.1,22540
2025-12-17,1224.1,1227.6,1190.0,1198.2,24107
2025-12-18,1189.7,1192.4,1163.8,1178.7,33168
2025-12-19,1174.0,1192.8,1174.0,1188.6,14010
2025-12-22,1188.6,1197.4,1170.0,1180.2,26546
2025-12-23,1176.2,1186.4,1165.0,1169.2,19838
