date,open,high,low,close,volume
2025-03-24,79.25,79.25,77.65,78.1,146800
2025-03-25,78.25,79.0,76.75,77.8,124116
2025-03-26,77.6,79.0,75.6,75.85,120952
2025-03-27,76.2,76.5,72.5,75.1,299900
2025-03-28,75.5,77.2,72.5,72.8,97596
2025-04-01,73.2,76.2,72.8,74.25,49136
2025-04-02,74.4,75.75,73.15,75.1,30860
2025-04-03,75.5,76.05,74.45,75.5,39012
2025-04-04,75.5,75.5,72.5,73.2,44460
2025-04-07,70.6,70.95,67.65,69.95,109388
2025-04-08,73.25,74.0,70.2,72.3,37552
2025-04-09,72.7,72.7,70.0,70.2,42872
2025-04-11,70.6,73.2,70.6,73.1,20948
2025-04-15,73.7,75.1,73.25,74.15,32980
2025-04-16,74.15,76.5,74.15,75.9,46316
2025-04-17,76.75,76.75,75.25,75.6,25964
2025-04-21,75.05,76.5,74.9,76.0,43336
2025-04-22,75.5,76.7,75.3,75.9,29128
2025-04-23,75.9,77.25,75.65,76.1,38048
2025-04-24,76.5,77.15,75.5,76.35,39832
2025-04-25,76.35,76.5,73.75,75.6,46180
2025-04-28,75.6,76.25,74.0,76.05,31240
2025-04-29,75.4,76.5,74.75,76.2,21576
2025-04-30,76.5,76.5,74.1,75.45,24840
2025-05-02,74.75,77.45,74.75,75.8,115028
2025-05-05,78.45,78.45,76.1,76.6,109112
2025-05-06,76.5,77.0,75.7,76.3,30224
2025-05-07,74.5,76.7,74.5,75.1,27100
2025-05-08,75.5,77.45,73.1,73.35,100636
2025-05-09,73.35,77.1,73.35,75.7,28384
2025-05-12,78.75,78.75,74.75,76.45,80904
2025-05-13,78.95,91.75,78.0,87.95,1661836
2025-05-14,89.25,92.7,86.75,91.7,438200
2025-05-15,91.5,93.8,89.5,89.9,129888
2025-05-16,91.5,99.0,91.25,94.1,549676
2025-05-19,94.95,96.5,93.0,95.6,131484
2025-05-20,95.75,96.75,93.0,94.35,86508
2025-05-21,94.85,96.2,94.25,95.85,50192
2025-05-22,95.0,96.3,93.9,95.75,48844
2025-05-23,97.5,97.5,94.55,95.65,86936
2025-05-26,97.1,98.25,95.0,96.55,172400
2025-05-27,95.7,96.25,92.3,93.7,74884
2025-05-28,93.7,95.0,90.8,92.05,49564
2025-05-29,92.5,92.5,88.5,89.75,43452
2025-05-30,90.5,92.0,88.5,89.5,56332
2025-06-02,90.6,91.8,88.65,91.55,42552
2025-06-03,92.5,92.5,88.8,89.85,45776
2025-06-04,89.05,96.0,89.05,94.65,121284
2025-06-05,94.9,96.2,94.3,95.7,56244
2025-06-06,94.8,95.2,92.75,93.0,38780
2025-06-09,97.5,109.5,97.5,100.05,856588
2025-06-10,100.6,101.4,98.0,99.4,91616
2025-06-11,99.9,101.25,97.6,97.95,75424
2025-06-12,97.25,97.25,94.95,95.45,122520
2025-06-13,93.0,101.0,93.0,98.0,329796
2025-06-16,98.5,98.5,95.9,97.15,82636
2025-06-17,97.7,99.6,96.0,96.55,134344
2025-06-18,96.55,98.3,94.95,95.3,58116
