date,open,high,low,close,volume
2025-03-24,130.29,134.1,128.1,129.4,2302146
2025-03-25,131.2,135.0,124.58,125.86,2708731
2025-03-26,125.86,126.8,118.0,118.81,1870257
2025-03-27,119.9,123.0,117.22,121.79,3278742
2025-03-28,123.36,125.95,118.55,118.95,1531225
2025-04-01,118.98,123.88,118.8,122.63,1551274
2025-04-02,123.4,124.0,119.23,119.94,1469531
2025-04-03,119.0,123.0,118.12,122.56,732512
2025-04-04,121.55,122.39,114.3,115.51,1339289
2025-04-07,106.99,109.89,104.49,108.07,2190505
2025-04-08,111.25,114.24,108.6,108.91,2053611
2025-04-09,108.91,108.94,104.0,104.75,1290582
2025-04-11,109.88,120.71,107.18,119.19,7357458
2025-04-15,120.1,143.02,120.1,143.02,17082993
2025-04-16,142.99,144.44,134.8,136.96,7981713
2025-04-17,137.01,138.64,135.65,136.17,1926511
2025-04-21,137.0,142.61,135.0,138.84,4965970
2025-04-22,139.99,148.71,138.12,144.31,8377793
2025-04-23,145.49,148.6,142.0,142.6,3708861
2025-04-24,143.0,144.4,139.26,140.38,1547537
2025-04-25,141.5,143.87,132.48,136.75,3940711
2025-04-28,136.43,146.0,136.11,144.21,4666276
2025-04-29,144.21,146.5,140.0,142.75,3076792
2025-04-30,143.7,144.0,138.0,139.35,1359275
2025-05-02,140.0,141.55,137.03,138.73,1318160
2025-05-05,138.9,141.88,136.56,140.7,1770535
2025-05-06,141.49,141.49,134.61,136.99,1632945
2025-05-07,133.0,138.0,132.76,137.02,1132012
2025-05-08,137.83,139.08,130.25,132.3,1385026
2025-05-09,128.0,133.5,128.0,132.32,2118403
2025-05-12,137.0,142.4,136.92,138.49,3453018
2025-05-13,138.6,148.8,138.31,144.41,4270993
2025-05-14,144.97,152.12,143.12,147.17,4105708
2025-05-15,147.72,148.98,145.32,146.55,1849365
2025-05-16,147.1,151.95,146.1,148.21,2931317
2025-05-19,149.4,165.6,149.4,160.9,8498282
2025-05-20,162.0,186.0,158.98,181.35,23244883
2025-05-21,181.0,184.2,175.5,180.95,5656317
2025-05-22,180.0,183.5,177.0,179.89,2849833
2025-05-23,180.63,186.0,176.5,181.88,2880173
2025-05-26,182.5,184.7,178.12,179.47,2211638
2025-05-27,180.4,187.99,179.11,183.39,4648656
2025-05-28,183.8,187.9,182.11,182.96,3483355
2025-05-29,183.8,186.7,180.81,182.37,3783674
2025-05-30,182.73,185.0,180.07,183.52,2781783
2025-06-02,181.0,188.43,170.82,173.78,7425591
2025-06-03,175.04,179.6,174.05,177.27,2854452
2025-06-04,177.83,180.0,174.0,178.18,1873379
2025-06-05,179.08,184.9,177.71,178.54,3254765
2025-06-06,182.0,182.89,174.5,175.52,2379844
2025-06-09,176.1,181.0,175.22,178.84,1698159
2025-06-10,178.55,179.8,176.3,176.86,1995605
2025-06-11,177.15,181.25,173.5,174.52,1555723
2025-06-12,174.54,176.39,168.77,169.9,1760398
2025-06-13,166.0,168.25,146.35,163.39,3735416
2025-06-16,164.47,165.5,158.09,164.41,1580494
2025-06-17,162.6,165.2,158.0,158.55,532533
2025-06-18,159.9,161.6,153.0,155.8,460819
2025-06-19,158.7,159.9,151.0,152.36,671698
2025-06-20,150.0,155.98,150.0,152.73,579404
2025-06-23,151.0,152.49,147.0,148.76,601261
2025-06-24,151.5,154.0,150.0,152.09,405036
2025-06-25,153.85,157.9,152.0,154.57,360426
2025-06-26,155.4,157.0,148.95,150.28,457420
2025-06-27,151.77,157.79,149.58,157.49,700923
2025-06-30,158.0,160.0,153.9,155.08,610524
2025-07-01,153.1,156.0,153.0,153.32,208303
2025-07-02,153.32,158.0,150.0,156.35,2348519
2025-07-03,156.35,158.8,151.0,152.8,1555204
2025-07-04,152.8,157.99,150.3,153.91,576837
2025-07-07,154.0,155.55,150.6,153.91,660632
2025-07-08,151.01,154.9,151.01,153.16,279213
2025-07-09,153.69,154.7,151.5,152.56,293254
2025-07-10,153.85,154.1,151.0,152.02,1780007
2025-07-11,152.05,153.5,149.5,151.5,216566
2025-07-14,149.05,152.8,147.1,148.88,326879
2025-07-15,151.0,155.5,148.88,154.44,1023273
2025-07-16,156.0,156.0,152.1,154.36,272952
2025-07-17,155.95,158.4,153.0,157.85,434496
2025-07-18,157.85,164.0,157.85,163.7,725942
2025-07-21,165.0,170.0,160.5,167.95,4027196
2025-07-22,167.99,170.15,163.9,168.61,520372
2025-07-23,169.0,173.06,166.5,171.86,839880
2025-07-24,171.2,177.5,171.0,176.6,955844
2025-07-25,175.0,176.7,168.0,171.7,739760
2025-07-28,171.48,171.48,163.11,168.68,1142188
2025-07-29,165.0,171.35,163.0,169.6,739462
2025-07-30,165.9,170.0,165.1,167.97,355977
2025-07-31,165.0,169.0,163.01,165.07,484310
2025-08-01,163.5,166.0,161.0,161.51,219623
2025-08-04,161.2,165.87,159.0,164.27,442166
2025-08-05,162.2,165.0,160.21,160.8,271870
2025-08-06,160.81,163.0,156.11,156.83,200383
2025-08-07,155.0,160.0,153.0,156.56,185310
2025-08-08,158.85,158.85,153.53,154.72,151207
2025-08-11,154.72,157.0,153.0,156.24,191234
2025-08-12,157.9,164.0,156.59,158.68,609009
2025-08-13,158.9,159.94,154.1,155.31,277225
2025-08-14,155.61,158.9,151.1,154.34,448294
2025-08-18,160.6,160.95,155.0,155.8,751119
2025-08-19,157.75,158.25,154.01,156.58,306606
2025-08-20,155.5,158.3,155.0,155.96,761101
2025-08-21,155.96,159.8,154.1,154.32,2567191
2025-08-22,154.32,154.89,149.7,151.97,284046
2025-08-25,152.0,153.9,147.0,148.31,748300
2025-08-26,148.9,148.9,144.0,145.42,391284
2025-08-28,143.99,151.0,142.55,149.49,261391
2025-08-29,150.99,151.98,146.0,146.79,213604
2025-09-01,147.49,152.0,145.75,151.44,357273
2025-09-02,153.8,153.8,149.6,151.63,492293
2025-09-03,152.74,154.99,151.63,152.62,268072
2025-09-04,152.62,155.55,151.25,151.52,134908
2025-09-05,151.52,155.1,151.52,153.42,223861
2025-09-08,154.5,160.0,153.0,158.78,510898
2025-09-09,160.6,161.71,156.6,159.99,735559
2025-09-10,158.5,167.98,158.5,167.98,2677673
2025-09-11,172.0,174.55,169.01,172.06,1545418
2025-09-12,172.0,174.0,168.0,170.95,571374
2025-09-15,170.95,175.0,168.77,173.86,651416
2025-09-16,175.0,177.5,172.25,175.25,587311
2025-09-17,175.1,179.0,172.97,176.18,987137
2025-09-18,178.99,184.98,174.0,184.98,1718104
2025-09-19,189.99,194.22,189.0,194.22,2302271
2025-09-22,197.99,203.93,191.37,199.84,5734767
2025-09-23,199.89,208.9,196.89,202.63,2915645
2025-09-24,201.63,205.94,195.2,196.28,1748269
2025-09-25,195.05,206.09,192.67,205.31,4398488
2025-09-26,206.31,209.8,201.4,206.62,2756281
2025-09-29,209.05,211.8,205.5,207.9,3179472
2025-09-30,208.08,209.66,197.6,201.11,2022199
2025-10-01,201.3,207.1,199.99,205.81,965761
2025-10-03,205.5,209.9,203.05,204.24,2147097
2025-10-06,204.24,214.45,204.23,214.45,3377223
2025-10-07,220.0,225.17,218.11,225.17,4372951
2025-10-08,233.3,240.15,221.86,228.77,7006832
2025-10-09,229.0,230.94,221.36,228.07,2243830
2025-10-10,226.1,236.7,226.1,234.41,2240584
2025-10-13,238.0,247.0,231.82,242.37,5836068
2025-10-14,241.3,253.4,240.28,251.68,5297320
2025-10-15,256.8,261.72,252.75,259.04,3747910
2025-10-16,262.0,264.0,255.99,261.07,3821940
2025-10-17,261.3,264.8,247.91,257.11,2828174
2025-10-20,260.7,262.82,250.0,260.65,2006026
2025-10-21,262.49,266.5,256.42,263.4,1109057
2025-10-23,263.4,263.4,240.51,245.2,2863244
2025-10-24,245.37,250.0,238.48,243.57,2034840
2025-10-27,245.0,259.75,244.45,256.41,2845375
2025-10-28,258.0,270.0,257.51,268.44,3164550
2025-10-29,269.95,271.85,261.5,262.56,1514250
2025-10-30,262.51,271.8,259.05,267.75,2060362
2025-10-31,267.0,274.9,265.08,266.53,3214237
2025-11-03,267.0,279.0,266.5,272.2,7733432
2025-11-04,275.0,275.05,265.4,270.05,1578653
2025-11-06,268.1,270.65,256.7,258.45,1300915
2025-11-07,259.45,267.25,255.1,264.65,1445035
2025-11-10,263.0,265.3,255.75,261.55,907322
2025-11-11,256.0,260.8,256.0,257.2,649491
2025-11-12,257.2,261.7,251.75,259.45,1541871
2025-11-13,259.45,264.8,255.1,255.7,694594
2025-11-14,255.95,256.85,251.9,253.0,797842
2025-11-17,259.95,264.5,247.1,250.5,3169997
2025-11-18,249.5,249.75,225.45,235.55,2085786
2025-11-19,236.0,239.85,231.5,232.85,1076389
2025-11-20,232.5,235.05,227.7,230.4,964993
2025-11-21,228.95,234.65,222.2,228.95,1465167
2025-11-24,229.0,229.0,217.35,221.3,993564
2025-11-25,220.5,222.4,215.3,218.6,935853
2025-11-26,219.95,228.0,218.55,219.6,1018171
2025-11-27,220.95,224.1,217.8,222.45,736002
2025-11-28,222.45,224.0,216.35,218.5,706992
2025-12-01,218.5,222.99,213.6,219.54,1017882
