date,open,high,low,close,volume
2025-03-24,1525.0,1550.0,1505.0,1511.65,64033
2025-03-25,1537.9,1544.1,1500.8,1510.95,86940
2025-03-26,1523.0,1523.0,1466.35,1472.9,47532
2025-03-27,1461.0,1519.95,1455.75,1504.15,94548
2025-03-28,1514.9,1543.95,1482.2,1488.55,65109
2025-04-01,1482.95,1538.75,1475.0,1524.45,84664
2025-04-02,1528.0,1579.65,1495.55,1553.5,115377
2025-04-03,1561.9,1678.0,1525.25,1668.05,413666
2025-04-04,1670.0,1680.0,1565.0,1579.9,167867
2025-04-07,1264.0,1570.15,1264.0,1550.6,265484
2025-04-08,1630.0,1661.85,1577.05,1655.5,131566
2025-04-09,1632.0,1670.0,1623.75,1657.75,174718
2025-04-11,1697.5,1740.0,1653.0,1712.6,338595
2025-04-15,1750.0,1761.0,1660.0,1672.1,190323
2025-04-16,1677.0,1721.6,1669.8,1704.4,129096
2025-04-17,1706.0,1769.7,1704.9,1725.1,154383
2025-04-21,1749.0,1842.0,1712.8,1799.7,369429
2025-04-22,1798.1,1858.8,1752.1,1761.2,196912
2025-04-23,1744.0,1797.0,1698.9,1720.8,163516
2025-04-24,1729.9,1745.7,1659.3,1667.9,115401
2025-04-25,1670.9,1703.9,1610.1,1668.0,185393
2025-04-28,1668.0,1684.9,1630.0,1636.1,80340
2025-04-29,1640.0,1666.0,1612.5,1620.8,71962
2025-04-30,1628.9,1643.6,1576.0,1591.2,69152
2025-05-02,1591.0,1675.0,1577.5,1661.0,157586
2025-05-05,1661.0,1701.0,1640.1,1683.2,82776
2025-05-06,1693.2,1743.9,1612.1,1629.5,107565
2025-05-07,1629.0,1675.0,1615.0,1670.4,75512
2025-05-08,1690.7,1701.0,1575.3,1609.8,74092
2025-05-09,1590.0,1645.0,1580.0,1633.0,101808
2025-05-12,1662.9,1732.8,1662.9,1723.7,111510
2025-05-13,1729.0,1782.8,1700.1,1774.3,146377
2025-05-14,1783.9,1897.0,1766.6,1828.2,325363
2025-05-15,1830.0,1860.0,1795.2,1803.2,95529
2025-05-16,1803.2,1834.4,1781.3,1813.6,78098
2025-05-19,1818.0,1865.0,1809.5,1841.2,169636
2025-05-20,1889.0,1889.0,1799.0,1821.7,145478
2025-05-21,1825.0,1834.0,1740.0,1807.3,238229
2025-05-22,1849.0,2074.7,1818.1,2058.7,1654733
2025-05-23,2067.0,2221.0,2061.0,2151.9,1078784
2025-05-26,2147.1,2164.0,2090.0,2098.5,105235
2025-05-27,2100.2,2173.9,2076.3,2162.2,141587
2025-05-28,2180.0,2185.0,2112.2,2124.2,63549
2025-05-29,2129.0,2154.1,2118.0,2127.5,67123
2025-05-30,2140.0,2299.0,2101.9,2272.4,383266
2025-06-02,2272.4,2278.0,2154.4,2195.6,220464
2025-06-03,2195.6,2247.0,2147.0,2203.4,130317
2025-06-04,2215.0,2371.0,2193.6,2275.5,446458
2025-06-05,2293.7,2327.0,2275.3,2284.7,117711
2025-06-06,2295.2,2307.8,2225.0,2230.5,90697
2025-06-09,2249.0,2277.5,2222.5,2235.5,85014
2025-06-10,2250.0,2261.9,2197.0,2211.8,70326
2025-06-11,2248.9,2319.1,2153.3,2178.4,215530
2025-06-12,2197.0,2219.9,2134.1,2172.7,148893
2025-06-13,2125.0,2208.0,2118.0,2166.2,195217
2025-06-16,2171.0,2195.9,2120.0,2142.4,84669
2025-06-17,2142.0,2153.2,2040.0,2119.2,42974
2025-06-18,2150.0,2180.0,2055.0,2095.4,24020
2025-06-19,2090.0,2100.0,1990.7,2046.9,57705
2025-06-20,2029.9,2101.0,1970.0,2057.0,34689
2025-06-23,2079.0,2159.7,2061.0,2147.6,37174
2025-06-24,2180.0,2215.0,2120.0,2137.1,38747
2025-06-25,2137.1,2175.9,2100.0,2121.7,18592
2025-06-26,2135.0,2153.8,2089.0,2123.5,23516
2025-06-27,2114.9,2165.0,2087.0,2145.3,20920
2025-06-30,2180.0,2209.9,2112.0,2194.7,39302
2025-07-01,2190.0,2250.0,2155.0,2231.3,34284
2025-07-02,2230.0,2290.0,2206.4,2281.6,73807
2025-07-03,2299.0,2299.0,2232.1,2271.6,19058
2025-07-04,2250.0,2348.2,2250.0,2325.5,43963
2025-07-07,2325.5,2348.0,2282.0,2300.4,19923
2025-07-08,2285.1,2320.0,2250.0,2270.0,14670
2025-07-09,2232.0,2291.9,2232.0,2259.6,9583
2025-07-10,2280.0,2305.0,2231.0,2283.4,9552
2025-07-11,2290.0,2290.0,2185.0,2206.5,25985
2025-07-14,2220.0,2239.8,2129.4,2153.2,45504
2025-07-15,2167.4,2220.0,2098.0,2180.4,15193
2025-07-16,2194.0,2209.9,2153.0,2184.4,13931
2025-07-17,2204.9,2218.1,2129.4,2162.9,18758
2025-07-18,2170.0,2210.0,2130.1,2202.0,15826
2025-07-21,2195.0,2312.1,2180.0,2312.1,57883
2025-07-22,2320.0,2394.0,2280.0,2382.2,34368
2025-07-23,2400.0,2400.0,2332.7,2337.4,18803
2025-07-24,2301.1,2350.0,2295.0,2305.9,15549
2025-07-25,2300.0,2334.0,2275.0,2300.2,41095
2025-07-28,2250.0,2250.0,2185.2,2192.2,39896
2025-07-29,2169.9,2274.9,2151.0,2207.0,29808
2025-07-30,2239.9,2260.0,2190.0,2229.5,11452
2025-07-31,2216.0,2250.0,2177.0,2190.6,39872
2025-08-01,2200.0,2264.0,2161.0,2178.8,12047
2025-08-04,2150.0,2225.0,2070.0,2191.6,27165
2025-08-05,2149.9,2230.0,2140.0,2184.8,11776
2025-08-06,2218.9,2245.0,2150.0,2208.5,15448
2025-08-07,2162.0,2229.0,2150.0,2192.0,17361
2025-08-08,2240.0,2301.6,2190.0,2299.1,76798
2025-08-11,2270.0,2287.7,2184.2,2184.2,18763
2025-08-12,2140.0,2249.7,2139.3,2208.6,31761
2025-08-13,2175.0,2199.8,2098.2,2129.1,48151
2025-08-14,2138.9,2146.0,2065.0,2083.3,15884
2025-08-18,2110.0,2155.5,2051.0,2059.9,29896
2025-08-19,2034.9,2120.0,2000.1,2103.0,38620
2025-08-20,2138.0,2138.0,2071.0,2083.0,10724
2025-08-21,1980.4,2084.5,1980.4,2038.6,43973
2025-08-22,2010.0,2060.0,1971.0,2042.8,24418
2025-08-25,2059.9,2118.4,2045.0,2062.1,38452
2025-08-26,2064.0,2118.0,2045.1,2090.1,53241
2025-08-28,2085.2,2120.0,2027.0,2057.2,35346
2025-08-29,2100.0,2111.9,2060.0,2077.2,13449
2025-09-01,2110.0,2138.0,2062.0,2123.5,16865
2025-09-02,2123.4,2136.5,2100.0,2127.0,10640
2025-09-03,2127.0,2150.0,2080.0,2114.4,23888
