date,open,high,low,close,volume
2025-03-24,501.95,518.4,497.55,506.8,582982
2025-03-25,510.0,510.35,475.05,478.95,463580
2025-03-26,481.2,484.0,460.0,462.1,500686
2025-03-27,462.9,475.0,459.45,472.2,340785
2025-03-28,478.85,482.4,463.15,467.15,348388
2025-04-01,469.9,479.7,465.15,471.25,213278
2025-04-02,476.0,478.35,465.15,474.45,123111
2025-04-03,470.0,484.0,468.05,482.1,122772
2025-04-04,481.05,485.45,460.6,463.3,223599
2025-04-07,427.95,478.85,405.0,475.25,529173
2025-04-08,481.0,485.95,466.0,468.1,268407
2025-04-09,466.0,468.95,459.0,463.95,69613
2025-04-11,477.0,485.25,472.05,483.15,178949
2025-04-15,488.0,516.95,485.0,510.75,429264
2025-04-16,515.0,525.95,510.5,518.35,304009
2025-04-17,516.05,521.9,512.35,516.6,137628
2025-04-21,506.05,528.0,506.05,521.85,228640
2025-04-22,521.85,539.45,515.95,531.55,219323
2025-04-23,540.0,540.0,523.2,530.2,161151
2025-04-24,531.0,536.3,526.9,529.25,139059
2025-04-25,533.05,533.05,508.5,525.2,265352
2025-04-28,520.0,527.35,512.7,517.35,153292
2025-04-29,518.8,526.9,515.35,517.7,146494
2025-04-30,516.3,517.5,492.05,499.1,166321
2025-05-02,496.0,518.2,491.3,513.7,388428
2025-05-05,515.4,516.8,506.9,508.3,98032
2025-05-06,504.5,512.25,494.0,496.6,136543
2025-05-07,486.95,507.0,484.85,504.5,115505
2025-05-08,508.0,525.6,507.1,510.6,171196
2025-05-09,491.0,517.0,491.0,513.05,185060
2025-05-12,533.95,546.05,530.7,535.0,250074
2025-05-13,543.0,549.9,535.0,546.85,141364
2025-05-14,548.0,562.0,542.9,554.95,237661
2025-05-15,555.0,564.95,552.0,555.9,132873
2025-05-16,559.75,565.0,555.9,558.4,110132
2025-05-19,559.3,579.0,558.4,563.4,241993
2025-05-20,569.0,573.95,556.7,560.1,203556
2025-05-21,559.2,569.8,553.0,561.85,228806
2025-05-22,561.9,568.9,558.3,567.0,79522
2025-05-23,567.0,578.9,565.1,568.3,120560
2025-05-26,568.3,576.45,510.0,562.35,237161
2025-05-27,572.0,572.0,560.0,562.8,117777
2025-05-28,563.35,569.85,560.0,566.55,92009
2025-05-29,560.0,562.75,544.0,548.65,209027
2025-05-30,547.0,554.4,542.8,544.25,102558
2025-06-02,544.25,553.0,535.9,544.55,221254
2025-06-03,545.05,551.05,540.3,541.85,151635
2025-06-04,547.0,561.85,544.55,554.0,307788
2025-06-05,559.55,561.0,542.0,543.25,121842
2025-06-06,543.0,551.45,539.15,543.8,187494
2025-06-09,544.25,550.0,539.05,548.05,124855
2025-06-10,550.0,557.0,545.15,553.6,134865
2025-06-11,555.5,565.3,547.95,550.05,155394
2025-06-12,551.3,557.15,544.0,548.45,169670
2025-06-13,538.15,551.0,534.25,546.45,160145
2025-06-16,546.4,550.25,536.0,540.95,95898
2025-06-17,542.45,551.35,531.55,535.25,189347
2025-06-18,536.8,544.15,525.0,526.75,135842
2025-06-19,526.75,535.95,507.15,511.45,188096
2025-06-20,511.0,525.0,505.1,511.6,345832
2025-06-23,506.9,531.6,505.25,524.5,248165
2025-06-24,533.95,533.95,519.0,520.9,218241
2025-06-25,524.85,542.1,523.0,532.75,269949
