date,open,high,low,close,volume
2025-03-24,258.01,270.0,258.01,266.4,244096
2025-03-25,268.7,270.0,258.0,261.13,175276
2025-03-26,261.13,262.4,250.5,252.0,155020
2025-03-27,251.99,256.0,247.0,249.56,151836
2025-03-28,253.89,254.5,248.01,249.22,154471
2025-04-01,251.7,255.0,248.0,251.68,112123
2025-04-02,250.01,253.8,248.0,252.71,86029
2025-04-03,248.9,255.25,245.0,253.32,109019
2025-04-04,253.79,254.45,242.0,246.36,102691
2025-04-07,234.04,234.04,234.04,234.04,53112
2025-04-08,234.5,244.0,234.5,242.31,91399
2025-04-09,241.0,254.4,237.5,252.44,208651
2025-04-11,253.99,258.25,251.0,252.07,105154
2025-04-15,255.99,258.0,252.0,255.43,265034
2025-04-16,257.31,268.2,252.8,268.2,813243
2025-04-17,268.49,271.9,262.5,264.47,606684
2025-04-21,266.99,275.98,262.5,269.83,547643
2025-04-22,270.1,283.32,268.11,283.32,785426
2025-04-23,287.0,292.39,277.02,281.29,867973
2025-04-24,281.0,284.48,276.1,277.97,296847
2025-04-25,280.75,281.0,264.07,264.07,620855
2025-04-28,264.07,264.07,256.01,260.91,241459
2025-04-29,261.09,268.48,261.09,263.16,218450
2025-04-30,263.49,263.49,253.12,255.34,158902
2025-05-02,257.0,262.8,254.0,256.6,201694
2025-05-05,258.3,260.4,255.65,258.0,135856
2025-05-06,258.0,260.55,247.0,248.55,220408
2025-05-07,245.0,255.25,240.1,249.15,219128
2025-05-08,252.0,252.95,245.0,245.75,146240
2025-05-09,236.55,242.35,236.5,241.25,213516
2025-05-12,256.7,265.35,249.65,256.05,620169
2025-05-13,257.3,266.8,255.55,262.35,565384
2025-05-14,263.0,273.7,263.0,270.1,751332
2025-05-15,271.5,275.45,269.5,272.8,438148
2025-05-16,274.15,284.2,273.15,279.5,829904
2025-05-19,283.0,289.4,280.1,281.4,630828
2025-05-20,283.05,283.25,270.9,272.9,414036
2025-05-21,273.45,280.3,270.1,276.75,398850
2025-05-22,275.05,291.75,272.55,280.15,988101
2025-05-23,281.5,282.9,277.6,278.75,417556
2025-05-26,280.0,284.5,279.0,281.15,321679
2025-05-27,282.9,309.25,281.2,309.25,11599169
2025-05-28,312.5,340.15,312.3,340.15,10410279
2025-05-29,350.15,368.7,350.15,364.85,9675077
2025-05-30,362.0,362.0,346.6,346.6,1886334
2025-06-02,335.0,337.7,329.3,329.3,3313450
2025-06-03,330.0,345.75,330.0,333.0,2281176
2025-06-04,334.7,336.8,325.25,330.25,840723
2025-06-05,331.65,338.7,326.5,327.4,724233
2025-06-06,330.8,333.0,324.5,325.3,563458
2025-06-09,328.85,341.55,325.5,330.6,2280212
2025-06-10,332.95,334.85,327.5,329.55,888561
2025-06-11,330.75,333.0,325.55,327.65,512948
2025-06-12,328.8,340.75,326.55,329.25,1327590
2025-06-13,322.0,324.5,318.75,321.55,607956
2025-06-16,322.0,324.15,309.0,318.85,765015
2025-06-17,323.4,333.7,319.25,322.35,1140893
2025-06-18,321.4,321.45,314.4,315.3,412912
2025-06-19,315.0,318.5,305.1,307.05,527981
2025-06-20,307.0,314.45,303.0,309.65,486932
2025-06-23,306.2,322.7,305.25,315.35,1472591
2025-06-24,318.7,325.35,318.5,319.85,610502
2025-06-25,319.9,328.6,316.3,323.3,705098
2025-06-26,325.0,327.75,319.05,320.55,281108
2025-06-27,323.45,325.95,319.5,320.65,386218
2025-06-30,321.95,336.65,321.85,336.65,1519684
2025-07-01,339.95,342.75,326.0,329.9,1961867
2025-07-02,331.0,336.0,323.25,326.65,744341
2025-07-03,329.0,331.45,324.5,327.2,415861
2025-07-04,329.0,331.55,325.0,326.9,283790
2025-07-07,326.95,327.7,322.9,323.15,187340
2025-07-08,323.45,325.45,318.0,318.8,195468
2025-07-09,318.95,322.4,317.1,318.45,202451
2025-07-10,318.95,322.4,318.0,318.7,187433
2025-07-11,319.9,320.45,315.0,315.5,164314
2025-07-14,316.85,326.9,311.95,319.3,605716
2025-07-15,320.0,322.4,317.15,318.2,188684
2025-07-16,318.3,321.4,317.0,318.1,174998
2025-07-17,318.55,320.2,315.2,316.35,146460
2025-07-18,317.95,322.0,315.05,316.0,213863
2025-07-21,320.0,320.7,313.95,314.6,165815
2025-07-22,315.0,319.75,312.0,313.15,169649
2025-07-23,314.45,317.95,312.25,313.8,177936
2025-07-24,315.85,316.85,304.3,306.65,272008
2025-07-25,306.0,307.7,301.1,303.4,195690
2025-07-28,303.4,305.65,292.2,293.55,274114
2025-07-29,297.0,302.0,291.55,300.25,175641
2025-07-30,301.95,302.4,292.2,293.95,164346
2025-07-31,292.5,293.85,286.45,290.55,138897
2025-08-01,291.9,293.0,285.0,285.85,111402
2025-08-04,286.0,294.0,285.25,292.55,157798
2025-08-05,293.75,295.2,288.1,289.6,135685
2025-08-06,293.0,304.05,293.0,299.55,1905933
2025-08-07,305.0,325.75,305.0,320.3,12671623
2025-08-08,320.0,320.0,300.5,303.65,1086308
2025-08-11,300.5,303.0,292.3,300.85,628048
