date,open,high,low,close,volume
2025-03-24,65.45,69.0,65.01,66.43,241115
2025-03-25,66.9,67.28,63.0,63.63,164155
2025-03-26,63.52,64.8,60.5,60.67,245911
2025-03-27,60.85,61.9,57.92,58.66,371228
2025-03-28,58.95,61.49,56.2,56.61,275157
2025-04-01,57.45,63.4,57.43,60.19,219475
2025-04-02,59.99,61.39,58.2,60.66,74895
2025-04-03,61.15,62.5,60.78,61.73,54848
2025-04-04,61.7,61.7,59.41,60.03,51871
2025-04-07,56.2,58.96,55.5,57.83,110490
2025-04-08,58.28,59.67,57.95,58.36,44702
2025-04-09,58.36,59.6,57.23,58.66,22948
2025-04-11,58.97,61.3,58.97,60.46,54984
2025-04-15,61.5,62.89,61.15,61.89,59239
2025-04-16,62.8,63.65,61.27,62.63,75525
2025-04-17,61.9,64.64,61.81,63.59,71290
2025-04-21,63.6,66.27,63.39,64.72,111726
2025-04-22,65.7,66.72,64.12,66.07,101592
2025-04-23,66.87,67.69,64.44,65.4,72082
2025-04-24,65.0,67.54,64.99,66.7,72307
2025-04-25,68.85,68.85,63.08,63.66,67577
2025-04-28,63.66,64.92,62.41,63.35,31670
2025-04-29,64.5,65.0,63.5,63.99,26682
2025-04-30,64.5,64.5,61.1,62.49,41612
2025-05-02,63.0,63.46,61.25,61.55,44754
2025-05-05,62.05,63.27,61.66,62.67,35592
2025-05-06,62.5,63.5,59.7,60.09,41417
2025-05-07,60.1,61.25,59.0,60.9,51967
2025-05-08,61.5,63.5,59.55,60.21,52375
2025-05-09,59.68,60.6,58.11,59.68,44931
2025-05-12,60.5,65.49,60.5,63.38,102967
2025-05-13,63.0,68.0,62.98,66.43,119634
2025-05-14,67.8,68.7,66.01,67.0,92077
2025-05-15,69.4,69.4,66.39,68.08,66438
2025-05-16,68.9,69.69,67.19,69.14,80029
2025-05-19,69.84,72.49,69.14,71.2,154879
2025-05-20,71.0,72.31,69.3,69.63,61485
2025-05-21,68.63,71.49,68.63,70.15,65487
2025-05-22,70.95,84.18,69.37,84.18,525692
2025-05-23,84.0,86.0,78.15,78.83,1046769
2025-05-26,79.3,80.49,77.3,78.01,161642
2025-05-27,78.8,80.54,77.25,78.29,143059
2025-05-28,78.9,79.6,77.55,77.98,77955
2025-05-29,78.5,78.98,77.4,77.86,67559
2025-05-30,78.2,78.4,76.69,77.52,54848
2025-06-02,77.8,81.09,77.11,79.46,145874
2025-06-03,80.5,80.8,78.65,79.24,81046
2025-06-04,80.0,80.09,77.56,78.42,35309
2025-06-05,79.53,81.01,78.3,78.56,93823
