date,open,high,low,close,volume
2025-03-24,98.5,99.98,97.41,98.14,3713128
2025-03-25,98.64,99.3,94.41,95.37,3686317
2025-03-26,95.8,102.5,95.67,97.25,10285463
2025-03-27,96.29,97.3,94.18,95.83,4109629
2025-03-28,96.4,98.83,95.0,96.09,3116225
2025-04-01,95.8,97.4,95.0,96.36,2161651
2025-04-02,96.75,97.1,93.3,96.13,2734380
2025-04-03,95.64,100.25,95.15,99.66,2984744
2025-04-04,99.0,99.06,94.5,95.22,2306530
2025-04-07,80.92,89.65,80.2,87.86,5732829
2025-04-08,96.62,96.62,89.5,92.14,3819028
2025-04-09,92.41,92.42,89.4,91.63,3105853
2025-04-11,95.0,95.55,93.09,95.32,2246356
2025-04-15,96.19,98.8,96.19,97.56,2307554
2025-04-16,97.2,101.26,96.84,99.7,2818079
2025-04-17,99.87,101.05,99.11,100.38,1921838
2025-04-21,100.9,103.64,100.23,102.61,2776278
2025-04-22,103.1,107.53,101.1,105.71,4139667
2025-04-23,106.25,107.55,102.8,105.06,2459790
2025-04-24,105.02,106.83,103.9,104.22,1627067
2025-04-25,105.28,105.5,100.56,102.46,2653790
2025-04-28,102.0,104.74,101.5,104.48,2140205
2025-04-29,105.5,106.75,102.39,102.6,2462106
2025-04-30,101.1,103.66,100.21,101.54,2053943
2025-05-02,101.54,102.28,98.52,101.15,2296394
2025-05-05,100.88,102.15,99.2,101.43,1926074
2025-05-06,101.44,102.35,98.94,99.9,1889500
2025-05-07,97.3,100.9,96.45,100.46,2313550
2025-05-08,101.05,102.13,97.35,99.83,1517559
2025-05-09,97.69,102.45,97.12,99.83,1520275
2025-05-12,103.13,106.65,102.61,105.8,2957090
2025-05-13,110.0,116.43,108.39,110.13,29870979
2025-05-14,110.5,112.99,109.2,111.27,5170528
2025-05-15,111.27,115.4,111.22,114.94,6023935
2025-05-16,115.4,117.0,113.82,115.18,4050396
2025-05-19,115.7,120.85,115.44,117.6,6519705
2025-05-20,118.08,121.6,115.29,116.61,3203213
2025-05-21,115.97,125.5,114.88,121.85,9128419
2025-05-22,121.85,124.2,121.5,123.75,4311058
2025-05-23,124.0,124.2,119.31,120.42,2655962
2025-05-26,121.01,123.75,120.83,122.12,2660760
2025-05-27,122.4,124.44,121.2,122.38,2676850
2025-05-28,123.14,130.0,122.26,128.73,8145360
2025-05-29,129.75,131.5,125.56,126.3,3244401
2025-05-30,126.8,128.24,124.64,127.74,2733854
2025-06-02,128.44,134.85,126.17,133.73,7527061
2025-06-03,134.38,135.1,130.0,130.87,3214940
2025-06-04,130.1,131.8,127.74,130.92,2840245
2025-06-05,131.21,143.45,131.21,141.62,28475957
2025-06-06,141.95,144.42,138.75,142.57,10312459
2025-06-09,143.28,155.99,143.25,155.02,21681424
2025-06-10,154.91,154.91,149.25,151.88,10075793
2025-06-11,151.0,152.58,146.26,148.33,5410588
2025-06-12,148.33,151.0,145.8,146.52,6162643
2025-06-13,140.0,144.63,139.41,143.41,5025736
2025-06-16,143.0,144.5,138.0,143.28,3666074
2025-06-17,143.89,146.3,140.5,141.28,4582116
2025-06-18,141.0,146.64,139.45,142.5,6413871
2025-06-19,142.0,143.0,137.1,138.65,3607349
2025-06-20,138.35,143.99,137.1,140.21,5449577
2025-06-23,139.4,141.9,139.0,139.44,2318886
2025-06-24,140.8,155.0,140.8,150.29,45773040
2025-06-25,151.5,159.2,150.37,154.77,21111894
2025-06-26,156.0,159.95,154.15,155.98,13641212
2025-06-27,156.75,160.9,154.11,159.15,10336204
2025-06-30,159.15,165.49,156.91,159.34,15173863
2025-07-01,159.34,162.42,158.11,158.71,6352044
2025-07-02,159.14,163.0,157.29,162.24,8652979
2025-07-03,163.0,169.47,158.55,166.91,15678210
2025-07-04,167.0,168.65,162.58,165.79,7655720
2025-07-07,166.3,168.98,164.0,167.03,4406507
2025-07-08,167.65,174.0,166.5,170.67,11139267
2025-07-09,171.0,173.4,169.0,169.73,5516624
2025-07-10,170.48,172.9,166.21,169.05,5461404
2025-07-11,169.0,171.98,165.4,167.45,4421204
2025-07-14,167.62,173.39,166.37,172.18,9343246
2025-07-15,172.86,174.3,169.36,170.61,6477953
2025-07-16,171.43,172.75,169.0,170.79,3276884
2025-07-17,171.6,172.15,168.76,169.25,1995496
2025-07-18,169.8,170.3,167.3,169.27,2825743
2025-07-21,167.69,170.47,162.25,169.48,5400852
2025-07-22,170.0,173.24,167.62,170.24,5105674
2025-07-23,170.24,180.65,169.07,179.59,19351070
2025-07-24,180.11,181.4,175.51,177.07,7628095
2025-07-25,176.76,176.76,167.41,168.79,6915746
2025-07-28,166.26,172.9,161.7,162.91,6149706
2025-07-29,162.91,164.7,159.47,163.38,5611784
2025-07-30,163.85,164.52,156.09,157.01,3867005
2025-07-31,155.2,160.54,154.91,157.83,4139160
2025-08-01,157.8,157.89,151.4,151.92,3731425
2025-08-04,151.92,157.99,149.9,157.2,5283261
2025-08-05,158.0,159.17,153.0,154.13,2742145
2025-08-06,154.87,156.45,152.6,154.33,3147416
2025-08-07,154.1,155.6,151.99,155.02,2763958
2025-08-08,154.52,160.44,154.4,155.29,5909482
2025-08-11,156.5,166.8,152.75,159.99,24737584
2025-08-12,166.42,167.6,158.55,162.65,18004600
2025-08-13,164.45,190.0,163.51,187.07,92462028
2025-08-14,185.81,189.59,182.5,185.89,23446982
2025-08-18,188.5,191.7,184.01,186.31,11439374
2025-08-19,186.52,189.0,181.88,188.37,7545537
2025-08-20,188.4,188.55,183.5,184.57,4965155
2025-08-21,185.4,196.0,183.39,189.73,17760812
2025-08-22,190.0,199.8,187.75,193.02,21636789
2025-08-25,193.77,195.4,190.9,192.46,6344959
2025-08-26,190.1,191.6,186.11,186.68,4965878
