date,open,high,low,close,volume
2025-03-24,632.0,635.7,589.9,591.35,4439971
2025-03-25,594.0,598.45,582.5,588.15,1268830
2025-03-26,590.0,601.75,587.0,595.15,2977737
2025-03-27,592.9,594.0,576.6,581.95,2101949
2025-03-28,586.9,591.7,577.9,581.6,1256369
2025-04-01,581.6,591.4,574.0,576.55,1146903
2025-04-02,581.75,591.0,569.0,589.9,901482
2025-04-03,585.0,597.95,583.55,594.6,632728
2025-04-04,593.1,593.1,547.25,551.7,1448645
2025-04-07,496.6,530.0,496.6,516.65,2106941
2025-04-08,539.0,539.0,507.45,523.35,1376588
2025-04-09,519.0,524.25,504.0,512.6,862653
2025-04-11,530.0,548.95,521.2,542.05,1122799
2025-04-15,548.0,560.95,547.0,557.8,1443113
2025-04-16,561.0,565.25,553.0,558.7,1006680
2025-04-17,561.6,569.25,554.65,561.45,820538
2025-04-21,563.0,571.5,556.5,569.35,874174
2025-04-22,578.0,584.25,575.1,581.1,1093248
2025-04-23,581.9,589.0,565.95,575.4,1139476
2025-04-24,579.0,579.0,570.0,571.95,780045
2025-04-25,570.0,575.7,552.2,559.4,943949
2025-04-28,558.4,561.5,551.05,559.7,771341
2025-04-29,561.0,569.35,554.3,566.55,542774
2025-04-30,565.1,585.0,565.1,583.1,2228152
2025-05-02,579.95,591.9,575.2,588.25,1052613
2025-05-05,585.0,589.0,579.0,586.0,565402
2025-05-06,586.0,598.0,583.0,588.3,789810
2025-05-07,570.0,598.95,568.1,595.35,617710
2025-05-08,596.5,610.95,580.0,588.25,1085479
2025-05-09,575.0,604.7,575.0,579.6,1640241
2025-05-12,592.1,612.3,592.1,610.0,2102812
2025-05-13,614.9,632.2,610.3,624.85,1343692
2025-05-14,628.9,659.0,628.05,653.45,1932705
2025-05-15,659.0,662.0,646.45,649.15,910836
2025-05-16,655.0,665.5,649.35,663.1,558685
2025-05-19,664.05,667.9,653.15,660.35,500760
2025-05-20,663.7,668.25,640.55,641.75,928118
2025-05-21,645.1,652.0,636.4,643.4,646291
2025-05-22,643.0,651.95,635.5,639.45,605686
2025-05-23,640.0,651.4,635.5,649.85,331915
2025-05-26,651.0,665.95,643.0,657.85,590440
2025-05-27,652.25,658.5,643.95,647.85,442275
2025-05-28,645.0,654.3,642.35,647.05,607175
2025-05-29,656.0,674.0,656.0,669.2,1333101
2025-05-30,673.0,678.0,640.0,644.75,1854098
2025-06-02,641.8,645.0,633.35,643.05,491403
2025-06-03,645.0,668.3,644.85,663.9,1246826
2025-06-04,663.75,665.0,650.0,655.95,990203
2025-06-05,657.5,677.0,650.5,673.5,911823
2025-06-06,677.0,696.0,676.5,694.7,1992900
2025-06-09,700.25,733.55,695.2,716.35,2320038
2025-06-10,716.0,729.05,715.05,726.1,1566902
2025-06-11,726.0,734.35,716.15,720.6,1038655
2025-06-12,721.6,733.0,715.65,723.75,1314200
2025-06-13,702.25,716.75,702.25,712.05,668579
2025-06-16,712.15,714.85,698.65,701.95,853755
2025-06-17,701.95,706.75,685.85,687.15,684839
2025-06-18,690.0,690.0,666.0,671.05,679540
2025-06-19,674.6,679.2,652.2,657.25,372684
2025-06-20,657.05,671.65,653.5,670.2,1243186
2025-06-23,665.5,691.5,658.2,687.0,669982
2025-06-24,692.5,697.35,673.0,677.65,668392
2025-06-25,683.65,683.65,670.0,673.6,1761215
2025-06-26,673.6,699.8,673.0,694.05,1859912
2025-06-27,697.0,706.0,688.1,690.05,1240548
2025-06-30,694.9,708.8,691.55,705.1,1153906
2025-07-01,709.8,711.5,696.85,707.0,744732
2025-07-02,707.95,717.9,699.8,703.6,824951
2025-07-03,707.0,717.5,694.0,697.85,801535
2025-07-04,699.9,699.9,674.0,679.9,912582
2025-07-07,680.05,681.9,671.1,675.45,246217
2025-07-08,675.45,687.0,673.55,684.3,435586
2025-07-09,684.25,684.9,671.1,681.2,574935
2025-07-10,687.0,695.4,677.25,681.8,501498
2025-07-11,681.8,687.4,680.5,684.5,445106
2025-07-14,683.7,696.0,681.25,691.1,1020435
2025-07-15,687.95,694.4,685.6,688.05,368020
2025-07-16,688.05,689.5,675.0,675.9,404758
2025-07-17,681.9,683.35,672.65,678.85,654272
2025-07-18,681.55,699.4,675.15,676.55,963022
2025-07-21,681.0,704.0,679.9,697.85,1586538
2025-07-22,702.7,702.7,685.0,688.9,343160
2025-07-23,690.3,691.8,672.15,675.8,424347
2025-07-24,678.0,684.8,661.25,664.2,470627
2025-07-25,664.2,671.5,653.85,656.05,393070
2025-07-28,655.0,668.3,653.0,659.75,440404
2025-07-29,659.9,690.0,653.8,677.85,2128200
2025-07-30,681.95,683.3,674.45,681.1,305202
2025-07-31,674.5,698.0,668.7,694.1,1174268
2025-08-01,694.0,708.5,682.5,706.05,1295136
2025-08-04,708.9,734.45,706.4,728.05,1372933
2025-08-05,729.5,736.2,722.0,725.65,625573
2025-08-06,731.95,741.0,702.15,734.0,1387988
2025-08-07,734.0,734.0,680.5,724.6,2756783
2025-08-08,720.95,720.95,678.0,683.4,1863449
2025-08-11,677.0,693.2,674.2,678.3,771011
2025-08-12,676.0,715.55,675.25,713.15,1356611
2025-08-13,717.0,732.9,711.7,721.75,945121
2025-08-14,718.1,731.0,716.1,729.9,465289
2025-08-18,733.0,751.45,730.0,747.4,821857
2025-08-19,750.0,763.05,747.0,757.9,726113
2025-08-20,756.6,776.95,756.0,765.05,782841
2025-08-21,769.5,796.0,768.15,774.3,2062329
2025-08-22,774.3,784.25,769.0,777.55,883978
2025-08-25,777.55,818.2,775.05,796.45,3922228
2025-08-26,791.0,814.5,790.05,795.25,2315097
2025-08-28,795.05,818.95,782.0,806.45,2350479
2025-08-29,810.35,810.7,751.0,762.95,1854221
2025-09-01,764.55,769.8,737.35,755.35,977579
2025-09-02,755.9,769.0,743.1,761.25,682881
2025-09-03,766.25,776.0,753.5,760.65,1458000
2025-09-04,768.2,769.05,738.1,746.9,1529299
2025-09-05,748.95,765.0,739.9,755.7,462538
2025-09-08,755.7,763.0,744.9,748.7,447186
2025-09-09,752.05,774.9,741.7,769.05,583233
2025-09-10,768.0,783.9,759.95,778.3,742471
2025-09-11,778.45,783.5,756.5,761.2,580007
2025-09-12,764.9,765.2,736.7,740.95,659789
2025-09-15,740.95,753.5,733.1,750.2,509874
2025-09-16,754.0,758.75,747.0,753.7,504873
2025-09-17,754.1,762.5,748.5,760.6,366553
2025-09-18,765.0,765.55,757.1,762.2,380220
2025-09-19,766.0,790.0,756.0,778.95,1110327
2025-09-22,781.55,791.5,770.0,787.55,557784
2025-09-23,787.55,804.0,787.0,801.0,750145
2025-09-24,805.0,812.8,793.4,799.45,939115
2025-09-25,795.95,804.55,778.0,784.45,484089
2025-09-26,781.2,796.4,781.2,789.15,370954
2025-09-29,792.9,792.9,733.95,737.7,972440
2025-09-30,740.3,750.55,729.85,737.75,956510
2025-10-01,741.6,766.0,741.6,762.4,608271
2025-10-03,766.0,794.0,760.95,788.25,1433232
2025-10-06,786.8,787.0,758.2,761.0,524470
2025-10-07,760.0,768.0,752.3,758.0,343760
2025-10-08,758.8,759.4,744.5,753.6,425019
2025-10-09,754.0,772.0,751.5,770.15,496466
2025-10-10,775.0,779.5,766.65,772.7,318963
2025-10-13,772.7,778.0,763.75,774.0,252859
2025-10-14,775.05,786.5,772.55,775.55,369540
2025-10-15,776.2,793.0,775.55,783.85,471408
2025-10-16,785.0,812.0,779.65,808.9,696824
2025-10-17,808.0,815.7,788.85,791.6,545274
2025-10-20,793.1,801.2,782.4,784.85,263421
2025-10-21,792.8,799.8,788.9,797.5,70314
2025-10-23,803.0,806.6,790.75,800.3,265784
2025-10-24,804.0,814.9,799.8,802.05,726394
2025-10-27,798.1,813.85,791.0,811.3,718712
2025-10-28,814.8,818.0,800.5,803.7,389521
2025-10-29,803.65,826.0,799.15,803.7,1046440
2025-10-30,803.85,808.35,771.4,782.7,803400
2025-10-31,782.7,782.95,751.3,753.7,760455
2025-11-03,754.0,765.6,746.5,750.4,781632
2025-11-04,754.95,755.6,735.6,738.4,653621
2025-11-06,738.4,745.2,727.2,729.8,603187
2025-11-07,725.0,738.0,715.5,731.75,478710
2025-11-10,736.4,738.5,716.1,722.75,628730
2025-11-11,745.0,755.2,731.0,740.95,1953898
2025-11-12,748.45,748.45,726.1,728.25,578463
2025-11-13,733.1,751.9,731.35,738.9,939291
2025-11-14,742.6,748.8,736.15,738.05,424102
2025-11-17,741.6,752.0,729.4,749.2,540614
2025-11-18,749.2,760.95,749.0,751.0,519171
2025-11-19,754.0,774.0,751.8,771.3,527606
2025-11-20,775.8,776.4,759.9,768.35,330562
2025-11-21,768.0,768.0,749.0,752.5,221887
2025-11-24,751.95,770.65,734.15,754.5,1867350
2025-11-25,747.95,753.65,737.25,746.55,720587
2025-11-26,749.7,772.7,746.1,764.15,710467
2025-11-27,768.0,776.0,764.15,772.45,321521
2025-11-28,776.0,776.0,763.55,771.05,315897
2025-12-01,775.85,775.85,748.1,755.0,526896
2025-12-02,758.7,764.0,755.5,760.75,448602
2025-12-03,761.8,762.2,744.25,748.4,385328
2025-12-04,752.4,758.0,745.6,747.85,283865
2025-12-05,747.7,759.6,744.05,755.4,220049
2025-12-08,758.9,769.9,752.65,766.85,438568
2025-12-09,768.0,775.0,748.0,773.95,538870
2025-12-10,772.55,790.55,770.95,784.8,532974
2025-12-11,784.8,796.85,764.5,778.0,651346
2025-12-12,778.0,792.0,776.0,785.65,500929
2025-12-15,785.65,799.1,779.45,797.05,467338
2025-12-16,799.0,802.5,792.2,800.1,516166
2025-12-17,800.0,800.05,782.0,789.4,242743
2025-12-18,790.0,800.0,785.7,798.1,310840
2025-12-19,799.0,804.9,785.6,802.2,472683
2025-12-22,805.0,806.0,790.0,792.6,241787
2025-12-23,794.0,803.0,787.1,797.35,347649
2025-12-24,803.05,803.05,791.0,794.65,324545
2025-12-26,794.5,799.45,787.35,792.05,167964
2025-12-29,792.0,798.1,776.1,795.1,330463
2025-12-30,795.1,848.05,786.95,836.0,2773011
2025-12-31,838.15,867.0,831.0,839.25,2213969
2026-01-01,834.0,857.9,828.05,853.75,627100
2026-01-02,853.75,865.1,847.0,855.4,658245
2026-01-05,859.4,870.0,857.0,865.65,622857
2026-01-06,870.0,871.2,856.5,860.9,563558
2026-01-07,863.15,884.0,848.15,855.0,713444
2026-01-08,857.25,862.9,801.1,805.8,822468
2026-01-09,803.7,807.0,766.65,772.15,1102234
2026-01-12,770.0,781.9,748.55,772.35,739046
2026-01-13,776.7,809.8,776.7,784.4,1783303
2026-01-14,780.4,799.25,769.55,794.1,752362
2026-01-16,801.15,815.9,792.7,813.3,745507
2026-01-19,808.0,816.0,801.6,804.25,465560
