date,open,high,low,close,volume
2025-03-24,611.05,646.4,606.7,642.25,1639192
2025-03-25,650.0,658.3,625.5,638.2,557184
2025-03-26,635.2,639.25,610.0,612.9,569746
2025-03-27,605.0,638.0,602.2,622.5,936569
2025-03-28,622.5,642.1,609.0,639.6,906433
2025-04-01,642.8,667.85,614.1,618.2,909037
2025-04-02,626.0,626.0,606.05,609.65,627110
2025-04-03,600.0,624.1,598.5,605.25,611919
2025-04-04,603.0,609.65,580.1,593.95,583696
2025-04-07,528.05,575.35,528.05,568.9,622991
2025-04-08,572.95,588.0,571.2,584.25,441173
2025-04-09,578.0,599.0,572.25,594.15,346436
2025-04-11,604.75,621.5,595.25,616.75,658081
2025-04-15,619.8,632.45,612.95,630.55,706189
2025-04-16,630.0,650.0,621.25,645.45,553641
2025-04-17,649.0,657.5,640.5,654.55,375900
2025-04-21,655.0,665.95,643.5,660.75,494825
2025-04-22,658.0,697.95,658.0,683.6,1826859
2025-04-23,692.0,700.0,686.2,691.3,1836946
2025-04-24,689.0,691.2,663.0,667.1,984473
2025-04-25,670.2,680.95,662.05,674.55,676407
2025-04-28,679.5,708.0,659.25,671.25,1795508
2025-04-29,671.6,682.7,663.5,676.3,538840
2025-04-30,673.0,676.95,653.0,656.85,574185
2025-05-02,656.95,665.4,646.9,658.95,460385
2025-05-05,662.2,672.7,646.25,661.7,720736
2025-05-06,663.1,666.4,654.3,662.6,270226
2025-05-07,656.6,656.6,632.5,643.75,440134
2025-05-08,650.0,654.7,628.0,634.5,198986
2025-05-09,611.0,637.0,610.0,635.15,332051
2025-05-12,650.0,659.0,640.1,651.55,344737
2025-05-13,668.95,668.95,651.55,659.05,1032436
2025-05-14,659.05,660.5,635.0,640.05,1580119
2025-05-15,641.9,648.25,632.05,643.75,303273
2025-05-16,649.9,650.0,637.0,640.3,172932
2025-05-19,637.7,647.45,608.85,645.1,1161197
2025-05-20,646.2,651.6,635.2,639.0,338993
2025-05-21,643.7,666.5,635.25,662.75,1104023
2025-05-22,662.75,674.05,656.1,668.55,528134
2025-05-23,671.45,685.0,665.75,672.9,568695
2025-05-26,675.95,683.35,665.5,670.85,227166
2025-05-27,668.65,668.65,650.05,654.2,392375
2025-05-28,655.0,663.1,644.2,651.85,253110
2025-05-29,652.0,662.0,645.25,649.15,283222
2025-05-30,649.8,688.55,645.5,684.25,1207772
2025-06-02,686.0,690.95,655.55,664.1,639898
2025-06-03,667.0,684.9,665.05,675.3,516426
