date,open,high,low,close,volume
2025-03-24,174.25,182.4,173.72,182.4,299530
2025-03-25,191.52,191.52,179.0,185.77,1091963
2025-03-26,188.5,189.4,179.5,181.12,394849
2025-03-27,180.0,183.35,177.6,179.38,279138
2025-03-28,182.0,183.8,175.41,180.14,377722
2025-04-01,171.15,179.38,171.15,172.81,534249
2025-04-02,173.0,181.45,169.71,180.69,520889
2025-04-03,177.0,189.72,172.6,189.72,728109
2025-04-04,199.2,199.2,193.35,199.2,3647630
2025-04-07,189.24,189.24,189.24,189.24,322690
2025-04-08,193.8,198.7,192.04,198.07,1094928
2025-04-09,196.91,207.97,191.26,207.96,996281
2025-04-11,218.35,218.35,214.2,218.35,730293
2025-04-15,229.26,229.26,229.26,229.26,141421
2025-04-16,240.72,240.72,240.72,240.72,157411
2025-04-17,240.0,252.75,228.9,252.75,1481711
2025-04-21,255.0,265.38,254.01,265.38,425637
2025-04-22,272.0,276.3,256.11,261.16,973980
2025-04-23,262.5,265.95,248.1,253.97,639216
2025-04-24,251.0,251.0,241.27,243.33,578379
2025-04-25,243.0,245.0,231.16,232.62,384267
2025-04-28,232.0,244.25,225.0,244.25,529791
2025-04-29,252.8,256.46,249.14,254.96,740638
2025-04-30,251.0,251.0,242.21,242.21,456686
2025-05-02,233.0,250.0,233.0,242.21,366659
2025-05-05,246.0,249.0,234.0,241.67,195329
2025-05-06,242.97,244.95,229.58,229.58,287073
2025-05-07,241.05,241.05,234.55,241.05,605439
2025-05-08,241.4,253.1,241.05,250.09,878239
2025-05-09,237.6,256.0,237.58,254.16,590701
2025-05-12,266.86,266.86,250.72,257.0,1188420
2025-05-13,258.22,259.9,244.15,246.71,1427379
2025-05-14,248.6,253.0,241.4,250.42,831281
2025-05-15,250.5,262.94,248.15,262.94,2555830
2025-05-16,262.94,276.08,262.94,276.08,2701986
2025-05-19,283.8,289.88,282.0,289.88,1576971
2025-05-20,298.0,304.37,281.75,296.57,4674955
2025-05-21,300.0,309.0,285.99,299.79,1269571
2025-05-22,304.0,314.0,293.2,308.98,2039135
2025-05-23,307.4,324.42,293.53,293.53,1428800
2025-05-26,280.0,290.0,278.85,280.28,831105
2025-05-27,277.9,292.8,276.25,290.47,565815
2025-05-28,293.8,293.8,278.0,279.61,539205
2025-05-29,283.97,293.59,281.0,293.59,589988
2025-05-30,283.0,303.0,278.91,297.96,1403254
2025-06-02,291.0,299.7,286.0,289.7,454700
2025-06-03,284.95,288.4,278.1,281.95,432022
2025-06-04,284.7,287.95,274.1,285.1,351754
2025-06-05,284.95,285.75,276.3,281.5,251267
2025-06-06,278.1,285.5,278.1,281.1,309670
2025-06-09,289.55,290.0,283.05,285.0,369272
2025-06-10,290.75,290.75,281.0,287.9,312598
2025-06-11,288.65,288.65,281.05,282.3,274519
2025-06-12,286.4,286.4,271.65,274.25,273535
2025-06-13,262.6,272.45,262.6,264.95,413520
2025-06-16,258.0,263.5,251.7,261.7,337728
2025-06-17,259.2,261.0,253.25,255.3,227163
2025-06-18,255.3,267.0,252.75,262.9,249884
2025-06-19,262.9,267.2,250.7,252.55,282964
2025-06-20,256.95,259.0,251.0,256.65,145428
2025-06-23,252.1,257.0,247.0,251.65,347999
2025-06-24,255.0,264.2,254.0,264.2,643020
2025-06-25,267.0,277.4,267.0,277.4,330652
2025-06-26,286.0,291.25,277.4,284.3,1403961
2025-06-27,289.0,289.0,275.8,280.55,433301
2025-06-30,287.25,287.25,277.0,281.35,459279
2025-07-01,285.0,286.0,280.0,281.05,280806
2025-07-02,281.15,283.35,270.55,272.55,461618
2025-07-03,272.5,285.45,272.05,274.0,860564
2025-07-04,277.4,282.95,273.15,280.6,344190
2025-07-07,280.8,290.6,278.65,281.95,855633
2025-07-08,286.4,296.0,284.2,295.35,3010976
2025-07-09,300.0,303.95,290.0,292.65,1065597
2025-07-10,295.4,296.4,285.5,289.75,557597
2025-07-11,291.0,291.65,282.0,285.5,502167
2025-07-14,285.5,285.5,272.65,279.45,513152
2025-07-15,282.0,285.5,280.0,282.55,288677
2025-07-16,282.55,283.0,277.0,281.8,193325
2025-07-17,281.8,288.8,277.2,286.15,240766
2025-07-18,286.2,288.0,277.6,279.3,317990
2025-07-21,278.5,280.0,267.1,270.3,362629
2025-07-22,271.0,272.7,256.8,256.95,678160
2025-07-23,258.0,266.8,258.0,261.6,282248
2025-07-24,268.85,268.85,258.0,260.75,204461
2025-07-25,264.6,266.0,258.0,260.6,226245
2025-07-28,260.9,264.75,247.6,247.6,424223
2025-07-29,236.5,244.55,235.25,239.9,478602
2025-07-30,236.5,251.85,235.0,239.0,446367
2025-07-31,227.05,234.0,227.05,227.3,751639
2025-08-01,222.1,226.0,215.93,215.93,560030
2025-08-04,211.0,223.0,206.25,210.2,860597
2025-08-05,199.69,199.69,199.69,199.69,181162
2025-08-06,192.0,194.0,189.7,189.7,1662131
2025-08-07,180.21,180.21,180.21,180.21,138782
2025-08-08,171.19,171.19,171.19,171.19,157451
2025-08-11,162.63,162.63,162.63,162.63,168204
2025-08-12,160.01,170.76,158.1,170.76,4104434
2025-08-13,179.29,179.29,179.29,179.29,95603
2025-08-14,188.25,188.25,170.32,171.29,3572710
2025-08-18,179.79,179.85,175.3,179.85,1296383
2025-08-19,185.25,188.84,182.0,188.84,2855985
2025-08-20,191.97,198.28,190.0,198.28,1631107
2025-08-21,203.0,208.19,202.25,208.19,315852
2025-08-22,214.0,218.5,197.78,197.78,1925435
2025-08-25,194.73,194.86,187.89,187.89,1131591
2025-08-26,178.49,178.49,178.49,178.49,142017
2025-08-28,169.56,175.4,169.56,169.56,2688120
2025-08-29,174.14,178.03,169.56,178.03,1316383
2025-09-01,182.0,186.93,181.59,186.93,1462331
2025-09-02,192.0,196.27,191.3,196.22,1606615
2025-09-03,197.0,197.0,188.0,189.01,998363
2025-09-04,191.0,195.53,179.55,179.58,1581925
2025-09-05,179.58,188.55,179.58,183.28,1102311
2025-09-08,185.85,192.44,183.9,192.44,612133
2025-09-09,193.85,195.7,185.21,186.82,594180
2025-09-10,194.0,195.63,193.4,195.63,445521
2025-09-11,199.0,204.6,192.27,200.27,1545993
2025-09-12,202.4,202.4,195.5,198.01,716886
2025-09-15,196.0,202.75,192.1,193.12,603833
2025-09-16,193.75,202.77,193.75,202.77,1040724
2025-09-17,207.0,212.9,205.0,212.9,1100810
2025-09-18,220.97,223.54,213.61,217.53,3725513
2025-09-19,222.0,222.0,214.0,220.22,1487794
2025-09-22,219.0,219.0,209.2,209.83,1842703
2025-09-23,214.35,217.5,202.5,206.81,1385644
