date,open,high,low,close,volume
2025-03-24,216.0,224.95,190.0,210.3,47600
2025-03-25,217.0,217.0,202.2,207.2,17200
2025-03-26,211.4,211.4,194.0,196.15,20000
2025-03-27,201.9,202.5,193.5,198.05,38400
2025-03-28,205.0,212.0,205.0,210.75,16400
2025-04-01,213.95,214.9,210.0,214.85,3600
2025-04-02,224.15,224.15,210.2,211.6,4800
2025-04-03,220.0,220.0,212.2,215.0,6400
2025-04-04,220.0,220.0,210.0,216.9,7600
2025-04-07,211.0,211.0,190.3,209.0,4800
2025-04-08,215.0,218.8,204.0,212.5,13600
2025-04-09,214.0,214.0,214.0,214.0,400
2025-04-11,215.95,219.85,207.0,212.9,4400
2025-04-15,222.2,222.2,208.0,209.4,14400
2025-04-16,210.0,210.0,207.1,210.0,5600
2025-04-17,213.8,214.0,208.4,213.0,5600
2025-04-21,214.95,214.95,210.0,213.95,10800
2025-04-22,213.9,219.8,172.6,201.65,68800
2025-04-23,204.5,213.0,198.0,211.5,18000
2025-04-24,212.9,217.55,210.5,214.0,4400
2025-04-25,218.0,218.0,210.0,214.75,8000
2025-04-28,216.55,217.9,209.0,217.75,8800
2025-04-29,218.95,220.0,212.1,217.1,5600
2025-04-30,216.95,216.95,212.1,213.75,2800
2025-05-02,216.0,223.0,214.0,217.0,9600
2025-05-05,217.0,222.7,214.1,216.5,6000
2025-05-06,219.2,223.4,215.0,222.6,13600
2025-05-07,221.0,221.0,213.0,217.45,6800
2025-05-08,220.9,220.9,214.0,215.85,5200
2025-05-09,220.0,220.0,208.0,217.55,7200
2025-05-12,219.75,237.5,219.75,232.0,2800
2025-05-13,237.25,242.5,230.0,236.0,8800
2025-05-14,239.9,243.5,233.05,240.2,7200
2025-05-15,246.0,256.0,240.0,250.0,118000
2025-05-16,258.0,258.5,223.1,229.25,21200
2025-05-19,235.0,243.75,222.0,231.25,18800
2025-05-20,239.9,240.8,231.0,236.0,3600
2025-05-21,238.0,240.0,230.05,237.95,7600
2025-05-22,239.85,239.85,228.5,235.0,6000
2025-05-23,238.0,239.5,226.0,229.1,10400
2025-05-26,244.6,244.6,232.0,232.85,9600
2025-05-27,237.0,239.45,230.0,236.0,10000
2025-05-28,240.0,247.8,240.0,245.55,14000
2025-05-29,247.9,255.7,247.0,248.15,11600
2025-05-30,253.65,253.65,245.1,252.0,2400
2025-06-02,254.0,254.0,240.0,246.75,8000
2025-06-03,248.0,248.0,238.0,244.9,4000
2025-06-04,249.0,249.0,232.25,233.55,10800
2025-06-05,239.45,242.95,237.0,238.0,4800
2025-06-06,239.85,243.8,229.15,237.6,7200
2025-06-09,226.05,243.45,218.55,225.8,26000
2025-06-10,230.0,234.95,224.25,226.85,16400
2025-06-11,239.0,239.0,225.1,226.5,8800
2025-06-12,229.0,234.7,220.0,225.3,10000
2025-06-13,224.75,227.45,220.0,221.6,7200
2025-06-16,228.9,228.9,216.05,221.6,11200
2025-06-17,224.95,224.95,220.05,222.9,9200
2025-06-18,228.0,228.0,216.0,221.0,6400
2025-06-19,225.0,225.0,218.1,219.0,3200
2025-06-20,221.5,228.0,221.15,224.7,7200
2025-06-23,226.3,226.7,216.0,217.6,8000
2025-06-24,225.0,225.0,218.0,219.1,9200
2025-06-25,222.0,224.8,218.05,218.85,6400
2025-06-26,219.25,220.95,216.75,219.15,30400
2025-06-27,222.0,222.0,218.6,219.1,2400
2025-06-30,219.95,228.75,215.25,223.2,9600
2025-07-01,224.0,225.1,217.0,219.05,8800
2025-07-02,220.65,220.65,211.6,216.6,42000
2025-07-03,220.4,221.0,215.85,219.0,6000
2025-07-04,218.9,219.5,212.9,214.9,9600
2025-07-07,217.0,218.85,208.6,209.8,90400
2025-07-08,213.0,225.0,209.3,221.3,55600
2025-07-09,220.0,223.5,217.15,219.2,47200
2025-07-10,220.0,223.95,214.05,219.5,23200
2025-07-11,220.6,224.9,218.2,220.3,53600
2025-07-14,222.4,236.0,220.3,232.25,54000
2025-07-15,244.85,257.0,241.0,242.4,37600
2025-07-16,254.85,254.85,245.0,251.7,29200
2025-07-17,251.7,264.0,250.0,259.95,30800
2025-07-18,263.95,267.9,255.0,260.2,20400
2025-07-21,263.0,273.5,261.55,262.65,7200
2025-07-22,267.0,269.9,259.0,264.5,10400
2025-07-23,267.0,267.0,259.1,261.35,6400
2025-07-24,266.95,266.95,261.9,261.9,1200
2025-07-25,267.0,267.0,245.0,255.85,3600
2025-07-28,253.95,253.95,243.0,246.0,1600
2025-07-29,249.0,260.95,249.0,250.0,5200
2025-07-30,255.9,256.9,243.6,249.9,6400
2025-07-31,249.0,265.0,249.0,259.7,11200
2025-08-01,262.0,262.0,252.0,258.0,1600
2025-08-04,257.85,261.95,250.05,251.65,3600
2025-08-05,257.9,257.9,245.0,251.0,6400
2025-08-06,251.5,251.5,239.4,239.8,5200
2025-08-07,244.0,263.3,232.0,234.45,20800
2025-08-08,232.0,258.0,232.0,248.5,26800
2025-08-11,256.7,256.7,231.1,233.35,18400
2025-08-12,238.95,240.0,234.0,240.0,4000
2025-08-13,247.0,249.5,238.65,239.95,6000
2025-08-14,242.95,243.0,232.5,233.5,8400
2025-08-18,245.0,245.0,234.25,239.95,4800
2025-08-19,239.95,239.95,239.95,239.95,400
2025-08-20,242.5,242.5,240.0,242.0,1200
2025-08-22,242.85,242.85,234.05,240.0,2000
2025-08-25,242.6,248.55,233.7,233.7,108400
2025-08-26,243.0,243.0,229.0,232.0,103600
2025-08-28,239.0,239.0,229.0,230.5,1200
2025-08-29,238.0,239.85,227.0,228.55,12400
2025-09-01,232.0,232.0,211.0,215.35,25600
2025-09-02,223.1,223.1,213.65,216.9,9600
2025-09-03,218.0,218.0,211.25,211.85,14400
2025-09-04,215.95,217.5,210.0,211.75,8800
2025-09-05,211.5,224.5,204.05,220.0,117600
2025-09-08,227.9,234.0,223.0,225.5,24400
2025-09-09,228.95,228.95,220.05,223.75,4400
2025-09-10,227.0,228.0,219.0,224.2,5600
2025-09-11,221.7,225.65,214.95,217.9,42400
2025-09-12,222.95,224.55,215.2,216.0,30800
2025-09-15,217.85,221.65,210.6,212.25,124400
2025-09-16,213.35,214.4,209.15,209.35,99200
2025-09-17,214.8,214.8,210.5,212.5,10800
2025-09-18,215.0,215.0,207.0,208.6,10000
2025-09-19,214.0,214.0,207.1,210.5,8000
2025-09-22,213.55,213.55,205.0,209.5,18400
2025-09-23,212.95,212.95,204.0,206.85,13600
2025-09-24,206.85,208.8,201.05,202.85,9600
2025-09-25,205.85,210.95,205.0,208.8,7200
2025-09-26,211.4,211.4,199.0,200.8,21600
2025-09-29,200.8,207.95,200.1,201.95,5600
2025-09-30,205.45,205.45,200.05,203.5,2000
2025-10-01,205.65,207.9,196.1,198.75,19600
2025-10-03,196.75,204.45,192.05,202.15,14800
2025-10-06,204.9,213.0,200.0,207.65,27600
2025-10-07,211.0,211.0,202.9,207.15,10800
2025-10-08,209.45,218.3,205.3,216.1,11200
