date,open,high,low,close,volume
2025-03-24,196.0,196.78,189.5,190.32,355807
2025-03-25,190.56,198.59,185.35,187.29,414008
2025-03-26,187.44,189.9,178.05,179.27,227796
2025-03-27,177.56,185.0,175.35,177.04,472454
2025-03-28,178.1,183.0,175.0,175.22,210174
2025-04-01,175.22,190.0,174.06,187.31,212864
2025-04-02,187.5,195.25,183.4,191.59,265733
2025-04-03,193.98,198.87,192.54,196.18,201640
2025-04-04,197.25,197.25,181.1,184.66,211570
2025-04-07,155.0,180.56,155.0,174.51,285745
2025-04-08,181.0,184.0,174.69,181.52,190835
2025-04-09,181.52,181.52,172.8,175.23,122339
2025-04-11,182.99,192.48,182.99,190.08,561875
2025-04-15,192.0,200.0,192.0,199.22,523012
2025-04-16,200.0,214.0,198.21,205.85,849471
2025-04-17,205.98,209.6,201.0,202.58,275646
2025-04-21,204.9,205.49,198.0,200.36,213991
2025-04-22,201.35,203.44,197.51,199.81,230719
2025-04-23,200.5,201.37,193.0,198.0,216966
2025-04-24,197.1,207.45,197.1,198.86,351699
2025-04-25,199.0,199.9,186.16,190.58,310481
2025-04-28,192.88,204.45,188.15,201.09,509912
2025-04-29,202.7,204.89,194.11,196.36,181562
2025-04-30,194.55,196.25,191.31,192.89,113906
2025-05-02,191.75,195.14,189.0,190.16,129288
2025-05-05,190.15,191.54,187.25,189.66,97905
2025-05-06,188.7,191.41,179.0,180.24,212625
2025-05-07,177.99,182.0,175.0,181.12,172544
2025-05-08,183.25,186.73,178.12,179.33,141773
2025-05-09,177.49,179.09,174.85,178.15,123228
2025-05-12,182.0,188.11,182.0,187.16,164253
2025-05-13,186.52,193.37,186.52,189.35,179197
2025-05-14,190.53,195.2,190.5,193.22,169385
2025-05-15,194.0,194.0,182.32,186.67,477612
2025-05-16,184.89,185.0,179.93,182.31,332745
2025-05-19,181.4,190.91,180.75,186.02,269329
2025-05-20,187.25,190.5,184.04,186.1,250551
2025-05-21,187.4,194.71,185.5,192.13,350495
2025-05-22,190.55,191.96,187.96,189.63,106555
2025-05-23,188.7,188.7,185.06,185.74,122350
2025-05-26,186.85,189.89,186.85,187.18,67424
2025-05-27,186.31,188.01,184.59,185.04,72121
2025-05-28,185.1,186.8,182.7,183.24,87929
2025-05-29,184.0,188.0,183.4,183.97,122238
2025-05-30,184.0,184.69,181.1,183.13,110073
2025-06-02,183.4,192.0,181.01,187.76,321022
2025-06-03,187.76,204.6,184.11,192.3,1847199
2025-06-04,193.84,193.84,190.02,191.71,180002
2025-06-05,191.72,199.4,191.72,193.53,283925
2025-06-06,193.53,196.28,190.99,193.17,143545
2025-06-09,193.29,197.33,192.01,193.84,165883
2025-06-10,195.4,200.8,193.99,196.41,342857
2025-06-11,197.15,205.0,196.4,200.04,696966
2025-06-12,199.8,212.58,199.8,201.45,1023010
2025-06-13,199.0,200.05,195.56,196.47,233581
2025-06-16,196.47,198.75,188.99,193.52,212446
2025-06-17,194.0,197.37,190.2,190.57,213042
2025-06-18,191.4,192.82,188.72,190.48,135611
2025-06-19,189.8,190.94,183.3,185.07,197363
2025-06-20,185.07,188.2,184.41,186.89,89566
2025-06-23,185.9,186.58,174.86,175.69,757751
