date,open,high,low,close,volume
2025-03-24,390.0,404.0,388.0,389.8,281179
2025-03-25,397.9,397.9,370.5,371.65,273818
2025-03-26,372.1,383.8,363.55,365.6,296436
2025-03-27,365.0,381.9,363.0,379.85,422139
2025-03-28,387.0,389.7,369.0,370.65,180105
2025-04-01,378.1,389.15,371.0,389.15,201363
2025-04-02,394.0,408.6,386.45,408.6,199580
2025-04-03,402.0,429.0,399.95,429.0,253876
2025-04-04,441.3,443.7,407.55,407.55,495547
2025-04-07,343.1,387.15,343.1,376.1,405140
2025-04-08,398.9,408.65,380.0,396.05,201215
2025-04-09,391.0,400.85,382.4,390.6,109058
2025-04-11,415.0,415.0,394.3,402.3,173848
2025-04-15,410.35,423.1,409.05,416.95,275473
2025-04-16,416.0,422.15,400.05,409.7,218161
2025-04-17,413.0,418.0,406.85,409.4,187009
2025-04-21,406.0,413.8,401.4,409.4,229956
2025-04-22,408.25,416.35,405.0,406.7,155717
2025-04-23,412.0,415.0,395.6,405.5,198905
2025-04-24,407.85,422.4,405.5,407.7,208028
2025-04-25,409.95,414.75,385.3,389.25,240655
2025-04-28,379.3,397.0,379.3,388.9,107902
2025-04-29,394.75,398.85,385.1,387.5,75290
2025-04-30,388.95,392.9,367.2,370.55,224465
2025-05-02,372.95,377.35,361.45,364.25,160776
2025-05-05,368.0,387.2,366.4,376.35,202447
2025-05-06,382.0,382.0,360.0,362.3,135551
2025-05-07,350.15,365.0,350.15,360.0,165212
2025-05-08,357.5,364.95,350.0,352.3,115122
2025-05-09,346.0,349.85,336.6,342.55,163209
2025-05-12,369.0,409.4,363.0,402.75,749603
2025-05-13,401.0,431.0,401.0,424.45,783658
2025-05-14,430.95,463.0,427.5,438.5,2541692
2025-05-15,448.0,456.45,430.2,444.4,997784
2025-05-16,447.0,450.0,432.4,434.0,494673
2025-05-19,440.5,497.05,438.25,488.05,2418414
2025-05-20,491.4,496.85,471.0,473.2,747951
2025-05-21,473.2,486.2,460.15,465.7,534135
2025-05-22,462.0,469.9,451.15,455.05,294550
2025-05-23,458.0,469.8,447.25,463.3,391621
2025-05-26,468.55,479.95,463.0,470.4,273067
2025-05-27,468.9,490.1,461.9,479.6,609089
2025-05-28,480.0,490.35,479.15,486.8,378738
2025-05-29,492.0,519.85,473.55,515.4,1377903
2025-05-30,515.0,568.0,509.0,554.55,2337303
2025-06-02,555.9,565.3,537.9,551.35,480401
2025-06-03,551.35,559.95,532.75,538.3,299282
2025-06-04,542.6,575.0,537.5,566.3,730048
2025-06-05,568.0,575.0,550.1,554.45,472361
2025-06-06,557.2,562.5,538.0,543.65,265715
2025-06-09,549.0,569.85,541.3,563.35,350359
2025-06-10,566.85,574.15,548.0,554.95,236926
2025-06-11,559.8,583.7,522.1,551.9,1000077
2025-06-12,555.0,561.85,522.1,532.35,410713
2025-06-13,522.3,525.85,511.25,517.85,330716
2025-06-16,517.85,530.0,494.5,521.25,348321
2025-06-17,523.0,523.0,500.0,501.7,253609
2025-06-18,495.6,515.2,495.6,502.25,213523
2025-06-19,498.0,504.35,475.6,476.95,360415
2025-06-20,475.0,507.7,475.0,506.35,276195
2025-06-23,493.0,509.0,491.05,504.7,205501
2025-06-24,516.0,524.7,511.0,514.7,361785
2025-06-25,515.05,533.75,515.05,522.05,186452
2025-06-26,523.8,526.45,506.05,508.5,283793
2025-06-27,511.0,521.0,503.2,504.95,205656
2025-06-30,504.95,524.5,504.95,519.1,294093
2025-07-01,519.0,529.9,516.25,525.4,376750
2025-07-02,530.0,532.0,506.55,508.7,280513
2025-07-03,510.0,514.3,501.95,504.8,210583
2025-07-04,509.0,509.0,498.15,503.4,148057
2025-07-07,500.5,513.85,494.8,496.5,167004
2025-07-08,499.0,502.7,485.4,489.3,198222
2025-07-09,491.0,503.2,488.2,491.9,274276
2025-07-10,493.0,514.0,493.0,510.8,354709
2025-07-11,515.0,520.65,492.8,497.45,366770
2025-07-14,499.0,509.9,488.9,503.2,267073
2025-07-15,509.85,530.0,503.85,518.55,805014
2025-07-16,522.0,529.0,512.15,524.0,452169
2025-07-17,524.95,528.0,511.2,513.45,242724
2025-07-18,515.5,521.0,507.25,514.0,252755
2025-07-21,527.0,554.9,516.35,538.15,1852599
2025-07-22,540.8,548.9,530.05,545.35,408013
2025-07-23,550.0,553.0,527.1,529.95,439136
2025-07-24,531.0,546.6,525.05,539.85,356023
2025-07-25,537.9,538.25,500.7,516.95,445557
2025-07-28,517.0,523.0,496.65,499.8,262403
2025-07-29,491.0,519.0,491.0,514.1,276665
2025-07-30,513.0,521.1,501.0,503.6,208275
2025-07-31,500.0,528.6,496.2,519.6,464586
2025-08-01,521.9,540.3,503.6,506.6,704059
2025-08-04,510.65,520.0,500.15,501.95,479990
2025-08-05,500.5,502.95,455.0,465.65,1917685
2025-08-06,468.95,476.65,459.0,462.8,365665
2025-08-07,456.0,469.95,451.0,459.1,270266
2025-08-08,459.0,465.5,437.0,443.65,262638
2025-08-11,445.0,451.45,431.25,437.05,445885
2025-08-12,439.9,446.1,423.35,426.5,364120
2025-08-13,430.05,439.8,430.05,433.25,178834
2025-08-14,432.95,435.4,418.0,420.45,215143
2025-08-18,429.0,432.0,420.0,422.45,184042
2025-08-19,422.45,437.7,420.0,434.15,248655
2025-08-20,434.15,435.1,420.4,425.5,271183
2025-08-21,425.9,443.75,424.85,429.25,267211
2025-08-22,429.25,439.0,427.85,434.4,184101
2025-08-25,435.95,443.45,434.55,441.45,211044
2025-08-26,437.05,441.45,425.3,427.7,178684
2025-08-28,424.0,431.95,420.1,425.1,116233
2025-08-29,424.0,428.5,420.1,423.15,107499
2025-09-01,424.0,429.8,422.6,427.7,91777
2025-09-02,427.95,435.0,424.0,428.85,122790
2025-09-03,426.0,436.65,425.4,431.7,186895
2025-09-04,437.0,440.35,421.2,423.6,132881
2025-09-05,425.0,426.9,415.15,418.85,164418
2025-09-08,419.0,425.5,416.05,419.5,81758
2025-09-09,417.0,422.25,416.65,418.0,74376
2025-09-10,418.9,425.95,417.5,418.8,137944
2025-09-11,420.5,427.2,415.0,416.3,153636
2025-09-12,418.85,421.5,411.15,412.35,95947
2025-09-15,414.1,421.25,410.05,418.4,145413
2025-09-16,419.25,436.2,419.2,426.7,242799
2025-09-17,429.0,433.5,424.2,425.35,122775
2025-09-18,425.5,427.95,419.05,421.0,135694
2025-09-19,421.0,427.0,418.5,423.55,105021
2025-09-22,422.05,439.9,419.4,431.1,336161
2025-09-23,431.1,434.85,426.1,427.45,126396
2025-09-24,426.6,427.5,417.95,419.1,142189
2025-09-25,420.0,423.05,410.1,413.1,137037
2025-09-26,412.0,415.0,394.95,403.8,193230
2025-09-29,405.0,408.0,393.05,398.95,218816
2025-09-30,401.0,403.6,397.0,400.1,98194
2025-10-01,403.0,413.35,396.75,399.75,201923
2025-10-03,402.95,414.0,402.0,411.6,127689
2025-10-06,410.9,411.5,404.35,405.55,114897
2025-10-07,406.0,414.9,397.5,398.4,217603
2025-10-08,398.4,399.2,384.1,385.9,300504
2025-10-09,386.0,390.15,378.8,386.45,163616
2025-10-10,390.0,437.85,386.55,424.55,1633501
2025-10-13,424.0,424.0,412.9,415.75,207696
2025-10-14,419.0,419.65,403.5,404.15,175247
2025-10-15,406.85,409.25,401.0,402.4,108558
2025-10-16,403.2,409.25,401.75,403.9,104705
2025-10-17,409.85,414.95,402.5,408.05,195678
2025-10-20,411.0,426.55,409.0,417.45,275588
2025-10-21,420.8,427.35,420.0,422.3,80285
2025-10-23,425.55,427.9,421.0,422.35,106106
2025-10-24,424.6,426.0,416.2,417.1,101522
2025-10-27,419.2,421.7,410.8,415.75,106391
2025-10-28,417.0,423.0,413.1,416.5,164796
2025-10-29,421.0,429.95,416.5,421.0,244626
2025-10-30,424.35,424.85,417.95,420.8,89844
2025-10-31,417.6,428.45,416.2,418.95,229587
2025-11-03,426.0,452.0,418.0,449.05,815761
2025-11-04,453.45,463.25,451.3,459.6,630059
2025-11-06,460.0,462.2,433.85,436.6,386564
2025-11-07,439.6,459.7,415.0,422.6,1238243
2025-11-10,426.7,431.65,410.0,412.4,361933
2025-11-11,415.7,415.7,403.0,404.45,281946
2025-11-12,406.0,413.9,404.95,408.85,165554
2025-11-13,408.85,411.4,404.1,406.5,219712
2025-11-14,410.0,412.0,400.75,402.3,199255
2025-11-17,409.0,409.6,399.0,399.95,186969
2025-11-18,400.0,402.4,392.0,393.65,216996
2025-11-19,409.65,424.95,403.0,408.4,1549208
2025-11-20,411.65,411.65,403.0,404.3,154530
2025-11-21,401.25,407.2,395.0,397.15,142715
2025-11-24,397.15,398.0,366.45,381.55,382834
2025-11-25,385.95,391.8,381.75,387.95,287859
2025-11-26,389.9,394.7,387.6,392.45,156116
2025-11-27,396.0,400.0,380.0,381.95,305568
2025-11-28,384.2,385.0,377.4,382.5,138161
2025-12-01,384.55,385.7,377.0,378.4,167779
2025-12-02,376.8,376.8,369.35,370.4,181218
2025-12-03,369.05,372.5,363.15,367.9,141421
2025-12-04,368.8,374.2,365.05,366.95,112111
2025-12-05,365.4,365.4,350.65,352.85,238325
2025-12-08,355.0,359.85,335.7,339.05,353621
2025-12-09,339.05,351.0,326.85,345.6,362574
2025-12-10,346.1,350.8,333.4,337.6,208700
2025-12-11,338.0,344.15,330.5,342.0,176344
2025-12-12,345.4,357.7,337.5,347.8,200147
2025-12-15,349.5,352.05,344.25,349.95,189849
