date,open,high,low,close,volume
2025-08-05,137.52,146.68,132.98,134.11,6460461
2025-08-06,133.2,135.57,122.11,123.85,1985135
2025-08-07,122.88,148.62,116.05,148.62,9905318
2025-08-08,149.0,173.8,142.56,161.98,51146767
2025-08-11,159.4,163.69,146.28,149.65,8783670
2025-08-12,149.0,155.99,147.93,149.24,4886910
2025-08-13,151.0,152.0,146.19,149.76,4171708
2025-08-14,147.1,150.92,128.8,131.85,4331425
2025-08-18,136.49,141.95,130.5,139.15,3274826
2025-08-19,139.94,141.75,137.0,139.65,1312125
2025-08-20,139.5,147.0,137.31,144.87,2721511
2025-08-21,145.45,146.77,142.3,143.92,1030767
2025-08-22,143.0,144.0,139.65,141.13,393368
2025-08-25,141.15,141.84,137.5,138.34,355971
2025-08-26,139.0,139.0,132.0,133.17,298061
2025-08-28,133.0,134.25,129.7,132.28,393080
2025-08-29,132.99,133.74,127.3,129.72,383545
2025-09-01,128.72,135.0,128.72,132.04,587137
2025-09-02,134.9,145.76,134.0,139.71,2355752
2025-09-03,141.88,161.0,141.1,158.21,9216069
2025-09-04,159.38,167.7,154.7,165.02,4173472
2025-09-05,162.5,168.5,158.05,166.56,3691389
2025-09-08,165.96,170.9,163.58,167.55,1713818
2025-09-09,165.11,168.0,156.55,158.47,1243463
2025-09-10,159.0,172.7,155.07,166.58,5182475
2025-09-11,165.01,173.7,163.56,166.95,1816287
2025-09-12,167.0,176.0,160.55,162.95,2370025
2025-09-15,163.75,165.7,161.5,162.86,910999
2025-09-16,163.45,167.9,161.91,164.29,666622
2025-09-17,165.0,169.0,162.26,163.3,1078041
2025-09-18,163.99,180.9,163.33,175.87,7373622
2025-09-19,176.0,177.21,168.0,168.9,1243744
2025-09-22,169.79,169.79,161.36,162.13,917781
2025-09-23,163.69,164.33,158.0,158.52,838265
2025-09-24,158.85,162.34,156.2,161.03,709658
2025-09-25,161.83,164.2,156.0,157.17,669939
2025-09-26,156.0,157.0,148.07,149.45,959405
2025-09-29,148.66,151.56,147.67,149.89,406949
2025-09-30,152.0,152.9,147.98,148.7,313069
2025-10-01,149.97,150.9,147.25,149.28,382043
2025-10-03,149.28,149.87,145.26,146.36,395767
2025-10-06,147.0,147.8,140.15,142.09,411494
2025-10-07,143.4,143.4,139.41,140.98,319193
2025-10-08,142.1,152.0,140.11,150.94,1351107
2025-10-09,150.92,153.05,147.66,151.42,438955
2025-10-10,151.5,152.45,147.3,149.72,232366
2025-10-13,148.1,148.79,145.0,145.57,196082
2025-10-14,145.83,147.95,140.1,141.12,321448
2025-10-15,143.0,149.5,141.61,148.15,356552
2025-10-16,148.8,149.27,145.54,147.14,167862
2025-10-17,148.6,148.6,143.2,144.61,230521
2025-10-20,146.0,154.87,142.91,149.59,371155
2025-10-21,149.0,152.95,149.0,150.86,71275
2025-10-23,154.4,155.2,151.7,153.9,364562
2025-10-24,155.2,155.2,149.9,150.97,210723
2025-10-27,152.5,152.57,148.0,148.78,339838
2025-10-28,148.8,158.45,148.44,157.55,613693
2025-10-29,159.0,159.59,155.15,156.27,258653
2025-10-30,155.0,155.01,150.12,152.19,231908
2025-10-31,152.2,154.99,150.51,151.8,335960
2025-11-03,151.5,151.5,146.82,147.38,149440
2025-11-04,148.8,148.89,144.1,145.62,130765
2025-11-06,146.5,147.85,142.2,143.56,192302
2025-11-07,143.62,145.98,142.5,143.15,118876
2025-11-10,145.3,152.2,144.36,147.34,131516
2025-11-11,148.52,148.52,145.01,145.64,81018
2025-11-12,145.0,152.25,144.21,151.6,277483
2025-11-13,151.9,154.44,147.1,147.68,180981
2025-11-14,148.86,152.0,135.41,137.12,893529
2025-11-17,139.0,140.99,128.5,129.61,913576
2025-11-18,131.65,139.8,129.97,131.07,1473843
2025-11-19,131.6,148.9,131.0,143.78,9706600
2025-11-20,143.78,144.3,137.8,138.63,799172
2025-11-21,138.9,140.78,137.0,137.2,379885
2025-11-24,137.0,139.75,135.0,136.34,241690
2025-11-25,137.0,138.18,134.01,134.7,227619
2025-11-26,135.0,136.6,134.25,135.38,132650
2025-11-27,136.25,139.28,134.33,135.88,259041
2025-11-28,136.5,141.25,135.5,138.87,377471
2025-12-01,140.0,142.89,137.0,137.22,234328
2025-12-02,137.0,138.08,135.01,136.32,140567
2025-12-03,136.9,136.9,131.68,132.57,92703
2025-12-04,132.7,138.15,132.59,135.07,151854
2025-12-05,136.0,136.15,133.1,134.27,64678
2025-12-08,134.67,134.8,126.02,128.48,505998
2025-12-09,128.05,132.0,124.24,130.75,224908
2025-12-10,131.5,135.25,130.99,131.6,139002
2025-12-11,132.65,132.65,130.1,131.1,61404
2025-12-12,131.75,132.84,129.62,131.66,70171
2025-12-15,132.5,133.1,129.8,131.73,80440
2025-12-16,130.51,131.89,128.7,129.17,58966
2025-12-17,129.25,130.78,125.01,125.74,158102
2025-12-18,125.74,127.48,124.32,125.17,103583
2025-12-19,125.25,128.14,124.71,127.28,143601
2025-12-22,127.9,132.87,127.06,128.55,237717
2025-12-23,129.1,129.11,127.1,127.53,118763
2025-12-24,127.98,129.38,124.35,125.51,148819
2025-12-26,126.0,127.5,124.71,125.37,153782
2025-12-29,125.1,126.66,120.92,121.97,212265
2025-12-30,123.0,124.11,121.35,122.36,127121
2025-12-31,123.6,127.85,123.22,124.92,183765
2026-01-01,125.92,126.4,120.85,122.72,69060
2026-01-02,123.17,129.19,123.17,127.35,169669
2026-01-05,127.59,129.14,125.08,127.05,164904
2026-01-06,127.05,128.97,125.5,126.72,94761
2026-01-07,126.72,129.0,124.0,127.09,108166
2026-01-08,125.8,129.35,122.1,123.68,146984
2026-01-09,124.0,124.18,114.21,116.85,330257
2026-01-12,118.8,118.8,110.22,111.38,365950
2026-01-13,112.95,114.24,107.01,107.93,418281
2026-01-14,108.49,110.59,104.98,108.45,266672
2026-01-16,110.0,119.0,107.76,108.72,484510
2026-01-19,108.99,109.35,101.1,102.63,212221
2026-01-20,102.37,103.74,99.2,99.92,217416
2026-01-21,100.38,104.09,96.0,97.37,230651
2026-01-22,99.0,101.25,95.69,97.86,148227
2026-01-23,99.33,99.59,92.61,93.38,148050
2026-01-27,93.38,94.1,85.87,88.34,475281
2026-01-28,88.05,98.75,88.05,93.97,640191
2026-01-29,94.0,96.73,88.6,91.04,247630
2026-01-30,91.05,93.78,89.65,92.02,98381
2026-02-01,92.4,94.01,89.05,91.36,99052
2026-02-02,92.0,93.19,87.3,92.09,132052
2026-02-03,94.0,97.19,94.0,95.33,128576
2026-02-04,95.3,101.7,94.45,100.28,203977
2026-02-05,101.0,102.89,95.11,95.66,130270
2026-02-06,96.0,96.0,90.0,90.97,220855
2026-02-09,92.8,104.5,92.12,100.12,3793816
2026-02-10,104.5,107.99,102.5,104.93,1016155
2026-02-11,109.0,112.58,106.08,108.44,894648
2026-02-12,109.0,110.76,106.23,108.64,236131
2026-02-13,108.64,108.99,102.4,102.75,288495
2026-02-16,102.99,105.49,101.0,102.23,223420
2026-02-17,101.25,103.23,97.1,98.09,390711
2026-02-18,100.05,112.65,99.0,105.74,2677423
2026-02-19,105.0,106.09,101.0,101.69,403994
2026-02-20,101.7,101.85,100.0,100.48,114904
2026-02-23,104.0,104.0,97.0,97.33,272788
2026-02-24,97.81,97.81,93.21,93.74,203998
2026-02-25,94.0,96.59,93.57,94.52,383106
2026-02-26,95.37,95.93,93.63,94.34,155780
2026-02-27,94.85,94.92,93.05,94.25,117224
2026-03-02,88.2,92.79,86.65,90.41,367641
2026-03-04,88.5,91.0,87.05,88.65,100278
2026-03-05,88.65,92.3,88.65,91.12,171001
2026-03-06,91.1,92.67,89.32,90.14,185633
2026-03-09,90.0,90.0,85.63,86.64,135110
2026-03-10,86.99,88.9,84.6,85.19,326157
2026-03-11,86.47,87.69,84.25,84.99,268634
2026-03-12,85.2,85.8,82.2,83.63,246753
2026-03-13,83.99,83.99,80.7,81.25,216332
2026-03-16,82.32,84.6,77.82,79.43,226752
2026-03-17,80.62,82.0,79.44,80.68,139947
2026-03-18,81.68,84.68,81.13,83.59,165425
2026-03-19,82.99,82.99,80.49,80.66,104943
2026-03-20,80.04,83.11,80.04,82.55,153695
2026-03-23,82.0,83.99,77.61,82.0,287515
2026-03-24,85.0,85.95,80.2,80.57,301930
2026-03-25,81.55,85.85,81.55,82.72,649698
2026-03-27,82.7,82.7,77.28,78.29,691930
2026-03-30,78.29,78.29,71.06,71.65,257834
2026-04-01,73.31,79.9,73.31,79.07,145521
2026-04-02,76.01,80.8,75.05,80.03,133272
2026-04-06,78.39,81.95,77.82,81.47,98525
2026-04-07,81.3,82.9,78.85,79.22,110472
2026-04-08,83.0,92.61,82.1,88.64,1116971
2026-04-09,87.31,101.85,87.31,99.22,1346985
2026-04-10,97.8,108.3,97.31,104.89,723456
2026-04-13,101.15,112.0,99.81,109.96,813365
2026-04-15,111.99,115.69,109.0,109.64,264496
2026-04-16,109.9,124.79,109.9,120.32,1158296
2026-04-17,120.0,124.38,118.53,120.36,196667
2026-04-20,120.4,123.72,117.05,122.12,361545
2026-04-21,122.0,122.95,119.99,121.4,127687
2026-04-22,120.12,125.12,116.81,117.71,172226
2026-04-23,116.65,119.59,115.0,116.37,96285
2026-04-24,115.2,116.85,111.21,114.06,131926
