date,open,high,low,close,volume
2025-03-24,76.86,79.47,76.86,78.05,230877
2025-03-25,78.8,81.0,74.68,75.14,342332
2025-03-26,76.0,76.38,72.5,72.84,149619
2025-03-27,71.28,74.88,71.28,73.17,384711
2025-03-28,73.0,75.89,71.0,71.7,305662
2025-04-01,71.0,74.95,70.61,73.29,158124
2025-04-02,74.3,74.3,71.71,73.85,63974
2025-04-03,73.4,78.0,72.61,76.17,307887
2025-04-04,75.96,75.96,70.71,73.62,199976
2025-04-07,69.0,70.98,67.61,69.23,199002
2025-04-08,71.8,73.05,70.23,71.91,172766
2025-04-09,71.91,74.0,70.81,72.19,113210
2025-04-11,73.8,76.37,72.9,73.82,316630
2025-04-15,74.65,78.56,74.19,77.99,500898
2025-04-16,78.7,81.39,78.06,78.79,422290
2025-04-17,78.75,86.0,78.66,81.75,1189211
2025-04-21,82.0,85.5,81.5,83.46,459899
2025-04-22,84.19,87.22,82.7,86.83,656699
2025-04-23,87.55,88.57,84.27,86.22,299885
2025-04-24,85.35,87.85,85.21,85.79,332907
2025-04-25,85.95,86.4,80.51,81.59,312553
2025-04-28,81.99,83.86,80.59,82.6,173602
2025-04-29,82.7,83.99,82.69,83.59,166975
2025-04-30,83.5,84.21,80.46,80.93,222819
2025-05-02,80.05,85.35,80.05,84.16,276430
2025-05-05,84.9,86.99,84.8,85.7,398736
2025-05-06,86.02,87.6,82.5,83.07,405391
2025-05-07,82.5,83.84,81.2,83.19,241689
2025-05-08,83.95,85.92,82.49,83.54,264249
2025-05-09,82.0,82.04,79.61,81.16,204108
2025-05-12,83.0,88.0,83.0,87.59,503145
2025-05-13,87.9,89.9,86.86,89.2,443622
2025-05-14,89.41,92.49,89.36,91.47,594091
2025-05-15,91.9,98.9,91.4,95.61,1196810
2025-05-16,96.21,98.86,95.76,98.35,732976
2025-05-19,98.75,100.93,96.85,98.93,599880
2025-05-20,99.3,102.7,97.98,99.28,716363
2025-05-21,99.28,99.84,97.58,98.66,270260
2025-05-22,98.03,100.39,97.2,98.22,352568
2025-05-23,98.71,99.74,97.26,98.04,238205
2025-05-26,98.6,99.9,97.85,98.54,253020
2025-05-27,98.54,100.4,97.1,98.5,724640
2025-05-28,98.5,98.5,95.14,95.79,492960
2025-05-29,92.8,92.8,90.51,90.86,600870
2025-05-30,90.96,91.28,89.0,90.28,253874
2025-06-02,90.09,91.0,88.66,89.23,274128
2025-06-03,89.65,107.06,89.5,99.12,5015404
2025-06-04,97.7,99.4,94.9,95.14,1236583
2025-06-05,95.59,98.76,95.2,96.16,1388855
2025-06-06,96.18,98.3,95.16,95.64,691627
2025-06-09,95.7,97.12,95.04,95.78,448040
2025-06-10,96.0,97.08,95.62,95.82,298978
2025-06-11,95.9,98.45,95.5,96.35,652730
2025-06-12,96.87,97.78,94.3,94.87,395242
2025-06-13,93.5,94.8,91.15,92.93,389135
2025-06-16,92.6,93.87,90.51,93.1,282295
2025-06-17,93.9,94.99,91.0,91.48,274830
2025-06-18,91.4,92.14,89.59,90.54,180881
2025-06-19,90.44,91.41,87.1,87.8,269158
2025-06-20,87.5,90.89,87.36,89.63,219207
2025-06-23,89.0,90.82,88.26,90.27,194931
2025-06-24,90.7,93.79,90.12,91.25,366959
2025-06-25,92.5,94.5,92.05,93.03,245466
2025-06-26,93.6,93.9,91.8,92.48,144900
2025-06-27,93.5,95.6,92.25,93.43,405106
2025-06-30,93.25,94.58,93.25,94.19,150051
2025-07-01,95.15,95.7,93.1,93.52,149399
2025-07-02,93.85,94.0,92.07,92.78,91847
2025-07-03,92.0,94.0,91.84,92.12,169541
2025-07-04,92.99,93.02,90.25,91.25,172492
2025-07-07,91.85,92.44,90.47,91.06,107542
2025-07-08,91.06,91.8,89.9,90.97,154807
2025-07-09,90.97,91.8,90.0,90.57,112313
2025-07-10,90.67,91.15,90.05,90.32,77749
2025-07-11,90.01,90.34,88.81,89.44,91308
2025-07-14,89.34,89.88,88.41,89.24,56451
2025-07-15,89.24,94.4,89.24,90.82,787325
2025-07-16,90.98,91.79,90.11,91.25,169011
2025-07-17,91.5,91.7,90.75,91.08,71769
2025-07-18,90.78,91.38,89.46,89.96,97940
2025-07-21,89.96,91.0,89.1,89.8,157847
2025-07-22,89.6,91.55,88.63,89.17,219940
2025-07-23,89.95,90.57,89.32,89.69,111800
2025-07-24,89.65,92.75,89.57,90.4,526709
2025-07-25,90.0,91.56,88.65,89.11,155857
2025-07-28,89.11,89.5,87.55,87.68,124781
2025-07-29,87.02,91.2,87.02,89.41,248402
2025-07-30,90.0,97.4,89.88,94.46,2591331
2025-07-31,92.5,96.32,92.5,92.94,552231
2025-08-01,92.5,94.89,91.11,93.01,364339
2025-08-04,94.0,94.65,92.25,93.51,251372
2025-08-05,92.85,95.85,92.75,93.84,618866
2025-08-06,93.55,94.54,91.15,91.9,117422
