date,open,high,low,close,volume
2025-03-24,181.46,183.9,178.1,179.52,189425
2025-03-25,180.8,181.99,170.54,170.54,218642
2025-03-26,169.0,169.0,162.01,162.03,307710
2025-03-27,156.5,163.99,156.5,160.3,542262
2025-03-28,162.99,163.78,155.1,156.99,383443
2025-04-01,162.95,164.83,159.2,164.83,216311
2025-04-02,167.0,173.07,160.21,173.07,551241
2025-04-03,172.5,181.72,167.46,181.49,605763
2025-04-04,184.0,184.0,172.41,172.61,517463
2025-04-07,155.34,164.65,155.34,163.31,454056
2025-04-08,166.58,174.01,165.21,172.29,226390
2025-04-09,173.01,173.5,165.55,169.36,211540
2025-04-11,180.0,180.0,172.0,172.84,201879
2025-04-15,179.0,188.0,176.53,186.5,475545
2025-04-16,186.9,205.0,184.1,204.1,1221639
2025-04-17,204.0,212.09,196.0,203.34,992455
2025-04-21,205.0,210.0,200.0,208.66,521198
2025-04-22,209.0,217.0,207.02,209.69,502208
2025-04-23,210.7,213.28,201.15,205.44,329991
2025-04-24,205.32,206.6,201.0,202.08,249041
2025-04-25,202.0,202.0,186.51,192.83,500793
2025-04-28,190.1,201.49,187.82,195.07,460641
2025-04-29,195.5,200.76,193.21,196.44,426004
2025-04-30,198.9,198.9,187.0,188.42,258634
2025-05-02,188.42,193.8,187.0,190.89,299700
2025-05-05,195.0,203.9,192.61,193.99,462891
2025-05-06,194.95,195.8,184.05,185.19,268484
2025-05-07,179.66,183.36,171.8,179.19,661747
2025-05-08,181.8,187.29,172.35,176.41,316517
2025-05-09,172.0,184.0,164.53,177.1,412362
2025-05-12,190.0,194.81,188.99,194.64,576845
2025-05-13,196.4,212.51,196.38,209.45,1052204
2025-05-14,211.0,218.72,207.52,210.69,838992
2025-05-15,211.35,213.5,207.49,208.93,386562
2025-05-16,209.14,215.8,204.44,207.28,564864
2025-05-19,208.18,217.5,208.18,210.54,633248
2025-05-20,212.05,215.17,206.11,207.88,437781
2025-05-21,209.45,211.5,205.1,207.97,325213
2025-05-22,208.5,208.5,203.0,205.81,277804
2025-05-23,206.0,214.8,202.29,210.48,713509
2025-05-26,210.8,219.9,210.05,216.28,1228461
2025-05-27,218.0,223.95,216.36,218.9,1525947
2025-05-28,220.0,220.25,210.0,210.74,856011
2025-05-29,211.8,216.9,206.1,207.6,354286
2025-05-30,209.0,209.85,200.6,203.37,388598
2025-06-02,203.0,206.47,197.03,201.27,432530
2025-06-03,203.45,214.0,201.95,207.6,542506
2025-06-04,209.45,221.25,207.5,219.29,1127807
2025-06-05,224.9,224.9,216.1,218.01,662535
2025-06-06,219.2,245.4,219.2,236.17,5282930
2025-06-09,240.6,243.97,234.08,241.04,1337347
2025-06-10,242.85,244.0,232.0,234.23,758439
2025-06-11,234.23,238.44,226.65,231.02,677878
2025-06-12,236.0,241.95,228.7,232.95,1852558
2025-06-13,228.0,234.19,222.76,226.45,944872
2025-06-16,225.0,228.6,215.1,223.76,966670
2025-06-17,225.9,232.95,213.0,219.87,248200
2025-06-18,221.0,224.55,215.5,219.2,169279
2025-06-19,221.3,222.89,208.24,208.24,232407
2025-06-20,208.0,214.0,199.1,209.17,173016
2025-06-23,209.17,211.0,203.23,207.19,183180
2025-06-24,210.0,217.54,207.05,217.54,280731
2025-06-25,216.8,224.0,212.8,220.68,187535
2025-06-26,223.0,223.0,212.25,215.61,162870
2025-06-27,217.0,219.0,210.1,212.53,154010
2025-06-30,212.53,214.0,208.86,213.44,144069
2025-07-01,214.8,214.95,205.35,207.29,256412
2025-07-02,208.9,211.45,206.0,207.22,130240
2025-07-03,207.4,209.9,200.8,203.73,244968
2025-07-04,204.6,207.95,203.01,204.51,131885
2025-07-07,205.0,208.5,201.1,207.29,171981
2025-07-08,208.52,209.84,202.75,205.1,163363
2025-07-09,205.9,207.5,203.2,205.27,172334
2025-07-10,205.99,207.88,200.1,203.93,189583
2025-07-11,202.0,204.79,200.34,201.43,126769
2025-07-14,201.0,204.0,199.0,199.75,165258
2025-07-15,199.5,202.1,199.0,199.41,132438
2025-07-16,199.41,201.8,197.0,199.45,114885
2025-07-17,200.45,200.45,192.0,193.24,382994
2025-07-18,193.4,195.7,188.0,189.96,294607
2025-07-21,189.96,199.0,189.2,195.96,186364
2025-07-22,198.67,205.75,192.15,197.41,256644
2025-07-23,199.9,199.9,193.5,195.82,85311
2025-07-24,198.0,198.0,190.2,193.37,105427
2025-07-25,192.41,194.95,188.8,189.76,130088
2025-07-28,186.1,189.76,180.27,184.93,164477
2025-07-29,181.05,185.93,180.01,182.63,115372
2025-07-30,184.48,185.0,175.4,180.15,184916
2025-07-31,177.0,184.98,176.0,182.48,111507
2025-08-01,179.01,183.99,174.3,176.66,155145
2025-08-04,177.05,181.0,177.0,178.88,82544
2025-08-05,180.0,181.0,178.0,178.68,64397
2025-08-06,178.01,182.7,173.6,175.36,101426
2025-08-07,174.01,176.98,171.01,174.17,114824
2025-08-08,174.17,176.8,171.1,172.33,82680
2025-08-11,174.99,174.99,170.1,172.32,145116
2025-08-12,173.98,177.0,172.5,175.08,90895
2025-08-13,177.0,178.9,170.4,171.79,142494
2025-08-14,173.95,174.9,165.0,165.81,216667
2025-08-18,167.98,172.8,161.85,171.18,172440
2025-08-19,174.0,176.89,172.01,174.55,115218
2025-08-20,175.0,175.54,172.26,174.55,74123
2025-08-21,173.0,176.0,172.15,172.91,90926
2025-08-22,174.75,174.75,171.0,171.72,73998
2025-08-25,172.0,175.5,170.25,171.92,131067
2025-08-26,170.01,171.92,167.07,168.44,81722
2025-08-28,167.0,170.0,164.15,166.66,94648
2025-08-29,166.0,169.7,163.6,166.42,65610
2025-09-01,168.9,168.9,162.0,166.89,112912
2025-09-02,166.42,175.23,166.0,175.23,193892
2025-09-03,177.3,177.3,169.01,172.74,213741
2025-09-04,172.75,177.0,172.0,175.04,164976
2025-09-05,175.99,177.95,172.0,174.8,101531
2025-09-08,177.0,183.54,175.8,183.54,194761
2025-09-09,183.0,188.0,180.0,182.86,189191
2025-09-10,182.86,190.0,181.1,187.15,293679
2025-09-11,189.0,196.5,188.5,191.72,540921
2025-09-12,193.23,199.68,192.35,196.81,419962
2025-09-15,198.9,204.5,198.01,201.67,444788
2025-09-16,206.18,206.18,197.75,198.42,298497
2025-09-17,200.45,208.34,198.56,207.2,987802
2025-09-18,208.2,217.56,207.5,217.56,994252
2025-09-19,223.65,224.9,216.27,220.77,760663
2025-09-22,226.0,231.8,224.14,226.7,1583209
2025-09-23,229.09,229.94,217.03,217.98,511092
2025-09-24,219.9,223.9,216.8,217.54,444681
2025-09-25,219.5,227.4,215.35,216.87,608168
2025-09-26,215.6,217.7,210.0,212.44,534968
2025-09-29,213.0,221.79,213.0,214.47,409351
2025-09-30,215.1,218.9,209.5,214.06,305308
2025-10-01,214.96,223.9,213.0,221.25,422142
2025-10-03,223.9,226.0,216.03,224.38,388613
2025-10-06,226.25,231.89,221.21,224.1,522799
2025-10-07,225.0,225.94,213.5,215.48,398403
2025-10-08,216.0,217.48,209.25,211.46,351883
2025-10-09,211.55,214.0,207.0,208.57,262221
2025-10-10,208.8,216.57,208.0,210.77,300630
2025-10-13,212.0,213.0,200.2,203.66,343762
2025-10-14,207.4,208.7,202.76,204.1,284705
2025-10-15,209.8,223.8,207.52,220.55,1346966
2025-10-16,221.7,222.6,214.0,216.9,375602
2025-10-17,216.9,235.49,216.02,228.75,1783626
2025-10-20,228.75,228.76,222.36,224.97,362827
2025-10-21,227.8,233.98,227.8,229.76,252457
2025-10-23,229.8,238.75,226.01,234.97,1128549
