date,open,high,low,close,volume
2025-03-24,529.75,548.8,522.6,531.8,665984
2025-03-25,535.0,540.0,515.2,518.55,356687
2025-03-26,522.0,533.5,512.2,514.75,340990
2025-03-27,514.0,525.0,506.5,510.9,424695
2025-03-28,516.95,522.7,507.85,509.9,329989
2025-04-01,510.0,520.6,507.25,517.0,276395
2025-04-02,518.0,519.9,502.0,518.15,202164
2025-04-03,512.1,522.9,510.1,520.6,130021
2025-04-04,520.6,520.6,496.0,503.55,228857
2025-04-07,479.95,488.0,460.55,478.6,299583
2025-04-08,494.95,507.6,482.75,504.35,194131
2025-04-09,500.0,501.0,488.3,490.6,130747
2025-04-11,509.0,511.3,496.5,500.0,119340
2025-04-15,509.95,527.0,505.35,523.1,190530
2025-04-16,526.0,532.4,520.85,527.1,179406
2025-04-17,521.25,534.4,521.25,524.75,148303
2025-04-21,528.8,531.95,521.85,529.6,114866
2025-04-22,533.0,557.0,529.6,540.55,382546
2025-04-23,545.0,546.9,528.6,533.15,155919
2025-04-24,533.45,565.0,532.35,548.45,727705
2025-04-25,548.85,551.9,515.45,518.65,330593
2025-04-28,520.05,536.2,519.15,525.4,160783
2025-04-29,527.0,544.3,526.2,532.6,195988
2025-04-30,532.9,533.7,510.1,513.0,142449
2025-05-02,516.0,522.7,508.7,516.45,136648
2025-05-05,518.9,524.15,513.85,517.95,99027
2025-05-06,518.0,525.05,485.7,488.1,358582
2025-05-07,480.0,502.9,478.9,496.4,208823
2025-05-08,499.5,502.95,482.0,485.45,95565
2025-05-09,475.0,491.0,473.4,488.85,126539
2025-05-12,509.95,529.0,504.0,522.65,252441
2025-05-13,523.0,530.6,518.9,525.55,133631
2025-05-14,528.0,552.0,526.7,548.8,323055
2025-05-15,555.0,560.55,542.6,544.9,224676
2025-05-16,550.0,580.05,546.5,573.25,571935
2025-05-19,575.4,582.45,565.65,568.45,194126
2025-05-20,569.7,572.6,548.0,552.75,159728
2025-05-21,553.45,562.0,546.2,554.05,150059
2025-05-22,553.8,556.7,543.15,548.15,68699
2025-05-23,548.0,557.0,538.9,543.05,189220
2025-05-26,545.0,565.0,543.85,562.0,188005
2025-05-27,562.0,562.0,546.0,548.65,265205
2025-05-28,550.9,564.4,540.0,542.15,615600
2025-05-29,547.4,570.0,546.0,562.95,588035
2025-05-30,565.0,570.0,549.0,555.85,392978
2025-06-02,554.85,559.7,546.6,552.9,133754
2025-06-03,555.8,564.2,550.05,551.35,150483
2025-06-04,553.0,565.15,542.45,559.5,348199
2025-06-05,562.0,570.0,556.85,562.6,179887
2025-06-06,565.5,565.5,556.0,558.25,104719
2025-06-09,558.0,574.95,557.45,562.2,781925
2025-06-10,564.1,570.5,559.0,561.3,180867
2025-06-11,568.0,569.85,552.0,557.2,231383
2025-06-12,557.2,563.75,537.1,539.0,240165
2025-06-13,529.05,538.85,523.75,528.6,175167
2025-06-16,527.4,528.0,508.25,522.15,259226
2025-06-17,524.8,529.0,511.05,511.95,144921
2025-06-18,511.9,515.95,505.55,507.4,138001
2025-06-19,507.0,510.9,490.05,498.85,222078
2025-06-20,498.3,506.6,493.4,502.6,135034
2025-06-23,495.9,504.15,494.8,502.8,158807
2025-06-24,507.0,514.95,503.5,505.3,142262
2025-06-25,508.0,521.95,508.0,519.45,178275
2025-06-26,522.05,527.5,512.0,517.75,122833
2025-06-27,519.5,565.0,517.95,551.95,1450463
2025-06-30,553.7,554.7,541.55,548.6,174275
2025-07-01,548.6,550.05,536.4,540.0,161985
2025-07-02,542.4,543.6,533.75,539.7,120556
2025-07-03,540.4,544.85,533.6,536.5,124396
2025-07-04,536.65,562.5,533.9,550.4,543267
2025-07-07,548.9,550.6,538.7,541.85,119387
2025-07-08,541.8,544.35,534.5,537.9,81679
2025-07-09,538.75,545.0,535.55,537.4,75475
2025-07-10,535.0,542.15,530.1,532.2,111129
2025-07-11,530.5,541.0,528.1,530.45,114325
2025-07-14,528.0,530.45,520.05,525.5,96292
2025-07-15,527.0,544.55,527.0,537.2,205712
2025-07-16,536.0,540.85,535.55,537.1,80997
2025-07-17,539.0,542.0,534.5,535.85,70554
2025-07-18,535.2,538.75,528.2,534.85,79033
