date,open,high,low,close,volume
2025-03-24,74.8,76.79,74.1,74.76,290888
2025-03-25,75.6,75.6,72.5,73.11,288808
2025-03-26,73.85,73.85,68.62,69.53,232434
2025-03-27,69.0,70.21,66.0,67.36,386113
2025-03-28,70.9,72.4,67.51,70.01,312473
2025-04-01,70.2,72.29,69.4,69.94,110414
2025-04-02,71.0,71.0,68.02,69.76,96620
2025-04-03,69.75,70.79,68.81,69.64,133000
2025-04-04,70.0,70.09,68.0,69.43,71440
2025-04-07,63.11,67.0,63.11,64.62,195386
2025-04-08,65.99,71.99,65.41,70.35,489155
2025-04-09,69.3,69.79,68.26,69.22,49993
2025-04-11,73.0,73.0,68.0,68.98,146001
2025-04-15,70.0,71.39,68.75,69.14,284264
2025-04-16,70.2,71.33,68.27,68.6,158267
2025-04-17,69.65,69.88,67.67,68.03,136940
2025-04-21,69.05,69.15,67.4,67.66,143560
2025-04-22,68.0,69.0,65.71,67.18,273453
2025-04-23,68.0,69.0,66.86,66.96,146325
2025-04-24,67.95,80.35,66.65,79.8,3586009
2025-04-25,82.0,84.36,73.95,80.55,1445439
2025-04-28,80.5,81.3,77.11,77.46,439235
2025-04-29,78.08,80.1,75.29,77.11,341983
2025-04-30,79.5,79.5,72.11,74.35,291282
2025-05-02,74.88,77.36,73.0,74.17,157478
2025-05-05,74.9,77.25,73.52,75.28,213163
2025-05-06,76.36,76.55,70.11,70.93,457753
2025-05-07,70.0,70.69,68.05,69.51,354923
2025-05-08,69.98,71.16,64.0,67.18,284368
2025-05-09,65.0,68.09,65.0,67.26,245548
2025-05-12,68.25,74.0,68.25,73.15,280010
2025-05-13,73.5,75.39,72.0,75.05,223370
2025-05-14,76.0,80.4,74.5,76.38,335219
2025-05-15,76.5,77.59,76.03,76.74,81363
2025-05-16,77.19,89.0,77.19,82.67,1932817
2025-05-19,83.65,85.95,82.93,84.07,379372
2025-05-20,84.5,85.29,81.52,82.77,246686
2025-05-21,83.5,83.59,81.08,81.56,124501
2025-05-22,81.06,82.49,79.02,80.19,135637
2025-05-23,81.0,81.55,79.84,80.37,151503
2025-05-26,81.01,84.07,80.12,82.02,528121
2025-05-27,83.25,84.0,80.1,80.96,618324
2025-05-28,81.0,82.9,78.6,79.69,416088
2025-05-29,81.0,81.52,77.0,77.4,635185
2025-05-30,77.7,79.65,73.36,76.83,1307445
2025-06-02,76.79,79.64,76.01,78.37,535992
2025-06-03,80.0,80.0,76.14,76.9,320080
2025-06-04,77.05,78.65,76.29,76.73,87401
2025-06-05,77.0,77.41,74.1,75.31,282734
2025-06-06,75.48,80.04,74.7,79.18,1108188
2025-06-09,79.5,82.0,79.13,79.74,434830
2025-06-10,80.0,80.27,78.49,79.19,87357
2025-06-11,79.27,80.19,77.32,77.94,305949
2025-06-12,77.94,78.69,75.02,75.25,187784
2025-06-13,74.0,75.25,73.52,75.06,156349
2025-06-16,75.49,75.9,73.62,74.87,136094
2025-06-17,74.92,75.78,70.35,71.9,379900
2025-06-18,73.0,73.7,71.2,71.9,198082
2025-06-19,72.6,72.63,69.5,70.29,158315
2025-06-20,70.0,76.89,70.0,73.57,196978
2025-06-23,73.4,73.4,71.71,72.3,114274
2025-06-24,73.0,75.4,70.0,71.21,471809
2025-06-25,70.85,72.69,70.3,72.17,186238
2025-06-26,72.47,73.98,71.7,73.04,178022
2025-06-27,73.04,75.04,71.96,73.89,265395
2025-06-30,73.7,76.9,72.89,76.6,559206
2025-07-01,76.89,77.5,76.0,77.31,261365
2025-07-02,77.31,79.5,75.99,78.92,367959
2025-07-03,78.92,80.5,78.5,80.38,336536
2025-07-04,80.8,87.08,80.65,86.33,1926856
2025-07-07,87.15,88.93,84.9,85.46,592349
2025-07-08,85.48,86.7,83.51,86.03,382940
2025-07-09,86.9,92.33,83.5,91.1,2423032
2025-07-10,90.17,93.5,89.34,92.03,1375800
2025-07-11,92.9,94.38,91.71,92.21,954654
2025-07-14,92.23,93.3,90.7,92.52,579381
2025-07-15,93.0,94.17,92.7,93.67,748340
2025-07-16,93.89,94.06,92.16,93.48,382431
2025-07-17,93.48,94.17,88.0,91.23,817205
2025-07-18,91.79,93.4,89.36,92.37,669620
2025-07-21,91.99,92.99,89.41,90.78,265708
2025-07-22,90.48,91.8,89.29,90.8,367293
2025-07-23,90.5,90.93,89.2,89.89,218069
2025-07-24,90.0,90.6,87.96,89.2,257957
2025-07-25,89.0,90.0,88.16,88.68,124704
2025-07-28,88.5,89.29,84.96,86.21,228863
2025-07-29,86.5,87.8,85.18,87.38,128188
2025-07-30,87.4,89.0,85.98,88.32,154609
2025-07-31,88.0,89.58,85.0,86.99,251952
2025-08-01,86.98,88.9,85.43,87.8,250159
2025-08-04,88.0,89.0,86.6,87.25,90544
2025-08-05,87.25,88.05,86.07,87.42,76508
2025-08-06,88.9,91.45,84.3,88.69,687798
2025-08-07,88.65,90.01,86.3,88.74,241490
2025-08-08,88.7,89.75,87.16,88.0,216875
2025-08-11,88.0,90.42,87.8,88.79,252172
2025-08-12,88.99,92.19,88.8,90.09,280795
2025-08-13,90.67,93.0,90.44,92.64,427468
2025-08-14,92.9,94.5,91.58,92.88,509901
2025-08-18,91.5,93.7,91.0,91.39,213761
2025-08-19,91.51,91.84,90.0,90.7,150488
2025-08-20,91.0,91.91,87.66,88.44,219478
2025-08-21,88.69,89.47,85.57,88.01,188586
2025-08-22,88.01,89.16,87.05,87.92,188178
2025-08-25,89.45,89.45,84.92,85.52,272844
2025-08-26,85.14,87.1,84.0,84.76,187000
2025-08-28,84.5,85.95,84.3,85.05,93852
2025-08-29,85.44,86.39,83.22,85.64,156428
2025-09-01,85.99,87.19,85.74,86.03,145607
2025-09-02,86.99,87.77,85.77,86.33,96826
2025-09-03,86.27,87.25,86.0,86.27,105653
2025-09-04,86.97,86.97,85.5,85.83,45481
2025-09-05,86.01,87.0,82.99,83.73,147709
2025-09-08,85.5,92.5,85.5,89.0,2610038
2025-09-09,90.54,92.4,88.5,90.28,462554
2025-09-10,90.79,92.77,89.47,90.15,792327
2025-09-11,90.06,92.5,89.53,91.05,503203
2025-09-12,91.47,92.39,87.6,88.71,584852
2025-09-15,88.71,90.0,87.75,89.15,266902
2025-09-16,89.7,90.48,87.99,88.58,181244
2025-09-17,89.0,89.1,87.56,88.1,125410
2025-09-18,88.47,92.6,87.24,91.65,577901
2025-09-19,91.64,91.83,89.1,89.58,89799
2025-09-22,89.39,89.42,85.51,86.15,357460
2025-09-23,86.09,87.84,86.09,87.1,155071
2025-09-24,87.0,89.39,86.8,88.38,137345
2025-09-25,88.5,88.5,85.8,86.16,250619
2025-09-26,86.0,87.35,85.27,86.31,121027
