date,open,high,low,close,volume
2025-03-24,210.8,214.0,208.01,209.18,12695764
2025-03-25,210.93,210.95,203.0,204.73,6561010
2025-03-26,216.6,218.22,207.21,208.3,50652344
2025-03-27,209.0,213.48,207.6,208.54,9946960
2025-03-28,209.45,212.5,207.75,209.48,6410609
2025-04-01,209.5,214.7,208.4,213.27,6395018
2025-04-02,213.27,214.48,209.9,214.0,3565056
2025-04-03,210.1,215.9,208.9,214.84,4649488
2025-04-04,214.5,214.5,205.16,206.85,4097710
2025-04-07,187.0,198.95,187.0,197.39,5010274
2025-04-08,201.0,205.8,200.88,205.02,4493016
2025-04-09,205.0,208.4,201.5,206.89,3654637
2025-04-11,210.03,211.98,208.0,209.97,4046094
2025-04-15,212.94,218.55,212.08,215.91,6837356
2025-04-16,216.51,222.3,216.51,220.61,6643958
2025-04-17,221.89,222.19,216.24,217.78,6813390
2025-04-21,219.55,224.5,217.0,223.44,4774569
2025-04-22,224.55,224.99,217.08,217.7,5565620
2025-04-23,219.43,221.5,215.76,219.78,3939716
2025-04-24,219.54,221.4,218.02,220.04,3500579
2025-04-25,220.6,221.15,210.1,211.77,5550265
2025-04-28,209.21,219.4,209.2,218.57,4002455
2025-04-29,218.57,223.76,216.0,216.76,4910422
2025-04-30,216.0,216.97,211.2,211.9,2881446
2025-05-02,213.99,217.95,212.5,217.4,5042085
2025-05-05,217.9,222.31,216.05,221.16,3684489
2025-05-06,221.15,222.3,207.01,208.43,3934248
2025-05-07,204.25,215.0,204.0,214.2,3940907
2025-05-08,214.99,216.8,206.0,207.75,2382263
2025-05-09,201.6,207.9,201.5,206.46,2622525
2025-05-12,212.0,220.95,212.0,220.37,3824929
2025-05-13,220.49,222.54,218.5,220.15,3299485
2025-05-14,221.0,227.3,220.11,226.11,6169705
2025-05-15,227.9,230.93,224.15,229.45,6512104
2025-05-16,227.0,230.8,221.0,227.19,21023233
2025-05-19,230.0,238.85,229.43,235.44,10224481
2025-05-20,238.58,240.85,230.51,230.96,8075087
2025-05-21,232.5,237.3,230.81,233.54,4333929
2025-05-22,233.42,236.9,231.1,234.17,4407939
2025-05-23,234.4,234.9,230.01,232.77,2712534
2025-05-26,233.99,235.92,232.77,234.37,3121603
2025-05-27,234.5,237.3,233.52,234.09,2507734
2025-05-28,235.95,239.67,234.5,237.49,4715595
2025-05-29,238.09,238.89,235.2,236.41,2342352
2025-05-30,237.49,237.99,230.33,231.19,3005752
2025-06-02,231.19,236.75,229.75,235.91,2663440
2025-06-03,235.24,237.1,233.75,234.35,1611973
2025-06-04,234.39,238.1,230.61,235.75,3445416
2025-06-05,235.75,236.03,231.45,232.44,3342131
2025-06-06,234.3,239.4,232.69,237.89,4764193
2025-06-09,239.7,242.15,237.9,239.93,3857445
2025-06-10,241.1,241.8,238.56,239.11,1890875
2025-06-11,239.0,240.55,235.87,238.14,2545355
2025-06-12,238.0,238.9,230.77,231.55,2502052
2025-06-13,226.0,229.1,223.81,226.58,4349209
2025-06-16,226.58,229.74,221.89,229.3,2591529
2025-06-17,229.0,231.17,225.1,225.77,1484201
2025-06-18,225.0,227.85,222.05,223.63,1800779
2025-06-19,223.5,225.9,217.11,219.32,2134085
2025-06-20,219.0,223.3,218.0,221.3,2783004
2025-06-23,220.0,225.0,218.51,222.43,2829460
2025-06-24,225.8,227.99,223.65,225.12,3430487
2025-06-25,227.42,229.0,225.35,227.4,3069140
2025-06-26,228.54,231.96,227.4,230.97,3140549
2025-06-27,230.8,232.8,228.87,229.79,2225801
2025-06-30,229.95,231.89,228.55,230.46,1931053
2025-07-01,234.7,236.89,229.28,233.57,12192101
2025-07-02,234.0,234.64,224.11,225.53,7631563
2025-07-03,226.0,227.46,224.06,225.0,2501629
2025-07-04,225.0,227.5,223.55,224.77,1398510
2025-07-07,223.5,225.0,221.5,222.65,1503759
2025-07-08,222.65,224.8,222.2,224.23,1281415
2025-07-09,224.23,227.92,223.5,225.51,1782941
2025-07-10,225.51,226.75,221.57,223.5,1645163
2025-07-11,222.99,223.47,219.6,221.81,2129084
2025-07-14,225.0,227.65,222.6,225.3,8742459
2025-07-15,225.3,229.24,225.01,228.79,3203230
2025-07-16,229.0,229.8,226.7,228.87,1491367
2025-07-17,228.87,232.0,227.6,228.99,2544366
2025-07-18,228.99,231.9,225.8,227.57,2238293
2025-07-21,227.57,230.0,225.9,227.62,1318899
2025-07-22,227.62,230.75,226.9,227.42,1785992
2025-07-23,227.55,228.38,223.35,224.44,1629223
2025-07-24,225.41,226.55,222.99,224.75,1399722
2025-07-25,223.12,223.87,217.6,218.25,2665142
2025-07-28,217.63,223.56,214.85,215.51,2576423
2025-07-29,214.31,223.69,214.09,222.98,3053483
2025-07-30,222.98,224.53,220.04,222.81,1672593
2025-07-31,219.0,221.19,217.0,217.71,2116305
2025-08-01,219.7,220.26,212.86,214.05,2754912
2025-08-04,215.0,218.33,210.46,211.46,3299542
2025-08-05,212.39,213.81,207.22,211.01,4628580
2025-08-06,210.0,220.8,209.0,214.92,18998547
2025-08-07,214.6,225.25,212.24,222.39,5828688
2025-08-08,222.75,225.95,220.59,222.17,4371016
2025-08-11,221.95,225.4,220.33,223.77,2065238
2025-08-12,223.77,224.5,221.27,222.85,1278810
2025-08-13,222.6,225.09,221.1,222.68,2001471
2025-08-14,221.96,222.29,217.78,218.44,1366665
2025-08-18,220.49,223.1,218.06,218.97,1827445
2025-08-19,219.47,222.6,218.19,222.26,1573324
2025-08-20,222.26,222.6,219.7,220.84,1122892
2025-08-21,221.5,222.27,218.34,218.79,1236960
2025-08-22,218.51,219.97,216.57,216.96,1619596
2025-08-25,217.65,220.98,215.98,218.77,2419062
2025-08-26,217.0,218.7,211.62,211.98,2174587
2025-08-28,211.98,216.99,207.0,207.93,1826727
2025-08-29,208.0,212.2,203.77,204.5,1988832
2025-09-01,208.9,212.79,207.3,211.08,5642890
2025-09-02,211.08,213.72,210.1,211.13,2014669
2025-09-03,212.0,213.8,210.71,212.87,1966337
2025-09-04,214.9,215.0,206.25,207.3,2304156
2025-09-05,207.0,208.88,205.0,206.54,1619758
2025-09-08,207.05,209.8,205.97,207.41,2878164
2025-09-09,207.99,208.76,205.3,205.7,1983489
2025-09-10,206.7,208.79,206.25,207.26,1744405
2025-09-11,207.3,210.38,207.27,208.23,1738258
2025-09-12,209.15,209.6,208.03,208.72,1191214
2025-09-15,208.61,212.77,208.01,212.1,2358179
2025-09-16,222.0,222.31,214.67,216.14,17874871
2025-09-17,217.5,217.8,214.9,215.76,2122412
2025-09-18,215.76,217.24,214.46,215.76,1599123
2025-09-19,215.75,217.5,215.0,216.99,1801227
2025-09-22,216.52,216.99,213.2,213.93,1972266
2025-09-23,213.93,214.79,211.32,212.01,1381772
2025-09-24,211.05,212.43,207.75,208.37,1364678
2025-09-25,207.5,210.5,205.57,206.29,1316452
2025-09-26,205.01,206.29,202.01,202.51,1377271
2025-09-29,203.5,209.0,202.71,205.94,3376139
2025-09-30,205.94,209.49,205.01,207.58,1925902
2025-10-01,207.0,210.27,206.6,209.93,1398474
2025-10-03,209.93,210.83,208.81,210.38,1147181
2025-10-06,209.0,210.8,208.55,210.42,1111927
2025-10-07,210.41,212.0,209.0,211.1,1100273
2025-10-08,211.0,211.31,205.7,206.27,1783822
2025-10-09,205.61,210.42,205.61,209.61,1586022
2025-10-10,209.0,212.29,209.0,210.78,1113224
2025-10-13,209.0,210.96,207.02,208.32,997864
2025-10-14,208.32,208.99,203.0,204.08,1530999
2025-10-15,204.61,212.06,204.18,211.69,4070404
2025-10-16,212.99,213.2,209.07,209.78,1177829
2025-10-17,210.0,210.0,204.87,206.35,1975887
2025-10-20,206.7,209.59,206.7,208.71,1243447
2025-10-21,209.4,210.35,207.7,209.37,467727
2025-10-23,210.0,211.87,208.53,209.8,2365554
2025-10-24,209.8,211.26,208.01,209.56,1398602
2025-10-27,215.8,215.8,212.15,213.55,7293041
2025-10-28,213.55,213.75,209.36,210.61,1688336
2025-10-29,211.3,214.48,210.3,213.92,1712716
2025-10-30,213.75,215.55,212.06,212.99,1778355
2025-10-31,212.51,214.07,212.0,212.37,1008407
2025-11-03,213.85,217.25,213.43,214.02,3343115
2025-11-04,214.7,214.9,205.3,205.72,4449902
2025-11-06,205.83,206.29,193.25,195.54,7208721
2025-11-07,195.54,201.45,191.85,195.31,7024733
2025-11-10,195.6,195.94,187.47,188.03,8132410
2025-11-11,188.6,189.96,185.8,188.79,6248953
2025-11-12,188.9,189.8,185.81,186.8,8466191
2025-11-13,186.8,187.8,184.0,184.18,7226291
2025-11-14,184.18,185.63,182.01,184.13,3449729
2025-11-17,184.13,185.74,183.5,184.23,2410328
