date,open,high,low,close,volume
2025-03-24,1136.6,1144.3,1130.0,1131.8,861902
2025-03-25,1130.0,1140.0,1115.1,1127.4,1484284
2025-03-26,1127.4,1134.9,1120.0,1121.7,1066938
2025-03-27,1120.1,1134.0,1112.6,1121.0,1731172
2025-03-28,1121.5,1144.0,1121.5,1125.4,1432302
2025-04-01,1131.0,1143.9,1109.0,1117.0,2040110
2025-04-02,1115.0,1115.0,1074.0,1105.4,2601704
2025-04-03,1099.0,1124.5,1097.5,1122.8,635716
2025-04-04,1117.0,1141.4,1108.6,1131.1,1183470
2025-04-07,1080.0,1128.7,1080.0,1124.5,1474570
2025-04-08,1127.5,1141.5,1115.6,1137.7,1747016
2025-04-09,1141.6,1181.3,1136.1,1172.4,3706748
2025-04-11,1172.8,1186.0,1161.0,1180.7,2236634
2025-04-15,1190.7,1190.7,1172.8,1184.0,1561748
2025-04-16,1173.5,1195.0,1173.5,1191.6,1354424
2025-04-17,1186.0,1211.6,1179.3,1208.3,1815842
2025-04-21,1200.5,1210.5,1195.2,1199.7,953130
2025-04-22,1202.5,1210.0,1195.0,1203.6,975908
2025-04-23,1209.6,1221.0,1200.0,1216.7,1165112
2025-04-24,1217.5,1257.5,1189.5,1216.6,4674476
2025-04-25,1213.4,1217.6,1193.6,1206.8,2256568
2025-04-28,1200.0,1209.2,1193.0,1203.0,1961052
2025-04-29,1203.0,1203.0,1179.6,1193.8,1952120
2025-04-30,1187.5,1203.2,1182.2,1194.1,2040862
2025-05-02,1187.5,1192.4,1163.5,1168.8,1718354
2025-05-05,1174.4,1176.0,1161.8,1164.1,1827594
2025-05-06,1168.5,1187.1,1165.0,1178.2,1742026
2025-05-07,1165.5,1178.0,1163.6,1169.2,1353304
2025-05-08,1164.0,1175.0,1157.6,1170.4,2693092
2025-05-09,1151.0,1174.5,1145.8,1162.7,1816458
2025-05-12,1179.9,1194.5,1173.0,1191.9,801500
2025-05-13,1190.0,1194.9,1171.0,1185.1,2333552
2025-05-14,1182.5,1189.6,1176.6,1185.2,1203066
2025-05-15,1185.0,1207.4,1170.8,1199.0,1928224
2025-05-16,1207.3,1207.3,1188.4,1204.4,1369102
2025-05-19,1202.0,1211.0,1198.1,1203.9,845862
2025-05-20,1209.9,1209.9,1177.2,1179.2,1555350
2025-05-21,1179.2,1199.0,1179.2,1196.3,1350296
2025-05-22,1192.5,1192.5,1170.0,1180.8,2161612
2025-05-23,1178.0,1212.0,1176.0,1207.2,1154460
2025-05-26,1207.2,1232.4,1202.7,1227.0,1248708
2025-05-27,1225.0,1241.0,1216.1,1230.4,1584098
2025-05-28,1226.0,1228.4,1208.0,1209.5,1447242
2025-05-29,1210.7,1219.9,1203.2,1217.5,1862596
2025-05-30,1217.5,1228.5,1195.2,1198.1,2134920
2025-06-02,1200.0,1207.9,1195.5,1203.2,2052718
2025-06-03,1207.8,1213.2,1191.0,1195.7,1468888
2025-06-04,1194.2,1201.9,1192.4,1198.8,1174082
2025-06-05,1202.5,1204.5,1190.2,1200.6,1467916
2025-06-06,1202.0,1211.4,1195.0,1208.6,1004606
2025-06-09,1212.5,1213.6,1200.5,1207.6,678874
2025-06-10,1207.6,1219.4,1204.4,1215.7,1351562
