date,open,high,low,close,volume
2025-03-24,166.85,167.93,164.16,165.58,956892
2025-03-25,168.0,168.05,159.35,160.7,1043145
2025-03-26,161.69,170.57,156.99,158.35,2456889
2025-03-27,159.0,161.49,157.25,158.22,1056817
2025-03-28,162.8,162.8,153.25,154.52,1033619
2025-04-01,153.0,158.8,152.9,157.99,525283
2025-04-02,156.75,159.65,153.46,158.99,481727
2025-04-03,158.0,164.3,156.99,163.9,664193
2025-04-04,163.9,163.9,153.4,154.97,769134
2025-04-07,150.0,151.78,145.04,150.11,737293
2025-04-08,154.0,157.95,150.65,157.17,556325
2025-04-09,156.0,157.0,153.01,155.04,330836
2025-04-11,158.04,158.5,155.0,156.28,405376
2025-04-15,157.34,162.5,157.25,161.33,521164
2025-04-16,160.86,167.5,160.86,166.8,1019818
2025-04-17,168.3,178.98,165.5,172.49,6026641
2025-04-21,171.55,174.5,169.11,172.72,917680
2025-04-22,173.5,174.42,171.11,172.07,468568
2025-04-23,172.1,175.39,169.56,174.46,584231
2025-04-24,173.5,176.5,172.81,174.43,598860
2025-04-25,176.0,180.5,166.5,168.53,2268579
2025-04-28,169.37,171.74,166.4,170.74,557933
2025-04-29,172.0,174.5,169.02,171.29,582133
2025-04-30,170.5,179.83,169.19,172.07,2409486
2025-05-02,172.0,174.5,169.73,171.47,610250
2025-05-05,173.0,173.0,169.55,170.49,389941
2025-05-06,169.75,172.5,165.0,165.91,420560
2025-05-07,164.0,167.4,163.3,166.16,443797
2025-05-08,165.75,169.86,163.33,165.07,509113
2025-05-09,160.0,162.68,158.25,160.36,470847
2025-05-12,164.95,169.73,164.95,168.59,617179
2025-05-13,167.8,173.9,167.68,173.3,454083
2025-05-14,173.3,174.48,170.66,172.64,567744
2025-05-15,174.0,176.76,171.91,174.88,657704
2025-05-16,176.0,180.0,174.58,179.03,990043
2025-05-19,180.45,184.0,179.13,181.31,914838
2025-05-20,182.0,184.89,174.0,174.67,1390604
2025-05-21,175.0,179.8,172.9,179.17,591876
2025-05-22,177.1,181.42,175.5,176.62,607415
2025-05-23,177.0,188.6,177.0,182.45,3567562
2025-05-26,184.7,186.5,181.3,184.38,644967
2025-05-27,184.98,184.98,180.7,182.64,860170
2025-05-28,182.51,192.0,182.21,186.14,2168963
2025-05-29,188.0,188.2,185.0,187.08,509265
2025-05-30,186.99,188.16,182.01,186.46,649813
2025-06-02,185.0,188.5,184.8,187.91,540829
2025-06-03,188.9,189.49,184.0,184.5,471761
2025-06-04,185.97,186.92,182.07,185.69,507187
2025-06-05,186.85,193.7,186.61,188.67,1589559
2025-06-06,189.45,193.0,186.31,192.1,1357894
2025-06-09,194.9,195.0,191.55,192.16,977834
