date,open,high,low,close,volume
2025-03-24,74.05,75.99,73.9,74.21,1026173
2025-03-25,74.53,74.7,71.88,72.07,638005
2025-03-26,72.45,72.48,71.2,71.52,355117
2025-03-27,71.59,77.88,71.2,76.66,2125609
2025-03-28,76.61,80.89,76.0,78.08,1757580
2025-04-01,77.79,77.79,75.62,75.92,484067
2025-04-02,76.01,78.3,74.05,76.51,624536
2025-04-03,75.0,76.39,75.0,75.84,289266
2025-04-04,76.0,76.15,73.8,74.41,395115
2025-04-07,68.54,72.21,68.54,71.73,1223223
2025-04-08,72.64,74.97,72.14,73.01,966567
2025-04-09,72.25,74.25,72.25,73.53,559926
2025-04-11,74.14,75.4,73.55,73.82,851518
2025-04-15,73.88,74.94,73.58,74.57,630626
2025-04-16,74.5,77.1,74.5,76.1,1029794
2025-04-17,76.1,76.12,74.71,75.8,646347
2025-04-21,75.8,78.5,75.8,77.99,887764
2025-04-22,79.0,79.58,77.25,77.62,745393
2025-04-23,79.0,86.46,78.57,83.77,36164080
2025-04-24,84.0,89.5,83.73,88.15,13181864
2025-04-25,88.5,88.85,82.7,84.62,6789144
2025-04-28,84.61,84.61,82.0,82.33,1789762
2025-04-29,82.87,84.65,78.66,81.51,1942380
2025-04-30,82.1,84.25,80.63,81.59,2257271
2025-05-02,81.75,84.4,81.34,82.19,1679606
2025-05-05,83.37,86.58,82.11,86.15,3437971
2025-05-06,86.6,87.33,80.0,80.73,2516923
2025-05-07,79.82,81.48,79.35,81.03,1574722
2025-05-08,87.03,92.9,86.11,87.3,75425585
2025-05-09,85.06,87.49,84.51,86.73,5887714
2025-05-12,89.09,89.8,84.75,85.07,6443639
2025-05-13,84.84,85.6,84.55,84.84,2725408
2025-05-14,85.1,85.8,83.2,84.51,2702500
2025-05-15,85.2,85.4,84.03,84.55,2261660
2025-05-16,84.8,92.6,84.6,90.41,15739186
2025-05-19,90.0,95.21,89.75,91.15,10966214
2025-05-20,92.0,93.89,90.78,90.99,4259241
2025-05-21,90.91,91.8,89.07,89.62,3190428
2025-05-22,90.05,93.19,87.6,88.54,5045827
2025-05-23,89.45,91.2,88.0,89.38,3797007
2025-05-26,90.41,94.0,89.6,91.27,6562611
2025-05-27,91.79,92.1,86.23,87.09,6235426
2025-05-28,87.6,88.73,86.72,87.94,2605436
2025-05-29,88.36,93.28,87.86,92.35,13288143
2025-05-30,92.35,94.0,90.61,92.29,5961255
2025-06-02,84.5,85.41,81.63,83.11,168064549
2025-06-03,83.98,85.8,82.84,83.1,17347187
2025-06-04,83.64,83.7,81.25,82.97,11196571
2025-06-05,83.6,83.6,81.91,82.58,7847633
2025-06-06,82.9,83.79,82.7,82.97,4949706
2025-06-09,83.8,83.84,83.06,83.32,2440605
2025-06-10,83.5,83.78,82.61,82.99,8518541
2025-06-11,82.87,83.5,82.25,82.59,4905650
2025-06-12,82.8,83.18,81.89,82.2,2999717
2025-06-13,80.9,82.11,80.07,81.41,2334209
2025-06-16,81.35,82.19,80.16,81.81,2853579
2025-06-17,82.15,82.36,79.84,80.14,2553525
2025-06-18,80.49,81.6,79.72,81.02,2286304
2025-06-19,81.4,82.19,79.64,80.04,2013335
2025-06-20,80.44,81.68,80.01,81.15,2166621
2025-06-23,79.8,82.13,79.8,81.75,2430676
2025-06-24,82.27,82.49,81.3,81.66,1603778
2025-06-25,81.95,82.2,81.48,82.02,1637882
2025-06-26,82.4,82.4,81.03,81.98,2208230
2025-06-27,82.2,82.73,80.98,81.82,4541034
2025-06-30,82.3,82.51,81.6,81.77,1502583
2025-07-01,82.15,82.5,80.51,81.92,2357476
2025-07-02,81.92,82.5,80.91,82.23,2448112
2025-07-03,82.2,82.3,81.57,81.97,846623
2025-07-04,82.25,85.77,81.81,85.05,11389149
2025-07-07,85.0,85.9,83.3,83.88,3647994
2025-07-08,84.2,84.7,83.55,83.77,2146666
2025-07-09,84.1,89.5,83.63,89.14,23283762
2025-07-10,89.0,91.34,88.26,90.26,9381859
2025-07-11,90.09,90.89,88.0,88.69,2916590
2025-07-14,89.0,91.25,88.06,91.0,5294385
2025-07-15,91.1,91.63,88.71,88.94,2370396
2025-07-16,89.35,90.47,88.68,89.84,3802478
2025-07-17,90.89,92.9,89.4,90.76,7443962
2025-07-18,91.38,91.5,88.94,89.29,1885031
2025-07-21,89.45,89.65,87.66,88.71,1730712
2025-07-22,88.99,90.19,87.18,88.88,3012330
2025-07-23,89.0,89.19,86.5,86.78,1729850
2025-07-24,86.98,87.47,84.75,86.56,2241635
2025-07-25,86.55,86.56,83.6,83.93,1575154
2025-07-28,83.91,85.21,82.11,82.95,2266059
2025-07-29,83.47,85.15,82.78,84.36,1560868
2025-07-30,84.56,85.49,83.59,85.17,1495761
2025-07-31,85.0,87.95,84.0,87.55,3738356
2025-08-01,84.7,84.7,81.1,81.51,7540436
2025-08-04,81.9,82.29,81.09,82.0,2139423
2025-08-05,82.0,82.45,81.29,81.71,1452024
2025-08-06,82.44,82.45,80.02,80.59,1324595
2025-08-07,80.99,80.99,79.02,80.37,1432058
2025-08-08,80.77,81.37,79.67,79.99,1846048
2025-08-11,80.07,80.29,78.8,79.65,931996
2025-08-12,79.86,81.73,79.86,80.83,884523
2025-08-13,81.18,81.79,80.51,81.45,943087
2025-08-14,81.75,82.23,81.17,81.93,589553
2025-08-18,84.7,89.91,83.63,86.29,15553435
2025-08-19,86.1,86.24,84.0,84.2,1885638
2025-08-20,84.7,85.8,83.91,84.36,1506651
2025-08-21,87.74,87.97,85.0,85.51,4786687
2025-08-22,85.52,86.99,84.87,85.47,1589582
2025-08-25,85.8,85.8,83.5,83.85,1175617
2025-08-26,83.85,84.1,82.24,83.37,1154239
2025-08-28,83.31,83.55,81.14,81.57,1251662
2025-08-29,81.89,82.25,80.8,81.52,1039668
2025-09-01,81.52,83.0,81.52,82.23,776458
2025-09-02,82.48,83.28,82.0,82.83,1388854
2025-09-03,83.23,85.17,82.7,83.83,2261179
2025-09-04,90.0,91.2,79.9,81.26,26953141
2025-09-05,82.26,86.24,82.26,84.67,9616985
2025-09-08,85.0,85.92,82.65,83.23,3201127
2025-09-09,83.3,83.33,81.6,81.94,1622474
2025-09-10,83.0,83.41,81.38,81.83,2244065
2025-09-11,82.0,82.6,81.5,81.67,2394446
2025-09-12,81.99,82.46,81.5,81.61,1506571
2025-09-15,81.61,82.23,81.51,81.76,1213885
2025-09-16,81.99,82.1,81.6,81.84,805774
2025-09-17,82.19,82.2,81.5,81.66,1123088
2025-09-18,82.74,82.9,81.8,82.09,1023919
2025-09-19,82.5,82.71,82.0,82.39,1038176
2025-09-22,83.39,83.39,82.29,82.84,1749364
2025-09-23,82.71,82.84,81.35,81.73,1455467
2025-09-24,81.7,81.98,81.0,81.19,1966857
2025-09-25,82.0,82.14,80.45,80.98,1387551
2025-09-26,81.0,81.55,80.09,80.47,1249992
2025-09-29,80.45,83.5,79.83,83.18,2452948
2025-09-30,82.68,82.68,81.42,81.84,796896
2025-10-01,81.65,83.1,79.8,81.84,3239727
2025-10-03,83.48,83.7,80.75,81.06,2339328
2025-10-06,81.09,81.24,80.05,80.25,1150786
2025-10-07,80.38,80.41,79.65,79.73,1185058
