date,open,high,low,close,volume
2025-06-20,634.0,652.0,622.25,625.35,16374659
2025-06-23,615.5,634.9,614.25,620.05,2631664
2025-06-24,628.2,639.4,622.0,632.0,2167879
2025-06-25,634.7,675.9,630.25,657.7,5856114
2025-06-26,666.0,696.0,660.05,677.2,4993014
2025-06-27,682.0,697.8,661.25,692.7,2525016
2025-06-30,693.5,718.0,684.25,704.3,2442653
2025-07-01,705.0,713.4,665.0,673.55,1871154
2025-07-02,676.0,682.8,660.1,671.0,1124982
2025-07-03,672.95,688.2,649.15,684.85,1259572
2025-07-04,684.1,703.9,677.9,693.75,1089991
2025-07-07,698.0,713.75,690.0,701.65,1200968
2025-07-08,704.0,740.0,700.1,736.9,2644736
2025-07-09,742.2,764.2,731.1,738.3,2940817
2025-07-10,744.0,754.2,730.25,735.65,1313819
2025-07-11,714.9,725.9,685.0,689.5,3599076
2025-07-14,692.95,696.8,676.6,683.15,966259
2025-07-15,686.0,694.8,674.75,680.45,781186
2025-07-16,680.45,693.0,679.05,685.9,927591
2025-07-17,690.0,712.15,684.0,703.95,1672361
2025-07-18,704.0,729.0,687.2,724.3,1811755
2025-07-21,735.0,750.1,721.0,741.75,2262002
2025-07-22,752.0,774.0,736.0,756.1,2107113
2025-07-23,766.0,781.15,762.55,769.4,1424100
2025-07-24,769.4,774.9,750.2,757.85,591509
2025-07-25,754.9,760.0,736.1,743.0,501215
2025-07-28,739.95,740.95,710.0,715.15,741440
2025-07-29,710.75,727.0,692.15,717.75,696292
2025-07-30,726.0,736.15,717.2,719.8,511285
2025-07-31,703.0,747.0,702.05,743.2,702910
2025-08-01,744.95,754.2,721.1,726.2,627601
2025-08-04,732.0,752.1,718.85,748.8,766823
2025-08-05,785.0,787.7,747.0,753.8,2267272
2025-08-06,759.9,765.0,720.25,730.95,606230
2025-08-07,725.0,780.8,707.6,776.2,1715111
2025-08-08,782.85,795.0,769.15,777.3,1351697
2025-08-11,781.9,789.25,757.0,762.0,566985
2025-08-12,760.0,779.0,755.65,769.45,559597
2025-08-13,775.0,819.0,772.95,803.95,1870255
2025-08-14,807.5,807.5,785.15,794.45,516087
2025-08-18,825.0,825.0,795.4,807.65,593188
2025-08-19,807.65,857.7,790.9,845.85,1279935
2025-08-20,849.0,864.7,836.5,852.9,835193
2025-08-21,859.0,888.4,852.05,865.85,840831
2025-08-22,865.0,881.8,860.3,873.8,519750
2025-08-25,874.0,884.0,840.6,844.35,637801
2025-08-26,844.4,856.3,830.0,834.95,299398
2025-08-28,831.75,839.0,809.0,811.35,464129
2025-08-29,806.05,829.7,788.4,792.55,436249
2025-09-01,798.25,832.05,793.95,828.05,436678
2025-09-02,830.0,838.65,806.75,816.25,440341
2025-09-03,816.75,846.0,816.75,837.7,431958
2025-09-04,844.6,844.7,800.8,804.5,415080
2025-09-05,808.0,835.45,794.0,825.35,433527
2025-09-08,827.25,831.0,809.0,814.6,246832
2025-09-09,820.0,823.65,806.6,810.05,161279
2025-09-10,818.5,818.5,795.65,799.9,264440
2025-09-11,800.05,819.5,799.0,811.05,193969
2025-09-12,812.0,817.0,803.2,810.45,178260
2025-09-15,811.35,840.0,811.35,822.0,533386
2025-09-16,822.0,825.95,776.25,783.9,933953
2025-09-17,789.95,795.65,777.9,793.75,566792
2025-09-18,799.85,802.65,787.25,794.6,301466
2025-09-19,794.1,802.95,790.0,791.85,197274
2025-09-22,791.0,791.8,779.8,784.4,214355
2025-09-23,788.0,802.9,781.95,782.9,247294
2025-09-24,782.7,788.7,762.25,763.75,309071
