date,open,high,low,close,volume
2025-03-24,393.05,399.75,389.0,391.9,37988
2025-03-25,397.7,398.0,383.35,385.35,29095
2025-03-26,385.3,393.55,377.5,379.8,61161
2025-03-27,380.0,395.0,380.0,391.55,31699
2025-03-28,393.0,393.55,374.8,380.65,130520
2025-04-01,380.0,386.2,380.0,380.65,14923
2025-04-02,382.8,387.1,379.95,383.4,27378
2025-04-03,383.4,391.1,383.15,389.05,31039
2025-04-04,390.5,390.5,380.05,380.8,23391
2025-04-07,325.0,366.85,325.0,349.2,59437
2025-04-08,362.25,362.25,350.3,355.35,24803
2025-04-09,360.0,360.0,348.8,350.4,9602
2025-04-11,355.45,364.05,349.7,360.45,46374
2025-04-15,362.2,375.25,362.2,371.6,28468
2025-04-16,366.05,381.8,366.05,380.05,28570
2025-04-17,377.7,384.75,374.1,375.6,27615
2025-04-21,374.0,380.0,371.5,374.2,34766
2025-04-22,374.0,379.65,371.25,377.85,40290
2025-04-23,377.85,382.5,373.2,378.25,34505
2025-04-24,379.25,381.0,373.25,377.45,29238
2025-04-25,373.0,379.5,362.3,364.65,31135
2025-04-28,363.0,368.8,361.95,364.1,20277
2025-04-29,364.25,369.0,361.9,362.25,14294
2025-04-30,362.85,373.0,359.75,361.8,37850
2025-05-02,363.65,369.7,361.9,364.55,44745
2025-05-05,360.05,372.15,360.05,370.35,22682
2025-05-06,372.65,375.25,361.9,362.75,37254
2025-05-07,362.0,378.0,359.8,373.85,57442
2025-05-08,378.7,384.0,375.0,379.9,79240
2025-05-09,366.0,382.0,366.0,379.7,37449
2025-05-12,385.35,390.0,379.1,382.5,47573
2025-05-13,383.0,387.7,378.7,383.3,20158
2025-05-14,384.3,387.25,373.05,375.95,26005
2025-05-15,376.9,386.8,373.55,385.25,51379
2025-05-16,387.2,388.75,382.2,383.1,23685
2025-05-19,384.9,403.9,382.1,398.45,141036
2025-05-20,400.5,401.45,390.9,391.6,35477
2025-05-21,391.6,397.9,378.5,396.55,80655
2025-05-22,392.6,399.0,392.1,397.65,20544
2025-05-23,398.0,401.9,393.5,395.45,30252
2025-05-26,396.45,396.9,361.4,367.45,323912
2025-05-27,366.65,369.5,365.0,365.7,49320
2025-05-28,362.4,368.7,361.8,364.25,65669
2025-05-29,366.1,367.3,361.75,363.15,34174
2025-05-30,364.15,367.5,361.9,362.0,69122
2025-06-02,362.0,366.5,361.35,365.45,72289
2025-06-03,365.45,367.0,364.5,365.85,41222
2025-06-04,367.4,369.25,362.7,367.85,27988
2025-06-05,365.05,368.7,362.2,364.85,53272
2025-06-06,364.6,366.5,362.0,365.6,13424
2025-06-09,360.0,368.9,360.0,363.25,96227
2025-06-10,364.0,370.2,363.6,365.2,63277
2025-06-11,365.8,373.2,365.8,368.8,63754
2025-06-12,369.8,372.85,363.6,365.1,58848
2025-06-13,363.0,367.85,361.95,363.4,42465
2025-06-16,362.05,366.35,361.85,362.2,63291
2025-06-17,364.0,372.5,363.5,365.35,53882
2025-06-18,366.05,373.1,364.25,370.1,73467
2025-06-19,372.0,372.0,362.0,363.65,19915
2025-06-20,362.15,367.5,361.95,362.45,45715
2025-06-23,364.25,365.7,361.9,362.75,30927
2025-06-24,363.5,368.85,360.8,365.35,62161
2025-06-25,368.0,368.0,361.4,362.1,103780
2025-06-26,363.1,365.6,350.8,355.4,42628
2025-06-27,355.4,360.4,355.4,358.75,22849
2025-06-30,360.0,360.8,352.0,353.25,45236
2025-07-01,353.0,360.7,351.0,354.45,43982
2025-07-02,355.4,358.0,350.15,353.35,26121
2025-07-03,354.35,354.35,350.45,352.05,21616
2025-07-04,353.0,357.0,351.6,354.6,15974
2025-07-07,356.4,356.4,351.1,352.2,18464
2025-07-08,354.0,355.65,348.15,348.7,23692
2025-07-09,348.0,358.0,348.0,353.3,27759
2025-07-10,353.3,356.5,350.7,353.45,17659
2025-07-11,353.2,353.2,346.3,347.35,34338
2025-07-14,347.35,352.9,345.0,350.15,18987
2025-07-15,350.0,350.3,346.5,347.15,19357
2025-07-16,347.3,358.45,347.3,356.45,32345
2025-07-17,357.45,360.5,352.55,359.2,36481
